1691505054# #家奴与苦力
1700183046# #德国勃拉姆斯《摇篮曲》/小提琴大师穆特演奏
1692366095# #神医？妙手仁医？
1688552610# #羽毛球的基本动作
1693148372# #花样俯卧撑
1694781253# #合成之外的都是值得惊奇的
1690974336# #12岁女孩的速度
1700826304# #深沉
1697495643# #夸特马，这一身漂亮的腱子肉
1699609271# #无穷奥秘
1692695410# #超人的拳头
1694960449# #放飞的圆筒
1693929483# #前面的历史就如你顶多方圆三十公里的“世面”，而这百年是立足在方圆三十公里上延伸了五百公里的“世面”。而后来的“世面”只是让你晓得了外面的世界，但还是生活在三十公里的“世面”里。这图文有好几年了
1690370798# #高亢嘹亮，苍凉悲壮
1703431236# #中国历史思维导图
1687660293# #是，首相
1699535612# #会不会永垂不朽？
1693449688# #新加坡2023年国庆李显龙演讲
1692321479# #内脏疼痛不能准确定位，譬如阑尾炎一般是脐周居多
1690858821# #刻苦的锻炼
1690285078# #答问
1691719647# #小孩子的红楼梦
1703514636# #工作能力强的要素
1699504369# #年龄与血压
1702254989# #现代物理学
1698916282# #金箍棒棍法
1696396968# #神奇的水
1692496894# #你好，🫀
1696470652# #丹桂香飘三万里
1698125086# #KN的历程
1701220044# #来自顶楼的暴击
1689461825# #加油枪的设计
1698926729# #不可思议的地心柚。
1690859708# #飞机入海了
1699495589# #goodgoodgood
1691107013# #野三坡的水
1700028312# #大户
1693119346# #这女子厉害
1700009854# #妈妈的叮咛
1690345605# #水墨画
1692946866# #好图
1697713537# #【小学生必看纪录片：数学的故事】
1694020147# #娶精？
1700099908# #与天地同寿
1695879961# #杀猪的庖丁刀
1702810460# #向世界贡献中国的经验
1697583485# #转发微博
1691483096# #为了生活
1701995627# #这才是老师
1699888017# #高层的无奈
1698667182# #玻璃上的舞蹈💃
1694868577# #仓促之际显真情
1693787837# #壁画工艺
1695782221# #花团锦簇
1691228088# #保定涞水野三坡洪水肆虐
1689301972# #一寸山河一腔血半亩池塘半边天
1695274482# #花树
1692963957# #人性
1690974170# #水太深了
1689128209# #2011羽毛球世锦赛男单决赛，林丹险胜李宗伟夺冠
1698852656# #不可交的人
1694813818# #民生
1702078779# #转发微博
1687351381# #战争
1692613089# #少儿教育
1699484933# #赶紧
1687964195# #所以没有指鹿为马，那就是一匹马，一匹指点江山的马。
1700205633# #文言文常用固定搭配
1703552715# #高情商的批评？
1692179658# #轉發微博
1691911806# #儒家道家法家墨家思维导图
1697583378# #云雾飘渺出神龙
1695610781# #转发微博
1698715581# #梅八金
1702964047# #激情澎湃泪如雨下
1693983081# #这么多的1968
1691105371# #涿州地理环境
1703475073# #怼人名场
1689928450# #汉字的结构与笔画规律
1689997242# #🥰
1690967955# #《经济学大师》凯恩斯
1691719328# #李仙苏豪
1693793315# #陶渊明经典的古诗
1704155673# #转发微博
1689379093# #挂名的观音经
1693739596# #羽毛球之王之蔑视
1690772763# #《罗刹海市》连环画
1691132308# #克制
1693739561# #风雨兼程
1698496342# #蜀道難
1694825370# #数学满分💯要点
1689142982# #管理的流程
1687663878# #选狗秘诀
1694574481# #新疆旅游保姆级攻略
1694790403# #有意思
1700709168# #能歌善舞的小姑娘
1697985870# #军魂
1691216404# #转发微博
1689902801# #转发微博
1696396277# #中国历史思维导图
1695109126# #海马爸爸生小孩
1700317195# #这花活，真功夫
1690773035# #巴基斯坦开伯尔-普赫图赫瓦省巴焦尔县卡尔市乌里玛伊斯兰组织工人代表大会发生自杀式爆炸瞬间。
1703916009# #转发微博
1703048153# #低质？低智？
1697012612# #文徵明《滕王阁序》行书高清完整图
1700803868# #转发微博
1701659477# #网前训练
1703981931# #写意
1692861102# #控笔训练
1693840361# #最终都混成了蛋
1689997362# #夏练三伏不长肉
1699711461# #上帝视角的数字化系统
1703642764# #:朱令案1中毒篇2破案篇3人物关系4分析篇5（2018新数据解读）6终结篇
1690868384# #九万里风鹏正举
1691106527# #京津冀泄洪图
1688137675# #最悲壮的牺牲，最伟大的情感，最执着的眼泪
1701656948# #转发微博
1700458972# #简单形象的面积公式
1703312706# #历史的演变
1703315349# #王强北大演讲
1688646366# #【南京大学讲座】高华教授：抗战历史的几个问题
1690773885# #观影有没有罪？
1690429796# #恐怖的恒星
1693238298# #泰国十岁羽毛球比赛
1690423431# #再别康桥
1698126542# #进藏列车的快乐时光
1689060248# #苏卡穆约：最后一球的浪
1690773316# #赤壁之战的地图演变
1699002817# #罗素《幸福之路》
1691463347# #静静
1703811738# #画饼
1701402986# #水库大坝
1691504816# #牙齿
1694790041# #转发微博
1687835723# #万众一心其利断金
1700300594# #神仙球感
1696223193# #小心翼翼的张狂放荡
1691130601# #慧眼之绘画技巧
1696849454# #差速器
1703551380# #语文答题技巧
1691031947# #转发微博
1700210165# #英语介词手绘全汇总！
1697788350# #没有译制片腔调的翻译
1693237977# #四大神兽
1692372113# #Word文档中电子印章
1695606559# #简单的小魔术
1698042085# #《边城》湘西小镇茶峒城的爱情故事
1693112177# #平行的贫富贵贱，分离的公平正义
1698413917# #夜深沉
1694581937# #手术刀的报酬
1699035142# #阿根廷儿歌
1687643267# #这烂粥一锅怎生乱炖？
1701847160# #咳嗽的症状与用药
1701996692# #转发微博
1703430732# #方位词汇总
1703431328# #智商
1688995753# #这片土地上所发生的一切都是可以……
1690015304# #怎么处理才是关键？
1694503797# #图片转发
1698044365# #超低空小跳步
1687073355# #权力意志
1688359622# #老虎上树
1699495788# #最痛彻心扉的公压
1698321516# #李嘉诚的根与心『李嘉诚：有正常的政治氛围和良好的商业环境，就不会存在谁跑不跑的问题！』
1702129020# #石膏锯
1700145474# #微分动画
1700725050# #春秋战国之昏乱
1701615389# #学习计划
1698743699# #拉丝
1689133802# #半轮自行车
1696751254# #转发微博
1701995494# #人人封神的年代
1703774583# #年味挂件
1688887034# #艰苦卓绝
1703811686# #转发微博
1689127063# #心疼亚军
1695804023# #转发微博
1703052046# #拼命读书
1687644270# #捡球
1692260838# #科学小实验
1694612580# #北舞娜孜《鸿雁》
1698962739# #转发微博
1690125497# #颠倒歌
1689174298# #反射恒星光的行星
1698654005# #转发微博
1691275810# #美国登月
1700619029# #良心的关注点
1696290409# #猎户座星云
1691659794# #魏晋意味的《罗刹海市》
1693407927# #学霸的时间管理，太累人了
1697807069# #秀～羽毛球
1687272546# #高山顶上的酒文化
1699238645# #青春期的父母教育方式
1692695672# #白马张飞
1690076669# #花园里
1697643578# #牛娃的规划
1703209896# #三生醉梦六月秋凉
1700182407# #那一道靓丽的玫瑰红
1698967227# #转发微博
1690424445# #
1694824774# #完美了
1697013054# #天朝
1698375522# #张至顺道长亲自语音+动作带练版《八部金刚功》完整讲解各种动作要领！
1699503775# #提高作文的排比句
1703605590# #庾信《哀江南赋》
1692668095# #砂子活了
1690973795# #无法救援......这词有点狠
1698916061# #最勤奋最执着的童年
1688795807# #8瓣球
1699492620# #所以只能无能为力
1697773269# #迪士尼与BBC联合拍摄的自然纪录片《大象》双语字幕
1699887498# #经济学的十大原理
1699503840# #小学一定要让孩子坚持的12件事
1694566960# #羊肉汤
1698431218# #超新星遗迹被称为天鹅圈（CygnusLoop），是大约2万年前一颗恒星爆炸时形成的。今天它仍在向太空扩张！
1698384476# #秋词
1687616899# #历史就是这样被改写的。远方的人只能静观其变
1701267721# #大彻大悟
1703742099# #九张图掌握整个英语语法体系
1697452853# #如何演讲
1689426797# #高斯求和
1700304359# #无无主义
1693791640# #跳绳动作
1699022601# #转发微博
1697245627# #草书的识字宝典
1699835073# #转发微博
1689663587# #无可奈何的现实
1703741520# #转发微博
1697013394# #恒大的住宅
1691660251# #福建农家别墅
1700198947# #转发微博
1700011796# #卧龙凤雏之笑语盈盈
1691721445# #转发微博
1691423251# #地球上四季的轮回
1689176871# #隋炀帝亲征高句丽
1698716763# #什么样的......配享什么样的苦难，唉
1701940580# #转发微博
1693298296# #23幅导图吃透（八年级）初二物理
1696508565# #几个人罢免的？&gt;50%
1699382352# #中大版切尔诺贝利，实验事故学生成人体小白鼠集体患癌、生命垂危惨遭老板雪藏。利益相关：中山二院杰青苏士成、中科院院士宋尔卫
1700194507# #许倬云先生《群星闪耀：轴心时代的中国与世界》
1688886730# #科搜搜到了把起句习性、方言特征、俚俗使用、词汇组合、知识构造、语态仿拟、断句方式等十几个行文特点从ElenaFerrante所有的书中抽出来，和数据库里的几万本书做对撞，比新中国查重大匿名信更全面更复杂的程度，也没得到个准确结果。
1688279125# #素手画鱼
1703742036# #作文万能写作公式
1703331006# #转发微博
1694331345# #可怜的政治经济学
1698800211# #常见的24种三角形全等模型
1692715501# #轉發微博
1691107635# #东边的……
1691024250# #受台风“杜苏芮”影响，华北地区近期强降雨来势猛、范围广、强度大，部分河道出现不同程度涨水过程。京津冀地区启用蓄滞洪区，有序分滞河道洪水。截至目前，河北省已陆续启用7处蓄滞洪区，完成转移群众84.74万人。
1691972331# #内向的人如何自信
1691505158# #20分50
1697787637# #诊脉探秘
1701222296# #转发微博
1691216730# #动图演化波兰战役
1698919831# #转发微博
1700632630# #最昂扬的青春
1689138897# #阿塔卡马沙漠是智利北部的干旱地区，介于南纬18°-28°之间。南北长1000-1100千米，绝大部分在安托法加斯塔（Antofagasta）和阿塔卡马两省境内。
1697787733# #语文老教师总结的缩句口诀、反问句改陈述句口诀、标点符号口诀、修改病句等技巧
1687321840# #飞流直下三千尺疑是银河落九天
1703051961# #转发微博
1695462597# #德国谚语
1703514594# #故事模型
1698041702# #40种常见鱼的口感特点及种类
1702531439# #转发微博
1691653113# #花滑天花板卡米拉·瓦利耶娃的训练课
1697670004# #运动的胜场
1696327763# #当你深入了解这块土地上的人们时，你会发现，他们的思想，配得上他们所受的苦难。”——巴金《睌熟的人》猪头猪头猪头
1692187129# #皮蛋鲜虾粥
1691710077# #猫咪版《桃花源记》
1703123954# #世界是越来越复杂的
1697272828# #小学学习规划
1699067850# #Ppt
1688218755# #真心不如……
1690859075# #这是真正的勇敢
1700205685# #学习与生活习惯
1690424582# #三鲜馅
1699002734# #西红柿、猕猴桃、洋葱的根苗
1698667254# #波莱罗
1690339922# #鸟舞
1699425419# #这样啊
1693043608# #无规律之历史
1698375853# #3D动画直观演示傅里叶变换、傅里叶级数和傅里叶频谱原理。
1690859859# #最可怜的炮灰
1691322586# #天上白玉京
1692944122# #二把刀的厨子
1698022491# #场景记忆英语单词
1691360235# #提拉米苏蛋糕
1703124341# #资本的属性
1690353259# #胡萝卜舞大棒
1704157147# #机器人陪打羽毛球
1692963456# #玄学羽毛球？
1703743284# #高数的公式
1692371211# #蒲松龄的笔
1692261677# #ChatGPT看中的10个城市
1692920194# #诗和远方苟且而已
1698880173# #转发微博
1691486777# #中国神话传说中的上古十大魔器
1688438286# #滚新床闹洞房
1696224759# #转发微博
1698714496# #出其不意
1690772943# #这大妈厉害了
1700533409# #三角形的心
1703743172# #天仙乱云
1691718922# #世界公认的最健康作息时间表参考【英国威斯敏斯特大学的研究】
1697986656# #自私的杀戮
1690356773# #罗刹海市
1691634213# #坐直
1697036701# #水晶蔬菜丸子
1699484720# #如何了解孩子的学校状况
1691993565# #时间总是在年轮上慢慢煎熬
1694216643# #阴影面积
1697074625# #酒
1692969247# #疙瘩汤
1700395717# #转发微博
1695347388# #最羞涩的纯真
1692971474# #太极球
1692270802# #3.33iCh:/复制打开抖音，看看罗刹海市解读罗刹海市刀郎新歌刀郎的《罗刹海市》到底在内涵哪几位明星？女老师分析的头...
1692574895# #反应训练
1698384595# #梦魂印加
1691042198# #意见就是这个意见
1700095148# #大提琴曲《Caruso》
1696640975# #这小妹妹不得了
1697669244# #转发微博
1704158908# #精致的牛肉
1698321798# #愚蠢的人不可能真正善良，因为愚蠢的人，是非对错不分，奉恶魔如父母，视良知如仇寇。愚蠢本身,就是一种不可救药的恶。——朋霍费尔
1691034022# #封神剧作的现实意义
1692584600# #苟且的行走
1689608446# #鸟🦜
1690337376# #转发微博
1699834663# #PPT的高档
1698766407# #远离血脂降低胆固醇的食物
1690772672# #武当混元桩功
1690611352# #中国十大名山
1691993405# #1936年10月29日首都第一届国民运动大会，主会场中央体育场，其他有南京公共体育场，五桂桥操场，中央大学体育场，宗老爷巷操场
1697966126# #勤劳促进智慧开发
1698743880# #无视奢华
1694747454# #转发微博
1692768647# #图片转发
1695274537# #转发微博
1694489826# #初中数学模型
1694650574# #怎么就穿裆了呢？神！
1699073137# #云会之殇
1692003177# #研究表明呼吸方式影响记忆。如何训练大脑？提高记忆力、注意力和智力？
1703760710# #B站英语博主
1693200144# #羽毛球基本训练
1693374025# #这个球真的吹爆！抱一抱抱一抱抱一抱不仅是视野，卸球、回扣、分球，动作舒展，平衡力极佳～反复看了好多次分球线路，开始以为是直塞后来发现是击地后还带着向外侧的旋转跪了跪了跪了…加上技术过硬的美媒的加持，整个过程流畅、精准、写意、美观、一气呵成！打call打call
1691035406# #魔方复位
1692546663# #难得一见的雷击火山
1697986476# #半自动的智能化单车
1700223425# #船锚
1700551334# #比利时的积木房屋
1691253629# #白洋淀定江山
