1695904631# #美国费城商店遭打砸抢马斯克感慨：美国正沦为小丑
1697433163# #当地时间10月15日，以色列轰炸黎巴嫩真主党多个目标，随即黎巴嫩袭击以色列北部城镇。以色列警告：如开战就“摧毁黎巴嫩”！巴以冲突
1697720796# #南部也遭以色列空袭，驻加沙记者称越来越多家庭正返回北部。巴以冲突
1698113692# #外媒炒作“中国6艘舰艇同时现身中东”，称“十分罕见”，我驻美国大使馆发言人：海军编队执行护航任务；尊重事实，停止无端炒作。巴以冲突
1697071095# #中巴通话，中方：对许多无辜平民伤亡深感痛心巴以冲突
1699405723# #00后的学生小张就读航空领域专业，找兼职时，找到一个研究员助理的工作。实际上，这个岗位恰好是境外间谍布下的陷阱。有过几次合作之后，间谍建议小张报考航空领域的国有企业或者体制内公务员，小张后被某国内航空公司驻沪机构录取，并进入这家机构的行政管理部门工作。小张向间谍提供空域管制、军机航
1689395912# #外媒：俄方态度大转变，考虑给予“瓦格纳”合法地位关注俄乌局势最新进展
1698740747# #狙击手掩护步兵战车推进以军扩大在加沙地面进攻规模巴以冲突
1699187046# #11月4日，缅北战事最新进展，同盟军继续夺取据点，缅军大量物资被同盟军缴获，缅军出动空军支援地面作战，同盟军则使用无人机对缅军阵地发起攻击。
1698916601# #11月1日，以色列称军队为消灭哈马斯付出了沉重代价：两天16名士兵在战斗中丧生。巴以冲突已致加沙8805人死亡，其中儿童3648人。巴以冲突
1692837967# #一私人飞机在俄坠毁10人死亡、俄罗斯瓦格纳组织创始人普里戈任在坠机事故中遇难、10具遗体已全部找到关注俄乌局势最新进展
1691367962# #厄瓜多尔军警突袭该国最危险监狱，查获枪弹、炸药、现金和毒品等，此前该监狱骚乱致31名囚犯死亡
1692096438# #美国休斯敦市突发大火！成堆覆盖物被点燃
1694009393# #外交部：中国的地图将钓鱼岛标为中国领土理所当然，不接受日方所谓抗议。
1697292754# #巴以冲突根据非政府组织巴勒斯坦儿童保护国际组织的数据，2000年至2023年10月9日，以色列军队和定居者已经杀害了2300多名巴勒斯坦儿童。过去4天里，大约300名巴勒斯坦儿童被以色列杀害。
1695629405# #听听美国人如何评论现在的美国。竟然变态到老师给一年级的小孩儿灌输变性的思想。
1697169392# #巴以冲突是否是第三世界大战的序幕?难说。英国宣布在东地中海部署军事力量，以表示对以色列的支持。巴以冲突
1702432370# #我使馆强烈谴责卡梅伦举动“停止插手香港事务”。香港
1703402889# #当年今日12月24日不是“平安夜”，73年前的今天，长津湖战役胜利，共歼敌3.6万，其中美军2.4万，志愿军用鲜血换来祖国平安
1695623416# #这次为三哥点个赞。赞印度议员怒批加拿大：加拿大是美国的傀儡，我们是世界强国，可以对其进行外科手术式打击。
1697887069# #巴勒斯坦抗议者愤怒打断CNN记者报道，贴脸怒吼：“这里不欢迎你们！种族灭绝的支持者！”巴以冲突
1695712634# #加拿大多伦多领事馆外，百名示威者焚烧印度国旗
1690499434# #【成都大运会开幕式期待感已拉满】近日，习近平总书记在四川分别考察了翠云廊古蜀道和三星堆博物馆。如今，古蜀道已成为文化遗址，蜀道也已不再难，四川建成了立体化交通网络。试运行的三星堆博物馆新馆，新技术修复文物让人耳目一新。一条蜀道，“川”越古今，连通世界。一醒惊天下的三星堆，带给大
1696819720# #哈马斯展示对以色列袭击中使用的自杀式无人机
1692153033# #美财长耶伦谈访华吃“见手青”体验，当场笑到岔气
1698568284# #以军称已证实：哈马斯藏身于加沙地带医院地下巴以冲突
1698499430# #英国前首相约翰逊宣布：将在英国新闻频道当主持人
1698721062# #怒画面曝光以军炮击加沙北部撤离的汽车此前曾告知可以从此撤离到南部巴以冲突
1693092402# #订单取消、水产滞销！日本福岛县鲍鱼降价3成，几十吨扇贝库存积压，当地不少渔民入不敷出
1688367710# #法国骚乱，破坏路标。多么熟悉的场景(香港暴乱)
1687843484# #瓦格纳兵变事件后，普大帝看上去有点累，看着让人心疼瓦格纳从俄南部军区司令部撤离关注俄乌局势最新进展
1696890871# #中东多国陆续爆发大规模游行，声援巴勒斯坦
1688264671# #载有41名中国人的大巴在法国遇袭，杭州夫妻讲述遭遇，目前已前往瑞士并提前回国
1698061785# #据环球时报报道，近日，塞尔维亚副总理兼国防部长武切维奇在接受采访时表示，来自中国的武器装备使得塞尔维亚获得了许多国家所没有的军事能力。
1698958818# #【新疆自贸试验区大有特色】昨天，新疆自贸试验区挂牌成立，这是我国在西北沿边地区设立的首个自贸试验区，其特点离不开“大美”二字。新疆自贸试验区实施范围约180平方公里，面积“大”；承担着国家赋予的129项改革试点任务，涉及投资便利、金融服务等多方面，使命“大”。“美”则和美景美食有关，
1688964399# #反对使用集束弹药！柬埔寨首相呼吁美乌不要使用集束弹药，还提及柬埔寨的悲惨经历：距今半个多世纪了，我们仍在寻找清除这些炸弹的方法！关注俄乌局势最新进展
1687138394# #阴险歹毒的日本岸田回母校谈及中日关系称各层面密切沟通很重要，会考虑访华；期待年轻一代活跃交流拓展可能性“和平友好”45周年之际面临“美国挑战”我大使警告：追随美国则中日双输美独赢
1690537575# #泪目80后……现场画面！平壤庆祝“战胜节”，金正恩瞻仰朝鲜国旗升起脸颊挂泪痕
1697750213# #【奉劝个别国家别再给巴以冲突拱火浇油】近日，巴以紧张局势加剧，造成大量平民伤亡。显而易见，当务之急是保障平民安全，开辟救援通道，缓解人道危机。然而，美国两次否决联合国安理会涉巴以问题的决议草案，这充分说明美国不是灭火，而是拱火，不是解决问题，而是激化矛盾。缓解紧张局势、避免人道
1699483516# #主播说联播【发展好互联网让美好生活更值得向往】今日上午，国家主席习近平向2023年世界互联网大会乌镇峰会开幕式发表视频致辞，首次提出“三大倡导”：我们倡导发展优先，构建更加普惠繁荣的网络空间；我们倡导安危与共，构建更加和平安全的网络空间；我们倡导文明互鉴，构建更加平等包容的网络
1693103311# #美国波士顿突发枪击案，现场一片混乱人群四散奔逃
1694295989# #【维护国家五大安全是东北的使命也是机会】7日，总书记在哈尔滨主持召开了一场座谈会，主题是新时代推动东北全面振兴。在讲话中，总书记谈到东北在维护国家“五大安全”中的重要使命。“五大安全”，分别是国防安全、粮食安全、生态安全、能源安全、产业安全。锚定这“五大安全”，在百年变局加速演
1699647928# #【确保大家安全温暖过冬是暖工程更是硬任务】今天，习近平在北京河北考察灾后恢复重建工作，看望慰问受灾群众。进学校、进社区、走进群众家中，看供暖情况、看房屋重建、看水利设施，总书记问得很细，看得很实。了解了大家的生活以及重建情况之后，总书记多次说到一个词：踏实。这份踏实来自于灾区
1689671579# #要行动啦！关注俄乌局势最新进展“瓦格纳集团”降下俄联邦与公司旗帜，宣布关闭俄南部的雇佣军基地
1700192117# #日本鬼子不安好心。
1700145102# #据鸡西公安11月16日消息，小伙袁某被骗至缅北打工，拨打“诈骗电话”给母亲，不停报出工号“795”暗示“去救我”，最终成功获救。
1688797155# #章家敦的丑恶嘴脸
1691393761# #“袭击民众、自食恶果！”乌方“袭击俄民船”，俄称绝不会不了了之一晚上向乌发射70多枚空袭武器关注俄乌局势最新进展
1699347829# #美国犹太人团体“犹太和平之声”占领了自由女神像，呼吁在加沙"立即停火”。巴以冲突
1691646353# #这就是美国的自由和民主?
1693524371# #【国家已设立7项专项附加扣除】今天，国务院发布通知，提高个税专项附加扣除标准。这几年，国家已设立7项专项附加扣除，包括住房租金、继续教育、住房贷款利息、大病医疗、赡养老人、子女教育以及3岁以下婴幼儿照护，从多方面减轻大家的负担。此次调整，通过降低赡养、养育、教育成本，让“上有老下
1697349925# #10月14日，黎巴嫩真主党袭击以色列4个雷达站。黎巴嫩真主党二号人物称，“随时准备”加入哈马斯对以色列战争。巴以冲突
1699184232# #愤怒情绪日益高涨！以色列总理内塔尼亚胡官邸外，抗议者高喊“立即入狱”。民众在以色列总理住所外抗议巴以冲突
1700714347# #又有两地发通告：缅甸境内战事激烈，滞留人员尽快回国。
1696234481# #美国参众两院通过法案，为美国政府“续命”45天。总统拜登：任何情况下都不允许中断对乌克兰支持！
1686882147# #法国企业家：在美国，人们有随心所欲独自散步的“自由”吗？这种“自由”在中国是实打实的
1694146926# #澳前总理莫里森批评阿尔巴尼斯访华，称是对中国持“默许、让步”态度，澳反对党领袖反驳：中国是非常重要贸易伙伴
1695469757# #篡改历史冯德莱恩与岸田联手作怪将广岛原子弹归咎于俄罗斯
1689765279# #俄军大规模“报复性打击”乌克兰两港口乌军燃料储存设施爆炸起火关注俄乌局势最新进展
1691551367# #每次听到国歌都会被感动落泪，泪中国发展的每一步都太艰难了，列强们虎视眈眈，如今也到了最严峻的时刻，中国人民是打不倒、打不垮的
1687430161# #韩国萨德基建工作将全面启动，其x波段雷达探测距离达两千公里，能够深入探测中国内地
1701653372# #美舰擅闯中国南沙仁爱礁邻近海域，南部战区回应
1691555011# #俄媒怼美国"双标"：美国对中俄海军在阿拉斯加附近巡航的回应"明显虚伪"
1698297073# #拜登口误感谢巴勒斯坦人巴以冲突
1703117170# #【农业现代化关键是农业科技现代化】这两天，中央农村工作会议在北京召开。习近平总书记对“三农”工作作出重要指示指出，以加快农业农村现代化更好推进中国式现代化建设。农业现代化，关键是农业科技现代化。比如，多款丘陵山地拖拉机完成试制，解决南方6亿多亩山地“无机可用”难题；在海南南繁
1688912515# #7月8日，多名缅甸逃生者讲述回国经历。亲历者：“抽血抽晕如不配合割器官，赎金8万美金还要签字画押”
1698924289# #“感谢泽连斯基提供武器援助！”哈马斯发视频感谢泽连斯基引热议巴以冲突
1696930757# #大量建筑被摧毁！以色列战机连续24小时空袭加沙地带
1691841798# #8月11日据国是直通车：国内多地出现非法生产、销售专用间谍器材案件，多人因生产间谍器材被立案
1687782711# #据新华社援引据俄罗斯媒体25日报道，私营军事实体瓦格纳组织部队从俄南部利佩茨克州和沃罗涅日州撤离。截至目前，尚无瓦格纳组织部队最终去向的相关报道。瓦格纳从俄南部军区司令部撤离
1697260106# #土耳其援助物资将运往加沙地带，埃尔多安再批美国！巴以冲突
1700785006# #普京给俄政府人员开会：必须帮助加沙地带民众，这是我们神圣的职责。巴以冲突
1702991265# #南海局势紧张，我渔民验收仁爱礁。
1687820186# #俄纪念日改名敲打日本双边关系恶化难转圜
1687906820# #【为了卖课渲染暑假很可怕太损了】暑假马上到了，一些所谓“资深老师”在短视频里炮制焦虑，“一本正经”地提醒家长：“一年级的暑假很可怕，不努力差距就拉大”。然后，这些人就开始卖书、卖课了。近日，教育部办公厅发布通知，严防严查违法违规开展线上培训和广告宣传等问题。说到底，违规卖课，得
1689427748# #布林肯包藏祸心拉东盟抗中印尼外长识破奸计当面拒绝
1692017432# #海堤上仍漂浮着尸体。毛伊岛居民:野火蔓延速度极快，加油站和游艇爆炸，人员伤亡严重。万人小镇几乎“从地图上消失”正在直播:直击夏威夷现状
1696892476# #德国保证坚定不移的站在以色列一边
1698450899# #五角大楼前高级顾问：“俄乌战争已经结束”俄乌冲突
1695563809# #“和解潮”继续！伊朗与马尔代夫宣布恢复两国外交关系
1690408953# #【4架歼20与运油20同框向英烈致敬】7月27日，抗美援朝战争胜利70周年。在今天开幕的空军航空开放活动上，空军部分参加过抗美援朝空战的英模部队代表，受邀到现场回顾战斗历史、讲述空战故事。这既是对伟大胜利的纪念，也是对所有志愿军将士的致敬。山河无恙，英雄不朽；幸福生活，来之不易。咱们一
1695506279# #【数字人一起点燃主火炬新潮满满心】今晚，杭州亚运会开幕式，超1亿名“数字火炬手”点燃主火炬，新潮满满，让人心潮澎湃。过去几十年，亚洲地区总体保持稳定，经济持续快速增长，成就了“风景这边独好”的亚洲奇迹。亚运会正是这一奇迹的见证者、参与者、推动者。本届亚运会报名规模、项目数量均
1697118355# #白宫发言人：美国对乌克兰的援助“已接近尾声”，不会无限期援助下去关注俄乌局势最新进展
1694237166# #缅甸佤邦大批诈骗分子移交国内
1699141002# #哈马斯：准备就换俘问题完全妥协。巴以冲突
1697714546# #巴以冲突战火升级巴以冲突
1700714092# #11月23日同盟军确定总攻果敢老街电诈家族控制区在三日内开始李家文正告老街居民撤往125难民营
1694126071# #【共同期待！薪火相传为亚运加油心】明天，杭州亚运火炬传递启动仪式将举行。火炬的设计既展现了“浙”里的风情，又彰显了华夏的风韵，而它的名字“薪火”，也让人想到一个充满力量和责任的成语：薪火相传。传什么？传承文明之光，传扬体育精神。火炬手中，有游泳世界冠军汪顺、乒乓球世界冠军樊
1697785007# #“模仿中国版峰会？”外媒：欧盟下周举办“全球门户”论坛，与中国的“一带一路”倡议竞争
1688102193# #瑞典驻伊拉克大使馆遭袭击示威者爬上楼顶踢掉国徽摘下国旗伊外交部当天召见瑞典驻伊大使强烈谴责侮辱宗教典籍
1692020498# #美国孟菲斯市中心发生枪击事件枪声连响几十下民众飞奔逃命
1693346890# #【以万分慎重守好泰山之重】今天，河南安阳特别重大火灾事故、内蒙古阿拉善特别重大坍塌事故的调查报告公布。两起事故代价惨痛，教训深刻，再次为全社会重重敲响安全生产的警钟。安全生产是“1”，其他是后面的“0”。人命关天，发展决不能以牺牲人的生命为代价，这必须作为一条不可逾越的红线。安全
1690000602# #韩总统尹锡悦岳母当庭被捕，获刑1年；韩媒：系韩国宪政史上首次
1697172980# #巴以战火迅速外溢伊朗外长:不排除对以色列开辟新战线可能巴以冲突
1690380560# #基干民兵和专职人民武装干部8月1日起列装配发21式作训服
1696815044# #大霸权支持小霸权欺负弱小，符合大霸权的利益。
1694559753# #【如何让校外培训成为学校教育的有益补充】近日，教育部印发《校外培训行政处罚暂行办法》。未经审批有偿开展学科类隐形变异培训，培训内容影响未成年人身心健康，以及拒不执行预收费监管有关规定等，都会受到处罚。之所以出台这个暂行办法，就是要使校外培训在法治轨道上运行。说到底，对校外培训，
1699067660# #美国已经名声扫地没人信垃圾的话。如何看待法国驻加沙机构遭以色列空袭，布林肯避而不谈：我很佩服那些记者巴以冲突
1690530537# #7月28日，最高检发布9起依法惩治危害国防利益、侵犯军人军属合法权益犯罪典型案例
1698740910# #泽连斯基的海景房，被俄罗斯拍卖了4430万俄乌冲突
1700785217# #白俄外长：国际军控机制遭到蓄意破坏
1687961013# #被杀236人，损失1119亿美元！叙利亚记者质问：美国还要掠夺叙利亚石油多久？
1693001211# #【房地产政策，优化调整进行时】今天，有三条与住房有关的消息。①住建部等三部门发通知，明确什么是“认房不用认贷”。居民家庭要贷款购买商品住房，家庭成员在当地名下无成套住房的，不论是否已贷款买过住房，银行均按首套住房执行信贷政策。②关于居民换房个税优惠政策：把自有住房卖掉后1年内在同
1691884399# #没错！事出反常必有妖，以前我们看到群体打着旗帜的只有红旗，然而，近几年在视频里突然看见这种各色各样颜色的旗帜，并呼喊着口号的场面，很反常。这画面只有在美国视频里见过，如今却在我们眼皮底下出现?这些旗帜令人讨厌甚至作呕他们对中国年轻人成功输进渗透了魔鬼文化，这种令国民抵制的文化为
1698848214# #坚持住加沙，中国红十字会医疗队奔驰加沙支援。网友∶一定要平安归来。巴以冲突
1693836148# #日本《东京新闻》呼吁日媒：勿煽动民族主义。
1703156606# #澳大利亚国防部：不会派遣军舰或飞机前往红海巴以冲突
1698841728# #强也门胡塞武装宣布再次向以色列发动袭击以军导弹艇驶入红海巴以冲突
1701818193# #主播说联播【课间花样整活让孩子有活力】提供魔方、鲁班锁等益智类玩具，铺装“跳房子”九宫格，把传统民族舞蹈融入课间健身操……近日，总台记者调查发现，多地中小学花样“整活”，课间变得丰富多彩，孩子玩得不亦乐乎。这背后是相关部门密集部署、全面排查，认真督促整改，也与学校刷新教育理念
1689976229# #【军强则国安】近日，全军党的建设会议在京召开，习近平主席作出重要指示。习主席在指示中提到古田全军政治工作会议，这次会议要求加强和改进新形势下我军政治工作，其中也提到要把战斗力标准在全军牢固立起来。今天，空军新任发言人透露，歼-20、歼-16、运油-20将同框亮相2023空军航空开放活动·长春
1693867679# #西方人很少知道二战时期日本侵略中国的事实，而把日本描写成受害者，颠倒黑白的无耻教育
1698743650# #倒打一耙如今你是最恐怖主义者。巴以冲突
1694502654# #摧毁俄罗斯是美国的重要议程
1699153169# #赞装药数百公斤破坏力惊人！本轮冲突黎巴嫩首次使用“布尔坎”重型火箭打击以军据点巴以冲突
1689750283# #中俄日本海军演或遭美日韩“恶意干扰”。近日，中俄按年度计划，在日本海中部举行海空联合演习；美日韩宙斯盾舰队先期抵达，以朝鲜导弹为借口搞演习。专家称，双方演习地点相近，中俄军演或遭美日韩恶意干扰。
1690268914# #乌克兰官员：多国对乌农产品禁令使乌农业企业损失严重！欧盟不得采取任何行动，扩大对乌产品的进口禁令！关注俄乌局势最新进展
1702715733# #匈牙利“一票否决”欧盟500亿援乌财政案。欧尔班：有很多机会打断乌“入盟”进程。马克龙：决不允许欧尔班裹挟欧盟！巴以冲突
1697863844# #德国报警电话：110中国驻德国大使馆领事保护电话：+49-030-27588551（仅限紧急情况）外交部全球领事保护与服务应急呼叫中心电话：+86-10-12308或+86-10-65612308巴以冲突
1701472498# #丧心病狂巴以冲突
1690414582# #70年前的今天中国人民志愿军与朝鲜人民军并肩作战，打败了以美国为首的“联合国军”，赢得了战争的胜利
1690936181# #国家安全部官微亮相：反间防谍需要全社会动员
1687592397# #普里戈津发表讲话关注俄乌局势最新进展
1687154404# #贵州村超联赛燃爆全场，歌唱《我和我的祖国》。
1699835715# #【中国经济的融融暖意会让发展更有劲】本周，总台继续推出经济热点部长谈专栏，解读当前经济热点问题。其中，商务部部长王文涛介绍，不少外企高管来华，讲得最多的就是重视中国市场，看好中国发展前景。前几天闭幕的第六届进博会，意向成交额达784.1亿美元创新高，购买力强劲；“双11”当天全国快
1703837917# #扎哈罗娃：被西方“洗脑”的日本青少年甚至不知美国向其投了核弹
1689116143# #微信三次拒绝参加澳洲参议院反外国干涉听证会遭警告
1689134535# #美国狗们，想摆弄中国不需要任何借口，你们来吧
1699347431# #什么哈马斯?什么恐怖分子?只是一群在炮弹废墟露天集中营中长大的一群孩子👶🏻。太可怜啦。泪巴以冲突
1700795050# #以色列太缺德把加沙人通通赶到外边自己占领土地。巴以冲突
1687950417# #美国走到哪里，哪里就不太平。
1700036082# #以军摧毁阿拉法特纪念碑巴以冲突
1690367414# #又渲染“中国威胁”，美海军宣布将委托两家军火巨头研发高超音速反舰导弹
1687486610# #这种“中国大妈”……😒
1698840412# #朝鲜关闭12个驻外使领馆包括朝驻香港总领馆，中方回应
1690532506# #朝鲜举行盛大阅兵式，新型无人机和洲际弹道导弹亮相，“可将核弹发射到美国任何地方”
1700007406# #“旧金山从未如此干净”美国媒体人电视节目破防。
1689395265# #乌外长：乌“在心理上”已经是北约成员了关注俄乌局势最新进展
1699014465# #火烧连营！来自黎巴嫩的哈马斯攻击以色列谢莫纳镇定居点巴以冲突
1693782135# #主播说联播【中国心中国芯背后的中国新气象】本周，总书记回信勉励研发人员加快航空发动机自主研制步伐，让中国飞机用上更强劲的“中国心”。于无声处听惊雷，华为推出的新款手机被网友称为“争气机”，手机搭载的芯片，给人以无限想象空间。历经美国四年多的打压，华为破卡突围，1万多个零部件实
1702543974# #继续曝光大其力最狂诈骗园区
1687235453# #没有人会相信美国鬼话
1695351193# #韩国突发！李在明所在党国会院内领导层集体辞职
1700786307# #白宫前顾问发表仇恨言论被捕，得意称道：我们杀了4000巴勒斯坦儿童。巴以冲突
1701653126# #突发！一艘美国军舰和多艘商船在红海遭袭鼓掌
1689331413# #三哥这回又够吹一阵啦嘻嘻
1699957215# #当地时间11月13日，联合国举行仪式悼念在加沙遇难工作人员。巴以冲突
1690107611# #俄罗斯博主揭露乌克兰人体器官买卖产业链：明码标价多国购买关注俄乌局势最新进展
1699745813# #中国代表主持，安理会为巴以冲突丧生平民等默哀巴以冲突
1694340400# #相信中国警察绝不会随意向老百姓开枪。
1698104880# #抗议者包围欧盟委员会大楼，高呼口号“解放巴勒斯坦”巴以冲突
1698815380# #白宫称拜登将否决众议院共和党提出的以色列援助议案。
1688293722# #泽连斯基：反攻每一米都会死人，但为了北约伙伴的信心必须有战果；他呼吁西方国家继续向乌运送武器。关注俄乌局势最新进展
1698814971# #正式宣战，也门胡塞武装宣布将针对以色列进行打击巴以冲突
1698217497# #澳媒：“出于对局势的担忧”，澳防长宣布将向中东地区增派军队和飞机巴以冲突
1688279003# #法司法部长警告，未成年骚乱者父母可能面临两年监禁和罚款
1695342427# #参议员过会质询曝惊人军援，到底是谁在战争中获利？
1687596787# #普京：参与叛乱的每个人都将受到惩罚，所有对抗军队的人都是叛徒关注俄乌局势最新进展
1700640833# #针对以色列伊朗总统向50国致信巴以冲突
1694576709# #日本拟投3亿预算宣传领土主张
1690192859# #首次！台军一营级部队抵达美国台湾省
1690294182# #美媒：西方知道乌军武器不足，但希望乌用“足智多谋”来反攻关注俄乌局势最新进展
1699335689# #本月是中国驻联合国轮值主席。张军大使霸气发声：巴以冲突
1690545578# #保命带？夺命带？警察“蜀黍”手把手教你如何佩戴安全带
1695367769# #所以就不能让乌克兰胜关注俄乌局势最新进展北约秘书长延斯·斯托尔滕贝格表示，如果乌克兰在冲突中取得成功，美国将能够集中精力对付中国。
1699275883# #昨天拍摄的录像显示，一队全副武装的以色列警察在被占领的耶路撒冷BabAlAmud广场残暴地殴打一名12岁的女孩。巴以冲突
1695564713# #叙利亚大马士革直飞杭州，有朋自远方来，叙利亚总统访华班机模拟
1702337784# #主播说联播【历史新高是这样拼出来的加油】今年，全国粮食总产量超13908亿斤，再创历史新高。今年我国粮食生产遭遇了“烂场雨”、洪涝、干旱等灾害影响，这场丰收真的来之不易。全力抗灾减灾，一系列政策措施密集出台，拼出了全年粮食面积稳中有增，拼出了大面积单产提升，这些都是丰收的有力保
1691835291# #笑cry
1690600286# #自作自受活该日本农林水产大臣：日本除水产品外大米蔬菜等食品也在中国海关停滞，这不可接受。
1688802200# #尼日利亚建军节阅兵式上大量中国制造的主战装备亮相
1699877494# #日本🇯🇵鬼子日本妄想搞对中国“包围圈”近日，岸田文雄出访东南亚多国都提到防务合作，企图拉菲律宾、马来西亚搞所谓“对华包围圈”。专家分析，日本紧跟美国拉拢东南亚，妄图深入介入南海。
1697539622# #巴以冲突以来，以色列对加沙全面封锁导致物资无法送达，国际救援物资空投加沙，尽管以色列对比表示警告，但许多国家开始积极提供国际援助！赞
1694901871# #主播说联播【期待亚运期待浙里的精彩】今天，杭州亚运村举行开村仪式。从仪式上的“鼓·舞·狮·气”（鼓舞士气）表演，到文化小屋里展陈的杭州剪纸等手工艺品，“中国风”元素处处可见，展示着中华传统文化的独特魅力。也是在今天，总台多语种人文纪录片《最忆是杭州》开机，亚运官方纪录片《嗨，亚
1699958693# #菲律宾总统马科斯搜被指背信弃义！菲律宾要顽抗到底，出动大型海警舰抵达仁爱礁，目的是要通过大吨位的舰艇建立对抗态势，包括在撞击、水炮喷射等对抗措施上，排水量更大的舰艇有更大的优势。2000吨的海警舰与我们的海警舰不相上下，有着较强的对海执法能力，毕竟该舰上也装备了高压水炮，大吨位也适
1699853862# #叙利亚总统呼吁阿拉伯国家断绝与以政治关系，向以色列真正施压。巴以冲突
1698569394# #以色列挑错了对手！在安理会反击以色列后，中方宣布追加对巴援助巴以冲突
1697024936# #中东第二条战线打响？黎巴嫩开火！以色列遭南北夹击，多枚火箭弹从叙利亚境内发射巴以冲突
1702282806# #大卫：“对于那些坚称本国制度优于中国的西方人，我问你们一个很简单的问题”
1695959453# #噢天吃惊
1698327290# #以军夜间对加沙地带发起一次大规模地面进攻。巴以冲突
1689047575# #泽连斯基：乌克兰是北约事实上的成员国我们需要“名分”关注俄乌局势最新进展
1698961192# #俄媒：俄研制出苏-57战机内置远程巡航导弹，导弹尺寸大幅缩小，射程与俄战略轰炸机使用的导弹相当。俄乌冲突
1703486661# #“奉行一个中国原则！”古巴不接受“台湾护照”，遣返台旅客一家五口台湾省
1691549584# #成都大运会川剧还是蛮有意思滴
1702438272# #曝光瓦邦货岛暗藏诈骗窝点
1699081996# #丧心病狂以色列士兵使用催泪弹和眩晕弹，对付约旦河西岸的巴勒斯坦学童巴以冲突
1699758572# #首次在中国举行！中国军队将与柬埔寨、老挝、马来西亚、泰国、越南军队联合演习。
1695043697# #北约秘书长证实：北约违规扩张导致俄罗斯反击。关注俄乌局势最新进展
1690207848# #美称在华情报网络重建已取得进展外交部回应
1697888906# #10月21日（报道）在约旦河西岸巴勒斯坦民众与以色列军警发生冲突，以方使用实弹驱散人群，巴勒斯坦民众使用石块反击，并成功击退巴以冲突
1691571213# #移英港人哭诉：越来越讨厌英国的所有事，想回香港又害怕被抓！
1690175522# #警惕！美军推演“东亚地区爆发大规模冲突”军用物资储备，旨在测试供应能力；专家：演习以登陆作战和抗登陆作战为主指向性比较强，其剑指台海的鬼胎不言而喻。台湾省
1689123896# #2023年7月11号下午三点，逸尚联合社区团队长，准备越境跑路，被云南当地警方现场抓获
1691393577# #日本民众举行反战游行，称不允许美日对中国侵略
1697271644# #他们为什么针对平民？巴以冲突
1688091428# #赞喜报！中国芯片设备再突破，国产离子注入机实现28纳米工艺制程全覆盖
1687829697# #女生淡定查分后，欲报考国防科技大学，聊起假期安排，想先预习大学课程“我怕我跟不上”。
1696819393# #巴以冲突再次升级，双方为什么而战？哈马斯又是什么组织？
1702944277# #国常会重磅部署！加快建设全国统一大市场
1693273283# #美国的“民主自由人权”?日前，美国内华达州，警车直接撞开气候抗议者在道路上设置的路障。一名警察拔出枪威胁，并跪压在一名女性身上。
1699708413# #以军欲搜捕约旦河西岸一难民营，巴勒斯坦人排起人墙阻止以军进入难民营搜捕巴以冲突
1697272170# #10月13日约旦民众集会声援巴勒斯坦，高举旗帜高呼“开放边境”，示威队伍庞大一眼望不到头巴以冲突
