1638690677# #永远不能原谅日本鬼子！
1559313850# #联想被美国主子甩了一巴掌才想起中国了？你还药店碧莲不？鄙视鄙视鄙视
1629081825# #阿富汗总统已逃离喀布尔城头变幻大王旗，乱了那么久了，希望这个火药桶中的国家能安定下来吧！摊手
1665097088# #宣传水平是不怎么样，但我喜欢看啊哈哈
1533790185# #子弹少，射程短？允悲
1627702827# #辟谣了，我说这个时候怎么可能有那么脑残的人允悲
1642779373# #给我打，打死了我负责！怒骂
1664608013# #中国女篮vs美国女篮女篮的拼劲很足，虽然落后，但还在拼搏！女篮加油！心
1566184481# #摘下口罩走正道才有未来！
1632185074# #现实版大菠萝扫载具笑cry
1630030356# #到村里验收地灾治理项目，中午的菜有着落了笑而不语
1566609797# #说明脑子不好使的人还不少呢黑线
1559395333# #睡眠严重不足的乡干部冒着崩塌、滑坡、道路塌陷的危险，绕道近百公里山路押运一车救灾物资到被水围困的村子里，结果群众说：怎么那么少挖鼻麻痹的，嫌少你们不会自己出去拉回来？傻逼！怒
1632189808# #一起过中秋节中秋节除了吃月饼，还可以吃鸡！耶耶耶绝地求生
1647437475# #齐心协力共渡难关加油
1664205163# #手枪步枪狙击枪，吃鸡标配嘻嘻
1540827959# #你是乌鸦还是猪🐷？挖鼻挖鼻
1636945481# #这个好good
1666453750# #good
1650037247# #不是吧？不喝白酒？允悲
1559190795# #港真，脆皮狗肉实在太好恰了舔屏舔屏舔屏
1535172801# #原博下的评论，绝大多数网友的三观颇正！
1553956540# #你是不是也和那个奸淫幼女的辣鸡一样被处理过？你以为移民的时候西方国家就不看你的犯罪记录吗？挖鼻挖鼻
1642630092# #说得太对了
1565683269# #看到一个所谓历史博主发的帖子，我就想问一句：原博里图一是博主的长辈吧！挖鼻挖鼻挖鼻
1663165162# #的新作《赌徒与强盗》。内涵很丰富，只看懂米粒奸手里没筹码了，想利用乌克兰战争来打破规则，攫取世界的资源和财富。
1641141258# #杀犹太人的时候没见这么有爱心哦允悲
1570029530# #民警的防护装备应该全面提升了，唉泪泪泪
1644147616# #棒子真是够蠢的允悲
1565195841# #人肉不好二哈
1647617581# #话筒
1650124763# #只有二鬼子在诋毁我们的中药挖鼻
1664625290# #不知道通向哪个位面的彩虹桥钢铁侠
1658922491# #不久前认识了一个友女，我们聊得挺不错的，直到今天她问我在做什么，我说我在洗车，然后拍了一张照片给她……然后就被拉黑了…黑了…了…允悲
1637142073# #发现一个九漏鱼挖鼻
1630682375# #+1
1535085939# #总有一群纱布以为土地私有化以后自己能分一杯羹允悲没见过那么天真的纱布嘻嘻嘻嘻
1655001656# #违法就是违法，暴行就是暴行，跟性别无关摊手
1638873555# #你看看你看看，国家“民主”了，连苍蝇都会采蜜了doge
1662435693# #不能说一模一样，只能说毫无区别doge
1636862391# #围观最右煞笔玩意
1631270443# #核武器有砖家建议中国放弃核武器笑cry笑cry笑cry
1658550280# #露阴癖？物理阉割来一个鄙视
1639827169# #这病啊，很多是捂大的笑cry
1660841754# #24年前的毕业实习就在涪陵，希望消防员都安好心
1570372471# #嗯嗯，算暴恐摊手
1664703612# #这一炮还真特么贵啊！doge
1569686758# #我嘞个去，这下子蟑螂们要去围攻阿罕布拉西澳的警察局咯！哈哈但是根据灯塔国警察动辄开枪的习惯，蟑螂们敢去吗？二哈二哈
1628087493# #我的爱，晚安！
1649906778# #你不用把你的身世告诉我，我不感兴趣摊手
1647132170# #这个数字有点吓人，吉林加油！
1647263287# #还有一个小西八死了没有哦嘻嘻
1568206769# #这个可行赞
1610152642# #听着你的歌，走着我的路
1662562938# #不能同意更多笑而不语
1632353966# #绝地求生最近喜欢用Vector，优点是射速快，缺点是射速太快笑cry笑cry笑cry
1635153426# #罗永浩在杭州获世界会长大会宣传大使我怎么忽然想起大连的日本风情一条街来了？
1627906621# #努力了，就是英雄！
1537118975# #大陆政府你给我听着：你再敢抓我的间谍，以后我就不允许大陆游客来台湾旅游了，也不允许大陆买台湾的水果了！二哈二哈二哈
1637191862# #好像有人说这张照片是盗用的摊手
1663696512# #内个哲人是不是姓张？笑而不语
1551531197# #不打码？😱这是侵犯人权！这是没有自由没有尊严的地方！这是独裁国家！怒怒怒什么？原来是美国啊，这是法治的体现，这是为了人民的安全，这是为了防止更多的妇女被迫害…污污污
1647837814# #香港疫情防控槽点太多，吐不胜吐允悲
1541513310# #没去过，没兴趣去摊手
1653123315# #没有去过新疆，不知道有生之年能不能去一次心
1630720998# #1.7亿建的关公像再花1.55亿搬走从立项到建设到拆除，花了三个多亿汗典型的劳民伤财，不知道财政的钱浪费了多少挖鼻建之前没有拜关二哥吗？挤眼
1639796298# #皇军官方认证笑cry
1662212764# #总算看到一个步兵视频了，不过如此doge扰乱公共秩序也将就，重要的是没带口罩😷
1651333751# #这么低的利息谁在乎啊，要是我的话就说给两万八的利息哈哈
1651491247# #我去的时候没遇到那么漂亮的日落鲜花
1662352396# #什么是低级红高级黑？这里写得清清楚楚！
1655198334# #笑cry→→
1665562497# #我们崇左的白头叶猴感谢大妈！good
1668988862# #卡塔尔世界杯诸神黄昏
1630370150# #阳光还没照到石泉doge
1650299595# #换一种方式生活正如换一个姿势做爱一样，都是为了舒服………。晚安！
1534687347# #话筒话筒
1569885884# #早上到市政广场来看升旗仪式，路边的小姑凉手持小国旗的样子很可爱赞赞赞
1551408021# #加上加上嘻嘻
1692848554# #福到了
1546738619# #拆网红宿舍的电灯电线肯定会有很多人骂挖鼻不过话说回来，一旦发生火灾，后果可就严重了摊手消防部门的行动体现了一句话：宁愿听群众骂声，也不愿听群众哭声鼓掌鼓掌鼓掌
1563723958# #我不说话，大伙看着办哈哈哈哈哈哈
1655475574# #历史的点滴，怀旧的情愫
1630122856# #打得一手好官腔doge
1640573800# #都难
1563093263# #我艹，宣传部副部长哎，党的领导干部就这样侮辱党的领袖？鄙视两面人妥妥的，希望纪委深挖严查！怒怒
1536407751# #多年如一日地纪念一个汉奸的情妇，这个国家的官媒到底怎么了？挖鼻挖鼻挖鼻
1540013132# #晒干打包寄过来为笑而不语笑而不语
1630717156# #坚决防止未成年人沉迷网络游戏我已经很久没有做大哥……错，很久没有吃鸡了笑cry
1682940346# #五一这样过值班从早八点到晚八点，在办公室坐了12个小时666
1561196185# #删前留名！耶耶耶
1637029537# #现在在下雨☔️好不好
1564790285# #这个通报绝对会掀起新一轮的舆情！
1552491275# #上面有人？还是人在上面？费解
1639817391# #中国用两年才完成的目标，美国一天就搞定了，孰优孰劣一看便知笑cry
1640918403# #张志军再审被判死刑情况通报。2021年12月31日,四川省高级人民法院对原审被告人张志军故意杀人再审一案进行公开宣判,以故意杀人罪判处张志军死刑,剥夺政治权利终身。。经审理查明,2013年6月,张志军之女张某与被害人邹某结婚。2017年7月,张某怀孕期间,双方家庭及父母间因生活琐事产生不快,随后矛盾不断
1637043738# #说来说去，还是你装汉奸装得太像了笑cry
1663559597# #我支持该组织在国外的一切行动，包括不仅限于阻止破坏天然气管道、石油开采设备、发电厂等等，只要别来打扰我们国家就行哈哈
1679887281# #以这货的一贯言论，真真是蠢到惊天地，泣鬼神了笑cry
1653196531# #复旦大学的党委是睁眼瞎？思考
1627726538# #教协里的黄尸最多，上到大学叫兽下到幼儿园教师，比例不低挖鼻
1658420496# #老六你就造谣吧，不可能的事摊手泽连斯基的老婆超过十二岁了，拜登肯定不感兴趣啦！哈哈
1654854088# #不要怪周边省市对外省的防范心理，都是外省自己作出来的挖鼻
1631114822# #有些人的恐毛症发作挖鼻
1537319806# #长得真丑，跟它内心一样丑鄙视鄙视鄙视
1633683053# #罗昌平被刑拘罗昌平涉嫌侮辱英烈被刑拘
1671808981# #又？
1561257159# #香港警察唯一不专业的地方就没有下死手干掉这帮港独，右边是不是其中一份子？
1697108993# #虽然刚吃完饭，不过还是看饿了允悲
1680274003# #1024？
1636649034# #今晚的晚霞挺漂亮的，见到晚了点，拍得也晚了点摊手
1639179353# #刚从小卖部出来，点上刚买的利群，居然刷到了这首歌，听着这首歌，30秒后我按下了暂停键，踩灭了刚点的烟，返回小卖部买了包玉溪，不是我膨胀了，是利群根本配不上这歌！！！漠河舞厅
1632714121# #苏FF26D2被截住了，大伙看看这孙贼是啥货色怒骂731部队做过的恶有哪些
1672224256# #我现实的一个朋友，中招以后咳了8天，我建议她去做CT，果然是
1637282187# #忍不住想象了一下那画面污污污
1627776794# #人民军队生日快乐致敬所有中国军人鲜花鲜花鲜花。愿山河无恙，人间皆安蛋糕
1552436077# #这个卵仔颇有两面人的风范挖鼻挖鼻挖鼻
1639316844# #依法维权
1643127151# #→→
1637885860# #唉，怎么一转眼就周末了呢？doge上班
1563297938# #打死黄尸怒怒怒
1642682951# #22岁的女童汗
1542876452# #污污
1561026223# #嗯嗯，非常好，说明以后我们的警察也可以进美国驻华大使馆里抓人了？鼓掌鼓掌鼓掌
1639091593# #一点香肠，至于嘛汗汗汗
1658976459# #光头的未必是和尚，也可能是秃驴doge
1672240905# #国产新冠口服药先诺欣最快2月上市家里的孩子阳康了，周围的同事也阳了一半，开会的时候周围此起彼伏的咳嗽声让我回想起以前电脑QQ好友不停上线时候的声响允悲有时候想想自己为啥那么久还是游离在羊圈之外？后来看着桌面上的烟酒，才想起来一个人的气管肺泡经过二十多年尼古丁和焦油的熏陶，可能新
1682498848# #摊手
1639273397# #狗奴才会这样鄙视
1647857959# #一群垃圾蛙怒
1630973884# #以句子长短论英雄？中国数千年的历史沉淀，汉语言之博大精深，在这群河伤跪族数典忘祖的老油渣眼里就变成了处处不如西方的缺点。挖鼻挖鼻挖鼻
1653018718# #少写了一个心理男性doge
1666780382# #男人日常doge
1627737760# #我来啦，要酒不要猎枪嘻嘻
1695746388# #人生不过二两酒，一两心酸一两愁，一烟一酒一人生，半醉半醒半浮生。
1647251391# #我假装不知道你说的是网红张doge
1633690257# #罗昌平被刑拘警方通报罗昌平发布侮辱志愿军英烈言论罗昌平洗干净屁股进去吃牢饭了，你掐掐手指头算一下，什么时候轮到你坏笑要不自首吧！哈哈
1630071684# #一群笋人笑cry
1535007509# #拉低中奖率
1627746094# #我的美食日记周末回老家，朋友约出来聚一聚舔屏舔屏
1642778926# #这……是素食主义家庭？笑cry
1654269411# #我们走向路的尽头，终点是一片汪洋，沉入海底的路上，只能仰起头望着越来越远的亮光，却止不住黑暗弥漫……
1627689318# #是的
1628951319# #以无知之名行无耻之实
1554904765# #生动的两面人形象挖鼻挖鼻
1637067380# #西方人一直以中国人没有信仰来攻击我们，它们以为只有信仰总教这种低级趣味才是真正的信仰，很多公知慕洋犬也跟着吠挖鼻
1636986183# #恒
1636874490# #赛雷这次是扒光中南屋的遮羞布了笑cry
1562903941# #这群粉头啥时候有过人格了？各种炒作各种利用粉丝赚钱，无耻已经没有底限挖鼻
1651881815# #这笔血债迟早有一天要还回来怒
1570404262# #心情好点了哈哈哈哈哈哈为警察同志的高效率点赞！赞赞赞
1666498147# #客观来说，腰挺细腿很白，模样也不错笑而不语可惜身份不对摊手
1649804666# #建议团团编辑一下微博，加上“俄罗斯+乌克兰”，看看热评里支持女拳的都是哪里来的doge
1669796986# #老章，假定性别是不对的doge
1642567639# #试试看坏笑
1669507633# #内外呼应，很有点内味了doge
1691080099# #尼玛戈壁你知道吗？你差点害得我失去一个好朋友，差一点而已，她有什么事情的话，我不会放过你！我说的怒
1647128944# #我艹😱
1533785299# #八分钱邮票调动了一个省的资源允悲允悲
1665674640# #夜深人未静，。俯首泪满襟。。青烟掩思绪，。浊酒盖愁肠。
1647663155# #耗材而已偷笑
1657120110# #晚霞可以有多美晓看天色暮看云！
1640698273# #送张图给最右这种殖人哈哈
1546876291# #嗯嗯，做公益是吧！周润发做公益吧？上街没有保镖自己买菜！捐了几十个亿！古天乐做公益吧？建了一百多个小学！挖鼻你的爱豆比他们厉害？捐得比他们多？怎么牛逼劲头就那么大？摊手摊手
1630553443# #共和国最高礼遇接志愿军烈士回家山河已无恙，英雄请回家！心心心
1564927324# #孩子眼睛受伤，我很同情，也支持这个老师维权。维权最好的途径就是走法律程序，调解不成就起诉，起诉学校起诉对方家长都可以。
1661873149# #自信心满满的，还是骗纸太少了，必须赞一个哈哈
1533783450# #南京的数十万冤魂被江苏新闻踩到脚底下了怒怒怒
1560007109# #老子把你个龟儿子说过的话放出来也侵犯你这龟儿子的名誉权了？那你个龟儿子当初在微博上说这些话的时候就没侵犯了自己的名誉权了咩？挖鼻挖鼻挖鼻
1543111428# #牛掰，能把健身房整得跑路了哈哈哈哈哈哈
1628958637# #话筒
1563972923# #右边几位以为第一书记是多大的官啊？挖鼻
1670923512# #希望死的都是那些“用身体把门撞开的人”，善它老木个哉揣手
1662263928# #有没有一种可能，其实把刑法取消掉就没有犯罪了dogedogedoge
1669733623# #看了视频学英文，考试直接提高五十分doge
1628177295# #政治病毒早已感染了米粒奸全身，救不了了！！
1651532693# #解决这次生化危机的最合适人选666
1627734752# #遇见你我很喜欢
1628002530# #毛主席是我们永远的领袖，永远是我们的偶像！鲜花鲜花鲜花
1668529257# #这个三哥以为现在还是1840年啊？挖鼻挖鼻挖鼻
1639106469# #不会跳舞的我又来瞎晃悠了哥没什么才艺，就随便跳个舞给大伙看看dogedoge
1559831779# #赶紧的，八角花椒辣椒走起舔屏
1665647446# #花开红树乱莺啼，。草长平湖白鹭飞。
1639742107# #你们的张警官要出名啦！笑cry
1642511026# #西方的反华份子其实应该听教员的教导：没有调查就没有发言权！哈哈哈哈哈
1563442261# #北爱的做法参考一下，鸡尾酒伺候这帮港独怒怒
1666179011# #右边连于大总统也敢怼？doge
1631286775# #安徽蚌埠某个医院的拳师挖鼻
1702418480# #血泪史蜡烛
1666136334# #言外之意……doge
1533655760# #说啥大实话二哈
1669512238# #有个问题，为啥不是你们走在孩子前面？挖鼻记得电影里白匪的头目都是喊：兄弟们给我上！挖鼻挖鼻挖鼻
1544602676# #要是那些大法党的亲人都被不满十四岁的未成年人搞死几个，不知道它们会怎么说呢？挖鼻挖鼻挖鼻
1628081416# #最多不办冬奥会了，有比我们的开国领袖更重要的吗？！怒怒怒
1645930042# #哈哈
1635048221# #请这位老牌公知出来走两步......
1630729154# #思考思考思考
1662020475# #压力大可以喝酒吃头孢可以跳海可以卧轨可以自挂东南枝……为啥要去偷拍？挖鼻
1545148286# #法国巴黎的黄马甲，中国崇左的黄马甲，你们知道有什么不一样吗？。我们中国的黄马甲穿到身上是一种责任，帮扶贫困群众发展生产，提高收入，发展集体经济，帮助贫困群众获得国家各种补助，早日脱贫，过上更好的生活！！。这就是中国--中国共产党的驻村第一书记！！耶耶
1664087764# #白玉为羽明衣裳
1566293249# #心惊澎湃向来都是如此，支持郑教授盘它！怒
1628917124# #钓了几十年鱼，我咋就没想到涅笑cry笑cry笑cry
1643591223# #总有人喜欢在号子里欢度春节笑cry
1629287334# #现在的毒贩子已经把手伸向十来岁的孩子了，想想就怕。
1630060285# #好文！赞赞赞
1659544025# #抗击疫情崇左在行动胜利终将会属于我们！加油
1628483900# #话筒
1551622261# #抢着当住子弹去路呢挖鼻
1666407765# #霜降来了霜降将至，每年霜降前后，恰逢田园稻浪染黄，正是此处的壮族人民欢庆丰收的传统节日——壮族霜降节举行的时候。。青山秀水是她的底色，民族文化是她的气韵。她是令人神往的养生福地。这里没有大城市的喧嚣，却有属于她自己的热闹。。这里有着惬意的田园风光，有着藏不住的地道风物，也有着见
1535197886# #我艹NMLGB
1640737918# #围观话筒话筒话筒
1673361913# #上一个加麻大明猩已经在里面踩缝纫机了，这个会步其后尘咩？doge
1640534657# #阴阳人烂屁股鄙视鄙视鄙视
1702385329# #敬天，敬地，敬过往
1651806200# #蜡烛蜡烛蜡烛
1634188812# #差不多两个月了挖鼻
1649166778# #话筒围观围观
1639131745# #可以专职打拳了笑cry
1639238083# #很好听的歌赞
1656560169# #崇左在野民宿欢迎您！鲜花
1554988878# #这个公司为了钱💰连人性都没有了！怒怒怒
1560346249# #有个朋友移民日本了，国内很多熟人纳闷：干嘛移民呢，你在国内衣食无忧，已经过得很好了……朋友莞尔一笑，东京不是天堂，银座附近的交通工具有些陈旧，北海道的网络甚至没有国内顺畅，大阪的大街人不多，这里没有人头攒动的繁华商圈，没有灯红酒绿的躁人夜生活……但朋友给对方讲了一个真实的故事。。。
1667739068# #熟悉而陌生的城市…
1554387562# #右边啥时候家里死人了也请领导们去笑一笑？挖鼻挖鼻
1636443872# #恶之花绽放的土地doge
1664583099# #祖国母亲生日快乐！蛋糕心心心我爱你中国
1567310960# #毒霉体毒法官与暴徒同流合污，香港的舆论环境和政治环境极其恶劣摊手
1663253555# #致敬我们的缉毒民警赞
1651711707# #印度社会每次都震怒，但每次都解决不了，难道是体制问题？我陷思思考
1629985081# #还早呢！围观先摊手
1647704410# #你就喜欢看美女的大长腿吧！偷笑
1641727112# #造谣的要拘留，传谣的也应该拘
1645604401# #笋到家了笑cry笑cry笑cry
1663857859# #反正死了就是了，管你怎么死的，必须是被警察打死，谁让伊朗加上合组织了嘛！笑而不语
1646902053# #蜡烛
1642241332# #还是蒋光头说得对，天下无人不通共啊！笑cry笑cry笑cry
1643173581# #某个心惊报妓者在朋友圈里发的挖鼻
1540262230# #说得好像挺有道理的嘛挖鼻请问一下阁下的爷爷是几岁饿死的？摊手摊手
1563444477# #撑谭校长撑港警！赞赞赞
1695540297# #又死一条鱼黑线
1565604329# #停冷气！关门！！放狗！！！哈哈哈哈哈哈
1672504046# #得偿所愿doge
1545196979# #唉
1553233203# #这皮扒得真是不错偷笑偷笑偷笑
1634601952# #这种阴阳怪气的垃圾也混进体制里了？挖鼻
1633390344# #红果果滴炫富，必须批判馋嘴
1678116362# #正好，咱茅山后裔正缺小鬼练手呢！笑cry
1565744738# #如图
1647491257# #黄尸妓者发出什么言论都不奇怪，但是在这样时候这样的场合说就非常无耻了顶
1631662270# #日本鬼子的罪恶罄竹难书怒怒怒
1631202161# #再同意不过赞
1662564781# #那条一起走过的路，那场一起考过的的试！
1645591939# #懂装不懂，心瞎而已挖鼻
1682097175# #我也想PYQ有这样的朋友
1631724336# #路死沟埋也挺合适的挖鼻
1565923619# #可以刑拘了哈！
1551923468# #说得有道理笑而不语
1671810839# #我转这个就是想告诉你们，谁是他最大的吹鼓手，就是博主。我印象非常深刻，你们进这个微博，搜张文宏三个字，你们看见的一定让你们非常惊讶，这就是典型的拿了黑心钱。
1649977252# #临时演员反复用，经费都被谁吞了？笑cry
1657552704# #窗外月色抱抱
1653191630# #在办公室喝酒，还喝蔑了，这是酒壮色胆吗？挖鼻
1547856065# #这个两面人卵仔真的以为执政党垮台了以后它就能平步青云去当议员了？哈哈哈哈，国家一乱，反对派最先清算的就是这样的“先进个人”了，到时候妻离子散是轻的，路死沟埋是妥妥的挖鼻挖鼻挖鼻
1570368458# #闵行铲超话有消息说这位被暴徒殴打的老年的士司机已经伤重不治蜡烛蜡烛蜡烛这应该是曱甴暴徒们直接杀死的第一个无辜市民，我们不希望还有下一个！怒恳请当机立断，上实弹打蟑螂怒怒怒
1642545272# #美中情局涉嫌资助对311名儿童做人体实验美国无论被爆出做过多大的罪恶我都不会感到惊奇挖鼻
1631327715# #榕树长在海枣树上的榕树思考
1672840737# #幸灾乐祸哈哈
1563724880# #香港是所谓的法治地方，只有爱国群众打黄尸是群体冲突哈哈
1541748635# #进央视的时候画了皮，现在露馅了呗挖鼻挖鼻挖鼻
1629454281# #我和党旗在一起很有冲击力的画面赞
1642326476# #汤加全国通讯中断大自然的威力😱
1639289297# #零才是最好的数字笑cry笑cry笑cry
1666324002# #记得有部电影叫《借种》挖鼻
1562776074# #道歉？道你老木的歉啊！滚就一个字，我只说一次！@宝矿力水特-中国
1567956340# #赞最右
1649901552# #外省步子跨得太大，会扯着蛋doge
1638228187# #鼓掌鼓掌鼓掌
1567081518# #速度
1649867629# #别告诉我泡面能勾起你的馋虫笑cry
1630903230# #说到点子上了赞赞
1630291502# #这些流量明猩我只知道名字，但是一个都认不得，好像都长得一毛一样傻眼
1571322782# #又做又立啊偷笑
1649214087# #猛男兄good
1692832954# #早安
1568429715# #迪士尼经典恶人？还不如请一堆黄尸进迪士尼本色出演，保证碾压这些经典恶人挖鼻挖鼻挖鼻
1552477660# #我嘞个去，宝骏辣么牛掰了吗？😱😱😱@柳州东尹
1653187993# #防范电信网络诈骗这是吹牛界的天花板有木有笑cry笑cry笑cry
1546230373# #标准的放倒动作，还有标准的南普笑cry笑cry笑cry
1540113469# #允悲允悲允悲
1630123118# #工作疏忽是说不过去的！
1631063250# #蒋光头说得对，天下无人不通共啊！笑cry
1637911388# #这位爷，您的路灯准备好了，您看是现在挂还是等会儿挂？doge
1682155091# #三月三祭祖完毕，打道回府微笑
1642350118# #最喜欢的歌这个场景的配曲我很喜欢！心
1542537574# #话筒话筒话筒
1566733040# #抓了也没啥用啊，一千蚊就出来了摊手
1661599606# #我问青山何日老，青山问我何时闲。。我见众山皆草木，唯有见你是青山。。青山已随晚风却，我与沧海化桑田。。朝阳落幕霞光胜，云海浅薄秋雨残。
1630339114# #一点一线皆是祖国大好河山
1569815572# #怪不得现在中国🇨🇳极少蝗灾了二哈二哈三只以上蚂蚱都不敢结伴出行允悲允悲允悲
1628952267# #信息量有点大笑而不语
1543928268# #法治护航，旅途愉快！鼓掌鼓掌鼓掌
1539147654# #演砸了？二哈
1651591655# #防火防盗防外省哈哈
1656855984# #蜡烛蜡烛蜡烛心
1630771870# #花前洒泪临寒食，醉里回头问夕阳
1664605448# #经常看见一边骑电动车一边看手机的，替他们捏一把汗汗
1637011093# #江苏启东实验小学3名学生坠楼不管是跳楼还是失足坠落，希望孩子没事汗
1533485273# #不要以为共产党不敢枪毙阿红挖鼻
1642503124# #其实大家也是怕层层加码，严格按照文件要求应该就没问题。微笑
1559308407# #自己屁股多脏都看不到啦嘻嘻嘻嘻
1630456676# #耐心是一种美德doge
1672024287# #小组赛出线了耶
1631235799# #第三十七个教师节祝所有的教师节日快乐！
1651744417# #为什么水饺两个字会戳到开腹李的肺管子涅？笑crydogedogedoge
1630649642# #这些叫兽就是传说中的反思怪思考
1647832967# #公安宣传是很严肃的事情，不能靠跟风拍一些无厘头的搞笑视频，更不能靠几个穿制服的美女搞制服诱惑来吸引流量！而是应该深入基层一线，把基层民警的工作生活真实地展现出来，把普法生动地在作品中展现出来！话筒
1533753408# #
1565677059# #虽然博主是香港人，但是我还是要说一句：现在的香港人绝大多数还没认识到这次乱局的本质摊手它不是所谓的要民主，也不是所谓的反送中，它归根结底就是一次分裂中国的暴动。只要香港的经济制度还在金融寡头的控制下，这种暴动永远不会结束摊手摊手
1541561239# #这就去舔屏舔屏舔屏
1639102549# #运气，哈哈哈，就是运气好！doge
1563976282# #欢迎到广西崇左市考察，你会发现每个第一书记都这么穿哈哈
1642636862# #女人是用来爱的，不是用来打的汗
1652046520# #这种马喽叫白颊黑叶猴嘻嘻
1571137245# #偷笑偷笑偷笑
1637021004# #所谓的打肿脸，充胖子笑cry
1657797250# #是我看过的那本书改编的吗？费解
1566475864# #这个可以考虑一下馋嘴馋嘴
1635732386# #中南屋的背后看起来很眼熟的样子挖鼻
1632717232# #看当地公安咯摊手
1661874326# #后发制人是我们的战略嘛
1672408713# #有意思，网红张现在是大熊猫了哈，说都不能说挖鼻
1628586303# #该出手时就出手！拳头
1640507661# #艹，这帮卵仔收这么缺德的钱，会不会是给他们孩子治没屁眼和脑瘫的啊！怒
1639361272# #钓鱼重要的是过程摊手
1642424824# #冷雨夜。在雨中漫步蓝色街灯渐露。相对望无声紧拥抱着。为了找往日寻温馨的往日。消失了。任雨洒我面。难分水点泪痕心更乱。愁丝绕千百段骤变的态度。无心伤她说话收不了
1646501366# #心情日记这场雨下完了么？
1639752908# #真实的历史，那时候我们共产党领导下的抗日队伍是最受人民群众支持的，教员和众多将领的人格魅力无可比拟goodgoodgood
1628632963# #卫生工作无非就是医防宣三个字，医对应的专业是临床，防对应的是公共管理，完全就是不同的专业。面对的对象和需要负的责任不一样，不在其位不谋其政，信口开河空谈只有嘴嗨摊手
1655568723# #肯尼迪是在敞篷车上被爆头，希宗是在自行车上被撂倒了？傻眼
1553906831# #村支书是村里的党员一人一票选的，村主任是所有十八岁以上有选举权的村民一人一票选的挖鼻
1627657943# #平安！！
1655595621# #转发微博
1567831592# #今天入户动员辍学初中生返校，我跟乡里人大主席苦口婆心劝了半天，各种讲道理各种威逼利诱允悲这黄毛小子就是一声不吭玩手机汗唉，貌似我对自己儿子都没有这么耐心过允悲允悲可爱一夏美丽崇左第一书记
1641138030# #心
1641718850# #不知道的还以为这人打错字了呢偷笑
1629039538# #日本投降76周年为了庆祝鬼子投降，今晚几个朋友决定聚餐！嘻嘻别说，烤鸡的时候鸡肚子里放几包榨菜还是很不错的，味道没得说赞
1566652048# #那还用说，皿煮之后不得把你挂上去啊哈哈
1540735649# #原来黄秋生不是占中，而是港独啊！挖鼻挖鼻挖鼻
1662568071# #全世界一百多个国家除了中国都发别墅了，医疗都免费了，上学不要钱了，福利也满满的了！怎么润到德国就不能出点电费呢？吃瓜吃瓜
1561541889# #心惊报里皆是老实人笑cry笑cry笑cry
1632227464# #跟我的诺基亚3210拍出来的差不多doge
1647526947# #国足这几天的流量硬生生把俄乌战争给压下去了笑cry笑cry笑cry
1570067991# #李姐李姐二哈
1553054167# #独秀同志好→→
