1703941140# #强哥案件播报
1703964742# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究的纠正冤假错案比乌龟爬山还慢？
1703939258# #强哥案件播报
1703869358# #十七年前复印一张A4纸壹佰元＝当今多少钱？徐玉强第一次民告官找被告市规自局复印一张a4纸整整花了壹佰元！目的证明被告市规自局行政违法核准自金美玻璃钢工艺制品厂房屋权属转移登记到徐玉强名下未颁发房屋权属证的证据。复印一张A4纸三毛钱的证据被告找原告索要壹佰元人民币？
1703941269# #强哥案件播报
1703920362# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报关注案结百次事不了行政纠纷案。
1703939575# #强哥案件播报
1703939516# #强哥案件播报
1703866131# #奇葩案件→四级审判机关充当被上诉人市规自局自己竟然自行确认行政行为合法的黑保护伞！
1703920377# #海南徐玉强私人农场槟榔园关注十六年案结百次事不了行政纠纷案！
1703965361# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究的纠正冤假错案比乌龟爬山还慢？
1703869403# #十七年前复印一张A4纸壹佰元＝当今多少钱？徐玉强第一次民告官找被告市规自局复印一张a4纸整整花了壹佰元！目的证明被告市规自局行政违法核准自金美玻璃钢工艺制品厂房屋权属转移登记到徐玉强名下未颁发房屋权属证的证据。复印一张A4纸三毛钱的证据被告找原告索要壹佰元人民币？
1703866242# #实名控告人徐玉强向纪检监察控告高静检察官未尽职责监督刘永强马立勇李孝江三名黑法官采信被告崔萍医师与张洁护士恶意串通捏造徐光文老人去世两小时后,死而复生自行出院事实，枉法裁判依据诬陷徐光文家属放弃,拒绝抢救徐光文老人驳回起诉！
1703965490# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究的纠正冤假错案比乌龟爬山还慢？
1703964863# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究的纠正冤假错案比乌龟爬山还慢？
1703920166# #海南徐玉强私人农场槟榔园关注十六年案结百次事不了行政纠纷案！
1703941061# #强哥案件播报
1703868456# #十七年前复印一张A4纸壹佰元＝当今多少钱？徐玉强第一次民告官找被告市规自局复印一张a4纸整整花了壹佰元！目的证明被告市规自局行政违法核准自金美玻璃钢工艺制品厂房屋权属转移登记到徐玉强名下未颁发房屋权属证的证据。复印一张A4纸三毛钱的证据被告找原告索要壹佰元人民币？
1703868649# #强哥案件播报
1703873860# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报案结百次事不了行政纠纷案。
1703868662# #十七年前复印一张A4纸壹佰元＝当今多少钱？徐玉强第一次民告官找被告市规自局复印一张a4纸整整花了壹佰元！目的证明被告市规自局行政违法核准自金美玻璃钢工艺制品厂房屋权属转移登记到徐玉强名下未颁发房屋权属证的证据。复印一张A4纸三毛钱的证据被告找原告索要壹佰元人民币？
1703968039# #奇葩案件
1703939593# #强哥案件播报
1703964877# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究的纠正冤假错案比乌龟爬山还慢？
1703873508# #强哥案件播报
1703941042# #强哥案件播报
1703869111# #强哥案件播报
1703939025# #强哥案件播报
1703874009# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报案结百次事不了行政纠纷案。
1703939560# #强哥案件播报
1703964624# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究的纠正冤假错案比乌龟爬山还慢？
1703873822# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报案结百次事不了行政纠纷案。
1703961614# #在法院自杀被拘留绝食抗争司法腐败！
1703920470# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报关注案结百次事不了行政纠纷案。
1703869278# #十七年前复印一张A4纸壹佰元＝当今多少钱？徐玉强第一次民告官找被告市规自局复印一张a4纸整整花了壹佰元！目的证明被告市规自局行政违法核准自金美玻璃钢工艺制品厂房屋权属转移登记到徐玉强名下未颁发房屋权属证的证据。复印一张A4纸三毛钱的证据被告找原告索要壹佰元人民币？
1703873782# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报案结百次事不了行政纠纷案。
1703941158# #强哥案件播报
