1701504511# #初一女孩欲轻生，警察撕心裂肺大吼规劝，听得人想哭…向这位警察致敬赞
1691928812# #每每看到这张图，都让人泪如泉涌......。陈树湘，红军第五军团34师师长，在湘江战役中重伤被逮，敌人用担架抬他欲送往长沙，他趁敌不备，自己从伤口处掏出肠子，用力绞断，壮烈牺牲，时年29岁......🙏
1692767782# #深圳，13岁女孩去舅舅家过寒假，顺便想见见世面，没想到舅舅却对她说：“你妈虽然是我姐，但是我不欠她的，她也不欠我的，所以这个月我不会对你的生活负任何责任……”女孩有点难以置信，舅舅竟如此冷漠，可一个月后女孩的变化却让父母惊叹！。。女孩来自一个小县城，而舅舅家却在深圳大城市，所以女孩
1696909653# #这里是全国最大的通江王坪烈士陵园！离家还是少年身，归来已是英雄魂…历史书太小，装不下他们的伟大，我们随手一翻，就是他们的一生！山河已无恙，致敬英雄先烈🙏
1690859965# #凡事不可做尽，得给别人留口饭吃。
1693534386# #河南新乡城管大楼晚上亮灯被指酷似娱乐场所城管：属亮化工程，会给领导反馈…网友：像夜总会，真的，别喷我允悲
1687752814# #公益v探访扎根高原，默默坚守川藏高原的大渡河畔，依托长河坝、黄金坪、江咀三座总装机346.26万千瓦的水电站，累计完成发电量约720亿千瓦时。。。长河坝、黄金坪、江咀水电站组成的“一个公司、两个大坝、三座电站、四个厂房、十二台机组”的规模初步形成，一颗位于川西高原的“中国大唐”清洁能源“
1687697493# #我二姑58岁，公务员退休，没结过婚，也无子女，自从动过一次大手术后，就给自己请了一个住家保姆，工资5000元一个月。失业在家的堂姐得知这件事情后，她想顶替保姆的工作，住二姑家照顾她。哪料，二姑果断拒绝了，她说她不想聘请熟人做事，让堂姐另谋工作。。。堂姐不明白，她说她可是二姑的亲侄女呀，自
1700554646# #老板早上送餐路上遇到半年没见的，有些智力障碍的环卫工小弟弟，“知道你在这，以后都给你带份早餐”…虽然智力有障碍，但能这么早起来自力更生，真的很棒赞
1688718271# #孙子一把抱起奶奶切蛋糕，奶奶开心的像个孩子！
1703293688# #凌晨三点拾荒老人进店要水喝，店主接下来的做法很暖心，店主不仅温暖了老人，也温暖了这个寒冬。
1701315752# #在四川泸州合江，有一位无手无脚掌的梅子老师，她从小失去双手双脚，但她坚强的读完大学，她说:教书育人是她的梦想，现在已站在三尺讲台教书育人十几年，她用自己的亲身经历为学生们诠释什么叫坚强！
1691209430# #可恶，可恨，可杀！。食品安全问题很严重！值得深思！。一个正规的醋厂，在利益的驱使下，使用冰乙酸勾兑食用醋，明知故犯，跟投毒没有任何区别！重判！！！
1696991970# #“润”到国外过着衣食无忧的生活，却频频发表侮辱国家、仇视人民的迷惑言论…。。联想到钟庚赐说孙女很崇拜自己，我们不禁想问：“北极鲶鱼”的生活环境是何等腐化堕落？。。钟庚赐的理想信念是何等丧失？他到底给晚辈提供了什么价值观，让孙女能够如此张狂扭曲？。。有网友说得好，“非正义的财富堆积不出文
1693365701# #男子临近下班时间办业务被指责“不讲理”！银行4点下班，男子3：47取号办业务，工作人员以需要加班为由拒绝办理，男子：能正常取号为啥不办？
1703427314# #给你平安的不是圣诞老人，而是中国军人！🙏平安夜
1694267750# #高铁上小孩子敲打座椅和前座乘客人头，列车长介入，家长：不能按照大人的要求来要求他！看到没看到没，大家烦的根本不是孩子，是这种根本不管还认为自己对的家长！相由心生、长这副嘴脸属于正常反应…怒
1701390552# #平凡的人，不平凡的事，感谢每一个危急时刻挺身而出的英雄…
1700367254# #河南新乡，三兄弟自费3万元，把母校门口的土路修成水泥路，当事人：想为家乡做点小贡献…网友：好人好报，积善之家，必有余庆赞
1693961236# #邻居家98岁奶奶，。睡梦中死去。。她女儿没请人帮忙，。没放鞭炮，。没收礼，没办酒席。。不披麻戴孝上午火化，。下午安葬。。共花二千不到，。她说生前尽孝了，。问心无愧。。觉得她女儿这样做对吗？。。评：支持这样的子女，最反对生前不孝敬老人，死后大操大办的办酒席收礼金的行为！
1697385091# #加沙地带被轰炸后，无家可归的人民只能在宽阔的地上席地而睡！加沙地带超1000人在废墟中失踪
1702700007# #女孩从小没有双臂，妈妈耐心教她练习用脚吃饭…
1688186444# #手机实名制已经10年了，感觉最大的变化就是：实名制以前，虽然也有诈骗，但他不知道你是谁；实名制后，他不光知道你是谁，还知道你的号码，你的银行卡号，你的身份证号……诈骗电话越来越多。。个人信息泄露和电信诈骗有着密切关联，那么这是在哪个环节出现纰漏？
1697931013# #人性的丑陋就是在无权、无势，善良的人身上挑毛病，在有权，有势，缺德的人身上找优点。。。——莫言
1701008629# #集卡司机高速上突发失明，路过司机陈师傅上演“教科书式”救援！
1693218246# #都承认排放的核污水放射物超标，还这般厚颜无耻地排放，真的是太恶毒了怒。。偌大的地球，几百个国家，眼看着弹丸之地噬无忌惮的造孽，无语！日本已排放超1000吨核污染水
1698023802# #女子不慎落水顺流飘走，多次翻身都没能站起来十分危险，大爷挺身而出救起女子。还第一时间为女子整理头发，为大爷点赞赞
1693704486# #鲁山雕塑，都是小儿科，河北张家口的水幕电影才让人叹为观止，一个4000万的项目，经过层层转包，最后包给了一个大学团队，答应给导演的10万块，最后还被拖欠4万5，不由得想起陈行甲在巴东的讲话，一个300万的项目，光送人情就送出来了120万，真正落实的项目上却少的可怜…
1702173437# #男人即使再苦再累，也要给妻子一床温暖的被褥，给孩子一个避风的港湾…
1703830989# #十年前的除夕夜，再也看不到这样的场景了，你是不是很怀念…
1701928019# #网友分享：我的邻居奶奶，昨晚去世了，85岁！。。她的三个女儿都远嫁了。老伴走后，她就一个人和鸡犬相伴，四季如常。她走路比较吃力，只能每天坐在家门口远远地遥望村子路口，她说那是孩子回来的方向...。。听母亲说，今年春节后只有一个孩子回来看了一下，就走了，常年几个女儿一年一家只给200元生活费
1702648549# #挑战底线！男子国家公祭日身贴日本国旗，知情人：连续两天，民警劝阻不听…网友：敌人不可怕，可怕的是汉奸！国家公祭日男子身贴日本国旗被拘
1694821468# #这就是黄继光的军装！向志愿军英烈致敬因为有你，山河永在
1700794266# #我们回家！中国礼兵接过志愿军烈士棺椁…历史书太薄，装不下他们的伟大！我们随手一翻，就是他们的一生……。历史书又太厚，我们记不住他们的名字，只知道他们叫英雄……。山河无恙，家国永安。向英雄致敬！
1695904046# #9月28日，北京。被拐34年外卖小哥与妈妈相见，抱头痛哭，妈妈的这一吻，他等了34年！三岁被拐，六岁转卖，11岁流浪至今，对他来说除了死亡，该吃的苦吃遍了…苦涩
1691650929# #网红称要让补课行为在浙江断根新东方学科补习停课了，铁头流量也拿到了，看似很成功，却害惨了大家。铁头假装在追求教育平等，却加固了阶层固化的牢笼，让普通人更难跨越了！。总结一句话，就是好心办坏事！。。在我们国家，跨越阶层最基础的办法，还是只能通过教育，教育改变未来嘛。在现有的情况下，
1690722277# #小女孩落水后即将被冲走，危急时刻黑衣小伙迅速狂奔，摔倒后立马起身救人，网友：这一跤摔的不轻，给小伙点赞good
1694333187# #感动！湖北武汉，拾荒老奶奶走进面馆，硬着头皮对老板说：“你好，我只有3块钱，能给我煮碗清汤面吗？”可老板却觉得老奶奶是来捣乱，这年头哪里还有3块一碗的面，于是没有理会！而老奶奶一脸失望想要离开时，一位小伙的做法令人泪目！。。拾荒老奶奶捡废品捡到肚子饿了，但身边只有3块钱。闻到街边面馆
1690857601# #厂房内突然发生爆燃，男子不顾危险迅速跑去关闭阀门，男子：事后看监控才发现，二百斤重的我竟然能跑那么快…网友：危机时刻责任大于生命时，都是英雄赞希望这家公司好好善待这位英雄🙏
1693629538# #岸田文雄带头吃福岛美食背书台名嘴：勇敢些直接喝处理的核污染水…讲得相当有水准，全世界老百姓的心声赞核污染水排放口检测出氚
1692522274# #一位来自广东的留学生，到格力应聘，自信满满的说:“我在国外留学2年，刚毕业，要求月薪10万，这才能显现我的价值”。。。董明珠让他回家等消息，随后对身边人说:。。出国读了2年书，没有任何工作经验，来我这张口就要10万，你贡献什么了？学历在我这里啥也不算。。。董明珠说:我中专毕业，学历很低吧？我能
1694046663# #92岁高龄还要下地干活，太让人心酸了！伤心92岁老人烧秸秆被罚写检讨
1691262358# #山东地震刚刚，济南地震了？！硬生生被震醒了！楼体震动了至少七八下。。。还震嘛？是出去还是接着睡啊？
1692080263# #无语了…就算人家不立遗嘱，那也是妻儿继承呀，这还有什么问题吗？取已故丈夫190万银行存款遭拒
1692456480# #女孩身体不适踉踉跄跄进店求助，店家与顾客纷纷给予帮助，小小的举动，一定给了女孩莫大的温暖，为好心的店主和顾客点赞赞
1691540412# #他用一双沾满泥巴的手，签收了985高校录取通知书。网友：九月来大工，带你去看海！
1697676200# #有网友说电商直播再不控制，。别说线下经济线下生活都要没了…。对此大家怎么看？挖鼻疯狂小杨哥回应电商挤压实体经济
1701227898# #平凡英雄挺身而出，化平凡为不凡…致敬每位挺身而出的平凡英雄赞
1702788162# #近日，山西晋城。车主发现自己的车，被小孩写上侮辱性文字，愤怒蹲守时遇到暖心一幕。网友：一样的女孩，不一样的教养，云泥之别。小女孩雪后擦去路边车辆上不雅留言
1692175551# #老人50岁时，在草丛里意外捡到女婴，也就是这对父女。24年后，女孩成功逆袭，然而她毅然地卖掉了公司，买房车陪伴养父旅游。“你养我长大，我陪你变老”…一个老光棍苦了70年捡了个宝
1701237233# #老奶奶骑三轮车撞到路边汽车摔倒后发生的一幕！善良永远会被温柔以待！心
1691207671# #救灾现场感人一幕救援人员拖着橡皮艇一步一步向前走，艇上坐着受灾群众…网友：水又不深，这上面的年轻人，怎忍心看着我的战友拉你们。可以自救啊！瞬间感觉这位战友的背影好孤独！可怜
1688522718# #突降大雨，老人到派出所门口避雨，民警发现后跑了出来…将三轮车推到车棚，安顿老人到值班室避雨，并对老人说“可以随时到派出所来避雨”，暖心good
1693607468# #黄继光的军装！致敬英雄🙏
1696028228# #禁毒英烈李松陪，在抓捕毒贩的行动中中弹负伤，经抢救无效因公牺牲，时年仅28岁。伤心。致敬缉毒英雄！让我们一起记住他的名字：李松陪鲜花致敬公安英雄
1694160354# #大叔在黄河边锻炼看到排污口，直径1米的管子向河里排放黑水，水特别臭，还漂浮着脏东西…兰州回应污水直排黄河事件：系雨水管道污泥被冲出，未发现私接混接污水管现象…
1694136899# #女子疑滥用职权恐吓理发店：“一会让我们大队的人来”，理发店：事后有税务工商上门检查。网友：好大的官威吃惊一个大队都跟她倒霉吧！公职人员理发不满意举报店家偷税漏税
1704159126# #退伍军人吕保民，与持刀歹徒英勇搏斗身中五刀，感动中国！他说:就是一个当过兵的人的本能吧！知道为啥军人优先了吧？他们在拿着自己的命保护我们🙏
1688269741# #网友总结的很准的20个识人术，让你看清身边人：。。1.见谁都微笑的人，心机深。。。2.眉毛浓密的人，心思重。。。3.爱赌的男人，都好色。。。4.自来熟的人，守不住秘密，不能深交。。。5.嘴巴太快的人，没什么城府；嘴巴太甜的人，不可以深交。。。6.老板给你描绘锦绣前程的时候，大概率是在画饼，不要听。。。7.长得
1701592467# #你愿意为这双手、这些面孔点赞吗？他们是用青春守护了祖国，致敬！赞
1688103928# #河南某高铁班次上，旅客曝光：大爷狂踹前排座椅，一分钟7连踢…只许自己靠，别人不行？
1703596094# #女子过马路闯红灯，面对劝阻女警，反手甩女警一耳光…这就得按袭警处理，拘她三到五个月，让她进去好好反省！
1690171453# #齐齐哈尔34中学体育馆坍塌事故，家长质疑孩子被送医院5小时，无人出面沟通…没有哭，没有眼泪！但是隔着屏幕已经感受这位家长的绝望和心痛泪泪泪齐齐哈尔34中体育馆坍塌11人死亡
1690032832# #记住她！她叫李燕，全国人大代表，齐鲁制药集团总裁，她的提案：建议全面停止向未成年人提供网络游戏服务。
1690248471# #“我要回家…”3岁孩子走丢，在路上大哭，好心大姐一把抱了起来…谢谢好心大姐！事实证明没有人贩子孩子不会丢…
1692246426# #上海一地铁车厢，男子抱着熟睡的孩子蹲了十几站，旁人只顾玩手机无一人让座，网友：不提倡道德绑架，但传统美德不能丢…
1688723418# #男子猛锤他人胸口，不料对方掏出剪刀刺向其胸口，警方通报多名男子因就餐起冲突，致1死1伤嫌疑人已被抓获…这个算是正当防卫吗？
1698404661# #泪目！父亲为女儿省钱，不愿住院治疗，女儿拽住父亲跪下磕头求住院。“没钱可以再挣，失去爸爸就再也没有了”。女儿哭的撕心裂肺苦涩其实父亲的心在滴血伤心一个怕拖累，一个怕失去，彼此都难过，我看着也难过可怜
1696221658# #九岁小女孩改造旧衣服的手艺，真是太棒了，网友：真的好想生个这样的女儿。
1697173874# #好文：巴勒斯坦的自诉：。当世界都排挤你的时候，是我收留了你，给了你支持和庇护，帮你度过了那段黑暗的岁月。然而，我的善意并未换来你的真心相待。后面你逐渐强大了，开始对土地贪婪，不仅占据我的城市，还夺取我90%以上的土地，将我逼入角落，你依旧不放过我……以色列要求加沙北部上百万人迁移至
1691332367# #男孩杀害邻居11岁女孩抛尸湘江残忍至极，11岁女孩遭性侵，被杀害后抛尸，凶手竟然是一名少年！。。7月27日，湖南省衡阳常宁市栢坊镇万新村尤子组一名11岁女孩被害，凶手是隔壁邻居的外孙。。。两人都是留守儿童，杀人的少年今年14岁。这么大的孩子就性侵别人，还懂得抛尸？细思极恐啊，主要他是未成年人
1688793242# #令人心酸！河南许昌，一位父亲带着儿子和女儿在深夜街头卖西瓜，有一位男子眼看一家人这么晚还不回家，于是就询问了一下那位父亲，但还没等父亲开口，儿子就说道：“姐姐考上大学了，我们要赚钱给姐姐交学费，我脑子有病，治不好了……”。。而在了解一家人的身世之后，网友纷纷表示：两个孩子太懂事了，
1703483884# #山西大同”订婚强奸案“一审宣判，男子被判3年！男子母亲：“订婚谈好20万彩礼，回门宴后两人在婚房发生了关系，结果我儿子没有第一时间同意在房产证上加上她的名字，她就报案说我儿子强奸！”。。（以下信息来源：大风新闻对男方母亲的采访）。。甄大妈说，儿子27岁，性格老实。案发当天，他们在婚房
1687773938# #新技术！新产品！新成果！。6月25日，2023全球智博会在苏州国际博览中心盛大启幕。院士专家、领军智囊、顶尖企业在此汇聚，共同奏响一场人工智能发展的“狂想曲”。
1697088183# #现实中的《美丽人生》！巴勒斯坦一家三口困废墟3小时被救出，父亲把安置在水泥地上的孩子逗得咯咯大笑…小孩哭着哭着就笑了，大人笑着笑着就哭了泪巴勒斯坦一女婴空袭中丧生父亲痛哭
1693464658# #8月29日，女子在日本靖国神社前，高举五星红旗拍照，网友：当看到国旗举起的那一刹那，突然热泪盈眶。
1694177309# #七岁姐姐抱着弟弟掉进了化粪池，众人上前帮忙施救，经过多次努力终于成功救起。网友：大爷作为老百姓能第一时间跳进去救孩子让人钦佩，大爷真英雄！赞
1690536092# #这个就叫，专业…
1699456272# #沧海桑田，曾经戏曲舞台前人群熙熙攘攘的时代似乎已经过去了…
1702990622# #寒冷的冬天，半夜…灾区的人这次真的受大罪了，听到哭声好难过…苦涩青海省委书记抱着安慰痛哭的灾民
1690434578# #30年前的5万余元农行存折，如今去取被告知只有22元：银行称存折和内部账本不符…
1695174234# #那一刻，他的头顶就是最踏实的地面！这是拿命在救，真英雄！为黄志春点赞赞
1688177034# #山东青岛，小区未栓绳大型犬扑向孩子，保安呼叫多次，狗主人才姗姗来迟，场面十分吓人。不少网友建议，对于狗不拴绳上街就打死，如果咬人就让狗主人判刑，看以后还会有这种事发生吗？
1698415197# #俄罗斯人道主义物资空投到加沙，俄方：我们的空投行动无需任何人同意…
1697542691# #10月17日，河南郑州二七区严查未拴绳犬只，看到未拴绳的狗直接抓走！执法人员：出了家门，就属于公共区域！就得这样，不拴一律抓起来，使劲罚款！狗主人被采取刑事强制措施
1693645935# #“这个乘警太霸气了！”女子持无座票霸座，男乘客只能向乘警求助！但女子不仅不把乘警放眼里，还叫嚣：“我花了同样的钱，凭什么不能坐？”乘警：我现在开始对你警告，把座位赶紧让出来！可女子不听，结局非常解气！。。这一幕，发生在北京开往日照西的列车上。孙先生提着大包小包找到了自己的座位，可
1688386329# #7月1日，湖南长沙，男子街头卖瓜遇多名城管巡查，为反抗城管不停把车翻砸。网友：成年人的崩溃往往就在一瞬间，有多少人能体会到他的辛酸和无奈？？
1687847000# #家住济南市槐荫区的四岁男孩星星愁坏了奶奶和家人，孩子四岁还不会说话，脾气暴躁，不与人交流，“这鞋子穿上就自己脱下来，从来不穿鞋，要是强迫给他穿上，他就会大哭，一定要把它脱下来。”星星的奶奶告诉记者，不仅如此，孩子四岁了，连爸爸妈妈不都会叫。。“一开始以为是孩子年纪小，我们都想着等
1689342506# #女子新店开业放了一地鞭炮，贴心的为环卫工人都准备了红包心
1702339198# #请你停留一秒钟，向英雄致敬，年仅19岁，荣获国家一等功，致敬边防烈士陈祥榕！
1702439005# #夹不住的饺子，端不住的碗，看到泪目…也是爸妈最宝贝的孩子，可穿上这身衣服就如此勇敢保护我们，致敬！
1687223593# #为什么小孩子大小便在裤子里能被原谅，而老人却不会被原谅？直到一次看到这个答案，老人之所不被原谅，是因为他们没有爸爸妈妈了…
1700023406# #动物也有灵性和善良，懂感恩……
1703393565# #男子举铁锨敲下冰溜子，晚上必堵车的地方，太危险了，大哥的小小善举太暖了，网友：善良是骨子里的东西，不经意就流露出来赞
1696204519# #这位农村小伙可以用木材制作出火箭与航母模型，真是高手在民间赞
1696216309# #熟悉而又振奋人心的音乐响起，男孩向国庆巡游车敬礼心此时此刻，此起彼伏的中国红，锦绣山河，家国同梦，满满的家国情怀，这是对祖国深情的表白心杭州巡游车队合奏歌唱祖国
1698131647# #六岁学习做饭，炒、煮、炸、颠、样样精通，转锅一绝。爸妈真有福气，这娃是来报恩的赞
1690423638# #笑不活了家人们，农户一家拍视频介绍自家核桃，意外频出，场面搞笑坚持拍完…咱们就是说这么多意外情况，真的不能重新再拍一遍吗？允悲
1689076886# #连江，大哥抽着烟把孩子给救了……👍
1695015300# #幼童断指家长紧急报警，“麻烦帮我备下案，我可能要闯红灯！”5分钟后铁骑队员赶到开道，一路闯灯逆行护送…不只允许你闯红灯，还帮你开道赞为铁骑出警速度点赞赞
1695892767# #这种人太恐怖了吧。上一秒还谈吐温文尔雅，下一秒就突然暴起，猛扇耳光！。。9月27日，江西南昌，一小区内有栋写字楼，由铁栅栏和小区隔开，一位女业主见有人用切割机剪铁栅栏，于是就上前阻止，后来找到公司人员理论。。。和公司员工商谈的时候，女子就安全问题和男子理论，男子温文尔雅的说：“要去谈事
1693275215# #博主在日本看到写有歧视性话语的招牌“告诉中国人本店的食材产自福岛”，博主立即报警解决诉求…感觉那个店主表情好欠揍！日本饭店招牌歧视中国人博主当场报警
1703072973# #贵州一男子凌晨筹备300床棉被，连夜奔赴甘肃震区，给灾民取暖，“汶川地震时还小，这次一定要出力”。被安置点的这一幕暖到了
1691050396# #可怜的孩子！20岁消防烈士刘泽军，他1岁丧父，3岁丧母，一个吃百家饭长大的孩子…
1697028300# #罗翔在华东政法大学的演讲中讲了一句不符合他身份却非常真实的话：人生绝大多数成就靠的是自己的努力，但更重要的是运气。。。这句话道出了世间的公平与不公平。这个世界比你优秀，比你努力的人太多了，但是他为什么没有你活的成功，没有你过得幸福。有的人生在罗马，有的人在通往罗马的路上，有的人连罗
1691576489# #“活该他当老板！”员工们把孩子带到厂里上班，把工厂搞得跟幼儿园似的！但老板不仅没发火，还在孩子一声声“叔叔”中迷失了自我！员工：为了让我们安心上班，老板特地在厂里搞了辅导班，还请了辅导老师！。。原来，老板手下有上百名员工跟着他干活，而工厂业务很好，经常需要加班！但这样工人的孩子就
1694817722# #雨中的故事，他们没钱难道是不够努力吗？。。。有的时候觉得世界真的。。。
1698455890# #楼下这两个男人，是用生命来救这个孩子，太感动了，好人一生平安🙏
1689415856# #网友倾诉：父亲34岁时被电锯锯掉了一只胳膊，我妈也跑了。第二年，一个被大火烧得只剩半边脸的女人成了我后妈，我们家也有了另一番天地：。。后妈来我家第一年，父亲的自卑和气急败坏常常会透过剧烈的吼骂响彻整个小院。第二年，父亲一个人跑到河堤，大哭一场后跳了下去。后妈一直悄悄跟着父亲，看着他
