1697470459# #林耘丨特别提醒：这三个因素对A股现状影响比较大
1697949952# #现在“三无”公司都能上市，无产品，无营收，无利润；现在亏损公司也能上市，如何一视同仁强制分红？其实，分不分红是上市公司酌情考虑的事情，要不要对高分红派现企业另眼相看是投资人自己的讲究。如果鉴于A股投机风盛，上市公司多圈钱少分红，监管者一定要对分红问题表个态，建议对公募基金持仓结构
1701231774# #
1701842243# #放大招了！财政部：社保基金对股票类、股权类资产最大投资比例分别可达40%和30%。。。即是说，股票类、股权类资产最大投资比例合计可以达到70%！一是真够有魄力啊，二是银行不香了吗？
1701045126# #大干快上！今年中国光伏发电新增装机将达到1.95亿千瓦，同比增长123%，占到全球光伏新增装机容量4.13亿千瓦的47%。
1699879512# #这车怎么开的？
1699273763# #双双做头！美元走软，人民币企稳，央行可以放心大胆腾出手来降息降准力挺楼市了。
1701999408# #a股大视野林耘的投资日记集合竞价：1、指数涨跌互现，沪综指微跌，深成指、双创、北证小涨；2、环保、软件开发、计算机设备等领涨，教育、文化传媒等领跌；3、个股涨跌比相差不多，部分炒作庄股跳水套人；4、隔夜美股反弹，早盘港股小幅高开，汽车股整体回调。
1698667234# #中金公司：第三季度净利润10.47亿元，同比下降51.76%。本周4将迎接天量大小非。
1699781864# #今年双“11”有什么爆款？
1697720702# #谁来批改一下韭菜·胡的小作文？说说其想法错在哪里？
1700987134# #林耘丨爆炒北交所股票背后藏着什么样的故事？
1699357707# #林耘丨关注点建议放在政策如何救市上！
1700146659# #阿里巴巴美股跌了8%，谁都不喜欢大股东、创始人大手笔套现！马云套现拿走60亿元，割到芒格老爷子胯以下了。
1698719268# #能有啥事儿？无非是债期已短，兑付在即，美元利率下调无望，回报率对接一下。有人借机造遥生事。债期明年中，小作文还刻意年化收益率放大制造恐慌。似是而非手法。
1701418077# #小田手里是不是有一份此生必见人物名单啊。
1701091150# #原中国保险监督管理委员会深圳监管局党委书记、局长张辉烨接受纪律审查和监察调查。
1699492724# #1亿人被套住了！银行理财产品的个人投资者超过1亿人，较2019年末增长3倍。
1699086773# #中国工商银行刚抓了个前执行董事、副行长，叫张红力，履历显示内外通吃，不是一般人，非常有料儿。
1698226556# #华仔这跳水动作，弹跳有力，带量下行，击穿平台，不出水花，一网打尽。
1698821874# #房企不拿地的影响初步体现出来了：10月份重点城市供应环比下降45％，成交环比上涨9%。。。市场经济，政策之外，别有洞天。。。大胆预测一下：快明年，晚后年，供需再次平衡。
1697124584# #网传国信证券投行部给员工的建议，诚恳，直接，认为寒冬周期估计会很长，员工要做好财务规划，节约一点，部门不会主动裁员，但如果公司要求就没办法了。。。也是，减缓IPO一旦开了头，什么时候恢复“常态”就得听天由命看什么时候市场转暖了，急不得急也没用。
1700531888# #靠商业模式成为赢家的，其实并非永续有效，往往只是某个阶段而已。所有认知都是有有效期和对应场景的，也都是可以推倒重来的！
1700536900# #我发表了头条文章:《“巴神”的洞察力深合我意，盗版的连皮毛都没学到》
1702603347# #隔夜美国道·琼斯指数六连涨创下历史新高，今天该轮到咱们A股港股表演了。提足精气神，年底收官，好好干半个月，咱们目标位锁定哪里？。。京沪落地楼市利好“大红包”，股市以后1股能上车，核心蓝筹股均处于年内最便宜位置……
1701993781# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1702561120# #我回答了的问题,大家快来花1元围观~
1697520080# #
1700969263# #黑吃白，白亦黑？
1699109031# #不出所料，巴菲特果然近期日子不太好过。伯克希尔哈撒韦A：第三财季营收932.1亿美元，净亏损127.67亿美元。
1701261660# #汽车行业的，抓一个。东风设计研究院有限公司原执行总经理周鲲接受审查调查
1696726483# #A股IPO号称天下第一难事，但这家公司却能两次淌过同一条河流在A股获得上市机会，上一次上市以卖壳谢幕，然后原班人马又熟门熟路再一次IPO上市，到了上网发行临门一脚才被叫停，显然靠的还是群众的眼睛和全网嘘声！。。浙江国祥：发行人及主承销商决定暂停后续发行工作。
1696817700# #中秋国庆双节您到电影院看电影了吗？A股节后复牌，影视板块成为下跌重灾区，与您去没去电影院关系莫大。
1698152143# #我国将增发1万亿国债，用于灾后重建！或者也可以理解为对冲土地出让减少的影响。
1701311378# #老朋友基辛格走了，享年100岁。。。基辛格：中美正式建交主要推手之一，为我国改革开放埋下伏笔，且是当下国际地缘政治危局的主要斡旋者之一。。。基辛格是如假包换的中国通，真正研究过我们的历史，了解我们“特殊性”的老外。
1698390292# #把基金业风气监管治理好了再做对比不迟。
1702425272# #北京12月13日开始中小学、幼儿园学生临时居家学习，复课时间待定。
1696769753# #北京延庆下雪了，比往年来得更早一些。
1699011876# #证监会：支持头部证券公司通过并购重组等方式做优做强，打造一流的投资银行。。。做大不难，使劲并购就行。做强做优做出囗碑相当难，得把“渣男”印象洗白先。
1697775815# #微博电台计划
1702180908# #明年光伏行业产能过剩的问题将更加突出，裁员是必然的，极端情况可参照养猪行业，头部企业硬撑，宁亏损不让市场份额，股价迟迟不见底，CPI都被带沟里去了。。。附图是新希望和隆基绿能周K线图。
1699493503# #a股大视野20231109集合竞价：小幅低开，行业是整车领跌，题材是天龙、圣神大幅低开，个股涨跌比17：24落后。。。隔夜美股涨跌互现，原油、黄金大跌。
1701752592# #1、3000点有点放任的意思了，主动砸盘的不多，但共识是要破一破再说的；2、北交所成了翘翘板，主板、双创弱，刺激部分资金进去淘宝。
1701335032# #11月收官之战，沪综指守住了3000点，勉强维持反弹进程；两市合计成交仅7735亿元，个股涨跌比3：7落后，125家个股跌幅超过5%；北方资金功不可没，净买入85.16亿元，主力资金我行我素，减仓284.34亿元.；新能源汽车、汽车零部件、tmt软硬件等各式题材股退潮明显，北证50小幅下跌。
1699409834# #易会满：牢牢守住风险底线，维护资本市场的平稳运行。。。做到了，转换为A股市场指数运行形态即是：下有底，上无峰。
1697537537# #说是大城市效区商品房容积率不得低于1.0的限制也要放开了。买别墅的银子你们准备好了吗？
1698212190# #a股大视野年内大牛股之一——中际旭创，今日完成AI龙头“腰斩”规定动作。
1696845401# #跟爆雷房企有瓜葛的地方中小型银行，风险不小，有存款尤其是有大额存单的，不能掉以轻心了。
1701740705# #今天又要考验3000点了。
1699754478# #大小非减持受限？强制平仓粉墨登场，东方时尚&amp;中信证券联袂主演！。。东方时尚：中信证券拟对公司控股股东进行强制平仓，导致其被动减持2%公司股份。
1701615084# #优质房产还是很受欢迎的。前几天北京西城北京尊府出一套法拍房，185平，2500万起拍，激烈竞拍到4200万＋落锤。
1697860888# #妹纸真敢聊。
1697713637# #“宁王”掉链子了！对高增长的追捧一定要留有余地，保持清醒。宁德时代(300750)10月19日晚间披露三季度报告，公司第三季度实现营业收入1054.31亿元，同比增长8.28%；归母净利润104.28亿元，同比增长10.66%。。。说白了，宁德时代就是占了先机，先发优势，并没有形成强有力的“护城河”，三季报公布之前
1699508469# #某天会不会铺天盖地刷屏说工商银行负债40.81万亿元、招商银行负债9.647万亿元啊？。。相信会的。
1702345257# #其实，人来了就行，买不买房往后说。
1699964565# #新鲜主题，谁会成为中国版标普、穆迪、惠誉？央行：支持有实力的金融科技力量进入评级市场。
1701750374# #
1697105239# #a股大视野今天两市合计成交8313亿元，比预计的略有差距，放量不充分。但胜在北向资金买入坚决，净买入了66亿元，胜在热点突出，新能源全线启动配合大金融活跃，胜在尾盘维持在盘中高点在3100点上方，胜在港股遥相呼应。
1697593490# #今天办喜事，希望股市别添大乱。
1698629704# #A股低开，个股涨跌比约3：8，受三季报公布影响和热点炒作退潮冲击，个股分化非常严重，北交所新股大跌29.99%，拉板妖股真视通“一”字跌停板开出。港股低开，招行、百度、阿里等领跌。
1699451096# #撞枪口，惹众怒。高瓴旗下的HHLR管理有限公司，因涉嫌违反限制性规定转让隆基绿能股票，被证监会立案调查！
1701154022# #福利不错。
1699495616# #讲个冷知识。A股“龙”字辈大师兄，1.0版本是界龙实业，。。1994年超级大熊市，沪综指跌到325点，界龙实业因为小盘、新上海概念浦东题材、庄家实力坚强，硬是屹立不倒，高高在上。。。之后，界龙实业→G界龙→界龙实业→*ST界龙→界龙实业→上海易连，大股东卖壳退场，一走了之。。。当下其总市值仅27.14亿元
1701650728# #大都市化养车成本极高，年轻人租房再养车，入不敷出。
1699159764# #主动出击，以正视听！万科拟于11月6日下午与金融机构召开线上会议，深圳国资委相关领导、深铁董事长辛杰，以及万科董事会主席郁亮、总裁祝九胜、公司副总裁兼财务负责人韩慧华将参加会议。。。好戏开演了！
1700554774# #林耘丨为什么很多人不买房？
1698800916# #中金点评：金融服务实体经济高质量发展的任务进一步清晰。会议肯定了十八大以来金融工作“坚持以人民为中心的价值取向，坚持把金融服务实体经济作为根本宗旨”，但也指出“金融服务实体经济的质效不高”。因此，“金融要为经济社会发展提供高质量服务”。具体方向上来看，会议提出“把更多金融资源用于
1697689212# #非常可疑。
1701353807# #头部房企最新销售数据汇总，11月份行业凛冬，百强房企同比负增长29.2%。万科表现出了韧劲，同比正增长，销售金额力压保利发展重返行业榜首。
1698980153# #a股大视野北向资金不承认北向资金的作用好像不太行，早盘A股反攻明显靠的是北向资金大手笔补仓。至于北向资金为什么补仓？至少有两个理由：一个是11月中旬的旧金山元首会唔，另一个是美联储暂停加息，市场情绪改善，人民币贬值压力有所缓和。。。当然，工信部点了一把火功不可没，人形机器人搞起来
1702861136# #与楼市、股市相关的局部受冲击，整体还行啊。1-11月累计，全国一般公共预算收入200131亿元，同比增长7.9%。
1698480513# #林耘丨券商股银行股日子过得怎么样？
1702396513# #这是躺平了？12日晚间，碧桂园控股（02007.HK）发布公告称，结合行业和公司实际经营需要，公司执行董事杨惠妍、莫斌、杨子莹及非执行董事陈翀主动提出降薪的请求，四人年薪均下降至一年12万人民币。
1700825641# #朱鹤新，新一任国家外汇管理局“一把手”，最近人民币汇率表现不错，升值了约2.5%。
1697510666# #退一万步，求人不如求己！
1698580269# #林耘丨楼市“双轨制”，房企怎么办？还有前途吗？
1698892881# #楼市“瘦”了身家，股市套住了储蓄及现金流，让老百姓能怎么办？
1697207759# #如此戏码，似曾相识！大家见过吧？。。媒体报道，碧桂园创始人杨国强卖私人飞机偿债，已售一架，另一架待售。
1698757985# #讲个冷知识：A股初代“股王”四川长虹现在总市值只有272.8亿元，沦为低价股。知道当年四川长虹有多火吗？中国人的第一台彩电！股票买长虹，电视用长虹！“长虹神话”缔造者倪润峰贵为z央候补委员，这份荣耀连任正非、柳传志、马云都比不上。
1698754755# #北向资金纯属巧合！盘后交易所公布的沪深港通十大成交股显示，比亚迪净卖出额居首，金额为7.84亿元。
1698738485# #今天A股合计成交9183亿元，个股涨跌比约2：3，地产服务、美容护理、煤炭、生物制品、保险、化药涨幅领先；捻车、汽车零部件、电机、光㐲设备等跌幅居前。华为概念至收盘资金净卖出150亿元以上，无改观。
1701140668# #从没有买过p2p，一眼假的玩艺儿。从不幻想天上掉馅饼。宁可龟步，不搏二兔。
1697781441# #贵州茅台又被砸出新低，今晚要公布三季报，似乎投资者信心不足啊。
1700724747# #a股大视野表面看A股午盘转涨，拉了尾盘，下跌个数减少了约300家，但是跌幅超过5％的个股却从75家增加到140家，多了一倍，跟我们午间直播讲的“大盘问题不大个股风险不小”的预测一致。
1699423698# #投票：“牢牢守住风险底线”的“底线”换算成沪综指点位大致在哪里？
1701501016# #比亚迪签约赞助中国滑板队。
1699686659# #名人战三局二胜决赛局，芈昱廷发挥出色，遥遥领先。柯洁“华山一条路”：等勺。
1700466038# #阿根廷“变天”！当地时间11月19日，极右翼选举联盟“自由前进党”候选人哈维尔·米莱当选阿根廷新一任总统。当天晚些时候，美国前总统特朗普在社交媒体上发文对其表示祝贺，并模仿自己的口号写道“让阿根廷再次伟大”。
1700535027# #巴神的洞察力深合我意，盗版的连皮毛都没学到。
1697423560# #这玩艺值1143亿元？步子迈忒大了吧？先抱团做多，再转融通供内部人做空，一鱼两吃，造孽！
1701414228# #老朋友基辛格的中国缘，堪称时代缩影。
1698134938# #科大讯飞这是跌停了么？难道A股大模型一个能打的都没有？追高捧场的小散们又要买单了吗？
1698282150# #隔夜外盘：美股三大指数集体收跌，纳指跌逾2%，谷歌跌近10%，半导体板块大跌，中概股新能源汽车开“倒车”。
1697510494# #话筒
1697031169# #a股大视野扫了一眼今天的银行股，如附图，什么感觉？
1699965400# #听来听去，准备摆上桌面的应急办法，要小心成事不足败事有余的副作用。。。病急乱投医，特别容易干蠢事。
1700880617# #老胡长见识了，从对股市信心满满到察觉危机重重了。
1702434567# #最应该是定向降息，当年美国次贷危机，咱家给购房老百姓房贷利率打7折，雷厉风行。
1697273663# #还行，从善如流，修补了2个BUG！证监会出台融券政策两条逆周期安排：一是提升融券保证金比例；二是取消上市公司高管、核心员工融券出借。
1700793385# #很多人的认知没有穿透力，苟且于眼前，人云亦云。。。3年前讲公墓历史上首次套在A股波段头部上，信的人不多；2年前讲公墓黑化，养基会死得很惨，信的人同样不多；公司分析上，讲过宁德时代、比亚迪难逃股价透支后的下山路，信的人同样不多。。。都是遥遥领先的预判，无一例外都被验证了。。。金玉良言，独孤
1697434589# #您认为沪综指多少年后突破6124点创新高2007年10月16日沪综指创下6124点历史最高点，转眼16年过去了，您认为A股什么时候再创历史新高？
1702425784# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1699585189# #高处不胜寒，赛力斯豪门“养子”百般难。
1697253627# #君记否？上次救市抓了私募“一哥”徐翔，外号“白大褂”！
1701172688# #林耘丨A股强努整理，北交所降温，长安汽车搭车华为天量天价！
1702434246# #大嘴拿这点小专利嘚瑟，华为车能赢得马斯克尊重么？
1698199773# #看盘面，A股还是三观不正，觉得搞基建那不是又要喝酒干杯了呀？1万亿，怎么也得喝掉2千亿，有些人是这么盘算的么？。。贵州茅台、五粮液，一马当先啊。
1701048093# #我们老派一点的人，信：真金不怕火炼，嘴皮功夫误事。
1697688851# #a股大视野林耘的投资日记20231019星期四，午间收盘：1、指数破位，沪综指直接面对3000点整数关，科创50唯一红盘，上证50跌幅最大；2、成交略放量，两市合计5021亿元，北向资金净卖出78亿元，主力资金净卖出191亿元；3、半导体临危受命，寒武纪-U20cm封板，电机、证券配合，整车、汽车零部件、酿酒
1701263230# #路透的透露：1、华为拟成立的智能汽车系统及部件公司向投资者出售股权后，估值可高达2500亿元人民币。。。2、长安汽车和母公司中国兵器装备集团或分别购买新公司约35%和5%的股权，按估值计算，二者出资额将分别达到875亿和125亿元。。。3、一汽集团和东风汽车集团，正在与华为深入洽谈，搭便车，各购买至多
1697001235# #离“糖衣炮弹”太近！贵州银行原党委书记、董事长李志明接受纪律审查和监察调查。
1696825288# #林耘的投资日记午评：早盘主打华为主题和军工，但架不住旅游酒店、文化传媒、房地产开发、白酒医美等几乎是整个内需主题全方位下跌，结果是维持住了指粒小幅下跌和部分个股活跃，顶不住市场普跌，跌幅超过5%的个股多达110家，个股涨跌比约3：8。。。成交量方面，考虑北向通道关闭，4883亿元成交金额是
1698498003# #上海人大通过决定：赋予“五个新城”更大的发展自主权。估计上海要放开限购了，由“五大新城”自主决策。
1699849447# #微博电台计划
1697869000# #2000多万年前困在琥珀里的这只螳螂，跟现在的螳螂貌似没有太大分别，即是说螳螂在2000多万年的时间里没怎么进化。问题来了：1、A股完成进化有个人样需要多少万年？2、会不会不进化而再退化？
1701317308# #B站公布Q3财报，股价暴跌11%，从历史高点1152港元且战且退至89.75港元／股。。。11月29日晚，B站发布财报显示，三季度营收为58亿元，同比持平，亏损同比收窄22%至13亿元，经调整净亏损同比收窄51%至8.6亿元。较有亮点的是，B站日活用户同比增加14%至1.03亿，突破1亿里程碑，月活用户达到新高3.41亿。。。锤
1699681597# #推测之所以一补再补：1、认错得有人担责，参照“熔断机制”出问题时；2、牵扯的利益方太多，到嘴肥肉都不肯吐出来。
1700754323# #林耘丨汽车地产争奇斗艳，机会不少，但是个股风险也不得不防！
1698674362# #怕了你们A股，加了一道防盗网。财政部：保险资金不得用于收益不稳健、价格波动大、现金流不稳定的高风险投资。
1700454136# #微博电台计划
1698734351# #银行业不止要面对地产爆雷风险，各行各业出了大问题，都得其兜底，协助买单！知道银行业为什么危险了吗？
1699255397# #整半天，暴力上涨的是韩国股市，起步5%！日经225也比咱家涨得多捏。
1698800675# #中金点评：会议强调全面加强金融监管，有效防范化解风险，明确提出做好“产融风险隔离”。会议指出“金融监管和治理能力薄弱”，强调“要全面加强金融监管，有效化解金融风险”。从监管领域看，会议强调了三类风险监管及防范化解工作，包括中小金融机构、地方政府债务、房地产风险。中小金融机构方面，
1698386844# #北向资金收复3000点大关！北向资金扫货进场，净买入52亿元，主力资金跟进，难得也净买入了25亿元。
1698219354# #林耘丨超级利好发行1万亿特别国债防灾抗灾，A股稳了吗？
1702200165# #讲真，股市尤其是基金，掏空的不是6个钱包，是18个钱包，3年困难时期，该到此为止了。
1697175821# #白酒嘛，既是房地产产业链上的衍生品，又是某些买不起房者的移情别恋精神寄托，知道不？结局可想而知。
1697110598# #此时研究，必定可以，静候佳音！商务部：研究进一步取消或放宽外资股比限制的可行性。
1701426073# #摩根士丹利是狠，下调阿里巴巴评级，不解气，还将阿里巴巴从香港股市关注名单中剔除。国内券商学会这一招了没有？
1698556680# #讲真！鼓励重组真不如放开IPO，一个好歹要过五关斩六将相对透明但也问题重生，比如浙江国祥，好歹在众人合力之下胎死腹中了；另一个基本上就是暗箱操作一黑到底，典型的如当年获得特殊关照的360借壳上市！除了内幕交易者和红衣教主挣了钱，二级市场投资者一直在买单。
1701335259# #难得外资先看多。标普：中国房地产即将触底，整体楼市将按级依次复苏。
1701743469# #其实，如果不发钱，就过几年有滋有味“穷日子”，自我调节一下，这才是“识时务者”。
1702520483# #谁放了王健林一马？
1698711594# #保险公司已经在A股失去话语权，社保将资金派给基金管理，跟着混吃混喝，吃相难看不说，今年也难逃亏损了。
1697770295# #3000点争夺战，能否稳住阵脚，伺机反击，除了期待“利好消息”，更需要场内资金找对出击方向！
1699947194# #简评：1、收盘沪综指定格于3056点，小平台维持住了，向上突破拓展空间希望仍在；2、两市合计成交8934亿元，北向资金净卖出21亿元，主力资金净卖出114亿元，无伤大雅；3、个股涨跌比10：7领先，TMT、整车、地产、证券联袂表演；4、个股杀跌收敛。
1698129697# #就问您A股5000多家股票，有多少家值得信赖？50%？40%？30%？20%？10%？5%？2%？
1698927266# #靓仔！华发股份：完成向控股股东等17名特定对象定增，募资净额50.42亿元，价格8.07元／股。
1697426368# #拉上去基民买单，人家根本不怕接了最后一棒。高位出借股票，自己人还能做空再赚一次“下滑梯”，爽歪歪。
1700890872# #李宁崛起再大溃败，教训深刻。其路径大致是本土品牌卖情怀，网红化，高端奢侈品化，然后就没有然后了。。。李宁如日中天时，连易方达基金公司头牌基金经理张坤都跨过香江去捧场的，老林提示过风险。。。李宁之成败，似曾相识的太多了，值得很多中国公司借鉴警惕！
1696821470# #这些年方方面面张口闭口说A股散户太多不好，醉翁之意不在酒，是劝降散户缴枪，人走钱留下，送给基金去玩。。。没说错吧？
1700188061# #借酒消愁愁更愁，白酒凉凉！鼓吹屯酒养老的，怕是要鸡飞蛋打。
1700446217# #早盘进入交易时段，资金撤退有点猛！。。机构喊得凶，跑得快。
1697522485# #靠产品涨价续命，营收及盈利增速不匹配估值水平。要谢幕了，片仔癀。
1700288311# #林耘｜预判断与实证之巧合丝丝入扣。
1698069868# #假如这次是A股的“毕业典礼”，学费必定是个天文数字！。。不排除很多股票下去了上不来，长期一江春水向东流。很多股票，没有前途，没有未来。
1698125127# #老刘用心良苦，但账没算对。A股总市值的大头是国有股和大小非，居民财富在里面的占比是多少？合计市值是多少？怎么就算出涨1000点居民财富增加25万亿的结果来？再说了，为了让服市涨1000点，居民又得投入多少财富进去当炮灰？期间又会产生多少大小非？真的算过账了吗？。。放下屠刀，比什么都强！心心
1698547841# #谁是重组的赢家？
1697598156# #如果，我是说如果有人能借助AI操纵比赛结果和奖金分配，这“老千”就出到没边了，说是“赌场”那都是污辱“澳门”了。
1701929342# #快狗打车从23.150港元／股跌到0.475港元／股，港股跌起来真是无底洞。
1702858692# #证监会重新制订规则，鼓励上市公司现金分红但也警惕异常高比例现金分红。。。为什么要“加强对异常高比例分红企业的约束”，“引导合理分红”？因为现金方红并不是越高越好，必须兼顾保障公司稳定持续发展，防止攀比，防止大股东或管理层借道现金分红分光吃光掏空上市公司。。。视现金分红为投资回报主渠
1700098482# #a股大视野A股低开，市场情绪一般般，个股涨跌比不足2：5，昨日下跌0.24%的科创板50开盘再跌0.35%。。。跟美股、中概股、港股相比，A股放不开手脚啊！
1701919393# #中国石油破位，美油跌破70美元/桶了。
1698219260# #a股大视野林耘的投资日记发行1万亿特别国债带不动科创板、创业板，它们今天还是跌！
1701404451# #a股大视野林耘的投资日记午间收盘：指数调整，北证50领跌2.29%；半天合计成交4660亿元，个股涨跌比8：9稍落后，热点转向教育、游戏、文化传媒等，AI护航，新能源、汽车产业链、电子元器件等领跌，资金撤退。。。个股净卖出长安汽车、比亚迪居前，跌幅超过5%的个股多达80家。。。港股弱势，恒生指数失
1702098867# #问题看得见，破题办法在哪里？
1701248949# #越抓越多啊！广州银行股份有限公司原党委书记、董事长姚建军接受纪律审查和监察调查。
1698289977# #老王流年不利，港股现在这市场环境怎么可能上市？珠海万达商管有意延迟在港交所上市，正商讨向投资者提供补偿以避免触发回购。
1699525886# #总动员了！万科在北京成立万冰雪体育公司。估计主攻冰雪运动及周边，应该是有钱挣的。何况可以盘活资产，扩大影响力。
1700011558# #港股打前哨，恒生指数、恒生国企指数高开约2.5%，恒生科技指数高开愈3%！气氛烘托到位了。
1702396836# #涉及房地产的，直接3条，间接3条，篇幅占比够多，没有“房住不炒”的特别提醒。
