1704024373# #相爱
1703945894# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1704097737# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1699529174# #邓为DIOR邓为就是最帅的憧憬憧憬憧憬
1703249453# #转发微博
1699529012# #邓为超话💎邓为dior💎邓为穿西装气质。。他就是我认为这个世界上最优秀，最帅气，最有魅力的男人哇哇。。
1703510918# #微博KING和QUEEN邓为
1699706796# #舔屏舔屏舔屏
1702144159# #憧憬憧憬“邓为涂山璟dw邓为长相思”~
1704619004# #邓为超话微博之夜加速器愿你被很多人爱
1701299943# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。✨希望你好，希望你可爱，希望你健康，希望你成为自己喜欢的模样。。
1701411961# #邓为超话哇邓为苏易水哇邓为仙台有树。。如果全世界都对你恶语相加，那我就对你说上一世情话🎀。。
1698311237# #为航天事业点赞打call祝贺祝贺打call打call
1699406760# #“邓为dw邓为茶朔洵”~
1700058264# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~抱抱
1704527531# #！
1703510946# #我获得了微博之夜纯粹卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1701678245# #邓为超话爱你邓为苏易水爱你邓为仙台有树。。这世间，终是情缘难勘破，情之一字，不知所起，也不知所终。。
1703086842# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1701745151# #每日一善超话相爱每日一善相爱阳光信用。。人生最珍贵的六种财富：一是洋溢在容颜上的自信，二是融化在血液里的爱国、敬业、诚信、友善。善不可不弘，恶不可不去。善心人人有，快乐你我他。骨气，三是打造进灵魂中的信念，四是蕴藏在心底里的梦想，五是丰盈在大脑中的知识，六是父母给咱
1702867049# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。这世上从来不缺让人心动的新鲜感，但长久的陪伴属实难得。。
1697422841# #即使相隔万水千山，我们依然携手并肩。山海同心，共赴一带一路十年之约
1698754746# #啊啊啊啊啊啊啊啊劳工打call
1702908362# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1699443594# #转发微博
1702144145# #“邓为涂山璟dw邓为长相思”~
1703999508# #和邓为点亮微博之夜给你小心心邓为0226生日快乐。。无论碰见多少个美好的人，我都始终愿意一意孤行，等待和你相聚的日子。。
1697760749# #可爱的为子
1701744998# #邓为超话相爱邓为仙台有树相爱邓为苏易水。。想你是一首缠绵悱恻动人心弦的情歌，为思念而起为爱而唱，为情填词为你谱曲。。
1703414254# #邓为超话相爱邓为仙台有树相爱邓为苏易水。。大巧若拙，待人之道，精明不如厚道。厚道的人懂得感恩，厚道的人懂得宽容。厚德而后载物，厚道是一个人安身立命的基石，厚道的人沉稳而有力，他们以拙胜巧，人生之路往往走得宽阔而稳当。。。
1703767964# #微博KING和QUEEN邓为送花花邓为送花花邓为
1699765829# #传统丝缕交织，新潮氤氲而生。与品牌大使一起，浪漫萦绕，编织一场绚烂迷梦。
1699704193# #彩虹屁彩虹屁
1702269323# #相爱相爱相爱相爱
1702992684# #微博KING和QUEEN。。Food.|火锅进行时。ʚɞ¨̮ᴴᴬᵛᴱᴬᴳᴼᴼᴰᵀᴵᴹᴱʚɞ。₍ᐢ⸝⸝›̫‹⸝⸝ᐢ₎。吧唧一口全部吃掉ﻌﻌﻌ❤︎
1704013151# #转发微博
1702992731# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1704620103# #锦鲤附体，我获得了微博之夜纯粹卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1699839684# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放爱你爱你
1703333245# #微博网友喜爱人物邓为呀
1697774170# #买了买了买了啊啊啊啊啊啊宝宝
1701830243# #邓为超话相爱邓为仙台有树相爱邓为苏易水。。岁月静好，浅浅喜，静静爱，深深懂得，淡淡释怀💌。。
1702790087# #邓为超话相爱邓为仙台有树相爱邓为苏易水。。倾一世温柔，暖一场相遇，茫茫人海中遇见就是缘分。。
1704619860# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1699709781# #舔屏舔屏舔屏
1700058326# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧
1703249543# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1699259771# #邓为超话💎邓为苏易水💎邓为涂山璟。。前路漫漫，即使迷途，也不要轻易折返，你想去看的风景，无论快慢，只要最后抵达就好🎉🎉。。
1699620384# #凛冬降喜！⛄少年心气热忱！❤‍🔥恭喜青年演员解锁品牌大使新身份！这个冬日，和迪奥邓为一起，用肆意的活力与这个世界交手吧！💎💎
1704327027# #闪耀顺滑，轻盈自在。满分状态，从“头”开始。恭喜青年演员解锁全新身份，出任大中华区品牌代言人，让我们携手共赴护发盛宴。
1703426099# #微博KING和QUEEN色色色
1699765517# #当奇异的元素碰撞，绽出一整个时代的悸动，馥郁的花果香氤氲于一丝一缕间，品牌大使👑与携手，邀您一同解锁时光密码。
1702520616# #邓为超话相爱修丽可品牌大使邓为相爱邓为仙台有树。。你是造物者的光荣，是四季不变的郁郁葱葱，是山海云霞里温柔的风。是我所有岁月里，永远的美梦。。
1704619872# #我在微博之夜集卡活动中为送卡成功，你也来给助力TA赢门票吧，本轮集卡数TOP40必得，一起来参与！2024纯真真好戳&gt;&gt;
1703945928# #微博网友喜爱人物邓为邓为邓为
1702520334# #✨穿越光阴，闪耀未来✨流光溢彩，璀璨星辰✨这不仅仅是一次拍摄，更携手演员进行一场对时尚与品味的致敬，他们将带领我们穿越时空，感受流转不息的时尚魅力。
1697774158# #一笑倾人城，再笑倾人国
1704211685# #和邓为点亮微博之夜相爱邓为巴黎卡诗。。人在一起，就是不用说话你就会有心动的感觉。。
1700058352# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧太开心鼓掌
1699762917# #我正在参与微博视界大会种子计划互动，点击链接进入活动，完成播种任务，就能抽取精美好礼，还能获取荣耀推荐机会为自己喜欢的剧综助力！一起来参加吧~
1699704231# #爱你爱你爱你
1699629754# #庆贺成为品牌大使！将奢华、时尚、优雅融于一身，是行走的衣架子，潮流的引路人，青年演员邓为未来可期！💜💜💜
1697865297# #邓为超话抱一抱邓为苏易水抱一抱邓为仙台有树。。你眨眨眼睛，就变成一颗星星，落入我的手心。。。
1704024469# #哇
1698311205# #祝贺神舟十七号发射圆满成功打call打call
1699762901# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~打call
1704529950# #D
1700058332# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧微笑可爱
1703594157# #邓为超话相爱邓为仙台有树相爱邓为0226生日快乐。。愿你的未来纯净明朗，像你此刻的可爱目光，在世间美好的命运中，愿你的命运美好欢畅🤞🏻。。
1697543133# #💎与前排来➕权重套
1699629764# #经典风格与当代理念碰撞融合，诞生魅力美学宇宙。恭喜官宣品牌大使，见证创世余晖，增墒时尚引力。
1699839644# #种子计划微光合伙人们已就位，快来和我一起参与
1703940016# #和邓为点亮微博之夜相爱邓为0226生日快乐。。我叫草莓，你就会改吃草莓。我叫吃草莓，你就会改我爱吃草莓。。
1699697737# #与经典美学邂逅，跳动时尚旋律。和品牌大使一起，在经典的永恒与现代的瞬息之间，谱写交响乐章。
1703939704# #愿你眼中总有光芒，活成你想要的模样送花花送花花送花花
1704468216# #给邓为的专属告白
1703945936# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！驾驭高能时刻来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1703147431# #微博KING和QUEEN
1703640141# #邓为超话相爱邓为0226生日快乐相爱邓为自有银河。。世界很大，幸福很小。有你陪伴，一切刚刚好🧡。。
1699762991# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧色
1702992730# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1699366600# #最帅的邓为哇哇
1699839673# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~打call打call
1697422906# #即使相隔万水千山，我们依然携手并肩。山海同心，共赴一带一路十年之约
1700724309# #转发微博
1702719620# #邓为超话相爱邓为仙台有树相爱修丽可品牌大使邓为。。不论去哪儿，都要带上自己的小太阳，内心暖暖，信心满满*^^*。。
1704620013# #微博之夜年度盘点火热进行中！一起来推荐并分享今年你认为最好磕的电视剧吧！参与即可获卡，赢取微博之夜盛典门票！戳&gt;&gt;
1703033492# #转发微博
1701412050# #每日一善超话666阳光信用666每日一善。。信心锻造伟业，信念燃烧激情，欲望产生希望；有梦想的人生才是完美的，有积极的心态才是完整的；人必须相信自己，这才是成功的秘诀。
1699669002# #憧憬憧憬
1704369269# #注入层层甄选，滋养寸寸细微。与大中华区品牌代言人一起，守护每一缕柔光。
1704620178# #我获得了微博之夜真意卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1704097711# #我获得了微博之夜纯粹卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703249518# #微博网友喜爱人物。。✨✨✨✨💜💜✨✨💜💜✨✨✨✨。✨✨✨💜✨✨💜💜✨✨💜✨✨✨。✨✨✨💜💎DENGWEI💎💜✨✨✨✨✨✨✨💜✨邓为✨💜✨✨✨✨。✨✨✨✨✨💜✨✨💜✨✨✨✨✨。✨✨✨✨✨✨💜💜✨✨✨✨✨✨
1701250179# #邓为超话相爱邓为仙台有树相爱邓为苏易水。。我还是很喜欢你，像风走了八千里，不问归期。。
1701929987# #送花花送花花送花花
1702455615# #吾辈自强
1702144267# #送花花送花花“邓为苏易水dw邓为仙台有树”~
1704369278# #拼搏的路上有多凌乱，都知道，和大中华区品牌代言人一起，洗净三千丝烦恼，拒绝内卷，从容不迫。
1703246853# #冬至快乐呀呀呀呀送花花送花花
1699709787# #爱你爱你爱你
1699839690# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~憧憬憧憬
1703086846# #我推荐《万物不如你》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1700627386# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。在阳光下和喜欢的人一起筑梦，是幸福🥰；守着一段冷暖交织的光阴慢慢变老，亦是幸福🥰。。
1703086802# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1699839678# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放666666
1704529933# #给你小心心
1700058259# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~
1698754792# #好漂亮的彩虹🌈🌈🌈
1697543149# #💎💎✨相思相望多时，快来看🦊🦊清风霁月、人间风华的涂山璟邓为涂山璟💎不负思念，不忘相守💎。期待大荒巡礼狂欢夜的精彩演出！
1699629771# #演绎多彩人生，传承青年理想，青年演员携高雅、精致为代名词的高奢品牌与你共度暖意冬日！愿岁月如歌，流逝无痕。
1702455607# #缅怀先烈
1699704238# #憧憬憧憬憧憬
1704467725# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！驾驭高能时刻一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1704468137# #定格微博之夜星光汇聚美好，共赴年度盛会！微博之夜盛典直播预约已开启，速戳预约&gt;&gt;
1702993358# #微博之夜。。✧☆✩𝕜𝕒𝕜𝕒✩☆✧。今天长这样。明天长什么样，我再想想办法
1699444186# #转发微博
1700812025# #每日一善超话打call每日一善打call阳光信用。。自信是一种情节，它可以使人变得高雅：自信是一种心态，它可以使人变得高大：自信是一种气节，它可以使人信服。
1704550086# #微博之夜年度盘点火热进行中！一起来推荐并分享今年让你最舍不得倍速的电视剧吧！参与即可获卡，赢取微博之夜盛典门票！戳&gt;&gt;
1703939782# #哇哇
1704619985# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1702189615# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。你是日落，是晚霞，也是心动，而我永远只为日落和晚霞心动😀。。
1702520323# #冬日来信✉，期待定格少年卓然之姿，与时代同频共振，书写世纪新章程。
1703249547# #锦鲤附体，我获得了微博之夜真意卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1704183746# #锦鲤附体，我获得了微博之夜纯粹卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1702627364# #邓为超话相爱中戏老师评价邓为相爱邓为冬季刊。。夏天遇见冰棍，冬天遇见红薯，我遇见你，这些都是世间最美好的事情🍠。。
1700058421# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧心
1700542459# #每日一善超话相爱每日一善相爱每日一善感悟正能量。。🌈不想输所以一定要用尽全力奔跑在想要成为自己仰望之人的路上偶尔也会感受到自身渺小偶尔也会觉得压力大到喘不过气庆幸的是偶尔也会试着跟自己和解当感到焦虑时为自己调解情绪打call打call
1699762964# #种子计划微光合伙人们已就位，快来和我一起参与
1699748071# #舔屏
1704468140# #我获得了微博之夜纯粹卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1704550088# #我获得了微博之夜纯美卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1702993379# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1699411008# #“邓为苏易水dw邓为”~
1704620014# #我获得了微博之夜纯粹卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1697596847# #💎💎☘️“我在”此地，寻你护你🍁心如磐石无转移💫你在此刻，相伴相依，人间聚合终有时🎉
1704097768# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！驾驭高能时刻来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1700627116# #每日一善超话💕每日一善💕阳光信用。。💖💖从树立奋斗目标，我们就能判断他的个性和本质。个人是自己命运的主宰，真正的强者就是那些勇于与命运抗争的人，将一切灰心丧气都抛到九霄云外去了
1699075761# #邓为超话🥥邓为仙台有树🌲邓为苏易水。。🍏🍎🍐🍊我的期待有很多，比如睡到自然醒，比如醒来就能看到我爱的天气和你。🍋🍌🍉🍓。。
1703333250# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1702356419# #邓为超话相爱邓为仙台有树相爱邓为苏易水。。如果你非要问我幸福是什么样子的，那就是一见你就笑的那个人😊。。
1701998887# #邓为超话相爱邓为苏易水相爱迪奥品牌大使邓为。。你在身边时，觉得静静地靠著你，即使不说话，也很好。。
1700812103# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。打call勇敢地做自己，不要为任何人而改变。如果他们不能接受最差的你，也不配拥有最好的你相爱。。
1699762906# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧666
1704620169# #微博之夜阵容官宣相爱相爱相爱
1697760584# #转发微博
1701829733# #邓为超话抱一抱邓为苏易水抱一抱邓为仙台有树。。能让我感到炙热滚烫的，是嘴唇到手指的温度😊。。
1697774145# #我有点花心，喜欢每一个你
1699762890# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放
1702993465# #转发微博
1704010913# #微博KING和QUEEN邓为邓为邓为邓为
1704467695# #微博网友喜爱人物邓为邓为邓为
1699620390# #不断寻求挑战，打破认知限定，不断完善自己，前进永无止境，携手品牌大使一起不断突破，完善自我💎💎💎
1701918390# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。抬头望天，天上的星星⭐越多，我对你的思念就越多。。
1697783921# #和邓为一起科学护肤吧
1702993453# #我获得了微博之夜简单卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1698057784# #搞点驱蚊的，不要再被蚊子咬了，不然我要误会了害羞
1702438721# #每日一善相爱阳光信用。。人之初，性本善。上善若水，大爱无疆。慈心为民，善举济世。无缘大慈，同体大悲。众善奉行，诸恶莫做。慈善的行为比金钱更能解除别人的痛苦。怀有仁爱之心谓之慈，广行济困之举谓之善，慈善是仁德与善行的统一。
1699615828# #颠覆定义，展现率性自我，恭喜青年演员解锁品牌大使新身份！
1703333090# #微博KING和QUEEN送花花送花花送花花送花花
1699411079# #“邓为dw邓为修丽可”~
1699406750# #“邓为dw邓为涂山璟”~
1703147466# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703426209# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1703511004# #锦鲤附体，我获得了微博之夜纯真卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1704550128# #我获得了微博之夜简单卡等2张，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703086826# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1704183733# #微博KING和QUEEN邓为邓为邓为邓为
1699620377# #当奇异的元素碰撞，绽出一整个时代的悸动，馥郁的花果香氤氲于一丝一缕间，品牌大使👑与携手，邀您一同解锁时光密码。
1700058267# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放
1701435129# #邓为直播只要你好好的，其他的一点都不重要
1704091682# #和邓为点亮微博之夜相爱邓为巴黎卡诗。。㊗️冬天是个浪漫的季节，有不期而遇的惊喜和人。。
1700058270# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧
1698035549# #粉丝认证号我刚刚领取了邓为粉丝认证号No.4709917，马上领取粉丝认证号，官方盖章你值得拥有！
1703249470# #微博KING和QUEEN抱一抱抱一抱抱一抱
1704619975# #转发微博
1702207980# #今天又是什么猜猜猜送花花送花花
1699762893# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~
1703945940# #锦鲤附体，我获得了微博之夜真意卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1702952834# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。我想和你从清晨到夜晚，一起走过以后的每个春夏秋冬💗。。
1704550072# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1700567143# #邓为超话超话星愿池非正式跨年派对邓为和钻石永远在一起
1698754736# #啊啊啊啊是大海，谢谢宝宝带我看海吖～打call打call打call
1704467743# #我获得了微博之夜真意卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1702269166# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。我知道你也在向我靠近，星河万顷都是你的见面礼，所以我也走向了你，暮色千里皆是我的回礼。。。
1702993407# #转发微博
1699763009# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放
1703768037# #微博网友喜爱人物邓为邓为邓为
1702993326# #微博之夜。🍥🍥🍥🍥🍥。不一定每天都很好。但每天都会有些小美好在等你❄️
1699697751# #彩虹屁彩虹屁
1699748255# #大🏠和超莱克就指望各位同担了，因为这个🐀实在脆弱，我只能搞搞📚局了，之后我一定好好🐏耗，争取全部都是超莱克，争取每个都能很多🍎，很多👍🏻
1704550147# #我在微博之夜集卡活动中为送卡成功，你也来给助力TA赢门票吧，本轮集卡数TOP40必得，一起来参与！2024纯真真好戳&gt;&gt;
