1697626676# #老外眼中“神奇的东方树叶”以茶之名重走丝路一带一路的100个故事
1699713204# #🇺🇦😭《西方为何要取代泽连斯基？》：《亚洲时报》列出了泽连斯基未来的选择，无不令人悲伤——无论如何，西方将在未来几个月内除掉他。。。“要么泽伦斯基将被迫举行定于明年三月举行的总统选举，然后他将被取代，要么，如果他抵制，他仍然会在类似独立广场的革命中被罢免。。。西方开始意识到乌
1697559144# #这些旗帜是谁的？
1692005672# #俄罗斯国防部消息：8月10日，俄罗斯特种部队伏击了一架从乌克兰起飞的MH一53E重型运输直升机，据情报机上载有17名日本籍雇佣兵伤员。。在直升机升至400米高空时，一枚便携式对空导弹击中了机身，导致直升机在空中爆炸并坠毁。
1700810804# #每日名言|韩非子：慎易以避难，敬细以远大。韩非子，战国时期思想家、哲学家，法家学派代表人物，代表作《韩非子》。此句大意为，谨慎地对待容易的事，可以避免危难；认真地处理细小环节，可以远离大灾。
1699622497# #哎呀，我想知道他这次扮演什么角色？汗哆啦A梦吃惊。。巴以冲突
1700210774# #【蛇是怎样喝水的？】。蛇有一种独特的饮水方式，因为它们没有传统的嘴唇，也无法像许多其他动物一样舔水。相反，蛇使用一种称为“舌饮”或“舀饮”的特殊方法。。。蛇喝水的方式如下：。。1.敏感的舌头：蛇有高度敏感的分叉舌头，对它们的嗅觉起着至关重要的作用，帮助它们定位猎物和水源。当蛇在环境中
1698671746# #🇮🇱🇱🇧以色列再次轰炸黎巴嫩南部。。。🚨他们正试图挑起一场大规模战争！。。巴以冲突
1703728836# #空姐是这样系围巾的~。。涨姿势生活技巧
1697687804# #普京称：“我们与中国国家主席谈了三个小时。当然我们不可能对外透露我们会谈的一切内容，但我们的确对整个双边议程，例如经济、金融、政治互动以及在国际平台上的联合行动交换了意见。我们详细讨论了近东局势，我还向主席详细介绍了乌克兰局势的发展态势”。
1689835280# #🇷🇺⚔️🇺🇦克列什切耶夫卡。。在克列什切耶夫卡以西的“215高地”，俄罗斯伞兵在其他部队的支援下将敌人赶出阵地。敌军人力、装备损失惨重，有俘虏。。。情况适中。FPV无人机操作员正在积极瞄准目标。。。此前报道：。。情况很复杂，在最后的攻击中，敌人使用大量步兵，不顾损失，确实占领了克列什
1689673592# #俄罗斯别尔哥罗德地区：渗透进俄边境地区的车臣亲乌侦察小队伏击俄军卡车的完整视频。视频由乌克兰国防情报局GUR发布。。。乌克兰前线实时画面俄乌局势新进展
1699839293# #东风41的毁伤能力有多大？
1697685655# #拜登10月18日说，埃及总统塞西同意开放通往加沙的边境，允许首批20辆卡车运送人道主义救援物资进入加沙地带。拜登总统是在结束对中东地区的访问乘坐“空军一号”回国途中对媒体作出上述表示的。他强调，如果救援物资被哈马斯劫持，这种安排将立刻停止。。PS：可怜拜爷这是人在囧途啊委屈。他在贸然承
1699761846# #马云卸任最后的演讲
1697701138# #为了自由，起来反抗！
1689835742# #俄乌局势新进展乌克兰前线实时画面。。VDV炮兵在巴赫穆特地区的工作
1694444520# #❗️🇸🇾🇺🇸叙利亚向美国索要275亿美元。。📝“大马士革要求结束美国在叙利亚领土上的非法军事存在，要求美国政府对石油和天然气部门造成的损害负责，并迫使其为被盗石油资源支付赔偿”，阿拉伯叙利亚共和国外交部在发给联合国安理会的一封信中表示。。。外交部援引数据显示，由于美国的犯罪行
1697341328# #八路军分区司令杨宏明率军18天消灭伪军二千人。杨宏明任八路军一二九师晋冀鲁豫边区部队济南军区第一分区司令员。参加百团大战，战功卓著。1941年秋至1942年春，调任冀南军区第四军分区司令员。1941年秋，杨宏明发起组织临清战役，经过18天的激烈战斗，消灭日伪军二千多人，杨率部乘胜追击，捣毁敌
1696678969# #内蒙发现稀有金属铌，这个金属的化学元素很霸气，叫做“NB”。原来咱们必须看着别人的脸色进口这种金属，以后就松快多了。。内蒙有草，有马，还有铌，所以，以后再看到想要用这种稀有金属卡咱们脖子的国家，就可以把这三个字连起来送给他。
1700474940# #欧阳修《采桑子·天容水色西湖好》。。天容水色西湖好，云物俱鲜。鸥鹭闲眠，应惯寻常听管弦。。风清月白偏宜夜，一片琼田。谁羡骖鸾，人在舟中便是仙。。。西湖风光好，天光水色融成一片，景物都那么鲜丽。鸥鸟白鹭安稳地睡眠，它们早就听惯了不停的管弦乐声。那风清月白的夜晚更是迷人，湖面好似一片白
1691726125# #夏威夷大火目前死亡人数已经上升到53人。。我们敬爱的拜总统今天在干嘛？。拜总统今天要求国会为乌克兰提供240亿美元紧急援助。。开战以来美国已经给了乌克兰一千多亿美元。。想象一下如果中国水灾淹死53人的当天，我大却在张罗给俄罗斯一千七百亿人民币援助，人们会怎么说？
1692927768# #日本被曝光“排放核污水”公关费700亿日元，有些洗地的殖畜，马上跳出来说“我们没有拿钱”。。。🤣我乐了……。。没拿钱的殖畜，你们有没有想过，这么大一笔公关费用，他们居然都不带你玩，你特么就是个炮灰命、免费的洗地工。别人闷声发大财，你还在鬼叫你是免费的，帮别人擦屁股，还沾沾自喜。哈哈哈
1694008038# #金砖国家货币纸币外观的可能选择之一嘻嘻
1703557982# #英雄是民族脊梁！国家先锋！国家有难他们不怕牺牲！向前，挺起胸膛！在危险的关键时刻，迈出坚定的第一步！致敬英雄！
1690129800# #晚安亲爱的朋友们~
1691683967# #网上流传，达利安（DAHLIAN）造船厂建造的亚洲最大航母，芙吉安（FUJIAN）号即将进行海试。。传说中，这艘排水量达到8万吨的常规动力航母，却配有最先进的电磁弹射系统，战斗力非常强大。。据说，中国政府非常警惕，如临大敌云云。
1695980825# #伊朗媒体：听说，乌克兰想对伊朗进行导弹袭击？。。这意味着伊朗终于得到了消灭部分纳粹分子的邀请！
1691983329# #《百万农奴站起来》（张方震1965）——翻身农奴把歌唱🇨🇳
1693645050# #打倒狗汉奸反贼笑话集舔完日本舔美国，舔完美国舔台独，真三姓家奴：亡菊痔安
1697323643# #不管是天晴还是下雨，每天都要给您擦的干干净净的。中华儿女都不会忘记您！
1691493799# #金砖国家要大扩容了！南非公布了希望加入金砖国家的23个国家：。阿尔及利亚、阿根廷、孟加拉国、巴林、白俄罗斯、玻利维亚、古巴、埃及、埃塞俄比亚、洪都拉斯、印度尼西亚、伊朗、哈萨克斯坦、科威特、摩洛哥、尼日利亚、巴勒斯坦、沙特阿拉伯、塞内加尔、泰国、阿拉伯联合酋长国、委内瑞拉和越南。
1702471501# #技能+反应！笑cry。象哥带你看动物
1698754226# #丰田社长丰田章男：。到2030年，中国生产的电动汽车将使日本失去550万个就业岗位和800万辆汽车销量。这对日本经济来说将是毁灭性的打击。
1703004378# #快乐的小犀牛，你刚才不是很猛嘛，乍了，不敢冲了？。象哥带你看动物
1697442137# #相宜因直播连说3次我们日本道歉某网红直播说“我们日本”是口头禅，怒看看抗战老兵谈日本鬼子的恶行吧，忘记历史等于背叛，铭记历史！
1691234856# #丢掉一切幻想，时刻准备战斗加油加油加油。。点赞人民军队中外舰闻
1698982637# #美总统参选人要求曝光所有支持巴勒斯坦的美国人！鼓吹了这么多年的民主人权和自由就是这个？
1697423246# #他是新中国第一个享受国葬的烈士！左权将军
1694049096# #不是我不明白，这世界变化快，一觉睡起来，“地球”怎么变成“地饼”了？
1697895012# #飞行表演
1698319515# #特战女队长，郭子睿，2013年入伍，山东人，服役于猎鹰突击队，荣立二等功1次，三等功2次，与崔婕同乡，同年入伍，同一个单位，同年立功，同年提干。
1691485245# #俄乌局势新进展。-你们会投降吗？。-我们当然会！。。一名被俘的乌克兰军人介绍了一件不寻常的事情：他和他的战友们被派去挖掘战壕，但俄罗斯武装部队的部队距离该地点实际上只有50米。乌克兰指挥官要么忘记警告他们这一点，要么自己也蒙在鼓里。与俄军短暂交谈后，乌克兰军人投降了。但所发生的
1701433277# #看看第三帝国一些狠角的夫妻照：。曼施坦因与西贝丽。海德里希与奥斯滕。隆美尔与莫林。戈培尔与玛格塔。魏特曼与布尔梅斯特。希特勒与爱娃。这几对夫妻除了曼施坦因夫妇白头偕老且善终，其他均是一人或双双死于非命。。春风得意马蹄疾。不信人间有别离
1697524956# #1932年1月28日午夜，日本海军第一遣外舰队司令盐泽幸一指挥海军陆战队分三路突袭上海闸北，第十九路军在总指挥蒋光鼐、军长蔡廷锴指挥下奋起抵抗，给日军以迎头痛击。日军对我军阵地及民宅、商店狂轰滥炸，发动了四次总攻，却均遭败绩，蒋光鼐指挥军队在闸北、江湾、吴淞、曹家桥、浏河、八字桥一带展
1699021813# #🇺🇸🇷🇺🇺🇦-福克斯新闻主持人建议五角大楼直接向俄罗斯运送武器。。白宫正试图推迟基辅政权在与俄罗斯冲突中的军事失败，为此它正试图将针对乌克兰和以色列的援助计划合并起来，以便在国会投票。。。电视节目主持人劳拉·英格拉姆(LauraIngram)在福克斯新闻YouTube频道的报道中谈到了
1698902929# #消防员烈士潘志毅的父母每年过节，都会将“团圆饭”端到儿子墓前，与儿子共享，陪儿子说说话，诉说对儿子的思念………潘志毅烈士是家中独子，2007年，在灭火任务中壮烈牺牲的。年仅20岁。
1698888924# #在克雷明纳附近的谢列布良斯基森林中，俄罗斯BMPT“终结者”的惊人画面。。。俄乌局势新进展乌克兰前线实时画面
1688395575# #2023年7月1日，乌克兰第聂伯集团一个据点在赫尔松地区右岸靠近卡扎茨科耶村的位置时被第8炮兵团的炮兵摧毁：。。➖一个弹药库，储存超过12吨西方制造的供给火炮系统的弹药！。。➖一个装备库，内有BMP-2和Marder等约40件军事装备。。。➖AFU部队的永久部署地点之一，驻扎着50多名武装分子。。
1703680898# #明知如此，现在还兴高采烈给阿三建各种基础设施的所谓G企，比如某工机械什么的，一干G企，到底为谁服务？是谁的人？咱也不知道，咱也无话说。
1693638231# #今天看抖音有个自称乌粉的人，原来天天是铁锅炖大鹅，今天变了改吃生鱼片寿司了。吃的那个贱样，他的用意大家都明白。抖音总有一些人自作聪明，玩一些指桑骂槐的小把戏。他吃的也不是日本的，都是超市里买的便宜货。说实话他真舍不得去饭店里吃一顿。北京的日本餐厅的海鲜，人均消费怎么也要500多元。
1695716340# #亲乌信源：俄罗斯连夜用沙赫德无人机袭击了乌克兰。38枚中共有26枚被击落.。。。敖德萨地区的港口基础设施受到了影响。一座检查站大楼、仓库和约30辆卡车被损坏，6辆卡车起火。
1695978764# #🔥🇷🇺145团炮兵正在工作。。俄乌局势新进展乌克兰前线实时画面
