1696511607# #世界贸易组织：将2023年商品贸易增长预测下调至0.8%（之前为1.7%），将2024年商品贸易增长预测上调至3.3%（之前为3.2%）。
1700986688# #赞看缘分
1696590416# #你小时候读的第一本长篇小说是什么？。。我先答，鲁滨逊漂流记！
1696851368# #500亿，上万亿？这目标有点太。。。
1702650716# #来自网络：据悉，《现金分红指引》修订内容主要包括三方面内容。。。具体来看，一是进一步明确鼓励现金分红导向，推动提高分红水平。对不分红的公司加强披露要求等制度约束督促分红。。。二是简化中期分红程序，推动进一步优化分红方式和节奏。鼓励公司在条件允许的情况下增加分红频次。。。三是加强对异常高
1690864839# #市场活跃起来了是好事，活跃起来，板块此起彼伏，只要不是覆巢无完卵，我认为就是投资好时光，还管它鸟的指数！我还等着自己的基金创新高呢，快了！
1702363370# #今晚七点半微博直播，不见不散～预计一个半小时！
1692835704# #有人疑惑，为啥我画的图下面还有一定空间，不等跌到再说。这个问题很简单啊，股市不是我家开的，我画的图可能误差会很大，在细节上指数可随心所欲，用后视镜看真正的图都能圆回去，所以我只要模糊的正确，也不要精准的错误。太计较的人着相、刻板，生怕亏一点钱，有利想尽占，是吃不下大行情的！
1702684878# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1702944078# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1687329162# #昨天我发博讲了大小曲线吸du的事，建议她们去做检测，但是有网友表达了不同意见。觉得去不去是个人自由，没有证据就不应该诽谤，这种观点似乎陷入了罗生门。具体该如何看待？中午抽几分钟拍了个视频，我想站在经济学的角度，来剖析这件事的正确做法。你们看是不是这个道理？
1696504363# #在一些人看来，写书是一个基金经理塌方的开端。我却觉得，那要看写的是什么了。我的写书过程伴随了我做基金的整个过程，它是我投资体系的思考、总结和升华。所以是书和人一起在进步的。写的时候，我不去想传世，不想写秘笈，我也写不出战法，在我这也没有不带刺的玫瑰。我只是活在当下，在每个深夜里做
1690115098# #下周要上个巨无霸汉堡，华虹半导体，请知悉。一般哪个板块的巨无霸在板块一大波行情之后上市，是不太吉利的。不过也没事，期待大盘走势终完美求饶
1692598612# #新低新低，缩量缩量，地量终于迎来地价！吃瓜
1701775397# #中国人不笑话中国人苦涩
1701325409# #去年跌了，今年没跌
1688137450# #一直没能顺利建仓，痛失我爱允悲
1693056605# #评论看越多，越觉得庸人忧自扰！不看了吃瓜
1703157470# #19:12:05【时隔两年多叶飞案正式落幕：获刑三年并处罚金五十万元】财联社12月21日电，近日，青岛市中级人民法院发布一批证券期货犯罪典型案例，其中一例为网络大V叶某伙同他人炒作操纵证券市场案。记者从知情人士处获悉，该案中叶某即为叶飞。随着处罚落地，时隔两年多，叶飞案也正式落幕。据青岛中院
1694822847# #跟我一样从没在薇娅、李佳琦、小杨哥、罗永浩、广东夫妇、辛巴、东方甄选直播间买过东西的，请举个小手。你不要轻易相信他们能把价格打下来。以后刷到直播间卖东西，可以先到某宝某东上比比价，一般直播间可能还贵一些。比如小杨哥那有款椰子水99一箱，我去某宝买，才94一箱！
1689049023# #在金融科技里，恒生电子一直是个不错的赛道选手，一直看一直没碰，还是因为它的市场估值大部分时间是偏高的。所以我就可选可不选了，但偶尔会看。牛市也会利好于它的。愿再降一些！
1689145466# #是啊，往上涨一万点可以完成下面补缺呀，呆子
1693457633# #深圳准备迎接十七级大台风！
1690704768# #心里只见涨跌，不见市场和参与者的众生相，如同只见树木不见森林，这样绝不是一个高明的股手！
1704164252# #哎，开年第一天拉黑人，实非所愿。还是有些人嘴太贱了。总喜欢诅咒别人。低层次。别人过不好你就能好？我祝愿你们都可以活得开心喜悦健康一点，财富自由一些。耶
1702569406# #微博现在是满满的求生欲啊，不让发看衰经济的东西。咱也自始至终是相信自己国家的。只是股市近期表现与国际比差了不少，赶紧知耻而后勇吧。人民币的表现已经很勇了，A股请跟上！
1704038761# #2024了，新的一年，所有粉丝一起加油，改变自己，改变命运，迎接新未来，登上新征程～
1702037399# #中证指数有限公司将于2024年1月2日正式发布中证A50指数。。来源：财联社2023-12-0820:08:21。。中证指数有限公司将于2024年1月2日正式发布中证A50指数。中证A50指数选取50只各行业市值最大的证券作为指数样本，行业分布较为均衡，更全面刻画各行业代表性龙头上市公司证券的整体表现。
1689835145# #坦然面对，心很安，而且想静一下，不多说为妙，潜心学习ing
1687223485# #有没有这种可能，大曲线是因为吸du身体才不好的，不是说曾经因为du还流产过吗？小曲线又作何解释？解释就是掩饰，干嘛不去验一验呢？怕成下一个周立波吗？
1693118182# #中信证券：底部信号明显把握增配时机。。中信证券研报指出，当前正处政策落地期，预计经济将逐月环比改善；回购潮与自购潮预示下市场底部特征日益明显；8月来北向资金流出已接近5年来极端情形，同时ETF月净申购创6年新高；当前A股已具备年度配置价值，并已步入“伏击区”，建议择机布局产业和政策主题。
1694938233# #哈哈哈，一语中的！
1698799512# #有签名，邮费我贴！来吧
1699495854# #盘中波动好像没什么可怕的！
1690468745# #哈哈，不重要了，如果我不是俩医疗拖后腿，基金早创新高了。只要医疗提前走出来，我也就走出来了哈哈哈哈哈哈
1699975969# #场子先热起来了，晚安，先做个好梦，成真！
1699544824# #茅台和华为？？？？
1696920154# #韩志国教授在微博的时候，我比较内敛，从没好意思要过vx，现在死活联系不上他，就是纯粹想送本我的新书给他。可惜，问了他亲友也没等来。你们给支支招吧！
1703899673# #2023年度中国房地产十大企业新闻：万科反击做空，碧桂园突围，融创走出至暗时刻，万达迎来白衣骑士
1687404997# #历年结婚离婚走势图，单身狗保持沉默！
1691591755# #今日收评：本周连续调整三天，量下去了，三十分钟走势出现底背离。券商调整面扩大，医药股在巨大的噪音中回暖，特别是昨晚药明康德爆出1%的大额减持，今天不跌反涨。总之对于医药股一句话就点透了，为了行业规范，反腐利好的首当其冲是那些龙头股白马股，杀的只是害群之马！科技股资金被虹吸失宠，布局
1696667798# #一点心里想法吃瓜
1700817410# #最近没提北交所，是因为暂时觉得自己还不适合这个市场。流动性问题还是有疑虑。之前打过北交所新股，后来也停止了。也是流动性问题。
1693144889# #消息虽来，还是想跟大家说一声，一定要远离喜欢吹牛的博主。频频吹牛吹嘘自己的，要么是无知，要么是有所求，都不是好事。随着学习的深入，越来越感觉到知识的匮乏，无知的惶恐，有时间天天哪有那闲工夫抓住点啥就一顿吹。有时间，多学习就好。智慧是有重量的。最可怕的是，总是吹嘘自己牛逼的，居然连
1696584838# #人要时刻对学习读书这种事保持敬畏。知道为什么那么多散户包括专业人士学习了很多还是结果不理想吗？就说句大实话吧，不是他们看了书后觉得没用，还是看的太少思考的太浅了。没有引发质变效应！所以，那些动辄跟你说读书没用的，实际上是认知固化的表现，这种人我是一不合作、二不交友、三不同情的。亏
1700966079# #基金亏损，管理费按市值算自然就减少了啊
1688982613# #茅台冰淇淋跟襄阳牛杂面更配哦嘻嘻嘻嘻嘻嘻。。对于不喝酒的人来说，冰淇淋里的一点点酒味，就像是一个喝醉酒的人在靠近我，尝一口味道挺新奇，再尝就想躲了…
1690029683# #财联社7月22日讯（编辑平方）马斯克7月14日带领xAI创始团队在TwitterSpaces上完成了第一场语音发布会，会议中提到“一年内将由芯片短缺变为变压器短缺，随后两年内出现电力短缺，未来最关键的指标将是每单位能量的有用计算”。。。实际上，美国已饱受变压器短缺之苦多时。截止2022年年底，配电变压器平
1702207364# #当不管什么利好，股市就是不给反应的时候，本身就是该买股票的时候，怕是因为人性，不怕是因为经验。
1699775312# #一个信息量爆炸的周末，明天走势很关键
1702353236# #午间新浪财经的市场盘面板块解析
1691893161# #对于中国股市常年走不好，而管理层能做但没有做的事情，超量ipo我认为并不是首当其冲的。打头阵的应该是大小非减持。对于很多上市公司实控人来说，上市即终点，面对一夜暴富，心态即刻发生变化，干实业干一辈子都不一定有一上市就享受的高市盈率带来的多。有的公司搞员工激励，一个有限合伙的账户，里
1701654884# #早上莫名其妙吃瘪，上周五不是回了点资金嘛，那还犹豫啥
1693129503# #周一，金融和医疗，绝代双骄！吃瓜
1695126989# #我的方法可以说大道至简了，如果不是发微博，像什么这些指标，量能啥的，我都可以不看了。我关注的点可以很少，但都涉及本质性问题，但正是因为不考虑很多表面的东西，反而很多半生不熟的炒手喜欢拿来指点江山激扬股市。有些话不讨喜，还是要说，散户靠那些线靠热点靠分析经济不可能存活于股市！
1696317235# #人生最重要的5大投资:。。第一、用运动投资健康；。第二、用自律投资形象；。第三、用真心投资关系；。第四、用学习投资能力；。第五、用善良投资人品。
1694239724# #巴菲特很少买十五倍pe的股票，而且股票还得好，现在很多股都达到巴菲特的建仓标准了，一堆人天天嚷嚷着北向流出、股市基本制度不改（眼瞎吗）、嚷嚷着要破3000点，炒股票是在炒指数吗？宁要模糊的正确，不要精准的错误，这才是炒股之道。坚持低买高卖，在价值黄金区主买，等待市场熙熙攘攘！管理层搞好
1697189532# #买十本新书的我爹在帮忙打包，说了十本送一件我做的股市题材的T恤，立马兑现！哈哈忙了一下午，才签了五百本，老眼昏花黑线
1689928437# #我心态确实比很多人好一些，主要基于两方面，一是对未来的路线图很清晰，也很坚定，不会因短期走势而迷失自己；二是良好的操作习惯和对风控的理解和把握，当我把回撤都控制住了，跌了那么几个点，当你再面对腰斩的股票的时候，你心态当然也会好很多。那涨起来，基金不是分分钟就新高了吗？有这种确定性
1690556561# #这些内容真不算啥，系统性的东西用微博没法写，我写的书才算真正的干货，属于十年后看也不会过时的那种！
1698742019# #哎，咱也不达标丫。。PGM：陈奕迅——淘汰～～～
1703683995# #一公斤DNA可储存人类所有文明！
1699194131# #董宇辉直播间只有几百个人的时候，他坚持下去，后来才火的。不是等火了，才又继续带货的。总有些人喜欢走捷径，还喜欢教别人走捷径。很多人炒股票也是，总想着天上掉馅饼。我写书也是，总有人教我等四千点五千点。都这么会抓时机，也没看见几个能改变自己命运的。凡事不可能事事完美、顺心，我目前无论
1699430972# #今天持仓几乎没变化，只是加了点水泥龙头和银行！然后，坐等我大A变成你们最爱的黑桃A！嘻嘻
1688216050# #曾经也好过一段时间的老情人，一看也这么惨，医药股也会有春天吖～允悲
1698492491# #大厨做的菜，点评一下吧嘻嘻庆祝小朋友过一周岁生日🎂
1692194222# #今日收评：前三天，是说反弹不是底，是底不反弹。今天价量涨跌关系无大碍，实际上上周五暴跌也是无碍的，就差一个完美技术走势，补缺让市场进入完备状态。所以勿慌，今年还有新高！机会——主要是时间周期，我很坚持这一点，已经越来越近！券商机会照旧，消息真空期，朦胧美更美。医疗股利空出尽，银行
1702875163# #吕良伟和他儿子，感觉不太像啊，这逃跑的基因🧬
1695107108# #好吧，就告诉你，节前我选择向上变盘，明天我见绿就干活！
1693969799# #某低价券商，每跌一分钱我都在买买买允悲
1694274080# #其实从近期我的微博流量和互动水平上来说，我认为春江水暖鸭先知，已经率先复苏了，会有传导和扩散效应的。我就是那个最先感受到别样氛围的鸭子，嘎嘎嘎～
1695309405# #有颜色粉给我评论：涨跌我当然不怕，我基金都是有管理费收的。。。然后出现了帮我说话的粉丝：他那基金规模小，收不到多少管理费。。。……。听完我就感觉有一个刀片，在我心上划了一刀，然后刀片反过来又划了一刀。就这么瞧不起人的啊。总以为咱是小基金，好点的时候也有一个小目标的好不好允悲就这么看
1703068110# #手中无剑，心中有剑！
1690204521# #从稳定换成“活跃”，说明市场的稳定预期没有达成所愿，因久跌而变得不活跃了，那么，就动点真格的来提振信心可也——
1699151250# #是，而且过程痛苦，结局美好！
1688693079# #从开局来看，今天A股似乎想倔强傲娇一把，不跟欧美随波逐流。可能是个顽主啊今天！
1699448484# #利用转融通偷偷减持不发公告，高瓴的小动作终于被查了，价投者的信仰还在吗？你们这么做不厚道啊。当然，我们不能去考验资本的人性，归根到底是制度的漏洞，必须补上！
1687878487# #大智慧：绿氢有望迎来爆发元年。　　实际上，令氢能源市场沸腾的还有另一则消息。。　　国家石油天然气管网集团有限公司26日消息称，9.45兆帕全尺寸非金属管道纯氢爆破试验日前在位于新疆哈密的国家管网集团管道断裂控制试验场成功实施。。　　这标志着国内首次高压力多管材氢气输送管道中间过程应用试
1695713361# #我统计发现，找我预定我新书的女性对于男性，这是比较出乎我意料之外的。你们说这是为什么？难道真的是异性相吸吗？男同胞们你们在哪里呀允悲
1701062835# #A股走到今天，主板迟迟不起，到底是机会渐失，还是黎明前的黑暗，我们可以用投资规律来打消疑虑，点破市场现状！大咖说财经微博电台计划
1689212890# #今天应该清闲一点，听不到一些唠叨声了吧并不简单。另有一则消息奉上——
1703462477# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1703049717# #判断一本投资书好不好？不能以你直白地阅读感官，觉得读了畅快就是好。应该专注于学以致用上，看了一本书收获了什么，改变了你什么？如果什么都没改变，该亏钱还是亏，那就是平淡的人或遇上平淡的书。因为你认知有限度，你只会第一时间认同你认同的内容。真正好的投资书应该像人做运动，它是逆人性的，
1698975594# #万科总债务1.28万亿元，万科债务健康吗？。。2020年，万科债务最高1.52万亿元，2018年杠杆顶峰8.3倍。要“活下去”的万科一直在降杠杆，2022年杠杆降到5.6倍。。。万科的债务主要包括预购房款（0.43万亿）、借款（0.32万亿）、供应商应付款（0.43万亿）等，总债务只有0.32万亿是有息借款。其中银行借款占62
1689739254# #来自朋友圈，袁总所写：这个世界上，到处都是有才华的穷人，他们才高八斗、学富五车，最后却穷困潦倒、一事无成。但是许多并没有什么才华的人，却能功成名就、春风得意！人与人最大的区别，不是出身，不是学历，不是金钱和权力，而是一种思维方式。其实，有才华的人，有了一些智慧，却不一定具有很高的
1702020342# #凯恩斯：市场保持非理性的时间，比你保持不破产的时间更长。
1703578903# #允悲允悲允悲羞嗒嗒羞嗒嗒羞嗒嗒
1703226440# #突如其来的板块消息能导致整个盘面突然下跌，这不是消息之力，是就是“想”跌，想明白就释然一点，不用钻进消息里跳脱不出来。既然多一次反复，就离确立绝对底部又近了一步，那么这样的所为就有了存在的意义。眼下情绪不要无限放大，情绪是用来辅助投资的，不是用来临阵倒戈打乱仗的。明白了这一点，再
1687747177# #行情至此，没必要磨叽了，赶紧补缺，不然真就是无敌厚脸皮走势了。向下不到1%，然后又可以骄傲地说，不怕五连阴，下半年行情正式开启，3700点以上直捣黄龙！
1700494014# #将投票任务进行到底，都来看看结果，看是否真理掌握在少数人手中！
1692341710# #比怎么说都对更可怕的是，无论我怎么说你都觉得我怎么说都对允悲允悲允悲
1695372601# #今天大涨，心情还好，今晚八点左右，微博上来个直播吧。跟大家一起聊聊天，舒缓一下各位的投资状态！
1691051316# #周一，我的cro拉升后盘中震荡洗盘一天。。周二，高开三个点下杀洗盘，再拉高下杀继续洗盘。。周三，低开震荡洗盘一天。。高中低三种洗盘方式齐上阵，导致今天大涨，但筹码还是非常稳固，所以还会进一步冲击半年线，让做高抛低吸的没有机会。。以上分析都有提前讲的，拒绝马后炮！！！。。技术分析的干货，妥妥滴
1696144070# #哈哈，清仓大甩卖，不然成废纸！不过还是比恒大股价高了不少笑cry
1697674606# #08:15:22【财联社10月19日早间新闻精选】1、第三届“一带一路”国际合作高峰论坛数字经济高级别论坛18日下午举行，会上发布了《“一带一路”数字经济国际合作北京倡议》。倡议从基础设施、产业转型、数字能力、合作机制等方面，提出“加强数字互联互通，建设数字丝绸之路”等20项共识。。2、上海市住房
1691420839# #投资这件事，是因为你明白了，所以就明白了。因为你不明白，所以就是跟你讲一万句，你还是不明白，而且总觉得别人比你傻，可你就是激灵得赚不到钱，过着悲苦人生！——这就是世间残忍的真相
1690698143# #降一半印花税，和t+0如果选择一样实施，你会选择哪个挤眼。。我选印花税哈哈
1693200730# #昨晚说的，今天若表现平淡，那是福气，行情可以更持续一些，别短视，别只看一时涨跌！
1687675442# #强拳头鲜花鲜花鲜花
1689426444# #在某球上，看到这个分红就像鸡生蛋的比喻，我觉得不错。做个分享：
1702899572# #大盘估值接近历史最低水平
1698365943# #我的天呐，太意外了。蜡烛蜡烛蜡烛
1697072807# #早，祝你们既能睡得好，还能不迟到，哈哈哈😆
1703134531# #看到消息，在今年五月份老俞就让董签了十年约。这孩子真是，就算呆在甄选，也不要答应签这么久啊，难怪一直说天价违约金的事。不是人人都可以像谢霆锋呆在英皇那样。也有说董提过辞职，根本辞不了。
1702393352# #哈哈哈，有脱口秀演员给杨丞琳出了主意，一个字都不用改，原话改变一下语气，中间顿一下。就可以得到无数拥护：。。呵，男人最爱骗人了🤥🤥🤥
1702362421# #知名小说家紫金陈：已经满仓。。除了百亿私募，近日，知名小说家紫金陈发文称，已经满仓。。。7日，紫金陈称，港股年线四连阴创历史记录，押明年收中阳线，已经满仓，除非极端情况，否则不会动场外资金了。今年收益最好的居然是大额存单，五月份3点多买的，现在转让年化高达五个点。
1703402172# #可以了解一下！
1690729707# #晚安，祝你们下周好运，我也一样！而且我是很有可能大爆发的哟，点赞来沾沾喜气。此前我基金单周最大涨幅没超过8%过，希望这样的一周尽快到来哈哈
1694750834# #看评论的话，感觉能出一堆周期大师，投资理论大师！看结果的话，就软下来了
1701760355# #我的新书《投资之韧—让规律绽放价值》的终章，用了一万多字。已经有充分的定性分析和定量分析，可以移步去看！当然，你觉得是信口开河我也没办法！今晚七点半直播我们可以再讲讲！
1688818268# #客观来说，当你看好一只股票并打算买入，如果该股票一直上涨，理论上你追涨它会降低你的预期年化收益率，如果你在下跌中增持，反而会在基本面有保证的情况下，增加你的预期年化收益率。但是非常遗憾，世人只喜欢上涨和追涨，不喜欢下跌而喜欢杀跌。这就很难办了。相比起来，有时候我对下跌的态度是比较
1700112102# #哈哈，同频共振了
1692160672# #我身边的已婚男同胞们都有一个共性，一般都会跟我说，“我要是没结婚（或离了婚）的话，就要…”，都表示很羡慕我的状态。另一方面，都又催我赶紧结婚！
1694354101# #周末虽然没有很重磅的消息，但对于股市都是相对利好的。利好消息积攒，由量变引发质变。在此过程中，短期看股市怎么走跟基本面毫无关系，但长期来看走势就一定受到基本面指引。政策一道道金牌频出，股市充满了牛市的味道，明年4000点还会远吗？
1697714500# #出来学习，真的是涨见识了，写字楼上的招牌字，远远看去，感觉不大，实际上一个字的偏旁部首都可能比我的床大！价格嘛，当然比想象的贵多了，一个字可能就五位数！
1694505008# #TMD，我最恶心最讨厌的就是有傻缺拿我跟这货相比，我前半年未补缺前每次喊涨都大气不敢喘，现在喊喊怎么了？难道没涨吗？那上海狗做基金几个月就清盘了，一直说要出书也写不出来？我们能一样？sb
1695530239# #我读博士后的老同学送了我两本专著，应该慢慢读！
1698850643# #今天就不写收评了，因为今天指数变化不大，就是昨天的延续，而消息面在强化。天才相左，疯子往右，就看你信哪个做哪个了。我认为消息面会得到正向反馈，积攒的利好终会兑现，所以我选择坚持！也希望跟我一起坚持的可以点个赞，一起肩并肩，走下去，迎接第一个翻倍先！拳头拳头拳头
1702216036# #看了一些分析，新CPI数据不及预期，显示经济有通缩之虞，代表经济增长受限，有难关要过。但，为什么时候不难呢？老美那边11月新增非农就业19.9万人，较10月上升4.9万，是高于市场预期的。显示其降息速度应该要放缓。不过美股表现在最近一个多月仍是很强劲的。我想表达的是，炒股别死盯经济面。经济数据
1699882369# #A股倒计时34个交易日！前瞻2024，宏观面、公司面、市场面有何看点？
1700199139# #发现没，关键时刻大医疗就会上！
1690034666# #只要你有能力，几万块也可以证明你自己，我还炒过几千块呢。如果没能力，资金越大越容易被倾覆掉，尤其是用了不该用的两融！
1693461028# #获取全球市场7x24实时滚动播报
1691161025# #晚上复盘，看了曾经医疗健康方面的老情人，像乐普汤臣，都跌落尘埃里了，真的很感慨，市场经常是耍性子的，具有非常强烈的个性偏好，且经常轮换。真的不想放过，但是既然我已经点名了，我就不会再说我会啥时候买了，挤眼
1697765468# #对头，所以我并不会闹情绪，反而感觉轻松些，每跌一次，机会就更近了，也更大了
1692174902# #这条我朋友圈都很多人在发，内容不做评价，我知道大家反应很强烈
1698750274# #昨晚说的中央金融工作会议在北京举行了（央视新闻）嘻嘻
1691293633# #『新闻』
1693666093# #即便有（我不能说绝对没有，股市不是我家开的），我也非常笃定，杀的只是表面上的指数，板块轮动一定很精彩，有些前期超跌的早起飞了，所以是无惧的
1694707189# #马斯克：台湾就像美国的夏威夷，是中国不可分割的一部分！。。这个我就算在睡梦中也得转发一下，马斯克难得说了大实话！
1703635276# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1687187256# #美方少说冠冕堂皇的话，多带头做些有益于地球和全人类的事！
