1703755378# #繁花。玲子收阿宝天价饭钱真相终于找到了！汪小姐成最大牺牲品
1703081646# #《一念关山》。细节就是鹫儿逼迫师父结婚时，师父是不情愿的，整个人都是颓的；而宁远舟破门而入的那一刻，如意眼里是有光的，只有和宁远舟在一起如意才是真的开心，只有鹫儿一个人受伤的世界达成了一念关山
1703123281# #好久没说话的前任居然叫我前夫哥，给我整懵了，原来在这啊！哈哈哈哈哈哈
1703340538# #《与恶魔有约》。恶魔彻底失去了能力！而神给他的忠告是想要恢复能力，就要杀死女主
1702431685# #《与恶魔有约》。宋江新剧来袭氛围感韩剧终于回来了，冷血恶魔遇上财阀千金，先婚后爱剧情带感
1703035990# #《与恶魔有约》。氛围感韩剧终于回来了，冷血恶魔遇上财阀千金，先婚后爱剧情带感
1703087480# #《一念关山》。孙朗钱昭战死沙场，十三支开元䘵，只为了他能平安，遗憾的是六道堂小分队，最厉害的医者亲手为自己判了死刑，最爱美的眼瞎而死，最善防御被箭射死，最能跑的跑死，最厉害的遭人围攻而死，从未失手的刺客啊甘愿赴死。所以全员死也是另一种极至的HE吧大哭大哭
1701525286# #九命柤柳阿念！莫青成深情告白顾，幸福来得太突然&nbsp;！快来追新剧很想很想你&nbsp;&nbsp;
1702738809# #《脱轨》。今天磕到了陈哥和晓媛，给她教材教她理发，一晚上剪坏他十个头也没有扣工资，她发烧晕倒他放下工作在外面一直守着她
1701478205# #再见李可乐。🐶生活破破烂烂，小狗缝缝补补。影片中的李可乐真的是一只超有灵性的狗狗，他不仅只是，电影通过一个家庭的故事传递了关于爱、成长和勇气的女性电影，探讨了青春期成长所面临的各种
1702305942# #小S发文悼念范玮琪妈妈范玮琪妈妈的离世让我们心如刀绞，但小S却以一篇动容的长文，向这位亲人表达了深深的思念和感激之情。范妈总是为小S祷告，她的温柔善良给了小S无尽的安慰和支持。这份感情真挚而动人，令人感慨万分。
1702303889# #《一念关山》。细节就是任如意在宁远舟面前假扮舞姬时，用的是万福礼，而对杨盈用的却是肃拜礼在宁远舟面前假扮舞姬时用的是平辈的万福礼表示尊重
1702652913# #《一念关山》。安帝发现女主活着，下了必杀令，梧帝被转移，宁远舟众人计划上岛救人，意宁夫妇被迫短暂分离！
1704162024# #鸣龙少年抑郁症女孩独白万物皆有裂痕，那是光照进来的地方。别怕！一起“愈”见最好的自己！
1702342016# #《鸣龙少年》。鸣龙少年第四集下，你们知道第五个是哪个学生吗？
1701737148# #《与恶魔有约》。为啥韩国拍出来就如此好看！一点都不油腻
1702905082# #《与恶魔有约》。细节是，她只有在他旁边会毫无防备入睡，他早就心动，会吃醋，会害怕失去她答应求婚
1702691512# #《一念关山》。以🩸开刃，红尘剑铸成，从此红尘有你也有我，江湖路远我陪着你。宁远舟铸红尘剑送给任如意！
1701516950# #就因为看了这个片段去🥝搜了看看完整部《似水流年》电影看完还没看见这一幕又返回来一看结果剧名叫《似火流年》哈哈哈哈哈哈
1701443899# #檀健次超话檀健次好有吸引力！是心动的感觉……
1703386270# #宁远舟死在了他最想活的那一年。宁远舟为救李同光牺牲，被刀剑穿深，任如意为报仇刺杀北磐王！果然中了那句：全员be等于全员he
1704096992# #繁花原来汪小姐被举报，范总也在推波助澜，目的就是汪小姐被辞退后，他就可以踢开宝总，拿到出口指标与别人合作&nbsp;
1702869282# #《与恶魔有约》。甜蜜来袭：恶魔夫妇终于结婚，男主神力却突然失灵
1703555453# #《一念关山》。"你拍一我拍一射只小鸟当烧鸡"。"你拍三我拍三拍死这些大混蛋"。这个于十三真的是个活宝啊
1702937440# #《亲爱的朋友》。这糟糕的人生不要也罢，因为一个片段看了整部剧，一般生活过得不如意的人就越喜欢压迫打击混得更差的人
1702652164# #《一念关山》。李同光得到初国公的认可，初月送来契书把权利转让给李同光。宁远舟怕自己有去无回，特意用血铸剑送给如意。六道堂小分队成功救出梧帝，杨盈为了让他们能够平安出城自愿留在安国。杨盈被封为太子妃，入住金明园享受皇后的待遇。
1703411117# #《一念关山》。杨盈：怎么大家都这么喜欢拉我去屋顶？！！但是刘宇宁抱何兰逗的时候她的腰真的好细，直接全部抱完色色
1703776823# #鸣龙少年。李燃加入十一班成绩碾压沈耀，沈母嫉妒逼李燃奶奶离开
1703813122# #神隐阿音是通过凤隐仙元破壳而出，阿羽是如何诞生的呢
1703413759# #《一念关山》。看得我真欢乐，剧《一念关山》超级甜一到他们几个显眼包有莫名的搞笑🤪亲们，你们说，宁头的那一句（你认真点），像不像笑场的花絮赞
1702625503# #《一念关山》。这感觉好像“她复仇，他递刀”的爽感，任如意好飒
1703476486# #小日子把女主绑起来命令变异妈妈杀了她，女主看到项链认出了是母亲大声喊出来妈妈！。小日子见停止攻击开始机枪扫射杀死女主
1702516309# #原来爱情公寓这么前卫。这剧情我好像在很多日本动作片里看到过&nbsp;笑cry笑cry笑cry8g的种子，够好几代看的
1704073009# #繁花《繁花》6，性感红唇李李第一次遇阿宝，对手戏不要太精彩，毫无硝烟的商战从此刻拉开帷幕&nbsp;
1702603079# #《一念关山》。一念关山第二十七集下，任辛下手真是干脆利落爱你吃瓜吃瓜吃瓜如意简直就是顶级杀手！
1701676128# #《一念关山》。刘诗诗新剧开播！身为冷酷绝顶杀手的她不想成亲，却只想生孩子！而孩子的父亲，她一眼就相中了高超武艺的单身帅气男主！
1701444224# #唐嫣cos狂飙大嫂唐嫣cos狂飙大嫂。配合今晚王牌的主题，不是去演大家别激动哈。（拒绝雌竞，大嫂是狂飙观众心中无可取代的，唐嫣也只是配合王牌主题cos一次
1701951595# #《一念关山》。两个主动解决问题的人，是永远不会分开的。你们赞同吗？？？
1703469264# #秦昊迪厅跳舞不要太骚气，不愧是东北舞王～结尾还有呆萌小熊，张颂文&nbsp;乱入略显格格不入😄。风中有朵雨做的云
1701442436# #就算全世界这一刻都要杀如意，唯独只有公主会站在她身边相信她，她俩才是双向奔赴一念关山
1703087050# #《一念关山》。公主女扮男装如意宠溺配合这一段看了好几遍，如意好会撩啊
1704092105# #繁花《繁花》10A先生浮出水面，李李阿宝小汪之间的关系也越发微妙，直接导致小汪将面临失业危机&nbsp;
1703920916# #脱轨拒绝内耗，态度姐，我永远的姐&nbsp;&nbsp;！好喜欢姐的这种霸气性格，太解气了笑cry笑cry笑cry
1703077891# #《脱轨》。穿越女孩被刁难，结果女孩根本不惯着她。&nbsp;&nbsp;这剧不适合晚上追霍柏宇太可怕
1703998520# #三大队唯一的希望破灭了，程兵一个人踏上了漫漫长路
1702738910# #《一念关山》。李同光替任如意保护杨盈，这将是他往后一生的妻
1696760799# #李泽锋冲上热搜，起因是他在采访中表示演了卫明以后，他想通了，他不希望卫明是一个坏的终点，甚至喊话各位导演跟制片人，如果以后有更坏的角色，可以继续找他演。。。李泽锋的话，让很多网友纷纷留言：。弯道超车了属于是，三百六十行，行行出状元，做细分领域冠军。。他下次得演个杀妻的才能突破自己。。
1702659317# #《一念关山》。李同光放下任如意，选择了一人之下万人之上的地位
1703515224# #《三大队》。三大队第七集上，看王大勇在河边烧纸，王二勇被误打死了，其实我觉得可能不怪程兵，那时候技术落后，根本验不出来
1703037267# #《脱轨》。听说江晓媛要跳槽，陈哥破防了🙈这个店长不但人好，幽默中还带着可爱
1701696942# #《与恶魔有约》。与恶魔有约4-1！好一个反转！你竟然拒绝了❌
1701960063# #《小满生活》。小满生活第三十一集上。今天一天在追这部剧，很讨厌里面的叫陈立的男人，什么东西！有胆做就要有胆认，明知道她媳妇对这个很敏感，还要处处撒谎，我支持元元，就跟他里，这样的男人不值得为他付出那么多，现在女性这么独立，又不是离了男人没发生活，现实中如果遇到这样的人，真不能惯着
1693930860# #张靓颖离婚后形象变得更有女人味了，每次演出都是风情万种，是不是只有经历过婚姻的女人，才会发现最真的自己！。靓颖在婚前是非常依赖经纪人的，可以说对经纪人冯轲百依百顺，走的也是青春的路线，并嫁给了冯轲。。冯轲大张靓颖19岁，全面掌控她的生活，各种演出，收益，两人在一起同居多年。青春靓丽的
1701617302# #《折腰》。“我只为你折腰”。最后一幕真的好有cp感，我先磕为敬
1702618679# #你俩就是这么对待自己媳妇的？？？
1704124527# #繁花汪小姐真的很喜欢阿宝，暗恋了她十年，而阿宝也非常宠她！两个人在一起也很开心！而阿宝喜欢上了李李，而汪小姐却嫁给了别人，意难平！
1702518264# #《一念关山》。谁能想到眼前这个内力尽失的弱女子，是五年前叱咤风云的狠辣杀手呢~&nbsp;我喜欢看钱昭的小眼神哇
1702659619# #《脱轨》。祁连一次次逼问江晓媛，这换谁都受不了&nbsp;&nbsp;。&nbsp;&nbsp;
1703483024# #《鸣龙少年》。鸣龙少年第十六集上，这个烤串老板娘是谁？那个女生的妈妈吗？
1702696268# #《一念关山》。宁远舟:帮主想留我兄弟做客，未免还欠了点火候
1704035047# #《三大队》。这是他最后一次机会，三大队完成任务
1702043181# #《很想很想你》。很想很想你第十八集预告，你们看后是不是也忽然想结婚了送花花送花花
1701674770# #《一念关山》。看似柔弱的女子，实际上是个武功高强心狠手辣的人赞
1701848624# #《很想很想你》。定格并肩的瞬间，拼凑成我和你的永远，恨不得一口气看完！
1703082103# #《一念关山》。小细节就是如意会武功，打宁远舟鞭子看着很用力实则都是皮肉伤，公主不会武功，打的毫无技巧实则是最疼的，公主一鞭子下去旁边的人都惊呆了
1702307820# #宋轶使用小号之后会发现世界安静了李雪琴问宋轶：“你会用小号吗？”宋轶：“用啊，我现在就用小号。”李雪琴：“有被挖出来过吗？”宋轶：“没有，用了小号后发现世界都安静了。”毛不易：“那你小号发东西吗？”宋轶：“不发，就纯浏览。”。。明星基本上都有小号，有的明星还有好几个小号，因为很
1702632387# #刘浩存她的哭戏能容纳很多情感，欢颂擦眼泪很干脆，即使难过却还是要立刻收拾情绪去完成未完成的事
1701697420# #《一念关山&nbsp;》。李同光和如意互撕...就算是赝品也要得到她&nbsp;！徒弟爱而不得最后会变坏的。这样的喜欢让人窒息，这徒弟不是一般的坏呀？
1702049759# #《一念关山》。这是标准的九头身吧！！！。鞭笞完趴在床上的戏，弹幕：“好长一条人”。刘宇宁点评：人都论“条”了
1701563441# #《锁爱三生》。又爱又恨，爱恨纠缠，实在难以割舍，最终她选择走上绝路苦涩苦涩苦涩
1702354694# #《一念关山》。人都是这样，只有经历过很多事情才会成长…
1701937489# #苏楠身份被怀疑，欧豪霸气护妻，场面帅爆了
1702936173# #《一念关山》。这样的痛李同光居然承受两次我期待鹫儿后面和女主成亲的戏份
1701442065# #“给小狗准备的礼物还没送出去，姐姐就受了重伤离开！！没有姐姐在的日子，我们小狗也有在努力变得更厉害！！！”&nbsp;&nbsp;刘诗诗何蓝逗一念关山
1702860518# #《一念关山》。一念关山第三十四集下，朗哥和盈姐长的好像啊，都是丹凤眼笑cry笑cry
1703654082# #《鸣龙少年》。雷鸣阴谋曝光搜，被李燃嫌弃，雷鸣父亲去世，雷鸣才意识到错误，决定重回十一班，好好教学生，真心换真心。
1704158766# #繁花阿宝身边的三个女人玲子汪小姐李李谁才是最挑的那一个
1702260013# #《鸣龙少年》。鸣龙少年第二集下，雷鸣整活状态厉害了，搞笑属性淋漓尽致，《鸣龙少年》雷鸣帅气满满
1703730304# #鸣龙少年“雷鸣你是来搞笑的吧，一天到晚就知道吃吃吃，一点老师的样子都没，哈哈哈哈”
1702050632# #《一念关山》。使团刚进敌城就被扔菜叶子侮辱，奈何懂得“来而不往非礼也”全部还给你允悲允悲允悲
1702302729# #《一念关山》。杨盈称帝的每一步路都以“血”为代价！小公主的成长好惨重
1704243969# #繁花。谁能想到爷叔才是阿宝最大的敌人，两次提醒暗示所有结局
1702434793# #周海媚病历疑被泄露这个医院为什么会把周海媚生前急诊的病例外流啊？真的很恶劣。
1702869196# #《令人心动的offer》。黄凯给爷爷打电话爷爷句句都是关心，让人泪目！对于黄凯而言，爷爷更像是爸爸妈妈一样的存在。
1701528777# #《瞒天过海》。你永远也不知道这一秒笑容满面的人，上一秒刚刚干过什么…"瞒天过海当目睹凶案怎么办"
1702134401# #《很想很想你》。顾声和莫青成在旋转门亲吻，男友的套路也太深了吧&nbsp;送花花送花花
1701917995# #《当家小娘子》。穿越女在古代，制作手枪，调鸡尾酒，最后还帮助孕妇在水中分娩…
1703697807# #鸣龙少年全剧最意外的人，一句话让程雨衫摆脱噩梦，结局圆满
1702947701# #《一念关山》。杨盈嫁给李同光，婚后李同光成了妻管严，师父亦师亦母，给最爱弟子培养了一个优秀老婆，强强联合赞
1702252159# #《一念关山》。一念关山第二十六集下，李同光是不是疯了啊……
1701675604# #《一念关山》。为兄弟报仇手刃相国侄子赵季，好心疼如意哦，看得我都流泪了苦涩苦涩苦涩
1701959582# #《一念关山》。一念关山第二十集下，感动哭了，如意出去的时候，我好像理解她一晚上坚强的心终于放下了，如释重负也庆幸她爱的人活过来了，她才敢哭，她也有感情了，心疼！宁远舟你可把如意吓坏了，她看到宁远舟醒过来了才放心的哭了大哭
1702739649# #《一年关山》。李同光埋葬六道堂旧部，宁远舟以及其他人带他们回家，好像柴明还是钱昭的亲弟弟，所以看到后面梧帝那种事不关己高高挂起，冷漠还用柴明他们威胁宁远舟的时候，我真的要要恨死梧帝了
1703167593# #《脱轨》。前男友也穿越者，两个人要一起回去。&nbsp;&nbsp;
1703864266# #神隐凤隐涅槃归来有多惊艳，实力吊打一众上仙
1703813504# #神隐上神凤隐和真神元启相差2级，竟敢命令元启给她做饭
1703853203# #鸣龙少年：结局程雨杉被继父侵犯怀孕，母亲为报仇入狱，太悲惨
1702513912# #疯批卧底警察×心狠手辣D枭乡下小辅警为了升职加薪，化身疯批卧底，主动接近黑帮老大，一步步获取他的信任，最后成功打入黑帮内部！&nbsp;
1703295059# #《一念关山》。他们跟我一点关系都没有，都是这位妹子的大哥。哈哈哈哈
1701574397# #《一念关山》。如意亲眼看着义母死在眼前，大开杀戒，幸好男主赶来，特别心疼女主！
1701875512# #《很想很想你》。是谁在现偶里磕古代人啊？。檀健次，周也
1702938697# #《鸣龙少年》。男孩生日当天被母亲拉去捉奸
1702304422# #《很想很想你》。这么甜的恋爱谁不想谈啊对不对檀健次笑cry笑cry
1702689107# #《与恶魔有约》。“对别人来说是恶魔对我来说是天使一样的存在”别说女二了，连我也要爱上你了！
1701407487# #一念关山好带感曾经我以为我一个独来独往惯了，一路走来我才发现，我喜欢和你们并肩作战背后有人托底的感觉，原来人间烟火这么这么美好”。任如意被重视后遇狼群，宁远舟赶来相救，任如意说起过往贪恋和六道堂兄弟们相处的日子。女刺客心底渴望的不过这样简单，宁远舟说服大家带回任如意，两人心逐渐
1701696506# #《与恶魔有约》。请大家调小音量！。《与恶魔有约》到曦和九元钱的asmr
1702625652# #《一念关山》。于十三终于和媳妇相遇了，你小子撩完就跑可别后悔啊……
1703293464# #肖战终于仙了一回，不用再滚泥潭了哇哇衣服好仙啊，仙气飘飘，这个转身我可以看一亿遍
1701697269# #《与恶魔有约》。与恶魔有约4-3！这对cp看得我嘴角疯狂上扬，啊啊啊啊啊！！！！！真的有狠狠磕到，有想看的欲望了，真的好久没有这么想看一步剧了
1703988287# #繁花黄河路最厉害的宝总，只会给汪小姐主动开车门，宝总一直都是汪小姐的后盾，他真的好宠她啊！
1703124058# #《一念关山》。元禄和宁头儿擦肩而过，此生没能再见，十三知道留下必亖，所以让元禄去送信，但他却还是没了，杨盈也为了大局嫁给了李同光
1701856207# #《一念关山》。被这场团战燃到了，如意第一次团战她把生命交给了六道堂和宁远舟，她只想感受下背后有人可以托付的同伴是什么感觉~
1703828510# #三大队王大勇8岁儿子现身，程兵最大秘密被他揭穿，刘文芳崩溃
1702477272# #《神隐》。神隐第七集上，这男主真的废，除了血脉，一无用处，不过狐狸和鹰挺好玩的哈哈哈哈
1703482239# #《鸣龙少年》。雷鸣请到中华题库数学老师，一看班级只有5个学生，转头就走，却………….
1702016674# #《很想很想你》。一切的偶遇都是蓄谋已久，锖青磁真的很腹黑呀！男主是蓄谋已久，但刚开始只认识声音，买东西那里纯偶遇笑cry笑cry笑cry
1702045031# #《一念关山》。一念关山第二十三集预告&nbsp;，后面这个是莲花楼的塔吗？
1701523781# #白敬亭宋轶照片里的云是同一朵谈了恋爱的人哪有能忍住不秀的！你能忍住吗？
1702042994# #《很想很想你》。很想很想你第十七集预告，突然梦回为有暗香来！你们有这个感觉吗？
1704161097# #繁花看懂爷叔的临终遗言，才知道阿宝结局早已注定
1702954813# #《一念关山》。：宁远舟与任如意高甜撒糖大赏开始啦！
1702251802# #《一念关山》。皇上太自私，不救也罢！你们说呢？
1701659513# #《小满生活》。小满生活第二十六集预告！
1702653578# #《一念关山》。初月对李同光说我已经瞧不上你了，于十三让初月忘记昨晚，昨晚已经过去了。初月失落离开
1701864302# #《一念关山》。宁远舟牺牲，如意抱着宁远舟的骨灰盒！曾经的五人小分队，死的死伤的伤！
1702050869# #父亲或许不善言辞，却从未停止过爱你，不是他们不善言辞，而是他们始终以行动来诠释如山父爱
1703646951# #《鸣龙少年》。雷鸣爸爸去世，教过的学生全来送别
1703651392# #《鸣龙少年》。细节就是雷鸣自己都舍不得吃好的，但是舍得给李燃买昂贵的物理资料
1703383673# #《一念关山》。刘诗诗美女一枚不仅人美舞跳的也好
1703688510# #神隐。阿音好不容易找回凝云山就这样被男主毁了，阿音灵丹己经没了还要被男主元神剑亲手杀了，男主太气人了
1703339991# #《三大队》。曾经让女儿骄傲的父亲，却再也抬不起头了……
1701526931# #刘诗诗这眼神如何？
1703176580# #《鸣龙少年》。如果你是面试官你会怎么选？高学历真的是敲门砖吗？
1702656537# #《一念关山》。安帝死前掉落遗物，揭李同光真实身份，任如意傻眼
1702866303# #《一念关山》。劫后重生.她已不在是金丝雀.而是掌握自己命运的老鹰！
1703823014# #大山里的女校官宣全阵容实力明星阵容，燃点教师张桂梅正是在的带领之下与聂远、姜超、张月、翟子路、张天阳、黄米依等熟悉的演员共同塑造《大山里的女校》，共同披荆斩棘，创造出美好的灿烂的明天，以笔尖为人绘画，斑斓人生~让我们等待着与他们的相约🥰大山里的女校杀青
1703737544# #你给我的喜欢得知自己有个儿子，霸总直接搬去女主家化身为儿奴
1702171924# #《一念关山》。李同光的这一举动又何尝不是在暗示公主陛下不会来，让她尽快离开，还为她找了一个安国礼数不周的理由让她大大方方的走出宫去！
1701941463# #《无价之宝》。可能你在一个人眼里一文不值，可在另外一个人眼里你是无价之宝
1703471495# #《一念关山》。劫后余生的如意不仅仅为了宁远舟苏醒而欣喜，还有终于不辜负娘娘的寄托，把鹫儿培养成人，她知道鹫儿还是善良的
1702739690# #《一念关山》。李同光刺杀任如意，从侯爷擢升成国公，和杨盈成婚连手上位
1702599772# #《一念关山》。梧帝用出卖妹妹，和雪冤诏威xie阿盈和宁远舟，不救自己就同归于尽，众人能计划强攻塔
1702964629# #《一念关山》。邓恢一直是个深明大义之人对李同光是良师也是益友
1703175606# #《一念关山》。于十三亲眼看着兄弟接二连三的死去，痛彻心扉的哭戏，太让人心疼，于十三，真的哭死我了！
1703596739# #神隐。神隐第十三集下，古晋和阿音要接一个姻缘契，阿音正翻看注意事项，红绸骗她去摘忘忧果救闲竹，在阿音摘忘忧果的时候，红绸将她打落山崖。多亏闲善及时出现，阿音才幸免于难，闲善得知，红筹伤害阿音的目的，是怕古晋爱上她，因为阿音就是古晋的应劫。为了给古晋避劫，闲善想出了一个两全其美的
1703775269# #龙鸣少年大结局雷鸣重度抑郁浴池自杀！终成桑夏此生最大的阴影
1702696183# #《一念关山》。如意不认识长庆候，但认识鹫儿
1703733098# #鸣龙少年十一班最大的特点就是，嘴里说最无情的话，但都惦记着彼此！&nbsp;
1703846935# #鸣龙少年雷鸣抑郁鸣躯体化病重，揭开其换名颓废真相，简直太虐
1701871452# #《锦衣之下》。看了锦衣之下再也看不进别的电视了，二塔吧！陆大人就是在这时候喜欢上今夏了吧！
1703667744# #三大队王大勇惹了黑帮老大，黑白两道都在抓。王大勇竟然这么有勇有谋啊。。难怪能逃那么久
1703752523# #《最恶之恶》。池昌旭新剧开播：真的很爱看一些吃醋戏码！他没想到老婆居然是毒枭的初恋？男主想刀人的眼神真的太好笑了
1702649479# #《一念关山》。那一句我看到你伤成这样，我就已经疯了，哭的我稀里哗啦的
1701655053# #《乐游原》。如果可以，我宁愿此刻受伤的是我！两个人都有各自的信念，必定后面有虐
1701873597# #《一念关山》。谁能拒绝这么可爱又软乎乎的小公主啊~
1701996003# #吴奇隆看到会咋想笑cry笑cry不过人要帅，干点坏事也不招人烦哈哈哈哈哈哈哈
1701473664# #莫青成跟顾声表白了！很想很想你第八集预告。“我很喜欢你”。“做我女朋友吧”。“我认真的”。“我们才见过几次面”。“跟见面次数没什么关系”。“万一不合适呢”。“万一合适呢”。“不开始怎么会知道结局”。啊啊啊，莫青成跟顾声表白了，这次是真的！！！。我已经被莫青成撩傻了，莫青成！你也太会了！撩的
1701562937# #《与恶魔有约》。女主爱上恶魔男主，但男主却只她当自己续命的“充电宝”，脑子里只有牵手充电！女主好不容易鼓起勇气要告白，结果他嫌她不让充电气跑了！两人聊天不再一个频道太好笑了！
1703685780# #《脱轨》。大虐后必甜，“天降祁媛”初吻终于来了！晓媛为救祁连提出分手，而祁连坚定表白并吻住她
1703778544# #鸣龙少年程雨衫遭继父猥亵险失身，李燃暴揍负伤，雷鸣一招搞定
1702134232# #《一念关山》。对我们女人来说，就这一个动作就已经明白宁远舟当年是干什么的了，这就是女孩子的第六感！
1702351971# #《一念关山》。真的好磕公主和元禄啊！。元禄的一句＂吃了药才知道我还活着＂真的让我感同深受
1702474694# #《一念关山》。如意和宁远舟都还没想好怎么把公主救下来，结果公主就自己救了自己，都把她们惊呆了允悲允悲
1703907344# #&nbsp;王牌对王牌王牌对王牌第八季20231229期第八季第十期11，眉姐姐和温太医番外，亚轩唱的红颜很好听，感动到了抓狂大哭
1702560218# #《典籍里的中国》。撒贝宁带着先辈们看到这个盛世的美好时光生活时，每一个瞬间都让人感动
1702044327# #《一念关山》。一念关山第二十一集下，演员的脸都很有辨识度很有个性和特色。小徒弟李同光单纯天真任性妄为。不过我还是喜欢李同光生气的样子允悲送花花送花花
1702171616# #《一念关山》。原来宁远舟当过男宠啊允悲允悲一个男宠、面首，一个白雀。这不挺配嘛……
1701525413# #媚娘告知宁远舟如意以前的经历，至此两人决定相守终生&nbsp;送花花送花花送花花任如意和金媚娘不亏是好姐妹，想法都一样的，看上同一个男人，还都不要感情，快来追新剧&nbsp;一念关山&nbsp;&nbsp;
1703901771# #王牌对王牌王牌对王牌第八季20231229期第八季第十期7，宋亚轩败给了自己，处处耍心眼儿允悲允悲o
1703772810# #《鸣龙少年》。继父真实面目曝光，弟弟成压死他的最后稻草……
1704203784# #《三大队》。王大勇入狱曝光最大靠山，竟是不起眼的他，程兵心灰意冷
