1704815285# #能给我们李四投点票嘛苦涩我哭
1704873244# #看uu推荐的唐朝诡事录（虽然才看到20集。但我觉得男主人设挺立体的啊。没必要挨这么多骂允悲古装扮相也挺好看的。配角人设也挺好的女性角色很聪慧。杨志刚其实我小时候还挺爱看火蓝刀锋的允悲。蒋小鱼这个角色我还挺喜欢的
1704560900# #大晚上的我真的冷汗出来了污
1704566761# #终于等到你进球还好我没放弃？
1704643214# #我突然觉得你车是不是有每月倒霉kpi
1704551060# #不认识但好好笑我笑死了
1704566735# #怎么是你进的啊
1704618798# #宝贝生日快乐🎂
1704523925# #说实话今年来旅游的真的赶上的好时候。单纯指哈尔滨的季节和天气方面。像今年这样三天两头下雪貌似不多。而且圣诞元旦节日也都很合时宜的下雪了。这几天也是小雪不断❄️而且不算特别特别冷
1704853185# #直接就睡过去了一点开居然输了。庆幸还好睡过去了汗不然可能看完没得睡了。不过做了一晚上奇奇怪怪的梦。梦到回到高中了衰
1704563378# #💩
1704566168# #我怎么好像看到了凯文
1704855853# #不行笑死我了😂
1704853639# #感觉就是这几年切尔西很经典的。几场💩味的🍫再来一场纯💩。给人恶心的不想再看吐吐
1704568793# #宝贝你没捡漏啊
1704450218# #下午看了阿婆的纪录片不长就三集。就B站上的Lucy系列（其他的也挺好看的推荐。她真的是一位真正的有智慧的独立女性。（具体故事不好说阿婆蛮有意思的。看到最后居然还给人感动哭了😢。但是如果没看过她特别经典的书的先别看。会被剧透直接结局的那种衰。其他的还好《罗杰疑案》一定要先看
1704853487# #我笑死互关的车迷们。很统一口径：还好没看汗
1704438552# #没看过的别看《底牌》原片了。刚看了一下给魔改了微笑微笑。好失望原著就特别有意思
1704562844# #你怕是给我来点安眠的
1704804985# #老师我们家estp呢苦涩
1704564848# #哥几个技术和身体都不行了
1704568757# #我喜欢爆炸头。我情有独钟
1704568322# #很喜欢古斯托我们唯一的diva。能让他进个球嘛
1704547764# #其实biteme的新编曲我挺喜欢的
1704568636# #所以啊我也不理解为啥有人觉得小加和恩佐。关系不好人俩也没事啊
1704791295# #原来四点有比赛汗。在犹豫了看不看了
1704874936# #wb您能不能不要瞎过滤啊。烦死喽😡
1704805209# #重温了《宝贝计划》发现（和小时候不大一样。成龙和汤可露他俩某种程度挺像的。因为武打或者太能拼了导致忽略了文戏。《宝贝计划》文戏演的也不错看的人怪感动的。汤可露冲奥那几年演的也都不错蛮颠覆形象的
1704720842# #就很想用第三个当头像哈哈哈
1704566509# #给公主看的呲牙咧嘴的
1704564610# #你们tmd要不别踢了。什么东西啊。前锋后卫都要死一样
1704562089# #今天是我老公当队长嘛
1704562970# #给我整这死出
1704465026# #第一次吃芒果有生吃胡萝卜的感觉。但已经切开了总不能浪费苦涩。甚至还是脆的？啊？。很成功我最喜欢的和我最不喜欢的某一刻重合了晕
1704639860# #啊？我……你们……哎……
1704565067# #要不咱们睡了吧
1704873313# #这剧组每次的红毯都特别好笑允悲爱看多走
1704566607# #……
1691735454# #uu们关注前请看置顶属性🔝。互关请私信或这条wb评论。眼熟或者同好会回关。博主话很多peace&amp;love
1704563264# #你们队要是不爱踢别踢了
1704792796# #我有多喜欢西红柿。就有多讨厌胡萝卜
1704567409# #斯特林你会这个？
1704429052# #发现一件很逗的事情允悲。我读一些外国名著的时候。脑子里会自动转换成译制腔来读。或许和翻译的也有关系？。就比如：哦～我亲爱的朋友，你可别这么说。读这种句子脑子里会自动出来了中配
1704766643# #我爸他眼中除了我妈没别人挖鼻
1704566858# #小穆宝贝你开窍了
1704564111# #我是真困了少爷们再不进球
1704864036# #9️⃣1和9️⃣0哈哈哈哈哈哈
1704624285# #我已经逐渐习惯没有坤坤的日子了苦涩
