1697810933# #加油努力
1699257047# #橙露只有两句话“ad没大”“ad没闪”（心想：都是被我打没的）
1704265461# #博主也是年轻了一回，转发了近十条才反应过来单场这臭屎壳郎的目的是为了用臭鞋照片威胁每一个人，唉！真是上上又当当啊，吃吃又亏亏啊！
1702912265# #哥哥都叫上了我也是没什么好说的
1690295141# #罕见至极
1701689556# #小姐姐是不是也是抖音破碎感来的粉丝
1699788660# #前几天最恨gg，昨天原谅gg，现在希望gg附身批夹微笑
1695137340# #恨嫁风导师姜小露
1702195624# #可爱
1699712487# #到底什么cs在别人生日那天骂人，这就是你的粉丝吗？先骂你的队友还说别人网暴它？又当又立被它玩明白了？
1702478726# #笑死我了程璐前面都是打拼音，被粉丝告白打出“别”的时候却是一气呵成十分迅速
1703147455# #看吧你们毒唯逼的本人都不直播了，你们一群罪人，只有我们cpf是最尊重人的，我们让他干啥他就干啥，多好啊
1702283347# #法制咖能不能先滚出中国，你们这些支持犯罪的是不是都是50w？公然藐视我国法律，给你们250全部滚出去
1702268721# #theshy转会期wbgnmsl
1699706472# #走过的每一步，都有回声
1693400908# #程璐：这是苹果游戏！苹果游戏，挺难的啊！你们来玩啊，这是苹果游戏！
1692200993# #我测你们叠，去年十二月轻轻吐槽了一句悚杂嬷嬷品味老土拉呱只会霸总娇妻就被悚杂定罪为在去年就图谋不轨策划多日准备发动对小矮脚猫的网报行为，最终挂我转发一千多条以示敬意桃里桃气今天不会发表一个吐槽悚杂爱捆绑塑造姐妹💐人设然后就被sj的悚杂哪天挂出来说我意欲网报辅助和打野吧！要不你们
1699957116# #别问为什么xmm和彬杂挂我让我这么应激，我刚也在疑惑，忽然想到彬杂和xmm说姥子是捞杂允悲允悲允悲我一下恍然大悟，谁允许污蔑一个讲师是捞杂的允悲允悲允悲我真会把我的鞭子通电抽得你们电光带火花的允悲允悲允悲
1697531833# #2023全球总决赛英雄联盟s13我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1697816940# #hgr最爱的一张图努力
1700584189# #忘说了，以后我大多微博都只发粉丝可见或者好友可见了，修杂喜欢看我的请直接来和我玩，我爱和修杂玩，其他的什么牛鬼蛇神就别来偷看了，你看不到吹风车
1692416408# #尊嘟假嘟
1689997877# #TheShy茶百道好茶体验官看到合作立刻下单努力努力努力茶百道你是真的很有品味努力努力努力
1693314583# #一晚上全是高光操作都看累了互粉
1692626461# #在斗魂都要选老黑的人，此女的好胜心不可估量微笑
1694890220# #对，上单琴女，特别对阴险
1695881307# #唉！国货！
1702724431# #我什么时候关注了考研博主？疑问
1697187255# #妈咪可怜
1691411990# #在生死关头，你觉得程璐会选奥恩，不，他会选格温。
1703003360# #集美这不是ts粉丝应该来的t\he\sh\y超话吧，th\es\hy超话应该是平常偏和谐一点，很多鸡杂串子植物人鞋垫子看过都说角度对了ts超话不就应该是他们的超话吗，至于t\he\sh\y本人是谁好像不太熟呢。集美这肯定不是the\sh\y超话，在这里你不学习抗出如何辱骂ts你凭什么说这是ts超话呢，你不被wpg的cpf踩脸怎
1703157860# #ksl怎么不是jsjj的电子宠物呢，我们好的时候对他多好啊！打也舍不得骂也舍不得，我都从来不压力他，我说对他最大的期望就是希望他自己开心。别人骂他我急了，我深更半夜对线，有人给我发鬼图我忍了，有人是在利用他我急了，当局者迷，旁观者清，我急得团团转。有的人真养宠物都养不好，还怪我们把他当
1690106764# #保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上保上🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
1696846638# #哼哼，在某🐟上买了十包卡，就等着被我拆吧微笑姨，我来了抱抱
1697270093# #我现在嘴角比ak还难压，谁懂微笑
1696397272# #我真笑了，我为什么没有收藏rise笑cry
1697805962# #霞太op了…但是有人还不会玩…
1702224223# #明天一定要把那条微博的转发评论控制好，大家加油握手
1702479300# #以后请给露露配这首歌。分享单曲(
1702556038# #有没有人可以做一个“烦死～”合集，我有点爱上听这个了，我想听一个小时
1697546987# #嗯嗯，不然呢🤗
1693497561# #怎么越打越嗨了
1703088624# #挺可爱的那时候
1702353151# #WBG宣布TheShy离队失望TheShy我想休息一下饶是随便看看都能发现wbg这个经理说话有漏洞吧，为什么说是诚心续约theshy但是却带着替补去续约啊，这是认真的吗费解费解我怎么想不通，图二人家选手都说了，觉得很荒谬。果然俱乐部管理只会为自己开脱，漏洞百出
1702807572# #咔老叔这一年和橙露的相处，前半年好像在做梦一样按照麦麸典籍严格进行，眼看粉丝也逐渐上当受骗，橙露也快感动，没想到被太差的成绩临门一脚踹翻了抱富婆的梦。后半年冷板凳也冷却了咔老叔的伟大计划，最后唯一留下的是橙露wechat多了很多哆啦A梦的表情包允悲
1690115207# #谢谢茶百道努力你真的会带来好运
1701091871# #潘森这个英雄怎么这么贱啊，最讨厌对面有的英雄潘森就是其中之一
1699596084# #拿下
1704264818# #真烦！虚假的鞋梦女：在网上发晴排软，每天叫春。真正的鞋梦女：故意吵架让别人转发臭鞋照片以便让他的梅毒通过网络传播全世界。。生化危机啊这是！大家请注意不要上当了允悲
1702804276# #看着这张照片反复爱上我露一万次🙊
1702314864# #Theshy选手在WBG收获了什么？是俩月的阴暗地下室，是修不好的网络，是行程泄露导致的围追堵截，是一年也等不来的律师函，是场上的牺牲场下的背锅，是被偷走的公益，是纪录片仅有的23秒…忍无可忍的是兔死狗烹背信弃义的转会期操作令人心寒，更耽误了选手宝贵的职业生涯人在做天在看
1702268304# #theshy转会期我投给了“wbg最cs的俱乐部，没有之一！”~
1697714235# #扣了来来来
1692245257# #糊男团粉，你们想要的拆那人气，被我们js毁了！你们梦里想要的拆那代言，被我们js毁了！你们想要捞不跪下来对着ts喊蝶，也被我们js毁了！等着吧，迟早毁了你们糊男团爆火的梦阴险
1699787944# #jdg和blg都知道这一年大家看他们的对局看腻了，所以双双选择退局，让大家看一个全新的对局微笑
1691933137# #我真的只用饿了么
1698562336# #别让头了
1703076170# #受不了的赶紧取关，我本来就有精神病，以为我很和善呢？我其实是反社会人格我都是装的我在现实里啥了人我来互联网逃避追杀的，不想被感染疯病就快拉黑我
1703070468# #woc双姓家奴来了？你jb什么意思？。
1692961088# #干嘛呢哥们，小马没惹你们学圣学徒任何人困
1699691533# #theshy！！！？？？？！！！！！！！！！？！！！
1696398171# #老代代粉丝肯定很爽，主题曲mv真的赚到
1704301608# #适合程璐玩。告别静电小小格温剑魔
1702265687# #我投给了“滑板鞋”~theshy转会期
1702726162# #这小玩意萌得我一愣一愣的，我要冲进他家强抱她
1697714657# #世界shy真正地回来了…露露想憋笑都憋不住
1699980066# #我有时候都不想吐槽，你的粉丝竟然敢叫别人积德，我觉得你自己最该积德，你也算有小孩的人了，你嘴上积过德吗？艹
1692416615# #姨姨们很慈祥，我先退下了
1694532200# #我跪下了我真的
1693153187# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1702139095# #笑得我想死
1697612978# #嗯呐带你去打针你记得好好打哦加油但是🐞真的死了
1703141952# #我烦的，根本不是说直播要求他一定要打单排，要为很遥远的夏季赛而烦忧，而是我希望如果真想休息的话就好好去休息，去旅游去玩，不想直播的话就别直播，现在玩斗魂不就是因为轻松又能混时长吗？打排位确实比较紧张费力，所以不打排位很正常。但是现在又直播又累，确定是在休息吗？
1703104165# #我在这个视频的评论区笑得痛不欲生，真服了笑吐我了。0.56s/复制打开抖音，看看【零美奇的作品】风吹花落泪如雨。氛围感
1704265189# #郑重声明，我坚持维护江城路的女拳
1704341231# #对啊，心软的养四五个女人也是一种本事
1700730129# #支持老赖俱乐部的是不是支持违法？你们的zzlc又是什么？是不是无视我国法律？你们不全都是狗罕见🤣
1697824246# #寒国三点了…露露，还是祝你一切好运，祝你一切顺利
1700849706# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1692705793# #玩永恩，弹幕狂刷销户销户。程璐“xiao／hu吗？没事，加油”
1700730640# #我怎么感觉还是逗鸡杂最好玩？有点久违的幽默🤣🤣🤣
1701216582# #吊灯粉丝去年说的话黑线，我可忘不了一点
1703073560# #@氧望体育流动助理
1689346302# #下次选沙皇的时候，要不把奎桑提ban了？
1690526817# #该说不说，在别队粉丝还在苦恼买哪一天比赛的时候，只有我们粉丝目标明确，下手快准狠，这何尝不是一种优越感微笑
1700932570# #我打游戏百分之九十的时间挺厉害的，百分之十的时候感觉自己确实坑了，但是有队友骂我我会嘴硬，我会说你们也没好哪里去，不然怎么带不动我，不都是废物废物还互相指责吗，有的时候队友不骂就装啥都没发生，然后默默开启下一局老师爱你
1701100863# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1703075211# #我宣布以后狗头萝莉是我马的代餐
1702188689# #脱粉刘青松了，昨天见了，照片与实物不符，太难过了苦涩
1698751612# #美貌的青春小马
1699712556# #能不能别让粉丝网暴别人真可怕啊，但是你可能不会看，有这种粉丝真是不幸啊。
1696077212# #谁又和他说了啥啊，怎么表情又不对了抓狂抓狂抓狂抓狂
1703088940# #我从娱乐⭕️的大染缸里爬出来又几把掉回去了，世界是一个巨大的饭圈
1696087370# #虽然食堂味道一般，但是吃食堂之后露看着健康多了，别怪我们老土，这就是老中的养生之道！老中的食堂永远最健康！
1701689896# #你怎么爱上码头的，快陈述一下，为什么要到处帮码头说话，不是他坑的你吗？哦对了你为什么之前说不想参加全明星今年直接全部参加了？啥意思，又在破碎感了伤心
1697802016# #blg打jdg真是越打越差笑cry
1702114125# #不玩手机了怀疑他在认真做听力
1698587217# #冷静下来，其实还是想说一个点，我们打野其实是越打越差的了允悲以我对害虫的仇视程度来说我会说这是被瓢虫沾上的后果，瓢虫沾谁谁基本立刻变捞。。但是讲点客观的就是打野也掏不出皇子盲僧等任何新打野，而且最近的比赛前期基本都没有节奏，唉小伙子，虽然没人说你没人骂你，但你自己要清醒一点啊
1702374685# #主播数学这么好，什么时候转攻数学界可怜
1700393923# #明年lpl会更完蛋的，继续看吧抱抱
1702126066# #说他愿意自动降薪只为求wb续约的能不能离开我的世界
1699702887# #看别人评论看哭了允悲
1701610873# #好可爱，离我远一点
1700470727# #米米米
1700732346# #0-1单杀4-0你可以再看一万遍我也不介意努力
1696396685# #歌太平了抓狂
1697269419# #找到真正的寒国老公了
1690286376# #打得太好了
1698924959# #夹总还是懂怎么玩微博的
1698581738# #这koro1是什么死人啊，他是不是今天四千家了啊？
1699705709# #在生日这天，做自己的英雄
1692198589# #OK⤴️💞～🥰
1702902991# #你们13果男的精气我看全要被韩女吸了，这就是声名远扬的到处蛊惑人的妖女，你们小心点吧就偷笑
1700408449# #都说了没有队伍可以打训练赛，还有人说我在卖惨，真笑了，说的比做的好听啊吐
1692175210# #再试试
1702214267# #为什么不是t.esbaola.n
1701260353# #终于懂这种不适感了，就好像是激♀看婚♀的感觉，你劝婚♀为什么不醒醒，她说她不对我动手就已经很好了日子还得过
1697974704# #右边看一下对手怎么说
1694423033# #我册那大妈们你们错过纪念日了，我们不算人但是大妈们在昨天已经是成为尸体一周年了挤眼上单粉是人？
1702314883# #人间塞拉斯，在世吸血鬼。签约选手是要恶意拉扯的，选手被线下anti是毫无作为的，选手黑热搜是漠不关心的，选手黑白流量都是要吃的，教练是要选手去联系的，纪录片镜头是要给你删了的，选手公益是要偷了的
1697715577# #韩语很完美的露露…兔子
1702997186# #来看直播
1698562717# #所以知道对面bp为什么只ban中单吗？因为针对了就有效果啊，拿不出其他任何能用的英雄，直接点菜
1704296308# #“世上有两样东西不能直视，一是太阳，二是程璐的实话。”——《橙露行》
1692971516# #shy鞋就是最厉害的鞋，反对的被我开除羞籍
1698922689# #建议某队别上四强，因为四强太没含金量了，配不上你们爱你
1702283029# #以后别人问yskm是谁鸡杂可以说“一个玩劫的上单”
1702819165# #什么娇喘触发器，这个地图建在橙露敏感点上了？
1699777851# #不是，谁让一号种子进游戏十分钟就开始相信批夹的允悲
1698205208# #每天都来看我的怎么不直接关注允悲我对讲师很友好的别担心我不骂人因为我一般骂的都不是人爱你爱你爱你
1701060810# #演点好的
1699705598# #感谢抛硬币，感谢蓝色方，感谢一切，最感谢theshy
1693061806# #程璐打完武器看数据经过周密的计算之后严谨地算出自己的伤害比对面伤害高了1420，我直呼主播太聪明啦不愧是大学生互粉。群里的人锐评：“这下谁还分得清ts和高斯”
1701187935# #学习摊杂的技能：标记
1700729939# #彭立勋你死了这么废物唉恨韩国人恨到给韩国人当狗都怪彭立勋你不争气啊泪
1702284588# #鸡杂说差一步荣耀！
1690111103# #我真的感受到了我露精神的强大和性格的坚韧，心态更是不用说，宝宝我永远相信你
1698922573# #实至名归！
1696733537# #喜欢好看，下次还来😋
1700575728# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈你们的忠诚，我露来了🫡，太地狱了我要笑死了
1695862367# #我准备好了
1702469913# #太喜欢看橙露玩新英雄了，就是“天赋”两个字不断从游戏对局里涌现
1702902525# #怎么谁和橙露一起玩都这么收敛了
1703001331# #theshy超话懂？所以这个超话里特么有人劝别骂/安杰，也别骂/谁谁谁，但是骂/程/璐的都允许对不对？是这个意思吗？哪里来的所谓的粉丝没有黑料都要硬编黑料？
1693229586# #啊啊啊啊啊啊啊啊啊怎么这么有才啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1690108173# #选兰博不保上你们选nm，找死是吧？
1698564490# #怎么不出破舰者
1700376733# #真要大结局了妈呀
1695229807# #太牛了这波武器对线酒桶单杀真的太多细节了我透，我真的时不时感叹奖惩录是英雄联盟的天才
1699511518# #虽然是在🈹，但是真的有点美微笑
1690120442# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1702955924# #sjb一样，讲师的目光是你们的兴/奋剂笑cry有没有一种可能这两个都不在意啊。还是说骂/安/杰也让你们自我代入了？我都没发现鞋羞批转粉/安/杰了，都他么滚
1691826163# #啊？
1703215108# #鞋羞批说我们讲师没有任何一个人做得比gzn多，我只能说我绝对有资格说我做的比臭鞋多，好了，臭鞋给我下跪吧
1704342441# #找了好久的鞋垫子终于找到了，又有新的笑话源泉了。什么时候再出一个上帝姐那样的一个人物，臭鞋圈失去了上帝姐就像咸鱼失去了水
1698203418# #公出你能不能显示评论一次啊？新浪都不觉得你的发言像个人，你好意思？而且我是你跌，放尊重点懂吗？别逼我用你的躯干把你爸从钢门铜丝笑哈哈
1704464723# #怎么从来不评论我
1696440135# #建议所有想蹭露露的13男的学习一下👇🏻
1702805504# #把疤痕p掉需要多长时间，wbg你是真的鼠了，一定要注意你们的遗容遗表，这种失误犯多少次了，很难不说是故意的弱弱弱p1是原图，我看到的时候就想骂人了弱弱弱
1690390637# #你是投完就去紫砂了？不敢？
1697806055# #我再看卡莎出排眼刀这一套装备我真要红温了，滚
1700741762# #theshy是谁，那年冠军上单不是duke吗，暴打smeb五局来着
1689651250# #完美爱抖露の伟大降临色
1697713204# #很美
1701688956# #瓢男跪着舔石头就是为了留在wbg，你怎么不问问瓢虫为什么跪舔石头允悲
1702268888# #theshy转会期达不溜比寄，生而为偷❤️
1694520259# #我女神
1700733277# #你最好是🤣🤣🤣别是地狱里你加人尸体的数量断层领先了🤣🤣🤣你们怎么每个鸡杂讲话都这么脑餐得好笑🤣🤣🤣
1704437558# #好几次关注我又取关的直接拉黑了哈，当我脾气很好？
1696081560# #本来我被主播队友菜得破防都想下线了，然后看到主播把id改成zuanyidetou又把我逗笑了，乖女，我这就帮你把韩服彩笔全部砍似
1702818503# #别叫了哈哈啊哈哈啊哈哈哈哈哈哈哈哈哈哈哈哈哈
1696431447# #大姐我求你们了电竞丝和kpop粉吵架确实很有趣但是别扯到梦龙啊配比一根毛吗我请问？还土，土在哪里？土在埋你全家的土就是他们运过来的行吗？
1702126227# #到底谁说愿意降薪啊？微博配吗？对小马来说算什么？作为粉丝能不能不要把他想得那么廉价？薪资不就是能力的代表？
1699982481# #你粉丝告诉我你进决赛了，原来你进了，失敬失敬
1703234314# #听到了橙露直播间常驻歌曲。分享Lauv的单曲《ParisintheRain》:&nbsp;
1698562157# #从来不靠上路，但是一进游戏五分钟就要靠上路c，你们是人吗，全部去死好不好
1694520509# #这下谁还分得清物资和飞科，皮肤数量甚至比飞科还多🤪
1699702110# #蓝色方保佑吧，伟大的蓝色方，求你了
1701223920# #双标狗，滚
1699707179# #生日快乐抱一抱
1698931369# #姥子就说了有人在偷摸贩剑
1702462205# #主播喘得我身心舒畅
1693400552# #主播在玩合成10的小游戏，难道，他真的是数学天才？
1702439154# #赞可能TS薪资年年涨你要他明年砍过半他宁愿休息没TS估计是打不过BLG赞挺会说话的，被我点名表扬赞
1700572143# #我听到说“我玩了二十秒却要等一分钟”的时候真的笑喷了，宝宝你，吐槽得太精髓
1698584339# #除了微博寄各种乱七八糟的粉丝以外最不希望微波淘汰的一定是虎扑评分
1699956909# #我看互联网没什么不好的微笑大家上网都带着伪装，我上互联网直接被逼暴露属性来了，没想到小m对s的感知这么灵敏，互联网这么大竟然能精准找到博主这种有着铁踢头和手上布满青筋的强s一枚，算你们有眼光，我真的会假装和你们玩艾斯艾慕然后把你们抽死允悲允悲允悲
1702109409# #天呐
1695970510# #继续投降吧
1690526824# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1692198791# #最高端的技巧就是欲有求于人对方却想婉拒的时候，不难过不愤怒，只是默默承受好似接受了一切，这种时候简直让人欲罢不能保护欲大发作毛球
1696433858# #我还是最喜欢这条转发…渗透着一种美丽的幽默
1700742634# #你们也得加油，不然他们一直引战怎么办，不就是看你们好欺负？加油吧，不要受他们的压迫
1698894820# #分享图片
1702908293# #找到最适合露露的上单英雄了，没错就是狐狸
1700755289# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1698489227# #无需多言，唯有感谢，谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢
1699668356# #宝宝！你是真的宝宝！抱一抱
1699774099# #我说你们这些做什么赛事分析视频蹭你shy叠流量的都能不能长点脑子啊，每个都他么和机器人一样套路化地说什么前两年太巅峰了，中间沉迷研发，22年对于粉丝来说不送就行，到昨天发挥神勇。我测你们全+了，theshy本人都说他觉得发挥最好的一年就是22年，实际上他22年也在那样一个队伍里那样一个不是上单的
1689777757# #至少还愿意练
1701150839# #除去无差别讨厌各种男的之外，我本人最讨厌的群体之一绝对是餐券女，这是我互联网上最无法理解也不想去理解的队伍，甚至离她们近一点我就会迅速远离，如果哪个圈子里有餐券女我是绝对不会有一点兴趣的，拉黑屏蔽一条龙就是我对他们的态度。
1693153185# #解说杯S4我已为加油，让快乐多一点！
1693401382# #橙露老师今天直播真的是把什么叫做娇蛮大小姐诠释到了极致，看弹幕说要给波比买皮肤，自己挑了一个星守的皮肤，弹幕说不好看，他就立刻撒娇说那你们别叫我买啊！都是你们的问题！然后进了游戏，弹幕立刻改口说好看好看，橙露说对啊是好看啊！桃里桃气嗯呐这就是我们小祖宗，我们乐意供起来互粉
1694427307# #我测笑吐了，我就说哪来的sb吓js一跳
1701189800# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1698305238# #fudge给你五十块这个兰博让橙露上去玩微笑
1699014655# #曹你跌geng
1691572490# #韩华来了，又开始疯狂反思
1704464231# #说实话，看他们打组排不如看我打游戏，我打游戏很有效果
1697694549# #小p你想毁了这个家。。。
1695704860# #茶百道theshy联名🥰theshy茶百道好茶体验官来噜来噜！
1702313615# #廉价的东西也就配盗版的玩意儿，bravoylife的亲跌出去卖的钱也就够买一个盗版的玲娜贝儿
1702315088# #怎么删了？碎了？把你所有考六级的钱省下来岂不是又可以买一个450的手机？听我的别考了，换手机吧先
1692982398# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1701169372# #斗魂竞技，快滚出来，我露点你呢，别不识好歹
1700741704# #鸡杂还是这么会甩锅，刚刚在对线的xun粉你们出来说句话啊允悲允悲鸡杂现在出神圣分离者了
1698430879# #来看这个，永恩！！跪了跪了跪了。
1704295119# #大秀特秀
1690710341# #fmvp团战霞倒钩五个人，对于某个人来说可能是玄幻片微笑
1700446380# #这一年真的很累，好好休息吧抱一抱
1702465230# #一次性不准叫露露做太多事懂吗，又要翻译又要买皮肤，露露转不过来咯，大小姐要发飙咯
1699698948# #求你们赢下来，求你们，中下野辅，真的求你们了
1703144046# #没错，我最爱的人害羞
1697806556# #叔叔又是你，叔叔你别抽了我害怕泪泪泪
1692101215# #试试
1704366643# #露露认真地在现在已有的成绩和变成06年的但是成绩全没了之间选择，还是觉得选择现在的自己最好嘿嘿
1700742796# #他们不把你们当人，你也不把他们当人呗，这有啥？如果自己不想站起来的话就永远站不起来，一直纠缠他们就好了啊，慢慢来
1698126507# #亲近率是全年都稳定排名倒数的，伤害是稳定前列的，上路被抓就是爱送，中下被抓就是对面来太快了要我们怎么办，上路伤害打出来了是无效伤害，双c打出来了伤害说是带着拖后腿的太累了，带点燃说是自私，带传送说是又没帮到团队有什么用。游戏外被队友杂说讲师一踢四不如solo，结果游戏里还真有人让上单s
