1704352950# #这一幕前队下路也发过0.0。小林啊小林
1702041951# #艾克永远的爱
1704382040# #首页来欣赏😍
1701163121# #太残忍了宝宝
1700012258# #cjb都能今年有这个成绩，还不如cjb的fw我不好说了，有世界赛四强数据图的总比好几年都没有s赛淘汰赛数据图的好舔屏
1701213509# #穿红色显得人更白了
1698065206# #薄纱了
1702130333# #毫无疑问的里程碑
1704283853# #仙
1704543272# #不再吃剩饭的转会期第一中单膏妈今天被坚定选择了吗举手举手举手
1697941806# #英雄联盟S13我已为JDG.knight加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的JDG.knight打call吧！
1698029112# #饿了，看着可以一口吞兔子
1703466950# #老摊真的会
1704250844# #咪纯特别好
1702139227# #9纯拿5个冠军，你家是不如鲜花
1697514396# #我亲亲
1700012629# #这一笑笑回s11冰岛，对线离不开胎字真嘟很无聊，奖励集臭给翔天墨3p拍视频，还有趣一点亲亲
1699167603# #因为厕妹没见过大聚吧（认真脸兔子）
1689430395# #劳斯给你打钱不开玩笑
1704351589# #我的妈呀
1700666181# #啥时候定下来教练和赛训啊...
1698895288# #你纯差就差在爱吃洗脑包的粉丝觉得他差了兔子
1700644081# #有的cp粉脑子全是水，比赛是不看的，转会期是指点江山的（没说我担）
1702796260# #我🐷年轻有为
1698824435# #徐桑请carry哇哇哇生日快乐
1704275520# #你放过blg晕
1704542354# #找到肥猪梦女了，也只有肥猪会爱肥猪摊手
1703479582# #omg
1703231560# #纯杂都不敢贷款的🍐皮肤，不懂有些人怎么比我还爱
1699018958# #不得不转
1696438677# #捏马，深度好文
1701831950# #我cp出现了
1702140464# #牙膏有几个粉丝啊，为什么🐟上出卡无人在意啊...小哥哥小姐姐们这么努力倒是来买点这死肥猪的周边啊🤔你们是都被sg秽土转生还是都被老纯送去重开了，没人花💰啊怎么
1699957297# #集美这么急可以快点投胎鲜花
1700476156# #祐齐啊，哥哥们也很为你感到骄傲吧苦涩
1700736210# #特别可爱的老纯老咪爱你
1693265272# #9纯。。。
1698391306# #笑晕
1698373916# #jdg的宝宝们才是热血漫主角苦涩
1703858111# #请来收到
1699157176# #有些库杂有种老公出轨不敢打骂自己亲亲老公只敢找别人出气的娇妻的美馋嘴
1690548269# #是你骰的兔兔小纯
1698631117# #想看俺们的霞洛苦涩
1699254772# #英雄联盟S13我已为JDG.knight加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的JDG.knight打call吧！
1703928807# #做得好
1688986678# #好萌的9佐伊卖萌佐伊卖萌佐伊卖萌
1702134491# #一口一胎，不用怀疑您已经是小胎胎的fan老师爱你您嘴硬的样子让我忍不住用chatgpt创作一篇违心黑粉背德为胎宝宝献身的感人大作！纯黑伟大捏
1703507717# #来北京了，不错不错
1698131955# #很喜欢🥵
1701661381# #小k的眼神
1695730975# #我儿争气
1699103433# #真好
1698057676# #plk粉丝居然会去舔尺妈妈，给当家主母尽孝吗
1700923085# #不如被橙露啵啵踩头的宙一儿，一年给自己认三个爹也不容易
1700481075# #啊？
1702141516# #神已携奈兔专辑华丽回归，期待后续打歌舞台老师爱你
1704257623# #画的真好
1698453442# #特别特别伟大
1703467140# #可以做议员梦女1分钟
1700732388# #崔小猪的表情包有点过分好用了
1702795306# #我要做超模
1700710039# #彗和烬男同几点零了这是
1698896251# #真的黑线黑线黑线
1702128703# #神
1702207554# #解绑plz
1704195661# #有您了不起
1702895641# #笑死了...
1697727407# #八擒谢谢JDG加油
1698254138# #好东西转一下
1703044774# #排面！
1703079143# #小k长长个子可以做爱豆
1704598703# #手神游龙馋嘴
1702084362# #点一首不亏不欠
1690088469# #夹劳斯是这样的
1702891408# #尺子确实月亮代表我的心
1698135428# #正确的跑路微笑
1702310275# #看着就好吃😋
1697502572# #拉个首页美女一起拍
1689084519# #她真的我哭死
1698897082# #p1好有灵气
1698677499# #此猪成长了兔子
1703916612# #可给你机会做哥哥
1700365230# #国宝苦涩苦涩苦涩我的眼泪不值钱
1703668657# #乙希是神舔屏
1701487283# #2023年的knight选手在JDG收获了三个冠军，100%胜率的辛德拉狐狸助队伍拿下春季赛冠军、三把杰斯锤出来的MSI冠军、翻盘定音的妮蔻好大造就的夏季赛冠军。短短一年内就携手23京的队友为队伍带来了前所未有的辉煌成绩，很遗憾不能继续支持JDG，相信大家都会迎接更好的未来鲜花
1702827654# #daki就是如此的顶梁柱
1704351725# #你四叶草啊
1696244643# #遥遥领先
1701404373# #猪大明星的行程表
1702383975# #见不到的极光
1699109566# #萌萌的兔子
1703239103# #突然意识到巴德也陪跑两年了
1695775387# #knight卓定超话。最幸福的小女孩兔子
1702133974# #崔油漆知道这群去年比赛都不一定看过几场的☁️现在这么爱他了吗，但凡集美去年11月骂他两句🍣也算你看比赛了呢
1701856958# #杰斯大胜利
1689671022# #fmvp都做人情了何况你个评选的疑问
1702136652# #老纯🔥了！
1698113385# #能在你这里看到小东东？？？？
1702112739# #杰杰的大长腿
1695175649# #我吃吃吃
1704557365# #集美你大义凛然的嘴脸过分精彩惹，建议火速取代我纯入院北影表演教材哈欠FBI或者CIA那边怎么说？不给您offer多少是人家有眼不识泰山，毁了一位维护23碧尊严的爱的使者！
1689086742# #咋了集美你不如直接大号悲得了，当然你也可以带着沸羊羊把今天岁月史书一下变成“家人们谁懂啊今天又被迫害啦”，主播有空给小鬼们养蛊真不如早日尝试下脱稿解读，团战说的稀烂俩人各讲各的还能说出369锤走了鳄鱼这种金桔只能说主播辛苦了要不然就一直当主播吧❤️
1703595170# #儿你的小肚子...
1699162314# #老咪的格局兔子
1701053315# #老纯是这样的0.0
1702139948# #辱狗了！牙膏妈咪的孩子我很难在生物学定义她的物种，不如潜入海底做pyke鲜花
1702020135# #好小的娃娃
1702222125# #毛男➕意大利美女，虽然都是漂亮国孩子，但是血统完全和老美无关
1698200666# #英雄联盟S13我已为JDG.knight加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的JDG.knight打call吧！
1700020884# #原来不想去韩国是怕遇到老币的亲朋好用触景生情直接上吊
1695399190# #是的，我们有一个孩子
1696931087# #赞助商，正确的
1703953508# #看到老地老套我会笑死
1702903781# #神...太美了
1700641904# #国电笑话年年有
1701936103# #精心设计的一只臭屁猪
1700666526# #没事，实在不行除了dk还可以去批碱做替补
1702102016# #knight卓定超话。最青春的一集！
1690725339# #kswl
1698489766# #耍帅是吧
1695178649# #三胎祝福
1701679038# #两年呢多看鲜花，得一起打到集美停经，不然怎么助兴
1701271982# #大概率谁也不认识...
1701256091# #香奈儿真的好萌一只小狗
1703229667# #
1695733136# #拔罐王
1703245248# #合理总结
1703672181# #林恒你好棒😭
1701328444# #得亏没漂....
1702112978# #你开心我也开心
1702133018# #丞相爹骂最孝顺的儿子什么时候需要看日子我寻思
1702827561# #您画的太好了鲜花
1701831927# #饿死了，吃吃吃
1702566841# #危险问题！
1704502539# #不打德杯，是不是糯了
1704275718# #原来没有联赛冠军也叫在那里馋嘴那我还说blg外战除了s赛赢t1也没有可提升的呢收到您真幽默啊
1700019987# #集美是做过吗，这么有经验？
1701614543# #最后吊一下
1703233374# #老公们走过路过能不能给我推荐点🍵包，熬夜人士不想喝奶茶又怕嘴里没味道
1704159606# #大姐你没事吧
1703044921# #p4宝宝豪爵收到
1702116540# #老婆您好美打call
1703764549# #小香🐷
1698029088# #睡
1701517136# #国奠是这样的
1702351326# #驴人...没救的
1704095596# #🐉宝宝出列
1692860880# #京酱不好意思了捏
1689925465# #很有杀气的小手
1702139092# #小哥哥突然戏瘾上来了
1702891717# #414神仙太太
1689787131# #都被我亲死
1698406194# #英雄联盟S13我已为JDG.knight加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的JDG.knight打call吧！
1700923156# #都撕逼了宝宝们怎么还这么温柔...我同担真嘟有伟大的性格
1698027795# #兔子
1700723621# #小红猪也太可爱了
1701099549# #继续沉淀...
1702111283# #很喜欢某人才6级超话等级表现出的恋恋不舍，就是说隔壁高清美图不够让你去欣赏妈咪美颜哦馋嘴
1698057883# #plk粉丝也配上桌兔子
1700457294# #捶两下胸口真的好可爱
1700314161# #戴上了就不要摘了
1700834166# #新做的美甲太好看了，区区四个小时算什么馋嘴
1702020386# #早点把4A占了A跳位置，让我看看sp上满3个四周的火星难度馋嘴
1704542115# #有的人一年8胜1负，有的人一年1胜8负，而只有一个人是0胜9负收到收到收到
1701940207# #每一个字都支持老师好
1693532640# #没花钱就别bb，别人做物料不是欠她的
1696644626# #我邱太棒了
1704114464# #不亏是休赛期第一ad
1701250378# #雪媚娘...
1701924556# #好久不见枪宝
1701166554# #中午刚吃嘻嘻
1702127072# #九纯永不be
1702462758# #可爱的领带
1693265923# #路过擦一下嘻嘻
1700398346# #臭屁得小样
1698660380# #好东西请送我哇
1700797663# #杰斯plz
1702358312# #天才...
1702124862# #有品
1701077996# #多补补课集美，19年也没那么远...当年买来的价格多少有点闻者落泪了
1700495177# #啊？
1701254346# #和纯杂撕逼的多了，碧杂算老几？谁平时会理最孝顺的儿子呢黑线
1700030831# #离谱的策划
1698927834# #没有难看的！
1702133872# #分别是：有冠军的cjb，没资格上桌被称为cjb的，☁️p用来挡枪的时尚单品
1700989428# #你干嘛？哎呦牛宝
1702133759# #扔给我纯都看不上的东西
1702708583# #笑死了
1691507062# #s12春季限定rng…这个家离不开69啊
1701096003# #成年猪是吧
1703519784# #李哥快被🐷笑死了
1702011388# #等着变脸吧老师爱你
1702635972# #请韩国人放弃水光肌
1689142737# #小手:端庄
1702384838# #希望你永远是自由的
1701864377# #腐螳螂别太急
1689514416# #吊系小纯
1702730317# #看完m26我的评价是喜欢上黑皮男人是我的宿命
1696438715# #我吃
1698923992# #我的童年回忆哇
1698670807# #此猪好会摆
1699184631# #大师有点幽默
1697809954# #特别好的
1702893256# #儿子你这个超低领？！！
1698491105# #还我帅哥小咪
1700213776# #不客气，买一送二把你全家都打掉了可怜
1702121171# #崽子冲
1702139347# #一年认69、zika、宙斯、shy哥四个爹的上单不建议说你家我家，父亲太多了不好处理伦理问题老师好
1698896297# #特别特别好兔子
1702813669# #颠婆
1704039129# #2024要幸福多一点
1701692927# #来看你宝
1690185803# #JDG超话。2023夏季季后赛knight选手个人应援。。代队超8级/个超7级/直播间6级。线上领取请关注👆🏻博主。。⭕禁止二次出售、丢弃
1701171330# #嗯嗯都是纯杂p图，期待膏膏搭配冠军ad复刻一下gif鲜花
1700020992# #你玉啥时候从冰岛游回来再说吧亲亲
1689994897# #9宝真好
1692532381# #xmm怎么都这么没见过世面的样子，明明盗也是拿了s冠的人
1688904712# #虽然这年头喜欢批东开始成为小众时尚单品了，但是集丑你也不必看到看到产品有划痕就开始大骂赔钱货吧委屈
1700231158# #恭喜QQ缘
1701329900# #来blg吧，叔叔看看
1699071751# #英雄联盟S13我已为JDG.knight加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的JDG.knight打call吧！
1701763891# #我磕
1698830429# #好喜欢好喜欢😍
1704296045# #帅哥
1697942014# #眼睛要尿尿了
1701004590# #哥几个天天燃冬，不愧时代姐妹花
1704029221# #小狐狸纯明年快乐哦！
1702083426# #我会永远记得s5出道的最佳上单和最佳辅助
1701248003# #膏杂自己吹逼jd第一选择牙膏啊，转会期第一身家中单能不能带jd突破一下今年三冠呢
1703237501# #集美用小号犯贱是因为大号被打没了还是？
1689690745# #等9宝的下一个冠军
1697434968# #寄给我求求你泪
1697716532# #英雄联盟S13我已为JDG.knight加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的JDG.knight打call吧！
1701962550# #特别争气的小弹簧
1698063664# #她都磕看牙了，你还不原谅她
1702624824# #议员梦男驾到
1703731543# #我是我妈生的，他是太监生的？
1703039219# #🗡️不死它的
1702041917# #小浣熊还是那么可爱
1700562251# #回来吧我的牛宝苦涩
1703165979# #我童年cp老师好
1689084539# #一直就不公平
1701084776# #«中国宙斯»嗯嗯我信了
1688993810# #小孩真不错
1698305299# #纯纯哇
1702083230# #生日快乐啊
1698385342# #兔子兔子兔子
1690994107# #六叔六婶的自觉
1689503993# #知道谁是爹就好
1704337194# #神经病
1701048164# #代一下我和一亲友
1703666573# #喜欢
1700479359# #幻彩拉丝好美
1697433511# #小看看好好打哦
1700282516# #太棒了苦涩苦涩苦涩
1703239972# #最好捏
1701271122# #很骄傲吧馋嘴
1700990345# #泽彬嘉豪都是汉奸队的问题都过去了喵鲜花
1704384348# #男人对身高的执念...
1702033318# #很坚定的4t
1702721585# #良心是没有的，肉肉是要炫干净的
1700548428# #为啥韩国人爱上了海底捞晕
1702702165# #小哥哥一秒十个表情管理omg馋嘴
1703829615# #没有脚脖子0.0
1703731566# #😭
1702133292# #大号：五小工。小号：胎手。集丑演的好的都
1701392416# #年轻人得黑历史都是高清的
1703238033# #香水婆！正确的🥵
1698631099# #这个嘎子...好可爱啊
1701763930# #不如原来一根老师好
1691748224# #辛苦77
1697433429# #伟大的耳朵
1700457559# #神
1689630743# #宝想要，宝得到
1701497994# #双子星请继续幸福
1698387214# #不管结局如何请先淋今年的最后一场金雨
1690877073# #速来宝宝
1695175610# #稳稳🐴住
1698132443# #哥们有点直言不讳了
1702358594# #特别好老师爱你
1704211581# #宝宝好喜欢你
1701264161# #有小丑🤡
1694918817# #小手起飞🛫
1700912540# #😭我的眼泪不值钱
1702132957# #集丑有空理中客没空收收辱骂队友的评论区，明年要被左手荣誉压到死的四小只不拉扯性格大旗的话，撕逼起来胜率就像今年的丞相与孟获
1691570870# #kk就是不会把别人的话落下呀哇
1702134818# #集美用小号偷偷开麦的样子很霉，就让我纯把你打掉让你重开吧爱你
1699254802# #为什么！！是绿色鞋子😳
1702130962# #你这么会说是要考研啊！
1700641598# #幽你一默...
1701678268# #剩饭老娘还在问怎么了，而伟大的纯杂已经给你解决方案了
1701004488# #争取下次能去可怜
1689649993# #这不得不冲一下了
1698395533# #苦涩苦涩苦涩牛宝好久不见
1702891624# #哎呦宝宝可怜
1702130011# #傻瓜蛋
1703733373# #好好好好😭
1702896070# #啊啊啊啊啊猪的清纯一击
1702473439# #无灵魂👋🏻
1702549259# #knight卓定超话。大家有没有纯子的gif喵！很需要存图喵！
1697688827# #给我舔屏舔屏舔屏
1701404715# #无内鬼，来点浴室拉扯笑话
1701614647# #崽好争气
1702084171# #给我亲一口
1699153454# #我！有！罪！
1701251007# #审美好好
1703000777# #《我就一个人去》→哥哥们怎么不陪我去吃海底捞啊！！！！
1688905260# #笑死了看片突然化身去就蹦
1689601441# #。纯纯你再不我我真的没法给你发私信了，被万恶的大眼给夹了泪泪泪救救孩子吧融化融化融化
1697552390# #造型百变，可爱不变！我正在使用SVIP会员专属JDG系列主页皮肤装扮套装。等你一起来解锁！SSR交换站超话SSR交换站稀缺装扮
1704335390# #仙
1690039079# #我给满分请高柱继续
1697809197# #言灵启动
1701084701# #知道了知道了，打的好就是哥
1704121070# #最懂哥哥的是纯杂老师爱你
1698113946# #兔子内娱也有是吧辛苦了
1702012118# #回/民看不得这种老师好
1702389379# #买了个折叠屏小玩具，以后可以双开了
1702141070# #不被偏爱的4F
1704375288# #衣品不错
1702011369# #🐷你胖了
1697507229# #尿鬼出列
1702083644# #2015－2023，9年了你也要探索改变是不是好事了吗...但我希望答案一定是肯定的
1701678542# #多扣，搭配老看开的那把ob风味更加爱你
1698135504# #谁女神？我女神
1700314396# #双吉我的妻子
1702369270# #头发整帅点馋嘴
1697460885# #母母的安利我吃
1701392466# #动物塑很成功得一集
1698580385# #有点变态哇但是我喜欢兔子
1701699014# #坏...
1699162589# #竞男赚多少？厕妹赚多少还不如竞男的人开始玩割席了笑晕
1701089232# #陈泽彬，彭立勋，卓定，赵嘉豪，骆文俊，tabe(sofm？），Bpercent
1696925883# #很好，世界赛拿冠军我拿手机
1703395108# #没懂这和我有啥关系0.0我不追符也不追次
1703039570# #猫猫军团！
1700734623# #有的集美好focus纯杂哦
1701498064# #逆天玩意来了
1702130040# #很棒老师爱你
1702101351# #你捞的队伍高估了老摊下路强度，低估了人家的上野…龙叉看透了然后人家上中野赢了，放弃了自己强势的团战过度依赖下路对线强度，可惜最早玩这一套的人家都放弃了
1702813736# #两位老婆出现了
1703228923# #你要不看看369微博头像？
1703044808# #苦涩苦涩苦涩苦涩
1697447425# #宝宝加油打call抽我
1703044850# #加入dys鲜花
1700641711# #好家伙
1697380827# #小磕不是磕
1698756973# #有猪变帅
1701348836# #我苦涩苦涩苦涩你别杀我了
1698489864# #单杀都快能出集锦了
1703162159# #有司马玩意🙄
1699968258# #应当吗黑线
1702363020# #好东西喵
1697982890# #快进到抑郁
1702148726# #🐷啊！
1697716842# #宝宝加班是吧允悲
1691470718# #怪可爱的还
1701668906# #明年争取拿个fmvp吧，不然看着怪可怜
1701248077# #s13牙膏对位左手的胜率是多少？居然是0耶！
1691326010# #精辟
1701784757# #乖乖的
1702084066# #聪哥论说话的艺术
1700732128# #小猪真是乖小孩
1700484726# #好美一只咪
1700666400# #你🍉争点气啊
1703051069# #猪蹄*2
1688911021# #好好调整别看有的人打着“为你好”实则在伤害你的话佐伊卖萌
1689856548# #knight卓定超话。代宣传一下季后赛给小手的应援物料第一弹佐伊卖萌。领取条件和线上获取方式指路👆🏻账号
1701047314# #白嫩的🐷
1704042474# #身体健康学业顺利，所爱者圆满
1702195910# #正确的
1698940450# #哎呦苦涩看到心软软
1702184228# #突然意识到老skt是不是只有faker去不成bang婚礼了
1699177048# #好听话的狗哇
1698065012# #谁的粉籍太针对？
1702364713# #叔你幽默了
1700888215# #啥都不知道的人能不能别张嘴就带大节奏...
1701692902# #敷敷你的格子裤？
1698896815# #下路对线本该来就是辅助当爹当妈照顾好大儿
1703514136# #磕cp党争发展到攻击选手本人多少有点
1691326081# #就是不会输啊佐伊卖萌
1702827705# #母直男是我一生的理想型
1702434789# #🌿
1701678218# #集美可以拿着byt上门请教老纯教你认识ob，他会教你的
1703585400# #承认吧，你们都很喜欢
1701746471# #双标厕妹去亖喵
1697556440# #我来了
1698115237# #莫名其妙的小姐姐一枚
1701440288# #地狱了可怜
1703513772# #都是美女🥵
1699177475# #可爱死了
1696919821# #别太会拍...好美的一群人
1689925687# #奔着冠军加油兔子
1697601047# #大猛1还我纯纯
1700922891# #嗯嗯宝贝知道你投胎转世回来了，怨气这么大需不需要喝点中药调理一下
1702391093# #九年了，辛苦了小野
1699173746# #怪不得是xmm最害怕的一集亲亲
1698112296# #不如和她农药大战她有客服端概率还高一点
1689087161# #集美🍵艺建议再多修炼下
1703228433# #一个世界赛都进不去的队伍好意思内涵别人垃圾，自己转会期爆米喜欢当垃圾回收站就当，往外吐什么垃圾呢？
1696239866# #knight卓定超话。很幸福的打卡，看到小手就会情绪稳定抱一抱抱一抱抱一抱
1703245226# #哈哈哈哈哈哈哈哈
1699008420# #兄弟们我🐊强不强？
1697600353# #JDG加油小东东加油
1702130924# #上路也可以塞拉斯老师爱你
1704017081# #knight卓定超话。很好的开始！用mvp美美跨年哇
1701857923# #哦哪个绝对核心没有年度mvp提名捏
1703000175# #《反弹》
1697893667# #神图
1701837219# #这下不得不启动了
1699184836# #伟大
1704360654# #妖姬绝症哥真出现了
1703585251# #怎么有的人来事颠倒黑白？就问今年世界赛，尺子：你在哪里，你根本不在韩国
1703510467# #崔油漆这个精神头，拿来给我背书学习多好
1698857333# #小看看生日快乐哇
1697675095# #9宝哈哈哈哈
1702131362# #有这功夫阴阳不如努努力明年让czb拿s冠，到时候自然所有人都夸夸了捏
1697557337# #收齐了五大工➕小兰，很满足这人生
1703230370# #嗯嗯冠军皮肤合成了褪黑素
1695103946# #《你们老中》整容大国对着别人说脸蛋造假有点幽默了
1703238131# #阳崽怎么不去前面
1704557441# #进则外网开团，退则固守b站！
1701087870# #杰斯这把是让🐷爽到了
1703336150# #小纳尔0.0萌哭
1700649087# #美死我
1704602873# #《德杯冠军闹麻了》《这么c世界赛怎么不c》《内战打的再好也没用外战废物》有些人怕还没到世界赛就要被气死了摊手
1702128678# #马琳琳:54和4lo我都要！
1701516147# #？
1692530600# #有☁️批耶
1702970117# #画的太好了馋嘴
1702702671# #白皮穿啥都好看
1694057873# #krd吃点好的吧吃瓜
1700992225# #喜欢变脸就多来看看，主页还有老电版本捏爱你
1704081671# #东哥欢迎回来打call
1703421913# #🤮
1701837191# #大超老师，你要支棱啊
1701088745# #说真的，他不胖QAQ
1702642344# #棒棒的，你比我入党都早🍋
1703096378# #和约稿劳斯一拉扯，一张纯子变两张哦吼吼
1702113162# #丹妮都来了全明星，反观一些要领奖的宝宝
1702134700# #嗯嗯嗯你说的对，我纯就是没人要被你碧加价用中单最高薪接来了捏膏膏既然是被请去京东的，明年不四冠连狗都不如了打call哦忘记了，msi本来就被打的连狗都做不了鲜花喜欢杰斯加强炮上路一打二全杀了吗爱你
1704112066# #你终于等来了自己的fmvp
1696925164# #我最喜欢的热血番
1703962924# #嗯，有的人确实
1691328774# #加油吧
1691671621# #哎呀呀哇哇哇
1703228869# #嗯嗯既然如此就不要要求你们口中身家最低的倒贴中单了捏，某些顶薪ad能来点作用吗，毕竟玩格林公式这套老纯从没被回旋镖过
1700916822# #哥几个...
1700985161# #难看死了
1699929284# #knight卓定超话。做给双子星的应援扇还被Kitty认证了，希望明年继续带着它给你们加油加油
1702084601# #头发像毒蘑菇的菌褶一样炸开了老师好
1704335757# #画点好的苦涩
1689412932# #好萌好萌的宝宝
1701099492# #一直的事，某队别来沾边黑线
1695176736# #很符合你自己的id....
1700979479# #这些mmr说半天最后连那个群都不知道，我笑得泪流两滴
1702894032# #女儿在海南做旅行兔兔，儿子首播不开门，只有小林能给我温暖0.0
1695175567# #不懂煎饼的永别了
1704557562# #给膏咪送烟不怕哺乳期让你们致畸...具有反叛精神的小姐姐们！
1702083370# #明年都好好加油啊兔子
1702135029# #不喜欢给你写的和我纯cp文，那就奖励你和膏膏doi吧，视频分享一下
1704597340# #嘘
1702140022# #尺片大腿一定可以哦！加油么么哒爱你顺便问一句集美去劝学奶油宝宝练沙皇了吗
1700475775# #咪大哥的眼神诶呦喂
1704068996# #9宝元旦快乐
1703325217# #yue了
1697984981# #还怪可爱的
1703230640# #怎么办，这么重要的事情你禀告联合国🇺🇳吧
1698284422# #农p真来了
1700365098# #说出来你信吗爱你
1697557290# #期待全队的哇东东加油
1703224558# #转发内涵我纯的请问你担目标是one&amp;only的德杯冠军吗
1700020567# #老玉不用合成十六强，已经有两个了黑线不如反思一下为什么三个冠军皮肤合成不出一张世界赛门票
1703012125# #
1702125503# #都美美的兔子
1702097536# #遥遥领先不得不试一试兔子
1698992770# #她都这样了，你让让她
1704277364# #笑晕
1698632115# #十...十年？？
1697600107# #傲娇，谁懂...
1703954246# #小哥哥装大人
1698054732# #小胎胎粉丝很多，你忍一下兔子
1701271534# #真的挺想看他走上...
1699184071# #加油吧嘎子
1701100181# #牛，复出好不好😭
1698485381# #topgap😋崔油漆你是争气的小猪
1691539853# #让我中
1699931309# #好帅的77
1693664731# #拔罐王！还有小手呀
1702309387# #？
1695178794# #玩你🍐玩的
1692527692# #请换头像
1689264642# #双子星长长久久
1701003571# #老纯：怎么我去哪里都是银河战舰0.0
1697600518# #逆天
1703860020# #太美了蛋糕！尺子生日快乐0.0
1690725322# #来自纯皇的无敌美颜
1701249392# #不差指一次入选最佳阵容，比fofo还少
1695176772# #遇到真文盲了兔子
1689925723# #决赛见老师好
1702266847# #嗯，劝学...真正需要努力的人是谁我不说
1698053123# #既然这么急就上报联合国！原来有hgr被我们老东绑架了😯
1700548492# #回来摘桃喽
1688918575# #北京安定欢迎你有病就来治
1701509800# #大超真该打上单
1703230719# #《复苏晕》
1697434942# #难崩
1689116648# #萌死我的双子星
1689086973# #她配分到t1的场次吗
1704277494# #哥几个还挺有实力
1704038418# #2024要快乐兔子
1697548758# #会有的爱你
1699937957# #原来玉出是T1打野，平时喜欢半夜上吊为的是秽土转生来世界赛啊
1702436159# #好帅的🐟🐟！喜欢
1694064348# #真的好美
1702083748# #你让刚买了三星折叠的我怎么办😭
1702468617# #了不起的她
1701215690# #喜欢上辅，一些姐狗
1689086764# #喜欢犯贱是拦不住的
1703931704# #最喜欢1997
1702384788# #杰斯是真爱
1689746222# #我家双子星打call
1701510907# #非常可爱的三小只，明年都要幸福
1702573381# #小裴是帅的很配的两个人
1698372440# #369超话。有没有小尾巴哇
1704038973# #新的开始，求如愿以偿，愿一战功成
1701522289# #过分可爱的qq人试一试
1702384804# #牙你加油...
1701100143# #嗯嗯碧最后加钱签约了，谢谢支持blg.knight喵可怜可怜可怜
1702917217# #不行啊，吃太少了宝宝
1703346834# #rank走中赢过很多人捏馋嘴
1700723738# #孩子开心就好
1701443602# #骰骰的好我说累了鲜花
1699966821# #为玉酱换上微博头像再顶上t1标识，他就这么拿不出手吗，忘记没进s赛的队伍没有头像和小尾巴了sry可怜
1702908549# #好东西0.0
1703643534# #当年爱上了刘姐
1701348696# #国南素质
1701517434# #原来真的像，现在不好说
1699103046# #这下不得不买舔屏
1699165884# #怒转
1698897312# #请神
1700484754# #这不是说反了吗？我看厌女程度高的都是相亲不顺，现实中没女的搭理，只能到网上发表逆天言论让女生骂一骂才能爽到的incel
1699109818# #太典！
1704027162# #我纯0.0
1702131266# #出息了！正正老师打call
