1688479652# #有感。。文有胡锡进，。。武有马保国。。中文互联网，。奇才不可缺。
1694834654# #北极鲶鱼不予公开是否为权力傲慢上了热搜。前媒体人何光伟又想起信阳公安局不公开买官者名单。原信阳市公安局局长李长根卖官案，牵出30多位买官者。局长31万，政委10万，交警大队长30万，公开卖官鬻爵。李长根服刑后，买官者还在继续当官。有20多位继续在所买的官位上。何光伟要求信阳公安局公布买官者
1688968465# #有个砖家叫张捷，提出建议：恢复农业税，恢复交公粮，提高农民责任感。呸，日张捷家的妈，日他八辈祖奶奶！
1702778874# #很多人无法理解。。苏联在赞美声中轰然倒塌，。美国在批评声中日益壮大。。一味赞美就是捧杀，。被捧杀的政权没有不塌。。赞美使人忘乎所以，。赞美使人妄自尊大。。批评就是提出问题，。接受批评就能纠错。。善于纠错国家就能强大，。善于纠错人民就能奋发。。苏联接受赞美千疮百孔岂能不垮。美国接受批评不断纠错
1699235520# #《这就是中国》节目，唱主角的就是张维为。不得不佩服，他的确是溜须拍马，指鹿为马的高手。。张维为人称“两赢张”，他把世界分为中国和外国，中国什么都是遥遥领先，外国什么都不是，中国赢了再赢。。吹牛不是自信，造假不能成真。我们国家的确有了长足发展，取得了很大成绩。但是，我们决不能故步自封
1688739215# #李昌平先生做过乡镇党委书记，他实事求是，不溢美，不遮丑，可以说，把“乡统筹”时期书记角色写的淋漓尽致。很值得一读。不能让“工资双轨制”重出江湖。
1688884304# #近日，一张发放表显示，济南大学给留学生发放补助每月3万元，济南大学经办人没有否认发放表的真实性，但说是断章取义，是30个月的每月1000元。是这样吗？，那个工业职业技术学院能指鼠为鸭，济南大学又会怎么样？让子弹先飞一会儿！
1695437503# #鲁迅先生说：“权力一旦落入流氓的手里，那就是所有人的灾难。积德永远斗不过缺德。”迫害李途纯，抢夺太子奶的实际操作者是株洲市公安局副局长凌娅。其实，凌娅是鬼不是人。。凌娅，这个女人曾逼迫李途纯陪她去歌舞厅，去歌舞厅干什么？吸毒。一次，凌娅吸完毒，脱衣跨褲，手拍乳房，对她的手下说：“
1698244303# #又一学年结束了。乡初中老校长该退休了。乡里开始物色新校长。。。很多人都传老教师王老师有能力当校长。这一天，前几年下海的小冯来找王老师：“我是你的学生，说实话，你不能答应当初中的校长。”王老师说：“我绝不会去当这个校长的，我不够格。”小冯说：“真正懂老师的还是你的学生。老师人好，但不
1688863256# #张维为是网络四大思想家之一，看看他到底是什么货？他曾说“我不是脸皮厚，我是学养厚。”不要脸达到新高度。
1700364432# #最近，鲁迅先生的长孙周令飞上了热搜。因为某媒体问他，上不上短视频，周令飞说：“当然上了。”并透漏读书与上短视频是1比9。周令飞可以说是不遮不掩，不搞人设，大大方方的说的。鲁迅先生的孙子怎么了，难道只能是大作家？鲁迅先生早就说过，他的后代不能做空头文学家。没有那个才华，自食其力，养活
1689173862# #北师大院长胡必亮：非洲留学生来中国，10万奖学金实在太少了还有待提高，人家来中国留学，一年才拿10万真是太少了。。国内居民收入是个复杂的问题，不能比较留学生的奖学金高。胡院长补充说。。据说世界大学排名是按留学生数量来排的，我们的大学缺少硬实力，吸引不了发达国家的学生，就用花钱买那些非洲
1696661733# #有一个故事很短，但寓意深刻。。一个秀才心地善良，到一个村庄见农夫准备杀狗，他想把狗养起来。。于是秀才和农夫发生争执。狗见人对主任不敬，就疯叫狂吠，欲挣脱去咬秀才。。农夫对秀才说：我要杀它，你要救它。它却要咬你，这才叫畜生。。说它寓意深刻，就是今天的畜生特别多。我写了几篇微博，讲于建嵘
1688708190# #在全世界，房子有公摊面积的只有我们中国。公摊面积独一无二，它到底来自哪里？。房地产之始，在中房，为了让买房者按建筑面积买房，让大家感觉数目多，面积大，增加满足感，幸福感。于是就有了公摊面积，一直延续下来。建筑面积和使用面积相差30%左右。。不得不佩服，为了人民的幸福，不得不用其计！
1696495215# #像真正的知识分子，非于教授莫属。
1694770102# #何光伟真执着，令人不得不佩服。几年来，他一直要求信阳公安局公布买官者名单，但至今仍然无果。卖官者已经服刑，买官者依然逍遥法外，甚至有的还在买的官位上继续为人民服务。不公布买官者名单，不属于政府信息，不予公开。何光伟真执着，信阳公安局真硬核。。北极鲶鱼爷爷案，，5个多月没有结果，网民
1696493168# #尊重知识创新无限，人家获奖平平淡淡。国人却：为争院士大打出手，论文造假沽名钓誉。
1697251867# #豫东太康，人杰地灵。既有智慧善赌的恒大许主席，又有争执善战的陈玉玲书记。6月8日下午2时许，太康县马头镇彭楼村支部书记陈玉玲走进本村村民彭纪英家中，在彭纪英13岁女儿脸上打了一下，彭纪英叫来丈夫和家人，陈玉玲叫来丈夫及3个村民，双方发生冲突，各有受伤。陈玉玲鼻部受伤。女孩父亲被捕。。事
1703642803# #最后一次议朱令案。朱令走了。她的父母放下了。凶手已经躲过法律制裁。定能下半生安然无恙。这就足够了。当摇唇鼓舌制造白莲花的时候。朱令的一生会不会更惨。凶手就在宿舍里。4月28日报案。5月1日宿舍物品被盗真正的证据灭失。24次检测铅铊飙升。两次铊中毒，。回家康复，。再到宿舍又中毒。凶手在哪里。就在宿舍里。不
1690879523# #《《聊斋志异》·罗刹海市汉程文学》聊斋志异原文带拼音及翻译,【聊斋志异】马骥，字龙媒，贾人子。美丰姿。少倜傥，喜歌舞。辄从梨园子弟，以锦帕缠头，美如好女，因复有“俊人”之号。十四岁，入郡庠，即知名。父衰老，罢贾而居。谓生曰：“数卷书
1697847421# #俗话说：一个老鼠坏了一锅粥。一泡尿的事，绝不是小事。也不仅仅是一个职工的事，青岛啤酒三厂的事，这关系到企业管理的问题，关系到职工素质提高的问题。青岛啤酒是出口的，也可以说是国内的名牌。一泡尿不知道要损失多少个亿？这一泡尿不知道要影响多么久？提高职工素质是当务之急。
1702020718# #昨天的一则微博，西部省份地级市市委书记的“依法治国”，被投诉了。那个投诉者粉丝只有1.就是专门投诉的5毛，我被警告了。。反腐，这几年，一批批，一窝窝，前腐后继，腐败分子还真不少。这些家伙是本来就是坏人，还是当官后变坏了呢？。如果他们本来就是坏人，就应当研究一下这些坏人是怎么当上官的。
1689988233# #有网友说，吴小平彻底摒弃了“民营经济退场论”，走上了正规。未免有些幼稚。这个坏种根本没有丝毫悔意。他是见风使舵，一看风向不对，怕被封号，他骨子里依然照旧，狗改不了吃屎。民营经济发展壮大31条，与我们党的“两个毫不动摇”是一脉相承的。民营经济是生力军，是支柱。民营经济必须发展壮大，对
1695599715# #在蛇口，认识原海上世界老总王潮梁先生，蛇口工业区副指挥长老刘的夫人等，他们常常谈起袁庚。袁庚晚年就定居蛇口，年纪大了，有时意思有些模糊，他对来看望他的人，常说的一句话就是，向前走，莫回头。。袁庚先生去世后，这句话成了老人留下的精神财富，也是一个改革者和一个城市的写照。。向前走，莫回
1700798334# #2023年网络新词，看看你跟上网络步伐了吗？。PUA＝精神控制。CPU＝给你洗脑。KTV＝背后卖你。VFO＝你是外人。ICU＝重症压你。ABC＝背后阴你。PPT＝绘画大饼。ATM＝无偿报销。excei＝在算计你。APP＝拍彩虹屁
1696291828# #有这样一个人，他的头衔特别多，复旦大学特聘教授，复旦大学中国研究院院长，，国家高端智库理事会理事，上海春秋发展战略研究院高级研究员，中国发展模式研究中心主任，瑞士日内瓦外交与国际关系研究院访问教授。不过，这个人脑子进水了，常常出现幻觉：一是自我感觉良好，常常出现自我高潮。二是世界
1691416403# #故事二则。王秘书正在给书记写讲话稿。老同学来了，就暂停。老同学一看开头：我代表县委县政府热烈欢迎你们千里条条，立林我县进行考察。说：“你什么水平呀，一句话四个错别字。”王秘书说：“你不懂了吧，我写错没事，领导读错才是大事。”。民国时，有个郎中吹牛，专治罗锅，手到即直。有一男子，其父
1697938382# #上海证交所副总经理刘逖被抓，舆论叫好一片。。网传他的远在美国的女儿却在为他喊冤，说他不是老虎，意思是他的后面的人才是真老虎。他父亲有的只是签字和举手的权力，是一个替罪羊。。这事不知是真的还是假的，如果是真的，比较太可怕了，难道真像吴敬琏说的，他们都是能看底牌的人？
1688796284# #蚂蚁集团被罚71.23亿，这标志着马云先生安全了。马云先生“指点江山”之后，沉寂了一段时间，然后从国外回来，对公司进行拆分，这次被罚款，已经进入安全线。马云先生又可大展身手了，是搞特色医院，还是搞特色农业呢？
1697771107# #鲁迅先生是不朽的，鲁迅先生的话，再过100年也不过时。
1698397856# #风云人物深圳郡守陈如桂，从广州到深圳，一路培养许家印。。2017年陈如桂担任深圳郡守，让许家印把恒大把总部搬到深圳。当时恒大资产只有33亿，深圳就把55亿投资恒大。把很多优质土地批给恒大，至今还有多处旧改项目土地存在。使许家印越来越膨胀，负债2.5万亿。陈如桂功不可没。。还有，据说陈郡守还培
1697698709# #一个正常的社会必须允许言论自由，一个好政府必须接受百姓监督。。该与不该。该，接受百姓监督，官员必须公布个人财产，这是完全应该的。。不该，利用高科技盯百姓言论和口袋，的确不应该。。官员公布个人财产，喊了多少年，就是不能实现。什么暴露隐私呀，让官员裸体啦，种种理由，官员们总是反对。。对老
1693214759# #大凡末代帝王，他身边一定是吹喇叭的人。崇祯帝在李闯破城后才有所悟，但已经晚了。推动国家进步，长治久安的既不是赞美者，也不是标榜自己自己正能量者，更不是岁月静好者，而是批判者。。赞美者，一味说好话，唱赞歌。把坏的说成好的，把丑的也说成美的。张维为陈平是也。所谓正能量者，把别人看成负
1701591455# #网民的眼睛是雪亮的，四大才子，王德峰确实不配，只讲哲学，根本赶不上形势，就让他落选。。谄谄金，夹头鱼，带鱼周，两赢张，鹿力陈，网厨卢，母衣蝉，潮流沈，中专项，叼盘胡。这十大才子怎么样？
1694133042# #山西省委副书记商黎光落马。曾几何时，河北政坛群星灿烂，有商黎英，商黎兵，商黎戈，商黎丽，最耀眼的非商黎光莫属。商黎光落马，商黎家族式微。这也也是一荣俱荣，一损俱损。应该重视的是有多少地方存在像商黎家族这样的执政家族。
1698032549# #今天是重阳节，原烟草局局长凌成兴被查，重阳节就不过嘛。烟草局局长可是肥差，问题不会小了，钱也不会贪得少了。。据说，凌曾担任江西省常务副省长，任烟草局局长后，还能把他的老搭档，违纪的江西省副省长赵智勇安排进烟草局工作。。绝对权力，造成绝对腐败。利用权力，安排老搭档，以前或许就是沆瀣一
1693976768# #说实话，讲真话的人，他们都被禁盐了。有人说，不让讲真话却讲真话，蠢。所以讲真话的人会越来越少。。讲真话的人少了，说好话的就多了。大家都来睁着俩眼说瞎话，张开大嘴说屁话，昧着良心说假话吧！
1691458789# #晚安！嘻嘻握手
1702360502# #高耀洁的善行，感动了人民，但也损害了一些人的利益，被迫出走异国。她逝世于纽约曼哈顿，享年96岁。高耀洁千古！
1700014394# #如今，又出现新词—阀二代。。閥者，原来指那些具有功勋的世家或名门望族。现指那些具有一定势力和操控局势的个人或集团。。案一：宋院士儿子在一教授的帮助下，初高中发表三篇sci，通过自主招生进入大学，现在读研。案二，据网友说，他的同学，学习成绩太差，但其父为院士，通过关系出国留学，成为博士
1702278274# #《卖袜子的老奶奶》。某市，一个近80岁的老奶奶，因为自己没有退休工资，儿子媳妇常年在外打工，一个孙女在家上学。老奶奶批发一些袜子，到市里去卖，想赚点钱补贴家用。。老奶奶气喘吁吁来到市场，放下装袜子的包袱，正准备吆喝“卖袜子”。。这时，城管来了，说是要没收。一个城管拿起包袱，高高举起来
1696833141# #俞飞教授又被禁言了！
1696300569# #嗨，又到了诺贝尔奖颁奖季！。2013年9月30日，中国院士，南京工业大学校长黄维说：十年之后，像诺贝尔奖这样的国际指标，在中国将成为常态，不是个案。继文学奖之后，自然科学和生命科学，将被中国人斩获，没有任何悬念。。黄院士黄校长，说的真是令人振奋。十年了，诺奖在哪里？不脚踏实地干，靠吹牛逼
1703943531# #这个女人就是赫赫有名的赵红霞，曾有改编的《打靶归来》传唱。12月11日，赵红霞刑满释放。
1691486490# #禁言，绝不是什么创举。它是从历史垃圾堆里捡来的破烂。出自《国语》的《召公谏厉王弭谤》篇。厉王虐，民皆谤之。厉王得卫巫，报之（民）皆杀。民不敢言，道路以目。召公谏曰：防民之口甚于防川，民之口，如山川，山川丰腴则江山安。厉王不听，最后被流放。《国语》要告诫人们吸取周厉王的教训，不能封
1700698369# #1916年6月6日，袁世凯写下遗书。。恨只恨我，读书时少，历事时多，今万方有事，皆由我起。。帝制之误，苦我生灵，劳我将士，群情惶惑，商业凋零，如此结果，咎由自取。。误我事小，误国事大。摸我心口，痛兮愧兮。。人之将死，其言亦善。不知世人能否吸取教训。
1703400482# #2023年度汉字词是振，代表国内高质量发展，国际汉字词是危，形势不妙啊！
1694067683# #童之伟先生是著名的法学教授，他的建议，我表示赞同关系到所有人。
1697188023# #按下葫芦起来瓢。北极鲶鱼坑爷闹剧刚结束，广州女处长朋友圈炫富，法国有500亩庄园。反腐很需要他们的家人或自己。
1689238372# #网友中真的有高人，他们提出征收专家税，比什么税都重要。就像陈浩，王福重，李剑阁，丁佐宏，张兴海等砖家，还有张捷。收了他们的税，他们就会更加忠诚。砖家缴纳砖痂税，才使砖家更忠诚。
1691324325# #我转发的司马南去哪里了？昨天被删除，说是多人投诉。账号违规。这不是在保护司马南，又是什么？最近，有些司氏虫且，粉丝只有1.是专门投诉别人的，一投诉就删帖，难道就不辨别一下是不是恶意投诉？
1697785294# #形势一片大好，不是小好。前三季度，我居民可支配收入29398元，增速跑过GDP，可喜可贺！
1701481729# #从国外回来的人无论美国，还是南非，还有缅北，他们都有深刻体会。。千万别扯帝国主义亡我之心不死，也别掰活境外势力，对中国人最狠的最令人发指的还是中国人。。去国外，防火防盗最主要的是防老乡。
1703492426# #1991年12月25日，苏联解体。苏联是在赞美声中崩塌的。苏联只许赞美，不许批评。苏联笑话是不断的。。一天，斯大林的烟斗找不到了，让贝利亚去查。后来烟斗在报纸下找到了，斯大林又告诉贝利亚不用查了，烟斗找到了。贝利亚说，已经有8个人承认偷了烟斗。。苏联爱赞美，一切都在谎言中，解体是必然的，是
1698034172# #春秋季：徐文秀火了，可能连他自己都没有想到，一夜之间，徐文秀式的干部火遍大江南北。
1694137387# #俞教授礼赞。一。俞教授嫉恶如仇，。。常把贪官来搂搂。。个个都是大硕鼠，。汇成一个群丑图。。阶级属性反人民，。捞钱人人有套路。。知识分子好榜样，。反腐发出最强音。。二。一本正经讲真话，。胡说八道是自谦。。字字珠玑令人爱，。净说实话吐真言。。为民代言真大胆，。为民请命不顾身。。教授如此被禁言，。实在让
1697783740# #原辽宁省副省长，公安厅厅长王大伟，被公开审理，贪腐5.55亿，令人震惊。0.05就是500万，有不少人几辈子也挣不了这么多。有很多人说，像这样的人难道也不杀？。杀不杀，听法院判决。对于彻底反腐，应当解决以下几个问题。。一是王大伟贪腐5.55亿，不可能是很短时间能达到的。他从黑龙江到辽宁，从副厅到
1700357520# #笑一笑，十年少！。听说西部省份的一个偏远的地方看守所，关着一个东部省份的副省级大员。不知道是上头有意安排，还是看守所自选动作。和这位副省级大员关在一起的还有三人，某公司的董事长，某大学的副校长，还有一个地级市的副市长。这天他们感到很无聊，四个人一起打起了“掼蛋”……。。看看他们是多
1702517849# #姚所长：给你们搞个个人养老账户，既防止你的子女啃老，又可防止孙子惦记。。老人们：我们不怕自己的孙子惦记，就怕你这个干孙子惦记。
1692935437# #世界新的三大奇迹，两个在中国，一个在中国隔壁。一是国足20年，花了2000亿，还是那水平。二是A股20年，成交1万万亿，还是3000点。三是阿富汗30年，美国花了20000亿，还是塔利班。奇迹乎？！
1703660594# #三年之《我的堂舅一家人》。我娘的命很苦，两岁我外公去世，四岁我外婆去世。我娘和十岁的大姨都寄养在她们舅舅家。我娘娘家唯一的亲人就是我二姥爷的儿子，也就是我的堂舅。堂舅人特别好，姐弟与亲姊妹没什么区别，常来常往。。60年春节刚过，哪里是过春节，春节也没饭吃，都是吃大伙，没有粮食，又不准
1698809839# #从大同性霸凌案到龙岩侨育中学学生被逼吃粪便案，真的让人无语。。如果教育局以及中小学管不了学校霸凌案，将会培养出一个个小恶魔。。教育局以及各类学校，你们下功夫管管学校的霸凌事件吧！
1695518622# #只有清除十恶，才能实现法制。
1693893666# #禁盐，最近又加码，一纸通知，你最近发表的wb违反社区公约，禁盐至2028年某月某日，好家伙，一禁就是五年。这权力好大呀！就是不禁盐，让你0阅读，让你自己可见。随心所欲，自己就不知道正误！
1701929769# #马保国见面会，举办者知道是假的，马保国也知道是假的，观众也知道是假的，这片神奇的土地上就风行假的，马保国就有了施展武艺，名正言顺的赚起大钱来，脸就不重要了。。“基尼系数不适合中国。我们是全民所有制国家。作为中国的公民。其实你很富有，你不仅仅只有一份工资，还有土地，林业，矿山，还有
1703383518# #今天满屏都是朱令案，逝者已矣，父母释然。真相等了30年，等不来就不等了。。对朱令案，各种说法都有。最佩服的是网友清华小滚珠的说法。他联系了南大刁爱青碎尸案，他曾问过部委的哥们，南大1.19碎尸案，96年就已经破案，但没有抓到凶手。南大碎尸案与朱令案一样。国没有破不了的命案，但挡不住权力通
1703900856# #《南北差异》。莲花山公园里有一些老人在聊天，有北方的，也有南方的，以北方的为多。他们谈起南北差异，还真有意思。他们说，北方用职权卡你，南方用职权推你。他们举的例子就是河北的孙大午。。孙大午是一个牛逼的犟种，对当地官员不甩乎。在南方可能没事，在北方却进了监狱。。孙大午知道融资难，就在
1690556597# #王旭明先生说：为什么齐齐哈尔全城人民送别遇难者，而我们的学校不送，连个走好的话也不说。这是什么教育局和学校？不是好教育局和好学校。我可以直接说，局长不是好局长，校长不是好校长。
1699668946# #说得好好的，就是中规中矩，无懈可击。说胰腺癌与实验室有关，这可是非常复杂的问题，让第三方调查就行了。。可接下来，却干起蠢事来，直接把实验室拆了。这就叫“此地无银三百两”吧！这也可以说是一坨黄泥掉到裤裆里，不是屎也是屎。这简直就是自己坐实了人们的怀疑。
1695543044# #禁言导致错谬。。英国，约翰.穆勒
1697415015# #有网友说，孙大午就是风向标。孙大午被判18年，罪名基本就是寻衅滋事，谁都知道这是个口袋罪。寻衅滋事是个筐，什么都可往里装。孙大午，至今杳无音信，始终没有一个说法。民营企业家谁不害怕？都在观望。。孙大午是为数不多的农民企业家。邓公坚决不捕傻子瓜子创始人，十分英明。放了孙大午民营企业家
1692509645# #三个疯子的疯言疯语。。一。我一个疯子，彻底疯透了。。我们沈家，四代以来，只有我哥做了“天官。这也算老坟里出了蒿子，冒了清烟。于是巴结逢迎的多起来。简直就成了世家。我却是一个另类。母亲说，大哥对我最好。我却不以为然。大哥道貌岸然，著作颇丰。至于他贪不贪，我看未必。。我一个疯子，他一定想
1690849011# #笑看人生，笑傲江湖。
1699085809# #中国需要许多马斯克，摒弃那些喷壶们。诸如当代四吹，整天大话空话鬼话，对中国的发展净害无益。那个第一吹，还把批评他们的人称为“恨国党”，要把他们送到美国去。无耻呀无耻！
1689142327# #有网友说，非洲黑人朋友来浙江大学留学，是“四不”：不入学考试，不交学费，不交住宿费，不交生活费。其它大学留学生是是不是也是如此？还有网友街头采访刚果金留学生，每月消费一万八。我的天呀！即使是北上广深这些超一线城市的孩子消费也不会这么高吧！这些钱从哪里来，不会再有人说是央行印的吧！
1703550263# #朱令的父亲吴承之先生，。你说这是最好的结局。清清楚楚比不明不白好。你只接受国内媒体。不接受外国任何媒体的采访。你的度量。你的宽容。令人难忘。值得铭记。一个伟大的父亲
1690349128# #体育馆坍塌，更是11个家庭的坍塌。家长们的每一句话都撕心裂肺，都振聋发聩。事故发生在7月23日14时52分，24日22时30分，齐齐哈尔市举行发布会。在此前沈书记沈市长到过事发现场吗？就是在发布会之前的时间，22小时，沈书记沈市长，以及其他领导到过现场吗？失去孩子的家长为什么说无人问津呢！
1689756880# #伴随着光大集团前董事长李晓鹏落马，他的儿子儿媳，女儿女婿，以及同学等也触及。发迹时，一人得道，鸡犬升天，落马时，一家子一窝端。。广东某市烟草系统，现任局长的舅舅是前任局长，好几十口他们家的人都在烟草系统上班。。国企，烟草，石油等都有二三代传承的。就是公安系统也有父子传承的。比如汤原
1690006354# #网上一些小丑，疯狂打压民营经济，对民营经济喊打喊杀，开专栏，辟频道，早已赚的盆满钵满。现在，中央发展壮大民营经济31条一发，他们害怕封号禁言，见风使舵，摇身一变，开始为民营经济唱赞歌。他们的把戏就是随风倒。但人们是会看合集的。昨天吴小平说民营经济要离场，今天说民营经济是跨越中等收入
1700443852# #《大宅门》中刻画一个人物，一个有背景的小舅子，狗仗人势，收了钱不办事，还要厚着脸皮说他是光进不出。。。亮亮丽君夫妇用一辈子的积蓄买了房，但没有房，还不能吱声，夺手机，还打人，简直比那个小舅子还混！
1696767862# #图片天方夜谭
1695456321# #青岛市教育局长第一个抵制预制菜，受到人们的敬佩。。教育部：预制菜，儿童不宜。教育部这次顺从了民意。。百姓说：孩子就是我们的軟肋，谁想拿我们的孩子搞实验没门。我们就是不准预制菜进校门。
1699143119# #奴才的演变。汉代奴才—喏，。清代奴才—喳，。现代奴才—是。
1693461935# #不少贪官都是表演艺术家。台上讲反腐，台下使劲捞。落马后痛哭流涕，对不起人民对不起党。
1701136430# #《财经》2024，面对记者的问题，李扬院士直接说：“我不知道。”匆匆离场。。李扬院士真是假话全不说，真话不全说，捍卫了知识分子的尊严。至少也守住了自己的良心，没有胡说八道，没有歌功颂德。。再看看“这就是中国”的那位教授，人称歌功颂德国师，维维豆奶，两赢张。人家说谎话都能语重心长，连他自
1698970414# #美国败相已很明显，一定会败的很惨，惨不忍睹，一败涂地，不知你信不信，反正我是坚定不移的信了，只有信张维为才是正途。记住，都是遥遥领先！
1696576728# #继续讲于建嵘教授的故事。中国真正的知识分子，非于建嵘教授莫属。于教授做过记者，编辑，秘书，他最喜欢的职业是教师，兢兢业业做人类灵魂的工程师。他当教师是最有骨气的，是教师的脊梁。。一次，于教授被中科院研究院领导邀请作讲演，结果被一个学员举报。研究院领导感到很尴尬，并做了检讨。后来，通
1700118754# #从昨天下午开始，医学家两个大牛胡大一和霍勇在恶斗。胡大一实名举报霍勇，霍勇说：“完全是胡说八道。”。胡大一和霍勇都是医界响当当的名流。。胡大一是北大人民医院心血管病研究所，介入疗法的前掌门人。。霍勇是北大第一医院心内科，心血管病的掌门人。。医界大牛如此恶斗，究竟是为了什么？很多人猜测
1700728184# #买烂尾楼的被打了，。救烂尾楼的被抓了，。国道收费，百姓大部分都同意了，。熏腊肉，不能自己熏了，。广开言路做不了，广开财路真来了，。这世界越来越魔幻。。大家加油，活过110，。为了三千五，努力活着。
1688379233# #清退洋垃圾武大打响第一炮，点赞！
1696560088# #有这样一个人，既是复旦大学中国研究院研究员又是北大中国经济研究员，和两赢张不分伯仲。。这个人最大贡献就是创造了不等式经济学理论，上海的3000元工资＞美国3000美元的工资。本可获诺贝尔奖，可诺贝尔奖受西方控制，没有授奖给他。。这个人还高瞻远瞩，凡是敌人拥护的，我们就坚决反对，坚决不能给工
1691110225# #Wb会不会衰落？就看他们的管理。如果动不动对说真话实话人话的禁言，随心所欲，不分青红皂白，一味对Wb限流，控制，打压，那就离衰败不远了。要想持久发展壮大，就必须改变，只要不造谣，不恶毒攻击，就不能随便禁言，封杀。真希望微博青春不老！
1688362780# #遛弯的时候想：世上最坏的人就是卫巫们。卫巫产生于周厉王时代，周厉王止谤，靠的就是卫巫，以监谤者，以告，则杀之。张红兵做卫巫，其母被枪毙。Wzg做卫巫，中国的爱因斯坦被打成反革命分子。近年来，高校里也出现不少卫巫。那个讲抗美援朝历史的教授，被小卫巫断章取义进行举报。学校领导实事求是，
1695028332# #第一个站出来抵制预制菜的教育局长，也是目前唯一的，他就是青岛市教育局长姜元韶。。姜局长说：“现在不用预制菜，将来也不用预制菜。”。有人说，他局长不想干了。也许姜局长提前已经想好了。即使不当局长，也要保障孩子们的健康。为姜局长点赞！
