1697334300# #气温开始持续偏高，最高气温每天接近26度
1702088935# #35岁以下难就业人群看过来.......宝山宝钢——电梯礼仪员（6/7千）➕做五休二。。因宝钢指挥中心业务需求。具体招聘事项如下：。一、任职条件：。1、户籍不限；35周岁以下；身高168~170cm以上。。2、高中以上学历，普通话标准，有较好的沟通能力和表达能力，学习能力强。。3、五官端正，形象气质佳，头脑
1700285905# #微博提钱必须满足一百，我就差30多元吃顿kfc都不行吗
1690874940# #来看看美国数值在7月27日预测的北京西南地区七月最后几天累计降雨惊人的准确性吧，太牛逼了，7月27日数值计算出北京西南山区也就是门头沟，写了445mm，实际七月底最后几天降雨量门头沟平均435.5毫米，误差只有10mm衰衰衰衰笑cry
1700995010# #失业的没其他收入的可以预约下.....
1694144833# #三千一平其实还是远远超过房子的成本价格，02年距离莘庄仅仅23公里的西渡镇...房价卖800一平，800才是房子应该有的价格，买起来不累，85000元可以买到一百多平，生活就有了着落了，房贷换着也轻松愉快，就是失业几万元房贷跑跑外卖也还出来了
1702734986# #最低气温目前崇明东平森林公园零下2.3度....市区彭浦新村三泉公园零下1.3度最低....徐家汇零下0.5度，气温有些下降乏力
1700910952# #2020年一比三年定存利息5.6w到手，2021年还有一比三年定存利息也是高位.....之后存哪家银行靠谱呢，这笔利息给了我三分之一开支，可以买一些兴趣爱好之物.....心心念念的山地车就这样买好了，也没有其他大开销了
1702723096# #度过这八天寒冷日，年底我们全国迎接最暖跨年夜.....暖到全国无死角也是历史罕见
1702379034# #晚饭就是抖音团购上买的一箱这玩意将就下，已经几天吃这些垃圾食品了
1699002950# #地上捡到一张体制内小学的收入证明.....羡慕体制内的薪水，工作一年后就年薪20个w了，神仙一般的生活。没有裁员，没有失业，年假很多，福利很好，这类人退休后很高的养老金，舒舒服服活到90多岁
1697585504# #主要是大龄难就业，超过40岁不是体制内的一旦失业基本只能跑外卖，开网约车，保安都没得机会面试
1702354416# #（免费岗位）月薪10000元➕平安集团（大专➕本科）。。。男女2545岁，户籍不限，沟通无障碍，基本的服务意识有，有责任心即可。。做五休二，底薪➕奖金➕平安团队鼓励津贴，综合800020000元，周末双休，后期转正缴纳保险。。上班时间:上午9:0011:30，周末双休，法定假日休息。。跟随平安集团
1695699915# #喀纳斯景区大雪纷飞，大雪比起往年来的早一些
1695223511# #这个管理员是不是有病，这帖子发不出去，难道不能有梦想了吗
1698633483# #面试仓库管理，结果一个题目没全部答对，一到十大写要求手写出来，壹、贰、叁、肆、伍、陆、柒、捌、玖、拾.....其中柒和捌都是写不出....不知道会不会有其他面试者也写不出来的，这样我才有机会哦
1692157961# #下午去面试一个辛苦活，....介绍人说月入1.2w....不过有夜班的浦西院前急救辅助人员（120急救车担架员）。会开车的话&nbsp;担架员做满两年后有机会转岗120驾驶员&nbsp;&nbsp;一年12～16w&nbsp;。缴纳五险二金，二金，二金，做二休二，怕遇到比较重的人抬不起来衰亲亲二哈二哈二哈
1700648909# #数万人抢一个阿里巴巴云客服工作职位，不交金，家里上班月入五千的工作.....排个队先
1697023159# #以色列的女兵是地球上女兵比例最多的国家
1691715925# #我加了铁头粉丝群，公开上海课外培训暑假机构一百多个，让他去打掉
1697112072# #10月20到21日有一次冷空气南下过程，今年第一次明显的西北风降温过程，盲猜上海市区公园最低气温21到22日之间下降到10到11度，站点上海动物园站，郊区崇明庙镇下降到5.x度.....市区徐家汇最低气温14.x到15.x
1691334580# #吉林发布一个控评的媒体没有良知....
1703685425# #存款利息一直下降，国家明摆着不让人躺平...如果按三年定存五年前的利息计算，260w存款就可以让一个人躺平不上班，550w存款可以躺平两个人.....现在利息再跌下去怕是八百万存款才可以躺平一个人....
1698203101# #册那，养老金1.4w一个月，以后三四个人的社保养一个高收入或者体制内退休人员，灵活就业的人再交社保就是转移支付给他们了，傻子才自己交社保哦......直接躺平好了。这种1万4的退休金，老子月收入顶封时期也是望尘莫及啊.....
1693287798# #发几个文件，喊喊口号股市就能涨起来了，太简单的事情为什么之前不做呢，股民赚钱消费自然起来了，要是股民人人赚几十万上百万，经济不就起飞了吗
1688617435# #如果是单身汉，直接可以去开抖音查社会上各种黑暗一面，买好人身意外保险，去街头揭露一切违法的东西....缺斤少两到电瓶车违法，从网约车无证到食品安全问题，从......抖音火了狗后就带货.....也是一种发财途径，就是小命可能不保
1701273285# #靠这个想让穷人消费，作你的春秋大梦去吧，穷人吃顿饭加个菜都很艰难根本没钱加菜了
1701604307# #今天帮一客户搞定一辆高端电瓶车，配送到家，收到六百元报酬.....
1699282349# #我如果设计东北地区体育场到屋顶，直接找当地一千年气象资料包括古代人描述的那种，什么大雪于屋顶对齐等等...推算出一千年以来积雪最大值，然后按那个积雪压强设计，而不会仅仅拿什么当地气象站建站以来最厚积雪去设计....尤其是东北那种地方地球越暖，强降雪概率越大.....真正积雪很厚的地区比如阿勒
1691985513# #体制内大食堂的价格是外面餐厅都三分之一都不到，其实穷人可以去体制内食堂吃一日三餐，办卡方式自己想办法....不细说，然后一个月光吃饭就可以省大几千了....最关键的是体制内的食堂，食物是有保障的，毕竟是公务员餐厅，没有地沟油，没有科技与狠活....现在外面一日三餐吃好一些一天要120元，食堂里
1698717840# #大家信不信中国大多数电子厂如果严格八小时，做五休二，午休一小时情况下，平均月收入不会超过2400元，还是大城市的电子厂，小城市怕是月薪不超过1800元
1699314928# #昨天冷空气补刀啊，青浦区站5.6度，宝山国家站7.5度，浦东8.9度，宇宙热岛徐家汇11.9
1703124925# #今天优质股已经拒绝下跌，比如格力电器
1698636398# #今天我双十一买了一样可以赚钱的好东西....一会去取来开始我的赚钱之旅....可以让手机的内存变大几倍还可以下载无数无数的地图卖给爱好者可爱可爱真的做到一个手机赚钱养家
1700974407# #郊区各种老母鸡，老鸽子，大鹅，想给老年人补补身体的，我可以代购啊，价格好商量，市区中环内都可以送到，服务费收取少许就行。
1693543062# #体制内有的是有钱人，国企员工也不会失业，有本事到人不怕失业，还有家里有门路到也不怕失业，加上拆迁沪，很多人可以炒高楼市/本质问题是没钱以及对未来预期降低，房价不降贷款比例增加意味着什么呢？
1691768120# #地球再变暖下去，10后的小孩子在80岁左右的时候，会发现上海这种低海拔地区可能被海水淹没了，当然没80后什么事情，起码五十年内地球年平均气温还不会升高3.5度以上.....
1693527051# #房地产中介躺赢，二套首付比例超大幅度下降，银行贷款利息也下降，以前去当中介没几天就跑路了，现在想进也进不去了，他们要发财了...高收入群体太多，首付低就直接买了，只要有技术的也不怕失业....那些有本事的人会把房子继续炒高....
1703409259# #有恐高了
1698845794# #11月6日的冷空气南下后上海气温依然比历史同期偏高1到2度，比起七八十年代偏高4度左右....
1696596896# #上海市区徐家汇站入秋时间可能要到十一月份了，整个十月份没有一次明显冷空气，也没有稳定西北风
1689899197# #工程技术大学就业很亮眼啊，读书不好的不用卷了，滑档到工技大，只要顺利毕业成绩班级里面前百分之30....铁饭碗随便选.....
1701409774# #12月7到8日，14日，这三天上海西南郊区最高气温都是21到23度之间，大破历史同期最高气温。看gfs的表演。
1702626230# #干了差不多半个月劳务中介，业绩几乎为零....老板准备行动了，拿不拿得到十几天的工资还得争取下，这年头干啥都难，招聘也难啊，毕竟是要给钱面试的，很多人以为活雷锋直接报名就可以面试了呢允悲允悲
1693226071# #智者并没有出现，我在看智者评论，可惜没看到
1702254002# #2008年2月1日下午16点前后上海市区气温4度开始下暴雪，一直下到2月2日早上市区气温始终0度以上，那一次上海市区由于气温太高，错过了可能出现的五百年一遇的积雪，有人计算过如果气温0.5度开始下暴雪，最低气温下降到零下2.8度，那次市区积雪就可以达到35厘米以上。如果零下1度开始下，过程最低零下5度
1694571365# #九月最漫长的一次降雨过程下午开始，西北郊区雨量会比较大。东部地区可能下不到，雨带的移动方向偏东分量不足，西郊和西北郊区会出现暴雨过程。
1699226606# #这波冷空气没想到那么弱，一晚上降温效果完败04年国庆冷空气，都快立冬节气了....可以说这次第一波气温打压直接不及格..降温速度龟速，想当年国庆节冷空气三个小时气温直接从23度下降到15度，7小时下降到13度....看徐家汇降温速度不堪入目，后半夜一小时最大降温幅度仅仅1.2度且凌晨两点后几乎停止了
1702628116# #郎咸平:工资总额占GDP的比重:美国58%，英国56%，日本53%，法国口53%，加拿大回51%，澳大利亚47%，韩国44%，阿根廷36%，墨西哥33%，委内瑞拉。31%，泰国≡菲律宾28%，伊朗土耳其25%，非洲数据无法落实估计20%以下。。中国是8%，全世界最低的工资收入怎么拉动消费?....平均最低工资起码工资+一个零才行啊
1691365947# #讲个笑话，上海最低工资比×2都低于台北市最低工资......无数人还嘲笑湾湾的月亮笑cry笑cry
1689935740# #青浦东部局部地区时雨120mm....近五六年上海短时最强降雨了
1701242590# #11月30日降温后，下一次降温估计12月15日.....
1697121374# #当年巴勒斯坦领袖人物阿拉法特，在80年代中期就深刻意识到靠着巴勒斯坦的力量和以色列硬碰硬就是螳臂当车，以卵击石.于是在他老年时期都是朝着巴以和平而努力到死.....说实话以色列的武力值太高了，也是美帝的帮手，就算整个阿拉伯国家一起打以色列也没有胜算.....因为以色列有核武器.....面对强
1692925612# #能有一份安稳干到退休的做办公室的工作，工资永远和社会平均工作偏高一点点那种，已经是非常非常难得的事情了
1692864798# #如果小日本从地球上抹去，猜猜看我国会有多少人因此失业呢允悲允悲允悲
1692321267# #恒大破产，碧桂园破产，中植系理财暴雷，各种消息和失业人群压根八竿子打不着.......我只需要跑闪送把信用卡还上，然后希望特变电工解套了就可以了.....
1699192836# #晚上21点冷空气推进到太仓，昆山地区了，0点后进入西郊，凌晨1点后市区气温开始快速下降
1690854043# #六号台风距离上海那么遥远，直线距离超过1000公里....上海居然下雨了，被一个悬臂甩到一点点
1699111416# #2023年11月4日深夜，上海市区气温23到24度之间，比昨天还热一些。
1691716135# #个人说话太软了，根本不可能想铁头这样去打击教培机构哦，只能借刀杀人，借用他的名气去打击暑假k12机构了
1702736621# #这天气，送什么外卖啊，那么拼命，休息到积雪处理干净不行吗，除非有人高额打赏五百八百一单，否则这积雪我肯定不送
1699495719# #花呗还款失败了卡里就一点点💰了，还有信用卡的大山压着，真的苦，中年人太苦了，年轻人基本上都有工作，年轻人最幸福
1701350332# #抖音上有一个短视频博主，捉刀漫谈，每个视频都引人深思....可以称得上神人。
1688306745# #浙江省地形图1:1500000
1695686254# #整个国庆期间无冷空气南下，十月五号上海以及周边地区大雨一整天
1700650410# #今天全市大部分地区最高气温打破历史同期最高纪录，各地区最高气温都在26度附近.....在小雪节气压根没遇到过......
1693632442# #希望富士山七级大爆发，让地球气温下降2度左右恢复到1900年前后的气温。
1700926358# #中植系和穷人没关系，也就是富人九头牛缺失了几百根毛而已
1702458720# #离开的外企还有可能回来吗
1701841681# #今天最新数值12.16到22日这波持续寒冷过程的强度略调弱了一点，上海市区过程最低气温会表现一般般....远远没有1999年冬至前后那么冷。
1688514788# #上海熄火了，雨后气温回归90年代初的七月气温
1695805853# #这个算是拒绝了吗二哈
1700285089# #一个月再闲鱼卖出一次物品，就算就业了二哈
1700883317# #11月30号还有一次降温过程，强度还是和前几天冷空气差不多.....今年十一月如果不是上旬气温异常偏高，那已经是近14年气温最低的十一月了。12月上旬持续大暖的强度和时间延后了....12月5日后持续大幅度偏暖，具体偏暖时间未定。
1700045552# #醉了本来想微博提一些钱，结果不满一百无法提....卡全部零元了，花呗被冻结。
1698847331# #建议出租网约车立法一天不准开车超八小时....连续驾驶2小时后需要休息半小时.....大家知道那些在上海租房住的开出租车工作多长时间吗？？？15~18个小时呀！！！租金7500，充电两三千，1万多一个月呀！每天跑到流水还不够租金呢。合同半年，一年违约金1万多......就开那么长时间很容易出现疲劳驾驶，
1693405858# #徐家汇气温资料2023年8月30日存档，今天下午时间段最低气温疑似已经打破了1872年12月有气象记录以来下午时间段最低记录....具体是不是150年以来最凉爽下午明天查一下资料。
1692845958# #上海距离福岛真的算近的，难怪欧美集体哑巴，欧美觉得距离福岛一万公里，就屁事没有了吗......
1704158400# #繁花如果增加周立波，王汝刚，林东甫，奚美娟等客串下角色会更牛逼....这样就是上海演员大集合了
1692021476# #最早去故宫的时候哪里需要预约什么的啊，直接去门口买了票不用排什么队伍，直接进去了，人也不多.....现在预约票都是秒杀，抢都抢不到
1702182391# #杨浦区大龄女性难就业混社保的看过来.....杨浦公园（做一休一）交社保，交社保，交社保......。。公园保洁，女性，做一休一6:00-18:00，。。55岁以下，工资2690元，没退休的缴纳五险一金，户籍不限...
1700267765# #我出生那年我国人口十亿，农村人口八亿....城镇化率百分之21%....城市里面市区普遍很小，满眼都是农田....那时候没有变暖，地球的环境还没被破坏的很厉害..大部分人住农民房子，结婚后是福利分房子的，不用花一分钱，小孩子在工厂就有育儿机构，两岁就送过去了....那是一段岁月静好的相对贫穷但是内心
1699888963# #工作一小时不到到比比皆是，真的是人比人气死人啊，很多人想要一份工作都没机会
1702169588# #曾经的城市名片，现在一泡屎了
1701471214# #建议气象局把徐家汇放弃吧，否则预报就是吃药
1692843669# #为什么日本排放核污水，全世界发达国家没有出现强烈抗议，甚至集体缄默....电视里面没有看到相关新闻，连外国主流媒体报纸头版头条都没提及，难道那些发达国家就毫不关心健康问题吗，只有我们这里敲敲键盘反对一下..停留在微博啊，抖音层面吐槽......看了华盛顿邮报，纽约时报，华尔街日报，英国卫报，
1690800505# #我以前觉得我没有参加过一次校外培训所以进不了好的大学读书......后来才发现当年就算每周都去补课也考不进985的.....一个人考不考得进985理工专业，首要条件是智商得超过120吧.....太低的话天天特级教师指导补课怕也考不进交大计算机系，更别说清华北大了
1698327138# #如此吓人的持续性气温大幅度偏高，历史罕见，一直到11.6日都是暖出天际
1693185515# #券商全部涨停哈哈
1698217084# #超过40岁的可以去随申办查养老金测算.....看看目前可以领取多少每月，笔者查下来吃土的养老金金额
1701826172# #股票越跌，对我工作就越有利
1702712288# #微博一年给五百....虽然很少，但是如果給每个人发五百，也需要7000亿了......过几天取出来圣诞节买点好吃的，🥩，🍰，🍫，还有🍷
1702548290# #青浦和金山，松江西部，嘉定大部分地区，宝山南部，19号深夜中雪，市区和浦东雨夹雪为主
1689065061# #七月十五日上海高温熄火，预计最高气温15到24日都是32到34度为主....24日之后高温可能卷土重来.....明天可能是今年夏季最热一天，自动站会有十几个站突破40度，宝山估计39度以上.....
1702223104# #中学时代
1703201197# #徐大爷零下5度，达到了上海极度严寒标准，这黄色低温挂错了....因为只要徐家汇零下5度，上海市区几乎百分之95的地方都冷过徐家汇.....
1702199089# #邻居月薪两万多，不结婚，不旅游，不沾花惹草，没任何兴趣爱好....游戏也不玩...宠物也不养...让他出去看看世界，回答到欧美有啥去头的，也不买房，住老破小，不抽烟不喝酒，不去饭店吃饭....不叫外卖不打车....算是罕见的吗
1700963244# #启东跌到2200元就去买一套去
1699086016# #如今却忆江南乐，当时年少春衫薄。致笔者已经逝去的青春，照片摄于2003年允悲
1694143608# #一个靠房地产拉经济的国家，一个房地产就是一切的国家，一个大城市几十辈子买不起房子的国家，一个房地产整天要救世的国家，一个如果房地产回到1994年的价格，就要那个什么的国家，在五千年历史中用一句话概括应该怎么说呢
1696724537# #以色列真的有点狠，占领土地不是这样搞的....一点点把巴勒斯坦蚕食掉了，再过十年巴勒斯坦估计消失了
1692279968# #90年代中期潍坊中学历史女老师上课穿透明一度没穿bra....这是真实的事情，如果放到现在有网络的时代，那位历史老师估计洗脱不来某些声音了，当时班级所有男生包括女生都震惊到了，同桌男同学还叫我举手提问问题，无言以对
1692314513# #其实铁头如每天蹲点加班的地方，遇到加班时间超过36小时的公司就直接举报，那也活不了多久了....
1702217187# #本市户籍中年难就业，稳定工作看过来.....张江/黄浦区看守所管理人员.....（月薪税前8000元）做二休二。。男，本市户籍，40岁以下，大专学历，无犯罪➕无纹身，身高170以上，注意上班不能用手机的，无法摸鱼哦，适合想养老金拿多一些的找稳定工作的中年就业....。。工资税后到手6500元，做二休二，
1698637158# #我双十一的东西到货啦，一个T的优盘可以插手机直接用....传输速度快的不要不要的型号，真正拍视频再也不用担心空间不够了....
1700267302# #比外卖收入多的闪送，预约不到培训，人爆满衰
1691371136# #合理的说上海最低工资标准需要税后8000元才可满足基本生活....这还是有房子不用房租的前提下....目前这个最低工资标准别说小康了，生存都难
1693872231# #上海五大新城马上放开认购了在那里的中介现在进都进不去了
1699441879# #上海明天下午有中雨过程，室外上班的注意防雨....11.12日有第三次冷空气南下过程，这第三次也是十一月三股冷空气最强一次
1689117993# #看了下评论区，明智未开，正常来说应该反思是什么造成了一个幼儿没人带，必须跟着外卖电瓶车.....为什么不把父母接过来，老婆上班的话老婆父母呢....是因为出租屋太小住不下吗
1687151407# #我的理解是只要超过43岁的失业人员，再次找到交金工作的概率无限接近于零
1704173823# #1993年一切尚未定义一切皆有可能，是上海最美好的年代....当年三月一位老人带领大家发家致富....一年一个样三年大变样说的就是90年代，对于上海来说92到98年这短短6年简直就是翻天覆地......尤其是浦东
1696347054# #收藏了好东西，小孩学习用得上
1701907411# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1703343732# #这部片子还能一看，就是有点生硬反转的时候，而且太追求zzzq..有些时候电影为了过审，理解理解
1702510713# #上海宝山20到21日深度寒冷，气温最低零下5度左右，最高0到1度.....第一波17日就可以达到零下4度
1702858094# #气温太高，下的雪也不是真实的雪，是雨的惊魂
1701685176# #1983年这样一刀大团结可以干什么....
1694071883# #上海郊区五大新城放开限购是一招，存量房产税也是一招，市区放开限购是终极招数，各种招数都可以盘活资金，尤其是存量房产税，无数人家里几套房的收就是了，反正收不到无房人士头上。有些人会说房产税收就涨房租呗，也得看到时候有没有人租了。
1697007368# #正常人类都会支持以色列，不正常人类才会支持阿拉伯国家
1692870389# #91年菲律宾皮纳图博火山六级强度爆发，让接下去的两年全球气温下降了0.5摄氏度.....上海出现91年凉夏，91年年底低温大雪...93年一月严寒，93年凉夏等冷事件......目前日本富士山在未来二十年内六级爆发的概率最高.....希望早点爆发让地球稍微降温一点......
1700317627# #郊区这几天晚上气温真够低的，目前金山1.3度，青浦1.7度，奉贤1.8度....市区公园里面上海动物园3.2度，徐家汇高达8.2度....热岛温差达到7度这个档次....有个零下的自动站石湖荡张庄，2021年1月8日录得零下11.6度....
1688304912# #中国分省地形图系列更新....从北京开始，是我国一套最权威的地图集
1696809638# #真相在这里，当年英国的殖民地，二战后英国划给了犹太人一片土地，然后有犹太人有了土地后以色列就建国了，当年以色列和巴勒斯坦差不多五五开的土地，70年代后以色列在美国的支援下不断占领巴勒斯坦土地，以色列占领区域越来越多，一切原因都在美帝上
1702700010# #三年定存利息拿了6.3w....接下来怎么办笑cry
1703124002# #南方人羡慕嫉妒恨啊环游旅行啊远的笔记旅途中的美景雪（分享自
1691664289# #有钱的家长都去报名机构补课了，那么数亿没钱的家长咋办，你们说说看.....其实只要一种办法才能避免补课，产业全部升级，工人的收入四五万一个月码农收入一万一个月，那没多少人去补课了，问题出在产业升级升不上去，工厂无法开出五万的工资哈哈
1697730572# #纠正性质降温，也发布冷空气消息了。气象报告。上海中心气象台2023年10月19日21点钟发布的冷空气消息和上海市天气预报、山东半岛南部到浙江南部沿海海面大风警报、长江口区及沿海海面天气预报：。。北方有一股较强冷空气正在南下，今天20点钟，它的前锋已经到达
1702011902# #12月17日上海全市或普降中到大雪，杭州准低温大雪，南京超低温大雪。
1687436611# #可以拿曹路经济适用了
1701520101# #今年我国中东部地区12月份冷暖变化将异常激烈看看最新数值，12.08vs12.14and12.16.....冰火两重天，这温度查就是26到28度，从气温异常偏暖13到14度演变为异常偏低12到14度.....一暖一冷温差平均27度.....老年人和小朋友需要特别注意气温剧烈变化。
1694408890# #本周三到五，本市白天气温尤其是下午气温受降雨和弱冷空气影响，将中等幅度偏低三天，但市区最低气温并不会跌破20度....下午气温偏低三天之后，气温继续高歌猛进两周左右时间，一直可以偏高到月底的样子。
1697269970# #第一批膜拜单车付过押金的朋友们，现在可以退回来了，我看到篱笆帖子操作了下，几分钟到账了，299元，晚上吃一顿
1691722083# #花费69元看个病，走医保
1701869222# #经济肯定是出了大问题了，大家可以篱笆搜索失业和裁员两个关键字，然后去kds也搜一搜....会发现帖子铺天盖地，这个还是在管理员不断删帖的情况下搜出来的，无数相关帖子已经被删除了.....
1691105486# #欧洲中期数值也认为东北地区可能需要防大暴雨了，松花江流域98年也出现过水灾
1694755917# #北郊地区注意暴雨临近了。强度比较夸张的暴雨
1695037242# #在我国几乎百分之百的小孩出生后都有房子住，没有房子还生娃的父母，是非常不应该的.....所以以后房价崩盘是肯定的
1700320600# #上海内环浦东气象站，11月18日平均气温9.3度...比1873到2010年之间的平均当日平均气温11.2度还低近2度。金山站11月18日平均气温更低，只有7.4度.....这波辐射降温过程明天基本结束了。
1697546490# #尝试抖音直播天气预测......个人抖音号，390733508，上海及全国天气预测，每天晚上八点半到九点半，欢迎观看哦
1692782295# #讲真就是房价3000元一平，要买得起120平，我都得跑外卖十五年才买得起
1690461789# #厦门东部在12小时之后将面临1917年年9月以来最强台风正面袭击.......滚圆滚圆的风眼，内核十分厚实，这东西还在近岸加强中...
1700235188# #疫情前曾经是消费的中坚力量，现在直接吃方便面都困难了，当然这是以前年终奖，但也已经是可以随便买买买的了，每天两小时工作量，下午四点就回家的工作，再也回不去了允悲允悲
1702275846# #印钞机的钱总算进股市了，进去享受拉升过程了......无脑买券商就行了......
1701855665# #干两天劳务中介了，我一度怀疑目前失业率为零允悲允悲没有一个求职的二哈
1701779569# #安利这款奥乐齐的特价牛排，味道真的很不错...价格49元童叟无欺，唯一缺点就是牛排不够厚，一块牛排两个人不够吃笑cry
1702980304# #刘若英的后来，被德永英明直接pk下去了....日本歌曲真的听上头了笑cry。徳永英明-未来へ(向着未来)。作词：玉城千春。作曲：玉城千春。ほら足元(あしもと)を見(み)てごらん。これがあなたの歩(あゆ)む道(みち)。ほら前(まえ)を見(み)てごらん。あれがあなたの未来(みらい)。母(はは)がくれた沢山(たくさ
1702615294# #大龄吃不上饭的看过来.....稳退休五险一金工作.......上海动物园——绿化养护工（不要经验）。。男性，50岁以下，户籍不限，有责任心。。工资5300➕加班费，做六休一，餐补，五险一金。。负责动物园绿化养护，美化工作，除杂草，病害虫，浇水，混日子岗位
1701263212# #佘山边上这么大的别野是哪位大佬买下来有人知道吗
1697950457# #月底北方北部地区气温偏高15到20度
1695003067# #在上海最幸福的人群就是住150平品质商品房，无贷款，工作不会失业，正常双休日，早九晚五正常20多天年假，随便请假，不存在加班，月入到手四个w以上....小孩乖巧懂事学习好，考958理科信手拈来，双方父母身体又好，退休金又全部过万....家庭年收入80w以上，生活悠哉悠哉，每年2次出国旅游雷打不动，看
1701342680# #那么多空关的商铺，还是在上海排名客流量前五的地铁站边上你敢信吗.....商铺老板情愿空关几年也不降价，老板还是有钱啊
1698623928# #强寒潮笼罩整个美利坚...甚至还南下到了墨西哥，德州最为美国南部地区，几大城市在11月1日最低气温都会跌到1到3度之间，除了最暖的休斯敦最低五度左右.....这些城市纬度也就北纬31.3到32.5之间....和我国上海到南京到纬度类似.....十一月初最低气温跌到1到3度，在我国历史上近37年来没有再出现过....所
1701833194# #新增两个大龄就业机会，机场行政专员和国企消防员驾驶员机会难得，错过等人离职才有坑位哦....。岗位1:虹桥机场——行政专员。6000/7000元。。岗位职责：1.根据机场和公司要求撰写各类报告；2.参加机场各项会议及活动，及时整理工作汇报；3.根据公司与机场要求，制定各项管理制度；4.制定各类台
1689391070# #网络谣言人人喊打哦，遇到不确定的文案，小作文，也不要马上相信转发哦
1703252922# #建议取缔任何手机游戏的充值....但可以选择付费下载.....好游戏需要付费才能玩的到.....这样我国游戏产业才可以健康发展
1701167738# #我国有钱人太多太多，养活了几千万滴滴司机和上亿的外卖骑手....还有快递小哥
1692186677# #没钱吃饭了，先送几单外卖再说......电瓶车前面刚刚修好
1690419841# #我要是厦门领导，明天全市发布命令禁止不必要非外出，一定要出门的戴头盔预防高空坠物.....然而全市放假一天，检查所有楼上容易吹落物品，将沿海地区居民安置到安全地方....
1702598610# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1703409186# #沪上最高摩天轮，有点怕怕的这高度
1694266208# #本来跑外卖好不容易赚的五百，准备潇洒去的，一早上花呗自动还款后只剩五元，欲哭无泪.....这消费怎么拉动得起来啊，一个住房不用付一分钱的人都拉不起消费
1700477628# #简直不可思议，前阵子整理衣橱，一堆衣服准备扔掉了...我想起篱笆网有人闲鱼卖二手衣服主要就是外套，大衣羽绒服等等....挂上去居然五个人要....都想涨价了，这是怎么了，外面迪卡侬三四百羽绒服全新的都买不起了，来闲鱼低价淘宝了吗.....看来很多旧衣服不扔了，全部挂闲鱼，购入价格一折卖掉也好的
1695701583# #目前北疆地区喀纳斯景区是比黑龙江漠河低了12到14度.....整个亚洲目前气球最低区域就是阿勒泰山区了
1699372881# #懂得都懂
1700574438# #比分轻轻松松猜对了
1702339411# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
