1695327288# #《雍吉，藏族女孩在舞蹈中快乐无止尽》播放量：5.4万。点赞量：1.1万
1696520704# #《佛教千年预言再现！不断出现的预言巧合，直指2025是新的开始？》佛教千年预言再现！不断出现的预言巧合，直指2025是新的开始？
1699703861# #《乌镇“网事”丨三个“新”感悟互联网之光》缘水而兴、因水而美的千年古镇，在新时代结缘“20世纪最伟大的发明之一”互联网，成长为具有全球影响力的“国际互联网小镇”。
1695751115# #【华为浏览器】海报|携手构建人类命运共同体，这些话发人深思催人奋进-中国日报网
1703452074# #《形势失控！伊朗胡塞联手出击，美以红海同遭袭击！》形势失控！伊朗胡塞联手出击，美以红海同遭袭击！
1696470184# #《刘伯温曾经预言：七人一路走，引诱进了口，他表达的是什么意思？》播放量：284。作者：罗小明说历史可以理解为7个经济发达国家，被美国欺骗中计，20国集团
1702324323# #《坏人坏的蒸蒸日上好人好的没有希望》播放量：2.9万。点赞量：1.9万
1693034268# #《日本竟欺骗世界76年，投降不是惧怕原子弹，是最后一张底牌被毁3》日本竟欺骗世界76年，投降不是惧怕原子弹，是最后一张底牌被毁3
1700976530# #沙漠里居然可以种草？塔克拉玛干沙漠“沙变土”，新疆且末县狼尾草试种成功！
1691535259# #《马云为什么能成功？》播放量：6023。作者：臧老师商业论
1702676024# #《刚刚从印度旅游回来，有些话不知该不该讲，和想象中的不太一样！》播放量：3368。点赞量：87印度
1694852494# #《刀郎新歌《花妖》女声版，前世情缘，一朝约定，几世轮回生而不见》播放量：8万。点赞量：1.8万
1694116889# #《那英万万没想到，和朱之文同唱一首歌，伴奏突然消失，谁更胜一筹》播放量：1071。作者：新星空情歌
1694401368# #《美西方“抢劫”俄罗斯2800亿美元，抛售美债需要加速了》播放量：4086。点赞量：89
1695329909# #《好漂亮的牧羊女，丁岚。》播放量：20万。点赞量：3万
1687458601# #《卡车司机抱怨运费太低的原因终于找到了》播放量：15万。点赞量：669
1702780637# #《小白也能学中医养生，不花一分钱听资深老中医课程，快来免费领取》小白也能学中医养生，不花一分钱听资深老中医课程，快来免费领取孙思邈
1691466286# #《百年出贤者千年出圣人，其背后的秘密，究竟有着怎样的科学道理》百年出贤者千年出圣人，其背后的秘密，究竟有着怎样的科学道理
1690649576# #《圣人诗预言2024：贤人辅，泰阶平，声于诗，里社鸣》播放量：1906。点赞量：73
1688181382# #得民心得天下
1695938595# #《花季少女学校意外去世，学校紧闭大门阻止家长2》花季少女学校意外去世，学校紧闭大门阻止家长2
1695061510# #《山东曲阜尼山圣境，亲临孔子课堂，当一次孔子学生》播放量：338。作者：小剑足迹
1694215192# #《该出手时就出手！巴西“截胡”澳洲，抢下中国7500万吨订单！》播放量：1880。作者：练长片盲pnD7
1700290100# #《缅北内战升级，中缅边境成了避难所？日薪40元，搭窝棚睡地洞》缅北内战升级，中缅边境成了避难所？日薪40元，搭窝棚睡地洞
1700602932# #《弘一法师：真的不忍心告诉你，这个世界其实是一场梦》播放量：26万。点赞量：2.7万
1699990149# #缅北女魔头魏榕跑了？看似柔弱实则蛇蝎心肠，背靠军阀只手遮天
1690362332# #《90后女孩练成“独竹漂”特技，站在竹竿上跳舞震撼网友》播放量：39万。点赞量：5326山东邹城市唐王湖缺少此项目
1701335803# #鲁西小贝：缅甸一旦彻底走向解体，泰国可能成为最大赢家。缅甸境内与泰国接壤的几乎所有的民间武装均受泰国武器支援，这些武装控制区将来有可能以不同...
1688298654# #《1665年，康熙迎娶了12岁的赫舍里，没想到是新娘等不及洞房花烛》1665年，康熙迎娶了12岁的赫舍里，没想到是新娘等不及洞房花烛
1690862898# #【华为浏览器】这才是刀郎新歌《罗刹海市》的原版MV，越听越上头
1701001402# #财商故事汇008:宋美龄的养生秘诀，张学良的枕边书
1694967396# #《11.美国遭遇横祸、大崩溃来了》播放量：774。作者：shazhu18
1690639110# #《美国送给我们一只耳朵，举国震惊，先辈们势必改变这一现状》美国送给我们一只耳朵，举国震惊，先辈们势必改变这一现状卤水钾肥，向革命前辈致敬！
1692912871# #《被击沉的“美国航母”成暗礁！90度直立插入海底，正好在航道中间》被击沉的“美国航母”成暗礁！90度直立插入海底，正好在航道中间
1687803965# #《83年邓公遭唐山菜刀队围攻，对方撂狠话：给局长面子不给北京面子》83年邓公遭唐山菜刀队围攻，对方撂狠话：给局长面子不给北京面子
1695554782# #《美国完成第二例转基因猪心脏移植给患者的手术：恢复较好，术后两天就能坐起来》美国完成第二例转基因猪心脏移植给患者的手术：恢复较好，术后两天就能坐起来
1700583572# #《中沙伊三国北京手拉手敲响石油美元霸权的丧钟》播放量：1700。点赞量：121
1690621052# #《朝鲜百姓什么人能用苹果手机呢？》朝鲜百姓什么人能用苹果手机呢？
1699989353# #印度网友急了，说中国企业，正在大批逃离印度？
1701720193# #《轰动全球！默尔克正式宣布：德国退出北约组织，停止制》轰动全球！默尔克正式宣布：德国退出北约组织，停止制
1692296404# #《嘴上喊着力挺华为，却给苹果贡献了2000亿营收！》播放量：9722。作者：苗苗嘚啵嘚
1700169982# #《中俄不铁了？俄向菲律宾出售超音速反舰导弹？》中俄不铁了？俄向菲律宾出售超音速反舰导弹？
1695464081# #《刘伯温预言2024将有圣人降世，还指出圣人其出身，究竟是否可信？》刘伯温预言2024将有圣人降世，还指出圣人其出身，究竟是否可信？
1696103381# #微山县仲子庙--供奉孔子大弟子子路的祠堂
1691304204# #《澳洲：中国人不要我们的葡萄酒，那就去印度，他们也有14亿人口3》澳洲：中国人不要我们的葡萄酒，那就去印度，他们也有14亿人口3
1693048653# #《无故殴打我国基建工人，果断撤回援建，该国见中方态度坚决秒认怂》无故殴打我国基建工人，果断撤回援建，该国见中方态度坚决秒认怂
1690626171# #《河南越调版罗刹海市》播放量：1万。点赞量：510
1704082841# #老鹰抓住山羊不放手，不料聪明的山羊使出绝招，镜头拍下老鹰惨状
1692451403# #《搞笑配音：莫老仙卢比支付石油款、收割大俄韭菜》播放量：2.5万。点赞量：764
1695524839# #《老臧走到今天，是如何一步步逆袭翻身的？》播放量：3.4万。点赞量：1257
1689125684# #《不听中方解释，日本联合32国对华围攻，这一次，中方反制真的来了》不听中方解释，日本联合32国对华围攻，这一次，中方反制真的来了
1690587566# #《全面战争即将来临？俄罗斯对美国无人机开火，美军：这是侵略！》全面战争即将来临？俄罗斯对美国无人机开火，美军：这是侵略！
1696101693# #1964年钱学森吃晚饭，突然脸色大变，一句话把众人吓出冷汗！
1692454032# #《中国男人想娶越南的女孩子至少需要5000万的越南盾。谁能娶得起呢》播放量：5677。作者：阿YI凡
1691648584# #《秦始皇被历史误解了两千年》秦始皇被历史误解了两千年
1689966531# #《60国达成一致，抛弃美元拥抱人民币！》播放量：275。作者：隶沾口荡3e2
1702736136# #伊朗对中方提出建议，若爆发世界大战，要联合起来-今日头条
1695160186# #《1945年苏军进攻东北真实影像！百万大军直冲关东军，全方位碾压？》1945年苏军进攻东北真实影像！百万大军直冲关东军，全方位碾压？
1692623136# #清朝晚期的真实地主历史老照片
1692659818# #《我们可能都背了错版的《登黄鹤楼》》播放量：29万。点赞量：1613
1690319515# #《北京千年寺庙被拆时，发生的3件离奇事件，让人不解的娘娘庙事件》播放量：387。作者：礼SIR科普
1693773746# #《刚停止进口澳大利亚煤炭！堪培拉代表放话：中国必须做出解释》刚停止进口澳大利亚煤炭！堪培拉代表放话：中国必须做出解释活该，你派军队军舰来南海
1688431392# #《荒废60年罗布泊奇迹复活，如今能养活数亿万中国人》播放量：18万。点赞量：3881钾盐
1703446395# #《魏晋奇闻，一千多年前古董农具，20年前竟然还在用！》魏晋奇闻，一千多年前古董农具，20年前竟然还在用！
1693048306# #《8月26日消息，驻日美军基月地多处水体有机氟化物超标，附近居民发生血检异常情况。》8月26日消息，驻日美军基月地多处水体有机氟化物超标，附近居民发生血检异常情况。
1690918068# #《五虎上将赵云真的是保安队长吗？家乡人给出了正确答案！》五虎上将赵云真的是保安队长吗？家乡人给出了正确答案！
1691303748# #《清华教授提问马斯克：孩子学物理太难了，马斯克：你们的方法不对1》播放量：7874。点赞量：53
1698084179# #《大打起来了，4枚导弹19架无人机猛扑：美军舰疯狂开火激战9个小时》大打起来了，4枚导弹19架无人机猛扑：美军舰疯狂开火激战9个小时
1690687346# #《乌克兰袭击莫斯科，莫斯科空域暂时禁飞》乌克兰袭击莫斯科，莫斯科空域暂时禁飞
1687791658# #《闯王李自成在老家为自己修建的行宫，竟然只居住过一次！》播放量：8万。点赞量：643
1701494253# #潇洒强者心态:明星的酬劳为什么这么高？刘杨明星思维
1690587783# #《前不知罗刹海市有无海市蜃楼，后不觉沧苦人间正道长存》播放量：32万。点赞量：8501
1693035309# #《1962年古巴导弹危机结束，苏联却将矛头对准中国，主席霸气回击1》1962年古巴导弹危机结束，苏联却将矛头对准中国，主席霸气回击1
1690634594# #《时隔11年！中央气象台发布史上第二个暴雨红色预警》时隔11年！中央气象台发布史上第二个暴雨红色预警台风来了，防汛救灾疏通下水道河道，水库提前放水
1688416430# #《核辐射食品进入中国像入无人之境，里应外合的生化战已经打响了？》食品安全问题大如天，现如今人们对于食品安全问题格外的关注，所以近期网络上就流行起了“科技与狠活”等相关热词。查
1691567674# #《墙外不让种玉米，新来的村领导都给推了，老实人就这么好欺负吗？》播放量：1.3万。点赞量：52
1695438803# #《朝鲜人生活到底幸不幸福呢？》朝鲜人生活到底幸不幸福呢？
1693869084# #《我方对老美优势扩大？》我方对老美优势扩大？
1694354334# #《我国打捞起一艘舰艇，70名勇士活活憋死，死亡的姿势让人泪目！》我国打捞起一艘舰艇，70名勇士活活憋死，死亡的姿势让人泪目！
1702813430# #《1945年157万苏军消灭70万日军影像调集2.6万门火炮5000多辆坦克》1945年157万苏军消灭70万日军影像调集2.6万门火炮5000多辆坦克
1692445655# #《中国将再添世界之最，计划投资3000亿建海底隧道，超越日本夺第一》中国将再添世界之最，计划投资3000亿建海底隧道，超越日本夺第一
1695420670# #《你敢相信吗？百万雄师过长江的渡江战役竟然以“意外”开始的》你敢相信吗？百万雄师过长江的渡江战役竟然以“意外”开始的
1695416770# #《1975年周总理手术前，对邓公吼了一句话，邓公含泪答应执行一生1》1975年周总理手术前，对邓公吼了一句话，邓公含泪答应执行一生1
1695148017# #《黑天鹅突袭！美国大罢工开始！滞胀危机来袭！美国经济即将衰退》播放量：151。作者：德益财经
1696489210# #《秦岭，有“天下第一福地”的美称，我们用三维地图带您欣赏一下》播放量：1.7万。点赞量：506
1695495808# #《华为启示录：三大科技巨头倒下，万一华为“被整跨”将如何？》播放量：2980。作者：猫猫看趣闻
1690254429# #《刘伯温《烧饼歌》预言老水必还京，什么时候发生？》刘伯温《烧饼歌》预言老水必还京，什么时候发生？
1702675715# #《10多万韩国美女留在中国，表面是为旅游，实则盯上我国一样宝物？》播放量：312。作者：阿康励志前行韩国美女来中国找如意
1695751082# #【华为浏览器】火星传回的照片让科学家吃惊
1691082109# #《1983年领导人路过唐山，被不明人士拦住去路，警卫员当场遇难3》1983年领导人路过唐山，被不明人士拦住去路，警卫员当场遇难3
1690327209# #《南非齐邀全球南方国家元首，金砖峰会论道正当性》南非齐邀全球南方国家元首，金砖峰会论道正当性
1688285711# #《美女一首《家有爸妈》，唱出了多少人的心声》播放量：5287。点赞量：116
1690324401# #《河南的“国货之光”白象，拒绝日资收购，三分之一员工是残疾人》河南的“国货之光”白象，拒绝日资收购，三分之一员工是残疾人
1691379203# #《圆明园并非英法联军烧？百年后英国人说出实情，理由让人勃然大怒》圆明园并非英法联军烧？百年后英国人说出实情，理由让人勃然大怒
1701314306# #战斗机即将入水，不料驾驶员一个抬头，直接在航母上滚了起来
1691214500# #《纽约爆发大规模骚乱人群向警方投掷石块、铁铲现场点燃鞭炮》纽约爆发大规模骚乱人群向警方投掷石块、铁铲现场点燃鞭炮
1693431765# #《国学智慧：别贪恋任何你能力外的甜头》播放量：8.3万。点赞量：980
1687815350# #《岳飞“平冤诏书”，好险！差点被剪成鞋样！》岳飞“平冤诏书”，好险！差点被剪成鞋样！
1700794931# #《圣人何时现身？观天象或可察觉！》播放量：220。作者：寻荀文化
1701142688# #《美国正在为颠覆缅甸军政府递刀子》美国正在为颠覆缅甸军政府递刀子
1702900209# #为人民服务的官应该提拔
1702219448# #1949年毛主席视察军队，发现一位光膀子的战士，与其亲切交谈！
1697850043# #《中越边境开放，阿妹站在口岸边希望能有中国小伙来提亲》中越边境开放，阿妹站在口岸边希望能有中国小伙来提亲
1695938799# #《叙利亚总统访华美式霸权走到头了俄罗斯与乌战争最新消息》叙利亚总统访华美式霸权走到头了俄罗斯与乌战争最新消息
1693048364# #《谁家好人这么养牛，蚊蝇找不到地方下嘴，这些牛跟着你也算受罪了》播放量：3516。作者：黎明看趣看看养牛场
1690326886# #《除掉坏人比登天还难，干掉好人却十分容易》播放量：27万。点赞量：1.3万
1693433362# #《没想到拥有14亿人口还会落得无人进厂的地步，曹德旺的担心成真了》播放量：1.5万。点赞量：52制造业无人进厂
1701162795# #《余华英拐卖儿童案二审择期宣判，杨妞花称其辩称“太年轻要生活”》11月28日上午9:30，余华英拐卖儿童一案在贵州高院二审开庭审理。一审法院认为，被告人余华英为牟取非法利益，多次拐卖儿童，其行为已构成拐卖儿童罪。判死刑立刻执行
1693523744# #老百姓为什么卖地当佃农？
1703336884# #《朱元璋曾两次想灭了日本！为何刘伯温却极力阻止？朱元璋：此国不灭！必有后患！》朱元璋曾两次想灭了日本！为何刘伯温却极力阻止？朱元璋：此国不灭！必有后患！
1691437203# #《腐败与亡国》腐败与亡国
1688442015# #《提出多项政治目标！韩国40万人大罢工“剑指尹锡悦”》提出多项政治目标！韩国40万人大罢工“剑指尹锡悦”
1691302883# #《天才尹希31岁成为哈佛大学教授，他说：即便老美再乱，我也不回来3》播放量：6761。作者：科技精英者说
1687557139# #《第一将军县，诞生了两位国家主席，8名上将，11名中将》第一将军县，诞生了两位国家主席，8名上将，11名中将
1689807766# #《德国山区遥控施肥车，山区也能轻松施肥！》播放量：20万。点赞量：1181
1701789650# #《昨天晚上美国出大事了》昨天晚上美国出大事了
1689120225# #《获美支持，印军突然不宣而战，边境地区强势开火，反制或很快就到》获美支持，印军突然不宣而战，边境地区强势开火，反制或很快就到
1700225911# #《2024年“圣人”或将现世？一本千年前的古籍，还指出其性格特征？》播放量：532。作者：奇闻叭叭聊
1699784394# #中国台湾同胞好好看，什么样的拦截导弹能拦截如此密度的喀秋莎火箭炮🚀，别上台独分子及美国日本的当了，投好自己的一票，珍惜和平，看看乌克兰加沙地带看看伊拉克叙利亚
1690324713# #《侯友宜痛批民进党：“执政”之后台湾每况愈下，我们还要忍多久》侯友宜痛批民进党：“执政”之后台湾每况愈下，我们还要忍多久
1704116015# #《吴成典呼吁台湾民众跟着新党走向两岸和平统一》吴成典呼吁台湾民众跟着新党走向两岸和平统一
1691082093# #《1983年领导人路过唐山，被不明人士拦住去路，警卫员当场遇难2》1983年领导人路过唐山，被不明人士拦住去路，警卫员当场遇难2
1701989765# #《缅北真的管不了吗？我国也曾出兵两次，为何没能一网打尽呢？》缅北真的管不了吗？我国也曾出兵两次，为何没能一网打尽呢？
1695065525# #《新疆惊现千年神树，九头树冠形似上古阵法，村民称树下镇压妖龙》播放量：1.3万。点赞量：586
1702264384# #《美称日已经做好了与我们开z的准备》美称日已经做好了与我们开z的准备
1694355008# #《印度拉人搞军演，凑了“一桌”吓中国？》印度拉人搞军演，凑了“一桌”吓中国？
