1700933996# #老人回忆当年大饥荒！
1703997124# #美国阿灵顿国家公墓卫兵换防费解
1690688731# #我很好奇，这金总一年要检阅几次呢？……
1692971422# #湖盐！
1694304581# #美国的种族歧视灰常严重，黑人被捕动作稍不规范就会被以拘捕为由清空弹夹。。所有你看，为什么黑人跳舞跳的好，都是介样练出来的。
1702693533# #生产商称从未生产过小杨哥带货牛肉卷【小杨哥直播间被指卖冒牌货生产商称从未生产过市监介入调查生产商回应小杨哥被指卖冒牌货近日，小杨哥带货牛肉卷被质疑产品有问题一事引发网络关注。
1703124662# #兄能道一句新婚快乐了……
1698288968# #开学一个多月无老师现场上课，广东清远一学校近700名新生集体退学。校方:初衷是让学生学会自主学习！网友：误人子弟！
1693485304# #黑龙江桦南教育局通报。“教师体罚幼儿”:。幼儿园关停，涉事教师解聘
1690776888# #吉林一对母子上吊，原因是母亲癌症，儿子失业，日子过得太沉重，寻求一种解脱。每每看到这样的新闻，心情格外沉重。。我们可是社会主义国家呀，按道理说，𣎴允许出现这样情况。这不是给社会主义抹黑吗？集体主义哪里去了，一方有难八方支援的精神哪里去了，致富路上一个也不能少的精神哪里去了？。遇到
1695546486# #这些非洲移民快要到达欧洲，掩饰不住喜悦之情，兴奋得扔掉手机和衣服。。全是非洲非法移民而且都是男的，他们到了欧洲以后，再去欧洲找个老婆，然后在欧洲安家肯定高兴啊！
1700873092# #言谈间，不知道又是谁家的姑娘身败名裂！
1702870500# #隔着屏幕都觉得疼可怜
1696552148# #朝鲜抗疫，严防死守！
1697583684# #国内也这样就好了，最近国内好多狗咬人的。
1689556032# #传承优良传统！
1698150117# #陌生男子进别人车内翻找，被看家犬发现，男子当场认怂。目前已报警移交相关部门
1693921900# #迷惑行为，车都翻了油门还没松呢，等车抬正前车就要倒霉了晕
1693915532# #生活开学第一天一年级一年级46个班，一个班50人，两千多名学生，人山人海，接送孩子堪比西天取经啊。不是说出生人口下降了吗？
1693806348# #网友：一老人带孩子骑电动车闯红灯被撞！。如果时间可以倒退，她也许都会这样选择！
1702265340# #女子倒车发生碰撞，反来质问好心帮忙的路人，"跟你说我技术不好了！男子：我不知道这么大的路，你会倒不进去呀允悲。
1702004216# #辽宁大连，高新园区一路段男子碰瓷私家车全过程被后车记录，网友说：有手有脚的干点啥不好，整这缺德事。
1703473747# #在摩洛哥街头，号召圣战的儿童。
1703677144# #真是没想到抖音财经股票胡锡进
1701392800# #一百年前晚清真实生活面貌！
1690857628# #小杨哥成名作！
1702899654# #地铁内卷！想下的下不了，想上的上不去…
1694646121# #年租金350万的北京二环四合院！寻思和民宿差不多嘛…坏笑
1703858017# #飞来横祸，油门踩油箱是去了…亿点曝光计划
1691213344# #山东泰安泰山天外村，游客上山买的拐棍，下山弃入垃圾箱。新星v计划带着微博去旅行亿点曝光计划
1702004330# #马未都：山东人不出来当小姐的她的文化氛围认为这是天大的耻辱！
1702036215# #是什么力量让她起死回生！
1691144971# #女子丈夫晕车无意中坐了地铁爱心专座，孕妇上车后要求让出，女子空出旁边座位，孕妇不接受坚持要爱心专座后起冲突……
1703766538# #这到底是订货会还是退货会😂大疆无人机大疆农业植保无人机极飞科技
1703129453# #中国女生在悉尼街头穿汉服，被韩国人说是自己国家的服装……“传承中华传统文化，我们任重而道远”！
1698103194# #这是在澳大利亚的网友拍摄的，他到悉尼游玩，发现当地城管是用中文喊话执法的！
1696988789# #那一刻，他大概是这世界上最绝望的人。
1703998840# #老外真狠，打架直接把对方推下搂……
1691291564# #男子街头对女子拳打脚踢，有事好商量，暴力解决不了任何问题！
1702884753# #以军一名中校在巴勒斯坦加油站结账时遭刺杀，被一刀捅进后背
1701828643# #这开挖机技术杠杠的！
1701401648# #安徽一患者在ICU治疗117天家属用统计模型查出该三甲医院。超收近10万医疗费。官方调查显示:超收21.8万
1701872948# #三轮车撞倒路上玩耍的孩子被压车下家长惊吓大叫
1703900503# #网传12月28日广东，数位农名工坐在大厦楼顶边缘拉横幅讨薪时事热点亿点曝光计划
1690802504# #女子嫁巴基斯坦生仨娃，称被男子欺骗，丈夫已失联，痛骂男子臭不要脸
1691210310# #这牙齿里都塞了些啥？污污
1698470596# #妻子临终前给老伴的遗言，引人深思！
1689240738# #支持实名举报！跟新浪看热点
1701226774# #CNN称以色列是全球人体器官非法贸易的最大中心！
1701401874# #谁来帮它，无能为力，物业说不归他们管，消防说先让跟物业说好拆那块砖，物业都说不归他们管了，可怜的小猫，我怎么救它呢。杭州市钱塘新区河庄街道云上澜苑南门口
1701692908# #网友投稿：广东某地，骑士车队硬闯高速收费站，这些人好牛呀……
1700885036# #对就这样罚，让它这一单白干！
1691109185# #小伙主动为滞留乘客找大巴，最后叫来两辆车总共3000元，一人55！太贊了！
1702066323# #外卖小哥拍下惊人的一幕。专门做外卖的店里小狗在盛菜桶里进食
1701656608# #主人:千万别养边牧太没意思了。让它干啥就干啥网友:现在除了导盲犬已经出了护工犬了吗！
1701477259# #威武少林！
1701646111# #12月2日广东东莞，活捉365诈骗集团主犯陶溪泉。网友；缅甸电信诈骗分子捉拿归案！
1702687468# #盗墓违法犯罪请勿亲身体会！
1701398461# #这网是合规的，因为这个网叫“官网”赞
1703974738# #女子开门时金项链掉地上，差点被环卫工大爷扫走这三万块亿点曝光计划
1698196959# #一边是被吓得够呛，另一边则是拿生命在保卫国家！good
1701054463# #11月26日，湖南衡阳，有业主曝出所在小区开发商建房时忘记挖消防井，现未经业主同意，悄悄从33楼往下挖重建消防井，业主们阻拦并报警。。二哈二哈二哈二哈
1698026892# #吃富士康这碗饭的大陆人保守点也得过百万吧…
1702650537# #宗教信仰只是敛财和谋求权势的手段
1697466553# #这是正常人能干出来的事？喵喵
1703808668# #帅就算了，还是学霸！
1703596596# #原始楚科奇人的真实生活，坐拥上亿资产却过的异常艰苦纪录片别致大视野的专属圈子超话因纽特人楚科奇人
1697251453# #以色列士兵用大口径迫击炮打向巴勒斯坦。
1691287376# #丰田不讲规矩，辞退居然给足补偿，侮辱谁啊
1700486458# #恩情！
1703754443# #印度一座清真寺因悬挂巴基斯坦国旗，被印度教徒借助推土机直接拆除……亿点曝光计划
1693831712# #从视频中可以清晰地看到，咱们的仪仗队士兵个个精神抖擞，态度不卑不亢，甚至眼神中还略带着仍未消散褪尽的杀气。其实原因很简单，毕竟那个时期咱们刚刚和美国结束了长达数十年的“冰冷期”，朝鲜战争和越南战争的影响仍留有残余。那时我国虽然需要与美国升温关系，但自身却从不丢失尊严，而且还把对美
1702214039# #男子停免费公共车位3天被当地大妈贴纸，要求交费离场……
1702973867# #12月11日，河南某高中，当学生突然被通知早上可以晚来20分钟的反应……
1694826772# #污污污
1697584104# #敬业的牧羊犬！
1702086787# #小车追尾大粪车，这可太悲催了。
1697583832# #协商不行就震楼器开一个月出去租房一个月，都是自己家你打篮球我也开震呗笑哈哈
1693868794# #有认识的吗？
1702530598# #这大妈可真是害人呀！晕晕晕
1702085273# #和气生财俗话说远亲还不如近临呢！
1703583388# #云南8岁小学生被老师用戒尺打破头，家长：因交作业时卷子出现破损，教体局：严肃处理涉事教师社会百态云南dou知道民生关注
1701958065# #两位七旬老人穿行车辆间进入搅拌车视野盲区，男子直接被卷入车底！
1703612433# #大姐在轨道上散步，她是怎么上去的……！
1703667008# #蒋介石一九三六年开军事会议时的珍贵实况影像！
1702967713# #24小时直击甘肃地震救援现场运20运送应急指挥组抵达灾区！（来源：央视军事）甘肃地震
1690773299# #孩子操碎了心允悲队形怎么能乱呢！
1691057079# #这查酒驾的力度可以！
1696554641# #徐州的村民真勤快，零晨行动，连夜把人家婚庆公司布置的道具搬空！允悲才有的南阳！南阳官方通报音乐节盗窃事件
1693630139# #高空作业还玩手机，长点心吧
1696660261# #助农！
1696213198# #所以鹤岗房价便宜是有原因的
1702500567# #霹雳舞版科目三！
1702781176# #祖籍河南开封的24岁女孩移民以色列入籍后加入以色列国防军
1703293387# #86岁老人在家照顾重孙不慎摔倒致全身多处骨折，孩子家长外出务工！
1701921514# #18元的烟9元的税5毛的烟叶专家称我国烟税仍有进一步提税空间到2030年烟草制品应提税至78%
1690941481# #原来狗狗也会痛经笑cry笑cry
1690381692# #听说这位考验了领导干部哪个领导经受得住这样的考验！
1695700540# #这俩保安过份了吧！！
1702442512# #一个双实线的路口，两辆汽车全部违章驾驶，害惨了正常骑行的摩托车驾驶员！
1702793293# #外卖小哥*与健身教练发生争执，结果却让人大跌眼镜！
1701526422# #坐电动车比坐燃油车。更容易晕车?。上海科技馆:这是真的
1700386017# #这个真是坑爹呀！
1704028669# #🇾🇪胡塞武装红海扣押日本🇯🇵货轮及大量人员，讽刺的是扣押后的货轮成了当地居民的观光景点😂！
1701464258# #好消息，支持巴勒斯坦的极端示威者在多伦多堵住了高架桥，极端环保主义者、极端种族主义者和极端恐怖主义支持者终于胜利会师。给力。。盼他们这么做已经盼了好久了，同志们终于把你们盼来了😭。。！！！
1703266954# #网友：白色小车过弯时是不是有点偏左了？思考
1703641320# #美国人不禁抢是有道理的……
1703460763# #加沙拉法突发暴乱据说是因为押运人道救援物资的哈马斯射杀了一名前来拿粮食的11岁男孩！哈马斯这种邪恶组织，在遥远的东方居然有很多拥趸，实在是难以理解啊……
1700965841# #专家:公务员降薪会引发恶性循环。打工人涨薪不和于真正奋斗网友:对打工人伤害性极大
1697707106# #以色列公布的哈马斯炸医院证据:两个哈马斯充满喜感的对话“老天爷不长眼，掉哪儿不好偏掉医院”
1703995581# #已经躲得够远了，也没躲过去汗
1690722828# #商场里搞活动表演，两个大妈让前面的小伙子让开位置，然后她们拍视频。小伙子不让。两个大妈就拽小伙子的头发…
1702091173# #2023年12月7日，根据极目新闻报道，西安一区要求出租车司机接种新冠疫苗！。。为何又开启接种了呢！
1690758153# #好家伙，没有一个动作是多余的！
1701487366# #莫言谈想当作家的初心：一天三顿吃饺子！good嘻嘻
1692927879# #男子偶遇一辆超炫房车！
1702832793# #一帮不要命的这厚度都敢这么玩是一点物理常识都没有啊
1690504822# #我tm俗的都还没玩过，你们都tm开始玩雅的了泪
1697583972# #尽没找到合适的方法对付他，又不能动手！允悲
1700534873# #这么漂亮的女朋友还不满足啊！doge
1691295795# #孩童两次奔跑式过马路险被撞好在两辆汽车及时刹车避让！
1692968073# #一位网友去印度旅游，排了三个小时队体验到的当地美食……
1702263106# #这就是小粉红们羡慕的朝鲜农村生活……哆啦A梦微笑
1693272319# #普里戈津刚被暗杀，第二天瓦格纳在各地阵亡者的墓地被平。
1697365647# #警车坐镇，文明拾穗！
1691294253# #以大局为重，个人利益要以集体利益为前提！泪泪
1700534163# #这是点穴？
1702557762# #麻豆出品必属精品！笑cry赞
1703974205# #12月30日，青岛保税港区突发大火，现场火势猛烈浓烟滚滚，无人员伤亡，消防部门正在全力扑救（来源：四川观察青岛发布）
1690298727# #是完全不要脸了，人家给员工涨薪他们都想阻止。doge
1703213462# #东北过马路。南方的觉得不可思议，北方的觉得很正常。这就是差距~~~
1703679701# #葛优听陈凯歌讲历史明星
1694084176# #长沙岳麓公安分局7日下午发布警情通报，博才梅溪湖小学四年级教师宋某明涉嫌故意伤害罪，被依法刑事拘留。
1703466418# #今年猪不争气，就不喊老表些了。😂😂😂
1697332392# #又遇拾玉米大军！他们是不是对“拾”与“抢”有什么误解？？
1703288535# #网友通过闲鱼购买两台二手冰柜，卖家位置在鹤壁中凯商业街，和卖家约好时间带着货拉拉货车进入停车场，车在卖家门口停了15分钟冰箱还没装好。就来了两个保安告知这里不让进货车，装完了就准备马上走。。可车刚走了几米，又来了一个保安对我们喊：把他们的车扣了，冰箱也扣了，罚500块钱。卖家和物业协商
1691144415# #大佬们早已为自己找好了退路！
1690398793# #人怕出名，猪怕壮”，你优秀了就会遭人嫉郎那
1700337444# #不给加塞，就别停小车还泼水，这奔驰商务缺社会毒打了吧？
1701399692# #燃放孔明灯，现场有人伤...
1701329368# #易中天中华史咋了？
1701421219# #女子驾驶摩托车被隔离墩所击倒！
1692838459# #美国前CIA局长在6月份就提醒厨子小心一点点，但这家伙艺高人胆大，显然是大意了，没有闪。
1692767385# #高风亮节！赞赞
1703667125# #生活不易
1698555174# #奔驰下地，是个狠人！
1701986732# #抚养一个孩子到大学毕业费用约为62.7万元。中国成养育成本第二高国家
1703766341# #水平不行，就不要怪市场，我投入50w炒股，亏到剩20万，后经过拜师学艺，终于全部亏完了……股票
1702499933# #12月12日，湖北监利，野猪进村致1死3伤，村支书：野猪被民警击毙，死者被咬失血过多死亡……愿逝者安息，天堂无难！
1697764290# #军纪涣散，这样的军队能打仗吗？
1698456879# #送别总理！
1701436742# #这么大的甲鱼，我是头一次见到
1691066780# #希望偷车的能看到，真的太不容易了！
1691118996# #决策者做决策的时候，有没有考虑到老百姓的感受？
1701511415# #中以混血女孩妈妈李春红，她曾经希望得到中国帮助，这次她呼吁拜登解救她女儿，洛娃的母亲李春红说：“我得了脑癌，希望有机会在家见到洛娃，呼吁拜登和国际红十字会解救她。”
1696893921# #被抄家了！
1698024144# #老毛子在阿夫迪夫卡惨败，两天损失一个旅，乌军渡过第聂伯河，以建立桥头堡。
1703042112# #网友改装的头盔雨刷还挺实用～笑cry笑cry允悲允悲
1698295221# #她在考科目二吗？
1695088611# #专家：灵活就业人员快速增加，是大趋势！
1697200374# #这个检查站看着不是十分正规。
1701483211# #糟糕的家伙你真的是很糟糕
1690427726# #不是不动手不还手，而是深知上有老下有小忍一时风平浪静！
1701997955# #这是拔河比赛。还是下面的司机挂错了挡
1701526889# #刘科:搞市场经济全世界谁都竞争不过中国
1703481530# #印度，丈夫火烧娇妻……
1702824960# #各种文化共存的英国英国某文化积极发生，和以往大家了解的英国一样吗。？
1691216737# #珠圆玉润！笑cry笑cry
1694085725# #王校长最后摇头是什么意思？
1696990003# #抗战胜利后，处决汉奸实拍影像，汉奸直接被吓哭了！
1699978527# #师德如此？？？？
1702864948# #佛山，两个安徽女子说跟家人吵架出来没钱吃饭，要我帮忙买份盒饭。大家说说这是套路吗？
1702816879# #四个月没发工资？环卫工：已透支信用卡过生活，为什么拖欠环卫工人的微薄工资，太无耻了，他们最苦最累！
1697777921# #中国经济持续向好！
