1701581874# #tm的笑死当韭菜当傻了爱慕五月天假唱鉴定
1700995569# #对温柔漂亮的姐姐没有一点抵抗力老师好
1693881425# #🙊🙊🙊祝我好运
1695482443# #刚刷到圣诞日历开箱，感觉距离上次刷到还没过去多久，才想起是去年临近冬天刷到的，时间过得真快啊。
1698844732# #HopeJ你发达了啊，现在美死谁了好平静超话
1693409627# #以闪亮之名超话芜湖！
1697896197# #分享图片
1699190827# #周子珺帅得我六根清净中透露一丝绝望的欢喜
1702305456# #
1693580393# #电视剧装腔启示录超话谁懂啊这种会拿捏女方又深情的♂真的很容易上头泪
1700921145# #不要害怕
1699539205# #转发微博
1695567048# #日本免费发放滞销海鲜给学校供餐“我从小喝到大泪”
1690018087# #绒兔心语泪他真的我哭死泪首氪终于等到你以闪亮之名超话
1698328235# #“我觉得成长有一个很重要的节点，是意识到我们对他人的期待和因期待而付诸的爱，其实都是在兜着圈子满足自己。所以没必要选择一条更长更费劲的路径来爱自己。”
1691647898# #看得出来尽力了
1692422888# #吃不完，根本吃不完
1697523505# #还得是你啊，
1699056355# #开车看到路上的橘子，又大又黄，真的好想偷几个
1698668618# #试试高科技（人已疯）
1697733068# #六
1696423970# #二十世纪中叶人家已经泡过温泉住进同学的别墅，我现在还没泡过。打四个的！
1695102520# #真的好喜欢我的单人沙发泪
1701525921# #分享图片
1689215140# #无语
1692846724# #正宗南昌拌粉&amp;江西瓦罐汤，一路旅行为数不多的美味
1701709356# #昨天：欲拒还迎真的很戳我舔屏。今天：莫名其妙的tyf我真的不理解。。。
1704352462# #魔芋干真的被我吃出了香辣调味料拌鞋底的感觉。。。
1688007112# #管不住自己的雕就剁了吧开学季
1703945655# #汤还是炖的好馋嘴
1699347508# #年纪来了看狗血爽文小说简直浴霸不能
1691063588# #逆水寒我来了嘿嘿嘿（扭曲爬行。。。。逆水寒以闪亮之名超话
1699778151# #这破班我是一天也不想上了
1699068861# #拼好了~好棒
1700730763# #Solo晚餐
1693058571# #前几天好奇吃了一次刺身，这很难评
1698229304# #来吧，展示
1689246185# #生活充满变数，但也是希望。
1700583587# #没有经历过别人的苦，没办法同情别人的矫情。懦弱的人更占据的优势在于别人会施加同情与唾弃，但能干专横的，得到了无休止的任务与劳动，以及“你这么颐气指使得意洋洋，一定生活的很如意吧”。
1692801873# #到婺源了，听说这里有个最美乡村，不知道该不该去玩。不会踩雷吧就是说。。。
1692093263# #男寝不可能这么干净老师好
1691335909# #抖音视频好笑程度：80%。评论区搞笑程度：100➕♾️%
1690182873# #前一秒：我得出去。后一秒：为什么出去？累死
1694085730# #书中自有黄金屋，书中自有颜如玉
1698110067# #胡言乱语和敷衍了事
1701532440# #八节课后打毛线：有点爽，有点烦
