1703776970# #baby白鹿遭导演组区别对待两人当场罢录，金靖趁机上位，笑坏坤坤
1703895301# #谢霆锋天生就是吃演员这口饭的，4岁就和老爸搭戏，眼里全都是戏
1704444181# #00后整顿极挑！黄明昊800心眼，给黄景瑜发红包都不敢领丨极挑9
1704232889# #41岁当妈的孙俪风韵犹存！井柏然站她身边，眼神忍不住一直看她！
1704543360# #黄渤被黄磊淘汰，俩人现场掰扯，跟村口大妈吵架一样丨极挑
1703846101# #甜馨向小朋友显摆手表，太过招摇，转圈晕的跌倒在地上！丨爸爸
1704395881# #成毅曾舜晞扛起莲花楼的门面，这个红毯造型搭配像办婚礼丨红毯
1704106381# #影视：大妈手拿菜刀，对鬼子大砍大杀直接手劈三鬼子，真过瘾
1704293174# #场馆里关个灯也能吓关晓彤一跳！张一山坐她身旁遭老罪丨奔跑吧7
1703686501# #鬼子往山上开枪，哪料战士直接放出野鸡迷惑鬼子，下秒暴打鬼子
1704366421# #黄磊抢先答题，分数却给了对手，埋怨黄渤抢题太慢丨极挑
1704100501# #雪豹：敌军以为援军来了，下秒坦克却向自己开炮，被炸懵了
1703838901# #甜馨想上厕所不好意思说，乃爸后知后觉，女汉子也会害羞！
1703943301# #闫妮总是有种众人皆醒我独醉的微醺感，让人看着就想笑！
1703575454# #看了戚薇涂眼霜方法，才知自己错了20年，难怪她双眼白嫩没细纹！
1704091981# #大汉天子：张汤巧妙曲解大汉律条，窦太后气到吐血，这段超解气！
1703980441# #外公给奥莉煮玉米吃，不一会就吃掉两根，果然是玉米忠实粉！
1704573361# #30亿票房女主！金晨红毯宣传反诈！王传君社恐不敢说话丨星光大赏
1703890261# #张艺兴瞅了沈腾一眼！就被沈腾发了把锤子安排干活，笑死丨向往
1704087301# #初心：女老师来校长室，哪料校长得知她是将军夫人，嚣张气焰没了
1703921701# #这就是中国：海外华人因疫情受辱，我们可以这样反击
1704257341# #55岁蔡国庆一袭亮片西装走红毯，他怎么那么多年都不老啊丨红毯
1703783710# #许魏洲《朋友的酒》，谭松韵忍不住嗨起来，反观任嘉伦贼逗丨向往
1704053702# #女村长：女人独守空房，丈夫又不在家，女人按捺不住了！
1704152549# #86岁谢贤带谢霆锋打猎！浑身腱子肉比儿子还健壮，真是宝刀未老！
1704326041# #黄渤给猪做按摩，罗志祥一吆喝，猪全冲他去了丨极挑
1704179125# #“心凌”男孩檀健次圆梦！跟偶像王心凌同跳《爱你》，激动到脸红
1704029582# #王嘉尔睡衣遭马頔吐槽，这是睡衣还是演出服，太有趣了！丨冰箱7
1703871301# #这就是中国：疫情带来经济下滑，是中日韩签下自贸协定的机会？
1703762110# #薛之谦成名前有多心酸，刚火就被公司雪藏，唱片都要自掏腰包！
1703915461# #原来美女的尽头是搞笑女，白鹿这溢出屏幕的笑声太上头了！
1703945701# #王牌家族旧照片曝光，沈腾贾玲华晨宇可爱，关晓彤竟还在肚子里？
1703548935# #蒋丽莎探班陈浩民，看到有摄像机在拍，直接把老婆拒之门外！
1704380821# #黄磊沦落到街头，靠厨艺找到工作，黄渤羡慕不已丨极挑
1703825821# #谢贤唱谢霆锋名曲进决赛，夸自己很有音乐细胞，全场爆笑不止！
1704365641# #张远亲自下厨，拿手菜征服陆虎，画风有点娇羞可还行丨告白季
1704112501# #马大帅：无赖前夫纠缠村花前妻，哪料大帅怒掀桌，一招打脸
1703527335# #贾乃亮：杨紫就爱和帅哥谈恋爱！杨紫尴尬捂脸，笑疯周深丨剧耀
1703794510# #杨受成现场逼婚谢霆锋和王菲，除了谢贤也就他敢问了！丨12道锋味
1703926261# #岳云鹏捡漏上瘾，下秒报应瞬间来袭，竟被喷了一脸气丨王牌
1703994841# #有生之年还能录到这样的节目！陈楚生苏醒张远《来活了兄弟》
1704572041# #范丞丞日常迷糊，永远搞不清规则，甭管对不对先做再说丨王牌
1704356521# #沈腾离胜利只差一步，肠子都悔青了，一个劲埋怨关晓彤丨王牌
1703817301# #吴尊告诉女儿汤太辣不能喝，neinei现学现卖告诉奥莉不要喝
1704454981# #200亿票房担当！沈腾当面给宋亚轩上课，高光演技爆发丨王牌
1703988901# #娱乐圈的搞笑女真是越来越多了，白鹿这个吁要被笑一辈子
1703828101# #徐璐约会总是低头看手机，引乔任梁不满，当场发飙！丨相爱吧
1703669866# #水中花：老板中狐狸精美人计，谁料看报纸发现她骗子身份，扎心
1704473881# #高能团抢女嘉宾，王大陆土味情话输出，张一山心都化了丨高能少年
1704564841# #黄磊和罗志祥商量对策，还没反应过来，就被张艺兴淘汰！丨极挑
1704553081# #谢楠沉浸逛街，看见啥都想买，吴京的反应堪称模范老公！丨三重奏
1703893861# #这就是情侣和兄弟之间的差距吗？和张凌赫这恋爱氛围简直爆棚！
1704409382# #大张伟看透极挑的精髓，全员都是人精，谁也不能信丨极限挑战
1704352921# #武大靖面试桃花坞650电台遭遇滑铁卢，被辣目洋子的绕口令吓跑
1704456181# #谦嫂跟于谦射箭，百发百中开心乱蹦，根本不像41岁丨幸福三重奏
1704471361# #孙红雷王迅商战，智商这块不相上下，被黄渤黄磊嘲笑丨极挑
1704532561# #徐志胜针对刘涛，杨迪现场看热闹，这游戏不玩也罢丨王牌
1703781301# #叶一茜为食材发愁，找餐厅老板谈合作，换种方式帮老板赚钱！
1703772400# #程雷有请下一位妈妈上台，结果竟是“她”！程雷笑得前倾后仰
1704086101# #部队没一个人认识的枪，谷子地一摸说出名字，太牛了
1704078902# #军长秒变新生还得扫大街，李云龙直接暴走
1703561055# #金晨偷吃范丞丞西红柿鸡蛋！丞丞激动喊，金晨：我真活该吃丨出发
1704590041# #贾乃亮无效耍帅！打脸来的太快，冰壶梦想当场破灭！丨王牌
1703558835# #孟鹤堂伪装摄像偷看，岳云鹏后知后觉，张鹤伦是真惨！丨斗笑社
1703806501# #王玥摘掉假发露出染发，七宝害怕赶紧躲起来，浸浸被吓得直哭！
1704004381# #王嘉尔问李静有没有为戴军哭过，没想到回答太直接：凭啥！
1704308821# #王牌家族描述范丞丞，全都贴脸开大，一个比一个损丨王牌
1703938501# #这就是中国：中国经济要在复工后快速恢复，这三点很重要
1704466981# #沈腾当卧底加戏，被杜华一眼识破，锁定他的身份丨王牌
1704038041# #香迷糊的烤猪肘，表皮酥脆，让baby以为在吃北京烤鸭！丨好吃
1704354841# #孙红雷自信创业，黄磊断定他不行，张艺兴也觉得不靠谱丨极挑
1704107701# #沂蒙：妻子走娘家，不料遇到鬼子大扫荡，丈夫再见她直接崩溃了！
1703833021# #孙丞潇谈前任气哭金莎，朱丹一番话人间清醒，奚梦瑶：算什么男人
1704174149# #白慧明被于谦宠成小公主！嫁给于谦20年，今天才第一次下厨做饭！
1704059581# #你是我的眼：沈腾占完便宜还要占，花儿都被弄害羞了，臭不要脸！
1704228541# #沈腾创业画大饼，艾伦常远全程被骗，马丽拦都拦不住丨春晚
1704264541# #OST女王！张碧晨绿色抹胸裙亮相红毯，姐又飒起来了丨星光大赏
1704205408# #白鹿不愧是体重只有88斤的女人！郑恺拉她毫不费力，直接升空！
1703760805# #50万年薪+股权，北大学霸眼睛连眨都不眨直接拒绝，涂磊都惊了！
1703811421# #我们误会周一围了！朱丹做饭手忙脚乱，男方做法堪称好男人天花板
1704152774# #赵露思王鹤棣为避嫌，面对镜头直接装陌生人，身后孟子义表情绝了
1704376441# #当德云社玩谐音梗，孟鹤堂这也太敢说了，脑洞一个比一个大丨喜剧
1703519775# #贾乃亮给女儿穿比基尼，甜馨说一点不性感，我会走光的！
1703795701# #问问对着摄像机跳舞，第一次见会动的相机，吓得赶紧找妈妈！
1704118501# #家庭秘密：阔太诬陷保姆偷钱，哪料警察调查出真相，竟是儿子！
1704225689# #TFBOYS十周年合体！三小只排练新歌《明天见》，写真造型帅炸了！
1703999701# #甜馨给爷爷表演吃饭，女汉子吃肉好卖力，用勺子吃饭嘴张老大！
1704084782# #现场铁证：院长终于落网，说出女护士死因，警察：你可真够乱的
1704370020# #沈腾黄渤拿双男主剧本，全场只有金靖忙活半天最后受惩罚丨王牌
1703553855# #经典小品《不差钱》，赵本山本想捧丫蛋，不料小沈阳这个配角火了
1704508441# #还得是黄金搭档！沈腾受惩罚淋水，一把推开贾玲！丨王牌
1703562435# #毛不易不记得乔欣，却记得张云龙，李雪琴火上浇油！丨毛雪汪
1704124981# #罪域：女总裁获得兆辉煌信任，打开他账户发现巨款，下秒做法意外
1703768005# #0713微博视界合体！张远王栎鑫陆虎谁都不敢假唱，开口直接就飘了
1703870101# #王牌家族“晓机灵”上线，凭一己之力解开线索，这也太厉害了吧！
1704324121# #范志毅从未如此尴尬，穿着睡裤，突然被拉入五哈主题曲发布会现场
1703943911# #心
1704032101# #甜馨夸奶奶厨艺厉害，李小璐不甘心说自己也做了，贾乃亮马上就夸
1703551635# #孟鹤堂伪装摄像，和岳云鹏结盟，直言当反派太过瘾了！丨斗笑社
1703804221# #孙丞潇沙漠告白金莎，直言：舆论不能阻止我爱你！女方哭成泪人！
1704293341# #28岁毛不易许愿找对象，发愁没爱情，李雪琴郭麒麟都给他出招
1703776000# #等着我：姐姐4岁被拐，儿子被冷落20年，一句话让父母泪流不止
1704090901# #挺好的：混混绑架了个女人，混混受不了她说话，下秒用胶带封嘴！
1704268140# #陆虎买菜偶遇老乡，对方却是张远粉丝，尴尬了！丨告白记
1704386581# #姜还是老的辣！沈腾一招反套路关晓彤，杨迪都害怕了丨王牌
1704504841# #沈腾淋雨只顾自己，华晨宇关晓彤浑身湿透，沙溢：刚捞上来丨王牌
1704385081# #人美歌甜！欧阳娜娜挑战创3主题曲，小奶音唱出两种风格丨拜托了
1704519241# #华晨宇小熊舞元气拉满，开始的那个咬唇抬头绝了，谁懂啊丨王牌
1704599821# #内娱最真实星二代！郭麒麟儿时没有零花钱，长大后报复性消费
1704252361# #孙红雷极挑第一莽夫，趁黄渤不注意，直接抢走他的鞋丨极挑
1704406681# #郭京飞这嘴无敌，杨超越黄明昊俩人加一起，都拿他没办法丨极挑
1704488281# #当沈腾遇到魏翔，话不落地梗不落地，看一次笑一次丨王牌
1704556681# #0713军训式走红毯！分则各自为王，合则精神失常丨红毯
1704473751# #昆凌参加最强大脑！幕后竟是这样！
1704288361# #婉君当年太漂亮，上节目，撒贝宁：我暗恋了你二十年！丨综艺
1704128581# #小伙给鬼子修脚，等他走后，鬼子的脚瞬间皮开肉绽
1703889301# #这就是中国：都是人口大国，印度和中国有什么不同？
1704403081# #陈赫靠捡漏得分，陈伟霆白抢了半天，当场表示不服丨五哈
1704518161# #沙溢是来搞笑的吧，一句话就就让杨迪破功，这嘴无敌丨我们的客栈
1704278942# #被沈腾跳粥舞笑死，四肢好像借来的，都抖成那样了丨王牌
1703976841# #张柏芝给大儿子打电话，全程飙英语，却遭儿子冷漠对待！丨好看
1704367321# #张艺兴不懂规定情节，接不上戏，把孙红雷气得叉腰丨极挑
1704591361# #陈坤舒畅14年后再同框，感动相拥，梦回《金粉世家》丨二十四小时
1704609361# #孤注一掷剧组红毯，王传君金晨同框，孙阳小卷毛港味儿太强丨星光
1703841310# #小太阳赵露思经历过地震！自述经历512：珍惜生命活在当下丨童话
1704355621# #李泽锋戴眼镜秒变卫明，杨迪直呼想打他，手都甩出去了丨王牌
1704055981# #真爱：富少美女被困酒窖，为不留遗憾，两人突破自我激情拥吻
1703823310# #吴昕被元宝吓得一惊一乍，李雪琴的毛衣也遭殃，毛不易大声呵斥！
1704306121# #董子健伪装路人，被刘昊然从背后突袭，当场吓到跪地丨高能少年团
1704290489# #44岁姚晨遇见43岁张柏芝！两人一个比一个冻龄，看着都像是大学生
1704378121# #老外接歌笑料十足，把杨坤搞蒙了，哪能记住这么多英语丨王牌
1704491881# #罗志祥演罗密欧，闽南语一出，黄磊孙红雷直接笑场丨极挑
1704162209# #56°水温导演就让邓超鹿晗下水，陈赫一句话，导演都绷不住了！
1703512575# #贾乃亮独自带甜馨，李小璐临走一脸担忧，知道他不太靠谱！
1704198209# #白慧明饭桌发飙吓坏吴京谢楠，于谦老脸都挂不住了，直接撒娇求饶
1704015181# #甜馨听到妈妈声音赶紧藏起来，李小璐配合找女儿，大早上太欢乐！
1704158610# #白慧明被于谦宠成小公主！嫁给于谦20年，今天才第一次下厨做饭！
1704483241# #关晓彤被宋亚轩攻击，姐弟俩杠上了，全身都淋上墨鱼汁丨王牌
1704481081# #孙红雷跳芭蕾舞，黄磊现场空翻，都不如黄渤这招绝丨极挑
1704369241# #熟人局的快乐！王鹤棣孟子义领奖，王传君汪苏泷疯狂打call丨星光
1704048781# #相爱十年：小伙喝酒喝到吐，女友被人趁虚而入，太不走心了
1703940661# #张艺兴瞅了沈腾一眼！就被沈腾发了把锤子安排干活，笑死丨向往
1703499874# #韩国人是怎么做到无知又自信的，频频秀优越却惨遭打脸
1703685361# #奚梦瑶产后体质差，每天都要理疗，豪门媳妇太滋润！丨三重奏
1704447781# #贾玲身患绝症，张小斐竟异常开心：期待这一天很久了丨春晚
1704156374# #赵露思终于穿对衣服了！吊带蕾丝黑礼服，妖艳的像只“小妖精”！
1703989981# #杨天真被朋友拉黑，给出教科书解决办法，情商太高了丨展开说说
1704275174# #难怪撒贝宁害怕跟李思思同框！穿内增高还比思思低半头，笑坏康辉
1703931301# #中国：借疫情推动中美“脱钩”是愚蠢的，对经济没有任何好处
1704217741# #贾玲生病乌龙解开，瞬间喜上眉梢，誓死不信养生小文章丨春晚
1703780110# #杨天真跟朋友去吃饭，必须吃到想吃的哪怕一个人，何炅大为震撼！
1703690101# #女鬼子假扮中国人，不料被小孩一眼识破，这下鬼子惨了
1703765200# #常远艾伦小品《同学会》，高调炫富，笑趴全场丨我为喜剧狂
1704002041# #王俊凯录制完节目，拉着王大陆去网吧打游戏，结果被粉丝拍到！
1704120781# #伏击：小兵认为电报没用，哪料长官看了后，差点把他送上军事法庭
1704490441# #汪峰华晨宇比拼肺活量，场面过于刺激，引来众人围观！丨王牌
1704402182# #邓超把鹿晗误当成徐志胜，陈赫忍不住爆笑，这下真成平替了丨五哈
1704571021# #邓超上节目连线韩寒，现场飙戏让他喊爸爸，观众席炸了丨王牌
1704142981# #我的妈妈：4口人却煮3个鸡蛋，面对儿子的问题，妈妈回答太赞了
1704302521# #黄磊创业成功，孙红雷差一步就破产，差点工资都发不了丨极挑
1704415381# #金靖开班在线教学，谁料却被王子异拿捏，站那都没法接话丨极挑
1704610621# #莽夫和他的妲己be了，黄景瑜吃瓜看热闹，被黄明昊从背后偷袭
1704206549# #24岁黑人小伙身体比蛇还软，反向四肢走路，张国立看傻眼丨梦工厂
1704116101# #现场铁证：刑警队长推测案发经过，连自己都不敢相信：太玄了
1704250889# #41岁当妈的孙俪风韵犹存！井柏然站她身边，眼神忍不住一直看她！
1704330421# #黄渤飙演技，现在要“暴揍”沈腾，多少加点个人情感丨王牌
1703582654# #考验演技的时候到了！王牌家族喝苦茶，关晓彤直接吞苦参粉！
1703604255# #毛不易摸马頔岳云鹏头发，看谁的头发更硬，画风逐渐奇怪！
1704167174# #赵露思王鹤棣被怼脸拍，赵露思小声向王鹤棣吐槽：怎么老拍我俩？
1704560221# #张杰当卧底漏洞百出，被杨迪一眼看穿，话都不敢多说丨我们的客栈
1703896501# #这就是中国：除了印度，西方也有国家存在种姓制度
1704204325# #白鹿不记仇，一般有仇当场就报！秦霄贤跟她组队，直接被扔入泳池
1704416581# #宋丹丹表演听牌魔术，王鹤棣武大靖两脸懵：这玩意科学吗丨桃花坞
1704095581# #雪豹：100鬼子进村，欺负妇女小孩，中国5大突击队百步穿杨暴揍！
1704014101# #张歆艺冰箱全是名贵食材，李诞一脸嫉妒，没有对比就没有伤害！
1704580561# #男人帮参加高考，黄磊想考北影，孙红雷：这学院不好丨极挑
1704170549# #48岁钟汉良跟30岁黄景瑜同台！丝毫看不出年龄差，一个比一个帅！
1704495481# #郭京飞改良手撕面，陈赫看完不敢吃，邓超直言会出事丨五哈
1704153781# #长官看出过河的兵的不正常，用几句外语识破鬼子真面目
1704334021# #男人帮参加高考，黄磊凌晨三点蹬车，孙红雷王迅坐拖拉机丨极挑
1703754910# #杨天真与乔欣见面，率先活跃气氛，大聊身材问题！丨我的经纪人
1703944261# #要被马丽喊沈腾起床这段笑死！连哄带吓，笑坏张艺兴丨向往6
1704517081# #沙溢不想回家看老婆脸色，杨迪一句话，让他幻想破灭丨王牌
1703670961# #张远陆虎这收放自如的默契，刷虾刷出还能星座，真有你的丨毛雪汪
1703573235# #明星假装滴滴司机拉乘客，车差点开到紫禁城，薛之谦被认成张艺兴
1704329641# #武林外传经典再现，这次没剧本，贾玲开口姚晨瞬间懵了丨王牌
1703913301# #同样是吃饭，从李雪琴关晓彤吃相，一眼看出谁才是真正名媛！
1703546655# #经典小品《不差钱》，赵本山饭店吃饭，跟小沈阳爆笑打马虎眼！
1704064501# #影视：富婆掌掴穷小子，小子自觉拿铺盖睡沙发，下秒富婆心疼挽留
1704323221# #宋轶自曝用小号吃瓜，李雪琴深有同感，再也不用担心闹误会
1703818621# #甜馨太不容易了，大早上就被折磨，贾乃亮穿衣服太粗鲁！
1703902501# #赵本山爆笑小品：要急头白脸吃顿多少钱？小沈阳：咋还吃急眼了！
1703957581# #徐璐约会低头玩手机，乔任梁暴怒，让她做二选一！丨相爱吧
1704384181# #宋轶透露下一部戏的计划，一听男主没定，李雪琴来劲了丨毛雪汪
1704315241# #宝石老舅太难了！写主题曲脑洞被榨干，还遭邓超质疑才华丨五哈3
1704581821# #罗志祥演罗密欧，擅自加吻戏，被黄磊直接叫停丨极挑
1704472441# #鹿晗的甩锅式采访，看似慌乱的眼神，实则在寻找目标丨五哈3
1703831701# #徐璐任性点2000多块红酒，一口没喝，乔任梁结账欲哭无泪！
1703908261# #张云龙是什么喜剧人啊！报仇时连苏有朋都不放过，暴躁直播怼弹幕
1704390181# #沈腾沙溢卧龙凤雏，军艺校草的梗玩了这么多年还没过时丨王牌
1704107000# #“济公”游本昌90岁高龄上台领奖！一番发言超热血，全场大咖鼓掌
1703860501# #奚梦瑶被问：有计划生三胎吗？她的下意识回应，何猷君表情好真实
1704326821# #黄渤罗志祥报名高考，第一课就傻眼了，学母猪的产后护理！丨极挑
1704111301# #大汉天子：一夕之间朝廷骤变，窦婴狂叫嚣，灌夫一拳送上天！
1704305221# #“塑料兄弟情”！邓超当面说陈赫失败，天霸动霸就地解散！丨五哈
1703674561# #吴京送的水果，奚梦瑶何猷君竟然没见过，切开后不知道怎么吃！
1704462181# #宋亚轩圆了乐队梦，《爱情转移》摇滚舞台，脆爷鲨疯了丨王牌
1703768800# #非诚：霸道总裁太优秀，被女嘉宾灭灯淘汰，理由竟是自己配不上！
1704177974# #本以为杨迪是游戏王，谁料吴宣仪才最牛，连续两把带关晓彤复仇！
1703591235# #冒犯了！雷佳音郭京飞双胞胎二傻，互相甩锅乐翻沈腾王牌对王牌
1704562562# #社恐遇到社牛，毛不易参加浪姐派对，仿佛唐僧误入盘丝洞丨毛雪汪
1703793421# #直男撒糖甜死了！朱丹生气不理周一围，男方接下来做法太不避讳！
1704550561# #谁能管住孙红雷，考试答不出题，还想抄别人的丨极挑
