1702694799# #掌阅ireader米小圈上学记
1697637510# #京东火锅节分享京东火锅节分享
1702694708# #0压守护梦想转发
1694238085# #酷暑犹有余温，还让不让小布愉快打游戏啦？没事，有它！耳朵“裸”透气，想热都不行。好朋友家的新品，了解一下？锁定+，带话题【转发+评论+点赞】本博，9月14日抽1位粉丝送出【50元京东卡】！
1691209967# #那就让我不一样转发
1697770335# #拉低
1693562093# #这个太夸张了
1689422908# #穿越人海
1691590353# #来啊来啊
1691490901# #张杰巡演北京鸟巢站官宣黑粉真的比真粉还长情允悲允悲，没家吗？我才知道官宣，黑贴已经铺满广场了允悲允悲
1692356216# #来了来了
1695973324# #中秋国庆去哪玩主持人带你游鄂尔多斯转
1688170136# #粽情端午，悦享健康送花花
1692073316# #你到点就等着发图了哈哈
1687789376# #最后冲刺
1697242934# #阅享银河之辉，沐光书香之下转
1700873382# #轻喜到家轻松喜悦每一天，
1695783645# #这位真是个负责任有德行的好老师，希望多一些这样的老师，孩子们在学校里哪怕成绩不好，家长也安心~
1696036648# #转发微博
1693061036# #码给小7看看
1688196981# #转发微博
1701687922# #直播出来时真的笑死了笑cry笑cry笑cry这人这么可爱的笑cry笑cry笑cry
1697157382# #中国蒸烤专家中国蒸烤家人间烟火味44
1693011669# #悦享新中秋，华美共团圆和家人
1697242613# #硬派臻藏金标矩献转
1702617484# #《科学大众·小小博物馆》
1690501942# #抽了吗？
1692680368# #看着长大的小孩都开始谈恋爱了送花花送花花送花花
1702694333# #可爱
1697637938# #转发微博
1691209919# #广州机票狂欢节小邮也想去广州吃早茶：排骨、凤爪、虾饺等我来啦！绿色邮政和给大家送福利啦！关注带话题转发，8.6抽一位送【50元京东卡】更多惊喜戳评论区！
1701863577# #这就是中国好枣甜
1703639930# #张杰新EP冬月初七一开始"狂门"，后来"忍门"，现在"灯门",太好听了啊，”杰门“
1700550814# #暖冬聚汇暖冬聚汇双汇美食嘎嘎炫分享
1692356102# #是我吗？
1701863895# #拯救无趣温暖上饮这杯真过劲，还能装鸡汤，打工人的冬日有福啦
1691758926# #张杰深圳演唱会薛家又来犯🗡了费解这么关注张杰，你薛怎么了？
1693377866# #橙材计划公益助
1692356197# #好东西
1700210485# #没有天赋
1690293601# #必须转了等我儿子长大给他看看笑cry笑cry笑cry，另外冲着开头是我杰哥的歌……
1700923607# #抽我
1700182618# #转发微博
1691210109# #拉低
1693060222# #码
1701863754# #寄快递用菜鸟裹裹，半月送大礼拉低
1692238472# #这个期待了很久，真的真的
1701426791# #拉低
1693105374# #古风串烧必须要保留举手举手举手
1697963336# #张杰一开嗓从不会让人失望听他翻唱的歌感觉变成了是他自己的歌，他就是有这种能力抱一抱抱一抱抱一抱
1694128376# #秋日食趣，放肆high吃🍁秋日迎好味，食秋正当时，告别了炎炎夏日，你的菜谱也该换新了！拿上箸下零添加酱香鲜，来品尝第一口秋天的滋味吧！关注和，带话题转发此微博并享你的秋日限定美食，9月24日揪1人送【食秋大礼包】一份。
1697242805# #转发微博
1689421247# #张杰未live巡回演唱会张杰演唱会这个可以
1697871381# #拉低
1697242713# #转发微博
1692943269# #宝藏星期五分享
1688315007# #需要
1698930351# #3元钱已经买不到饮料了喝不起了，不是生存环境的问题，是我不够努力工作摊手摊手摊手拖后腿了，更不敢二胎二哈
1690814881# #带大眼橙投影X7DPro
1691210139# #百果园好吃歌太上头了转发
1690501914# #嗯嗯
1702617120# #《2024不止吉历》1本
1696434754# #牙疼散利痛一颗效果只管了一小时苦涩苦涩苦涩
1697242740# #公主请下班！
1695142232# #美好生活就是锦鲤抽中我！转+关，抽一位朋友送出我的祝福和一张100元天猫超市卡（可以去买瓜子）喵喵
1692976310# #中国赞中国赞
1697637595# #川崎羽你一起转评
1700873105# #封面讨喜
1700873866# #拉低
1697871406# #试试吧
1702694634# #我
1700873242# #新市民家庭团聚日转发
1702380304# #张杰1220生日快乐抱一抱
1692943367# #拉低
1696296890# #国庆接亲新玩法转
1692356147# #生快！
1687789472# #拉低
1700550840# #拉低中奖率
1695098445# #哈哈，可爱
1692601672# #44
1702617898# #《青出与蓝》
1696943002# #这文案写吃瓜吃瓜吃瓜
1688830869# #拉低
1697777527# #爱美尖子生买海澜之家上京东@我是你杰
1691210169# #转发原微博，送800元现金，8月15日抽一个粉丝举手
1697172854# #生活的本色，斑布的自白分享
1688315033# #转发赠书全国新概念作文大赛一等奖、冰心文学新作奖大奖得主，新蕾青春文学新星选拔赛全国总冠军——云鲸航全新力作《云鲸航美文精选集》收录创作至今极具代表性的作品共80篇，一套两册来啦！哇哇哇关注我，转赞评此微博，抽取一个宝赠送一套~
1702617103# #《刑事技术档案》
1703496004# #益路杰伴星公益挖掘机！
1688195940# #带天猫书单话题转发，
1687789457# #川崎叶刃转评
1697871392# #来了
1692601794# #
1702609423# #感受自然之美，体会科学之趣。
1695126312# #张杰
1695205261# #第二台助听装备转发0
1700873789# #感恩的hua大声说转发
1700210505# #转发一下
1694082200# #张杰未live巡回演唱会
1703603162# #好好好，就是抢不到票不太好
1700550698# #一路有你无限幸福转发中国赞
1694238043# #喜欢打游戏的有福了，MuMu来送一套电竞房了！小布也帮你们抢来了一点电竞资金~锁定我们并转发本博，9月10日抽1人送【50元京东卡】，原博还送1200红包哦~用MuMu12，游戏更快乐！
1695693936# #张杰合肥园博会主题歌满园芳华好好听啊
1697071569# #围观
1689263220# #实至名归中国赞中国赞
1695973296# #八位堂复古又好玩的机械键盘来喽！红白机经典配色，支持三模连接，热插拔轴座，全键无冲！标配“摸鱼神器”：超级按键，拍一拍复制粘贴，趣味十足！快和小邮一起解锁更多有趣新玩法！转发关注我和9月30日抽1位送【八位堂键盘腕托】转原bo还有机械键盘抽@微博抽奖平台
1694238062# #题闪耀吧打call团
1699420460# #给这位网友点赞👍🏻
1693063877# #张杰把投票歌单做成串烧请保留到以后的巡演打call打call打call
1691209948# #阿道夫热爱季转发
1697637880# #火龙果的颜色彩虹屁彩虹屁
1693200486# #大雪大弹面转
1687661590# #转发微博
1688571531# #难过😔生命比什么都重要🙏
1691759459# #SHE时隔四年再合体H不是独吗？
1690887592# #看送花花
1700873303# #健康照明感谢自己
1697637607# #川崎羽你一起转评
1695973308# #我
1696167132# #大型晚会有张杰稳了送花花送花花送花花
1687789404# #拉低
1691815992# #大爱龙吟
1700568234# #码
1701863916# #~拯救无趣温暖上饮累是打工人
1697637803# #中国蒸烤专家中国蒸烤家人间烟火味关+转
1701863622# #猫在一起过冬天试试
1697297510# #张杰完整版，一千公里
1692367261# #中国美菱守护中国味8月31日
1695973347# #携程金融庆丰收转
1689863214# #拉低中奖率
1688214891# #想去北京，但迷听过现场打call了
1694429093# #双重能量领跑新学期，
1702694831# #海信洗衣机活水洗除真菌转评
1702617078# #拉低
1700651932# #拉低
1702617648# #《科学大众·小小博物馆》
1692356051# #拉低中奖率
1697082474# #来庆㊗歌瑞家冬装上新啦！快来跟我一起寻找宝宝喜欢的冬装吧，你家宝宝喜欢可爱款的还是潮酷款的呢❓转发阿尔法蛋，10月31日揪1个宝送儿童方巾6条哦～
1697172898# #豆力续航，元气出发！
1697172873# #好人家联名三星堆关注
1687444600# #张杰音乐节
1690814808# #嗨吃玩成都，热辣超能量拉低
1693388194# #来了
1692943464# #卷花
1700873467# #月光宝石好运来电转
1692970390# #张杰未live巡回演唱会张杰三登鸟巢好可爱呀允悲
1692943253# #川娃子请10000名大学生吃烧椒酱
1702532225# #张杰未你好吗跨年演唱会又到了XFXY抢票时间了
1688227942# #张杰带万人唱响新征程中国🇨🇳
1694776287# #拉低
1700182908# #我来了
1692614014# #爱华仕箱包，装得下，世界就是你的转
1700873563# #松达31岁了！我也为达子开心一下
1687796236# #我投给了“张杰最佳男歌手+最佳人气男歌手+最具影响力男歌手”~
1690329472# #曼联球星直播睡觉好梦成就巅峰转发
1687256169# #支持……
1692943384# #抽了吗？
1701863735# #和阿韵一起为真相发声，🔒，看电影热搜直视正义，品淮扬韵宴请贵宾，转发此条微博，12月7日抽1位送定制【富硒水1箱】
1688982811# #拉低
1697082695# #有一搭试试
1693918532# #码
1701863966# #转发微博
1700873460# #月光宝石好运来电转
1703496041# #海澜之家中华龙我来了
1688314965# #转发微博
1701863680# #抽我
1700873750# #感恩有你好吃相伴说不完的感谢
1690279759# #致敬信仰的力量张杰唱出了黑暗之中的希望
1697082597# #来接好运
1690814632# #转发微博
1700873355# #三门峡邮政转发了
1687479482# #转发微博
1695973258# #团团圆圆，汇在一起双汇美食嘎嘎炫转发
1700873819# #JAKI佳奇胡桃夹子转发
1701863550# #拉低
1700182438# #我试试
1688035856# #仰望星空打call打call打call
1703394293# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1700550750# #拉低
1697082893# #终于周末倒计时了
1693207993# #谢娜没和张杰合照是不是得洗碗有人来洗碗了，嫂子粉不要骂杰粉了，杰粉的命也是命
1687789421# #好评
1689206690# #大众点评必吃节香疯了李老师别担心，你怎么会不好使呢，至于必吃节推荐大使的事儿……就交给我们吧😜快来说说你最推荐的餐厅及推荐理由，说不定下个大使就是你！关注「转评赞」原博即有机会获得五万元必吃节大使
1689863283# #泰酷拉
1693011695# #论养蜂和产蜜，我的好朋友等蜂来是专业的！论好喝的奶茶，巫巫也是专业的！关注@你好植物，留言说说果果在宝子们心中的形象，8月29日揪1个宝子送【等蜂来条装蜂蜜一罐】呀～！
1692974155# #张杰未live巡回演唱会鸟巢太绝了打call彩虹屁
1702651412# #看看什么叫无缝大屏吧……低配版被嘲怪别人比你好是什么道理？你偶像不当一回事儿你们倒急着向外转移矛盾
1690642658# #好可爱啊
1695810162# #可可爱爱的
1700873946# #文石致力于为全球消费者提供护眼墨水屏读写方案，祝祖国极地科考事业蓬勃向前。和四季沐歌一起为中国第40次南极考察队出征助威评论区留下对祖国南极科考事业的祝福吧！锁定和转，11月30日将抽取1名幸运宝子送出【100元京东卡】！
1687789490# #大眼橙投影X7DPro转评
1704249036# #张杰2024巡演上海等你
1690814921# #10元？
1687499383# #一起带大名啊！谁可怜谁知道！喜欢蓝色是吗？其他颜色都要不要？doge
1689399855# #诗
1692680452# #对象呢？允悲允悲允悲
1692356186# #好的
1703196131# #牙痛苦涩
1695973332# #中秋国庆去哪玩主持人带你游鄂尔多斯转
1692672225# #诈骗手段层出不穷，防不胜防啊！
1700096999# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧
1696739772# #报名
1703086577# #码
1697294403# #张杰孤勇者完整版打call
1701566881# #试试
1688830815# #甄嬛传
1691246773# #加油加油
1692601560# #44
1700873742# #感恩有你好吃相伴说不完的感谢
1702609376# #是谁在拯救吃货“脆脆鲨”！Oh~原来是巫巫的小伙伴计划！卷花本BO，12.26揪一位宝去恰【斗舌新品单人霸王餐】！
1702291952# #转发微博
1701863532# #感恩的hua大声说感恩时间
1700873893# #给力
1700096909# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1700550885# #拉低
1690814705# #夏日吃冰快乐转个好东西
1695788311# #林俊杰拍张杰某些粉好下头吐，不要小人之心度君子之腹了吧二哈
1695693973# #张杰合肥园博会主题歌满园芳华一城一园一故事，永不落幕展芳华。
1687503291# #知道了！这次轮到张杰了！吸血抬咖碰瓷还有人不知道是周深粉丝吗？？？
1697242673# #节后请假的钱塔斯汀来付转发
1692601458# #有木有陪伴好
1702609445# #变化不小
1688223891# #二哈二哈
1693207490# #张杰未live巡回演唱会上海等你
1689863407# #拉低
1701863698# #转发微博
1687503958# #周深粉就这点出息啊费解。说不过就删评拉黑，看了真可怜二哈二哈二哈
1693064388# #下次多跟拍点
1694079800# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《福》，快来和我一起为更多优秀音乐内容助力！
1695693888# #张杰合肥园博会主题歌满园芳华我杰哥为我家乡唱歌啦
1704023722# #张杰不如唱柔光灯，怕了……
1694128335# #闪耀吧打call团转
1693995860# #张杰天天看到广场上有脏东西吐吐吐
1692405777# #允悲允悲允悲
1688222702# #张杰带万人唱响新征程见转
1695205276# #第二台助听装备转发微博
1692788259# #可爱的暖男
1687789235# #试试
1690099885# #转发微博
1699182375# #好惊喜啊
1697777494# #公牛小电舱全能搭子
1700873075# #来了来了
1701863662# #太给力了
1702617383# #《艺术终结者》
1688908243# #张杰TMEA开场也太稳了吧基本操作，不必惊讶酷
1687789304# #上佳能EOSR7青春出邮季佳能R7R10潮生活
1694359161# #张杰
1703035120# #赞
1689223736# #张杰未live巡回演唱会你抱一抱
1688830785# #要被这广告笑发财了！该说不说，还是的更好使李雪琴我怎么就不好使了。转评说说『你心中的必吃美食心』，7.15抽5位送点评公仔，看评论区有更多惊喜！记得关注我们俩哦打call
1697082928# #关注了
1702694849# #被百变史迪奇萌化了！再来一袋！锁关和转发本博，12月25日抽1位幸运宝贝送【enesco百变史迪奇萌粒-圣诞季盲袋2袋】~
1694008536# #张杰胎家演唱会是不好看吗？天天在张杰家客厅蹦跶吐
1692356268# #蔡林记在哪都能吃8月30日
1691206213# #演唱会看多了期待值越来越高可以理解，但是你不能要求一个主题的巡演每场都不一样啊？骂他就更没有理由了！少看几场把票留给没看过的吧！
1703085925# #中国赞
1697242654# #安心款款，欢度双节转发
1692020890# #上海社保缴费基数下限调整为6520元反正我到手工资变低了吐吐吐
1702694824# #海信洗衣机活水洗除真菌转评
1700182458# #封面好看
1700915019# #这必须得转
1690814725# #拉低
1697157362# #中国蒸烤专家中国蒸烤家人间烟火味关+转
1692356039# #我来拉低
1692943411# #想尝尝
1703821115# #嘿嘿，灯门才可以笑到最后吃瓜酷
1700881600# #月光宝石好运来电转发
1697637444# #好久没有，冒泡了
1692601824# #蜀大侠虾滑节卷
1700651826# #没有天赋摊手摊手摊手但又努力的心态酷酷酷
1693959005# #张杰最新版本用起来
1702617298# #盯盯拍RANGER骑行运动相机骑行影像与数据二合一新时代为自由而生，因热爱无畏。
1703849598# #哦莫哦莫送花花送花花送花花
1689422633# #穿越人海
1696834127# #最后一张图给我笑到头掉笑cry笑cry笑cry
1702608477# #这女生粉可不弱，脏字起飞
1702617354# #迪拜免税店当分母一下
1690887560# #街电助力，大运雄起转发
1697113956# #拉低
1692356160# #来了
1693209619# #汉印情话日记礼盒看我
1702694672# #容声40年为时光添金转
1687146684# #安徽星星前来支持
1690814895# #带和诗乐氏椰一夏话题卷花～
1694244042# #苦涩苦涩
1703983000# #允悲允悲允悲
1688999451# #张杰带万人唱响新征程祝福祖国！🇨🇳
1694666327# #我就是来拉低一下
1689317400# #造型满分💯
1693562036# #这图可以证明杰哥是糊坛顶流笑cry笑cry笑cry打call打call打call
1690814683# #来了来了
1694079827# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《张杰未LIVE巡回演唱会》，快来和我一起为更多优秀音乐内容助力！
1692356229# #来了来了
1701863637# #转发微博
1700097383# #转发微博
1701863962# #奖品名称：vivoY100*1人；抽奖时间：2023-12-1022:00:00；抽奖规则：
1700873406# #很好睡的感觉
1693219518# #难怪喜欢小作文，我不会写，但我喜欢看苦涩苦涩苦涩
1700873233# #新市民家庭团聚日转发
1692943491# #胆大包天传下去
