1625672016# #马住！！
1684086387# #家人是我永远的底气。。失眠的夜晚，忽然想记录一些被爱的证明：。爸爸妈妈和外婆的手机密码都是我悲伤
1618825805# #马
1541634490# #哈哈哈哈哈哈哈还哈哈哈哈哈哈哈我笑死哈哈哈哈哈
1624698806# #Repost
1628459222# #怎么这么好笑哈哈哈哈哈不活了
1610528161# #写中文论文：查重率下不了20%。写英语论文：查重率上不了10%。简而言之：都是学术垃圾裂开
1611672273# #别人家的男朋友作揖
1659273473# #李惠仁hyein超话怎么没有人搬运小小小妹宝啊小时候肉肉的脸好可爱55555想捏捏抱一抱
1579876702# #笑死我了哈哈哈哈哈哈哈
1603446827# #转发微博
1654915983# #我身边有很多愿意为女生群体发声的很好的男性，但终究他们也体会不到女性从出生开始就必须面对的恐惧，我们的愤怒已经被压制太久
1576249093# #球offer嗷嗷嗷跪了英国爸爸们请爱我一下吧跪了
1647393973# #…………
1605246290# #有被可爱到
1605514088# #煎烤炸火锅面包奶茶果汁都不能碰，活着还有乐趣吗悲伤
1653318607# #Dauntless.....希望他和他的家人们安好伤心
1677084648# #乖宝宝亲亲
1600140648# #转发微博
1620317431# #上帝啊后天就试
1619942085# #这个姐太酷了5555
1611930131# #张踩铃没子宫的人不会了解怎么看都是“因为你没有亲身经历所以没有话语权”的意思吧怎么到网友嘴里就变成炫耀子宫了我可真是疑惑疑问
1555616812# #笑死哈哈哈哈哈哈哈
1584025049# #Repost
1599973337# #想起在被窝里一边看火影一边偷偷抹眼泪的无数个夜晚失望
1654955021# #天啊
1555950738# #小圆真的美到我心里
1613058150# #我宣布朱鹮是我心中的今年春晚节目第一不管是舞美灯光队形还是服装都好好看哦
1621278351# #可爱！！
1677773359# #转发微博
1556480784# #翟潇闻超话跪了翟潇闻创造营2019。只有我一个人很好奇这是什么奇怪的生物吗doge好想买闻闻同款噢doge。。
1613064552# #嘿嘿
1621279538# #能在冷冷的雨天夜晚一边喝着刚冲好的热可可一边看番实在是太幸福了呜呜呜其实幸福真的很简单awsl
1650645375# #狠狠想去！！
1611393805# #吸吸吸2021最大愿望就是发财
1694792136# #这是什么文艺复兴深海少女真的是最爱top3
1599185506# #这这这也太好看了哆啦A梦吃惊
1658600088# #马！
1697304313# #Ditto的灵魂小忍
1572440355# #？？？没毛病
1625615414# #现在真的很佩服海王的时间管理我光是三条线同时进行都已经焦头烂额每天各种焦虑烦躁长痘又过敏真的崩溃搞不懂那些人怎么做到同时应付几个十几个女生的还要天天当祖宗哄着费解。算了可能这就是热爱的力量吧拜拜拜拜
1647863177# #
1563377287# #球球了球球了球球了
1556193948# #我在纯甄小蛮腰创造营2019加油能量榜为你补充能量，助力你怀抱赤子之心，一路乘风破浪！
1575189238# #这个太太是我永远的心头好！！！
1562142871# #小作文一百昏！！！
1601136542# #写得真好哈哈哈哈哈哈哈哈哈哈哈哈哈
1629845966# #尝试好几次之后终于可以完整跟练帕梅拉的10min上肢训练之后手也不至于抖成筛子了身体和肌肉真的不会辜负付出的努力论文也马上就改完定稿了事情总会一件一件一件做完的加油
1619601535# #三观值得学习作揖
1541344980# #呜呜呜呜疯狂羡慕了
1586994196# #太开心太开心
1574688142# #让我们来猜猜LYB第一份offer什么时候到。不要让我失学吧失望
1562658277# #太可了神仙姐姐跪了跪了跪了
1629117757# #理性陈述理性讨论真的很好
1694831093# #Repost
1651195968# #55555555555救命子色
1642079186# #色姐姐好辣我好爱(不要问我更爱谁
1630539988# #抑郁症不是伤害别人的借口拜拜Neverever拜拜
1658036146# #又是唐山疑问作揖作揖
1598801750# #会永远做个坚强不服输的人。要一直变得更加优秀才行呢
1628026130# #《辉夜姬物语》太好看了，水墨画一帧帧画了900多天，故事悲伤的同时又有点温暖。想到这样高水平的电影亏损了那么多就觉得好可惜，还是遗作。果然现在是快节奏电影称霸的时代了哎……。高畑勋作品中的悲观情绪相比宫崎骏更加明显，名气也没有宫崎骏大，明明吉卜力工作室是两个人一起创立的，但是现在说起
1592568141# #噢噢噢噢噢
1651497489# #太好看了啊啊啊啊啊啊
1622878985# #马
1629927533# #shit太吓人了救命
1653994902# #🖕
1664545373# #该轮到我幸运了吧！PLZ！！！
1597161654# #啊啊啊啊啊啊太好看辽跪了
1694616537# #Repost
1576334214# #一切白的东西和你相比都成了黑墨水而自惭形秽，一切无知的鸟兽因为不能说出你的名字而绝望万分。。。2019.12.13北京场【恋爱的犀牛】打卡
1605324340# #Awsl彻底被SoBad洗脑了呜呜呜六个妹妹都太太太好看了吧A级美貌+A级实力趁还没那么火赶紧爱了爱了
1651240772# #微信公众平台即将展示用户IP属地听我说谢谢你你有病微笑
1609661552# #CardiB,yyds
1607176434# #安俊英你怎么敢这样你怎么能这么欺负小圆？？以后就全程看双皇solo得了呗真当C位是个笑话🐎圆妈已被气晕
1604581008# #啊啊啊啊啊啊啊BEASTARS×YOASOBI！整个人都好起来了！！
1558247745# #翟潇闻超话🍗创造营LookAtMe发型全靠颜值撑翟潇闻超话✖️创造营LookAtMe少年突破自我，少年感与成熟感的融合，赋予时尚另一层含义。撕开“一成不变”的无趣，每一个舞台都是崭新的自己。翟潇闻加油拳头@创造营2019-翟潇闻
1680141799# #难过
1594829851# #？先马一个试试看
1633945348# #每次看到都怪怪的
1642660597# #谢谢热搜教会我windows的快速切换方式嘘
1589043248# #观望一下后续…………真希望我校这种事能少一点………
1652109068# #一边看heartstopper一边嗦螺蛳粉一边吃跳跳糖酸奶送花花。天呐我就是全世界最幸福的人哇
1602380228# #蕉蕉安排上
1681484300# #？
1657872334# #！！！
1637854577# #悲伤太牛了DNA动了啊啊啊啊啊啊啊啊啊
1535610366# #路转粉了？？
1634922215# #跳得真的赞业务能力超强
1652782254# #86不存在的战区我要死了！！！两天看完86的我直接一个怅然若失大失恋单身狗请辛蕾现在立刻马上结婚单身狗单身狗单身狗。这绝对是我近两年看过最好看的番，不管是宏大的世界观、精良的画风和充裕的经费（有钱真好）、黑毛白毛配的人设、泽野大大助力的音乐，都太太太赞了。任何阿宅不看86都绝
1622967978# #望周知。想要消除一种说法的最佳途径就是主体本身发声，用公开透明的信息来满足群众的知情权，而不是一棍子打死或者上来就贴标签戴帽子。通过否定来否定的做法注定是不可取的摊手
1585460074# #笑死我了
1697128535# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1676437310# #……
1663345439# #钱💰＋全家健康就是最重要的
1596203035# #好可爱鸭
1630900352# #PUREDRAWING
1555191603# #卧槽这是什么神仙弟弟我的天哪爱了爱了
1699759663# #坐地铁旁边坐了某个男的，真的是纯纯折磨，扑鼻而来的体味……已经能想象平时就是烟酒都来➕从来不注意清洁的人了🧹。什么时候男性都能注意最基本的个人卫生修饰，多点自省，社会能和谐一半😅
1656696311# #人家全球上映小黄人请了巨星阵容唱OST，我们在这放老几样哈哈很牛。难道连这种电影都不能引进？微笑
1600363482# #不开心的时候就看看帅哥哎…
1593932188# #可爱死了哈哈哈哈哈哈哈哈哈哈
1591355328# #宝贝啊啊啊啊啊啊啊啊啊啊
1651471424# #最后一段直接升华主题goodgood
1616429608# #现在已经是能一脸淡定地问同学Haveyoualreadybegonnenwritingyouressay的混乱程度了跪了跪了
1619353487# #马了
1558387014# #翟潇闻超话🍗翟潇闻创造营2019。来舞超话了。在自己到底是女友粉还是妈妈粉中纠结了好久好久。一直以为自己是个妈粉但扪心自问如果翟闻有了女朋友和别的女孩子亲亲抱抱举高高我会不会酸到崩溃……。这么一想吧……。。呸谁还要当妈妈粉doge越想越气翟潇闻你个大猪蹄子doge。
1614183449# #蒜了
1620594376# #jo都走废了but伦敦真美呀。公园里看到好多小动物鸽子鸭子鹈鹕天鹅还有不怕人的小松鼠快乐🉐
1649481382# #举报「求救」那人之外新的人间迷惑…
1580137412# #Repost
1628285783# #GirlsPlanet999的标志怎么抄袭中传校徽啊哈哈哈哈哈哈笑死。写完论文就可以追plmm了憧憬
1628192182# #大师我悟了国内国外的键盘侠都一样弱智且无法沟通不论国籍裂开
1674822135# #好美
1595344789# #拿外貌攻击别人的人还敢再low点吗
1634812824# #太清秀了兔子
1617936465# #哎……
1631538410# #Stay前奏一响DNA就动了色
1598624027# #和叔叔阿姨第一次一起吃饭。被各种阿姨夸得贼不好意思。女人的彩虹屁果然假但好听。忍不住夸夸今天的自己嘻嘻。偶尔做做精致美女，真香🙊
1638552701# #十五年后的今天，一切也并没有变得更好。
1649848221# #很平等很喜欢学着点
1624095717# #瑞思拜赞
1644161830# #今晚淌了好多俺泪水各种事和压力凑一起总会让人很难过。明天开始好好努力失望
1616560714# #单身狗哇一直对这种主题超感兴趣
1615295802# #是我
1670261342# #悲伤
1536856445# #女鹅妈妈爱你！！！
1609081305# #我笑死感谢见仁见智群体让杨笠的脱口秀变得更完整更立体更现实
1621367488# #马
1572716989# #你怎么这么好啊悲伤
1677341783# #哇心动了
1592186949# #Repost
1622894709# #安徽安庆一男子步行街上刺伤多人都在传还有两个同伙在逃，为什么官方不能公布一下情况呢？如果没有的话就澄清一下谣言，有的话赶紧发布通缉令。至少让大家心里有个数不用这么人心惶惶的吧疑问
1592722028# #是…是肌肉！
1685030189# #我推的孩子最新一话依然有被惊艳到！虽然后面的剧情节奏没第一集那么快但依旧稳定发挥彩虹屁我吹爆彩虹屁
1650468283# #终于等到这天了！！！她们值得！泪泪
1699424093# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1696425175# #好爱好爱好爱腿比我命还长彩虹屁嘶哈嘶哈色色
1599490000# #转发微博
1619273184# #男妈妈真的拼翟潇闻怎么这么拽帅啊呜呜呜蓝精灵yyds
1636805831# #今天也是被无语的一天真的会有人还在坚持两年前的无知言论和想法……本来以为过去这么久是不是也该成长了一些没那么幼稚了看来是我想多了哈哈微笑
1672372419# #美晕泪
1679459226# #接悲伤
1586487258# #真的太恶心了微笑有法律知识有人际网络的精英阶层犯案才是最可怕的
1598073757# #没说g党坏话不代表就是在吹捧g党且抗战时期的g党人难道就不是中国人了吗？都是一个民族的同胞天天脑子里就是什么搞分裂什么坚决抵制敢不敢再low一点。希望有生之年能看到公正客观对待的历史希望不仅是奢望。
1625645462# #看到微博上那么多一边倒的评论和内容我真的开始怀疑是我有问题还是这个世界有问题，所幸脑子正常的人还是稍微多一点哈悲伤一直以为性教育的普及会一点点改进，一代比一代强，可是现在我开始怀疑了。昨天是超话tag的消失，今天是所有高校公众号的消失，明天又会变成什么样呢？
1688607779# #真的好生气啊😅😅😅希望所有🗡️男去亖的心情谁懂啊……猥琐又阴暗的那些🚹，不仅存在于新闻，身边也有。不是自己经历过确实也很难相信。我忠心祝福他们永远得不到幸福和成功的人生，也相信这些人迟早会把自己玩死。快了，等着吧微笑
1599104197# #吃兔兔吗
1620145221# #上帝啊最痛苦的不是写论文而是控制住自己写两行论文就玩半个小时手机的双手微笑。烦死了失望
1658884290# #嘿嘿嘿憧憬
1610762075# #🐎
1580575936# #奥力给馋嘴
1680142210# #以前高中地理老师就反对过种林治沙，说种下去的很多树都没有意义，不久就会枯死。看到这位林场主种的很多树也是经济林而非灌木，不知道是否合适……？
1574530692# #可可爱爱
1635169802# #和俞灏明合作过的人应该很难不喜欢他吧人真的很好苦涩
1613062172# #p3出场的时候我妈纳闷地说黄子韬怎么又出来了一次居然还会唱戏我笑死了
1657153337# #太米了太米了憧憬
1601449684# #昨天路过一中的时候才发现原来小朋友们在开运动会好久远的回忆啊………。十一前开运动会=多放两天假=有正当理由和好朋友出去吃吃玩玩不学习想想都觉得开心喵喵
1667409578# #王建国淘汰小心翼翼表达的人，又何尝只有他们，哪个行业哪个媒体都逃不出被🤭的命运。所以我想放弃媒体了，曾经真心热爱过，但就这样吧再见👋
1596557305# #学到了55555太可怕了
1581358631# #都是教授哎蜡烛真的可惜
1692853975# #Repost
1656471935# #时代的眼泪
1668189282# #恭喜老罗哈哈哈哈哈
1669972048# #…
1632240423# #保佑明天一切顺利🙏
1645947140# #编剧神了
1652250838# #多所名校退出世界大学排名麻烦以后某些学校别动不动宣传自己是"国际知名大学"了哈玩不起就退出阿Q精神🐮🍺
1579791558# #平安心
1626274597# #离谱摊手yue了我
1662341647# #Repost
1603448287# #我惊了NEUTRINO是什么神仙软件啊好像不用调教也是自然少女音耶声调发音还有转音都做得太自然了不是踩一捧一我也喜欢V家但是N家做出来的声音真的太太太自然了。虽然现在知道的人还不多但是以后很有可能会成为新一届AI歌姬王者的感觉希望运营商不要把一手好牌打得稀烂。
1655475550# #Repost
1599233809# #张含韵？王霏霏？金晨？？？为啥要这样对漂亮姐姐们啊失望失望失望
1555254800# #我笑死哈哈哈哈哈哈哈哈哈哈哈哈
1652599999# #羡慕的想死伤心伤心伤心伤心伤心伤心伤心伤心
1622062733# #不愧是我国网民
1625866184# #好好笑
1644143889# #好可爱55555
1650471548# #真的纯纯大无语了………
1598788892# #哈哈哈哈哈哈哈哈哈哈哈哈哈大家都好开心噢
1701746663# #这套图真的需要永久收藏……
1600993807# #我靠想rua亲亲亲亲亲亲
1614406849# #Repost
1660405956# #时代的眼泪悲伤
1630253878# #SHT这种男人真的快点去下地狱吧谢谢
1634488752# #深夜emo。。经历了昨天被叔叔婶婶善意但直接了当的各种否定憋了一天还是没忍住在和男朋友打电话打电话复述的时候偷偷抹眼泪感觉自己真的在某种意义上很失败了被打击否定多了之后人都会变得不自信变得丧丧的而始作俑者却还在一旁说“你这种萎靡不振的精神状态是没法好好秋招求职的”就算是大人也
1618409259# #伦敦英国留学伦敦超话🈶️🈚️4.24早上9:00左右从希思罗机场到市区的小伙伴愿意一起拼个车？杰瑞
1657463924# #想看！
1593929547# #Inthelifeofthepainter,deathmayperhapsnotbethemostdifficultthing.Formyself,IdeclareIdon'tknowanythingaboutit.Butthesightofthestarsalwaysmakesmedream.Why,Isaytomyself,shouldthosesoptsoflightinthefirmamentbeinaccessibletous?Maybe
1575595124# #转发微博
1660957074# #ImDead色色色
1580102278# #希望俩人都在家结果还得继续异地恋的日子能早点过去失望太苦了白眼
1574677080# #怎么会有这种狗。真的气晕了微笑家暴Biss
1585401579# #本安庆人+四中人表示丢不起这个脸跪了
1602480341# #死得很彻底
1670653219# #张元英手指舞视频某些热搜放过美女行吗……
1646221504# #缓缓打出一个？
1663754255# #敬自由
1608651111# #想到今天听了陈丹青为王瑞芸老师《10件作品里的西方艺术史》作的推荐，感触良多。艺术是超脱于语言的，正如美对人有不可描述的吸引力，一幅作品在那摆着，自然而然会让人不自禁走过去看，忍不住屏息凝神，呆在原地，满心震颤，却又无法形容。绘画是如此，音乐也是。“艺术无用，但我们不能没有艺术”。
1600667360# #牛油果和西装裤我好爱！！美女穿啥都好好看啊爱你
1649742468# #单身狗分享一些感动
1612767752# #隔壁人家真的太可怕了literally每天都在吵架每天都会情绪崩溃大吼大叫摔门锤墙砸东西的小孩的房间和我只隔了一道墙沙哑的嗓子一直嘶吼着一边叫一边哭也太可怕了……怎么说呢…已经是如果哪天他家发生了命案我也丝毫不会奇怪的程度了……真希望能快点搬家跪了
1558966851# #甜甜傻傻人间小苦瓜生日快乐！！！
1681575654# #财神爷告诉我了我必转运awsl。。天下第一财神庙
1637426783# #……以后一定不要做这样的家长不要变成曾经自己最痛恨的人
1624646099# #螺蛳粉太神奇了吃的时候能感受到的全是酸辣香味吃完了感知到的只有无尽的臭味拳头
1556101883# #闻闻冲鸭一定要出道555
1573803677# #我爱费玉清开的小火车
1676649651# #一直可爱又努力的阿福心
1620848046# #ma
1612767440# #喜欢这种感觉！给美工加鸡腿爱你
1544702409# #Repost
1641575765# #太美了宝贝色
1575421029# #穿山甲抢救行动为爱前行，我一直在路上。我在“极危穿山甲抢救行动”项目捐款成功！
1601000468# #泪这样完美的美女真的存在吗呜呜呜好爱
1682086519# #今日心情belike
1600685382# #ok
1685760935# #美神下凡泪
1561313488# #那得是6吧doge
1620339642# #一起吗
1663161059# #嘘
1558373962# #卧槽这谁顶得住啊
1628893023# #坚决支持
1544451634# #不用理我二哈
1580826257# #心脏狙击
1586845453# #实用！！！
1650082955# #仿佛又看了一遍「活着」，又看了一遍「白鹿原」
1661535165# #天哪看到最后才知道这么严重裂开这个世界会好吗？？？太开心
1599583111# #想我的傻子舍友了呜呜
1604053466# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑晕了连语音语调都一模一样哈哈哈哈哈哈哈哈哈哈哈哈哈
1614305682# #Repost
1618244365# #朋友交定了谢谢
1585464418# #124真的好看可怜
1656069623# #宝！！！红裙也太配了我死的好彻底啊啊啊啊啊色色色
1677084962# #太好看了🥲
1700841373# #“鉴于诗歌和漫长是相当程度上的反义词，因此这不是一首长诗，而是一组诗，但每首之间相互关联、呼应，像星体环绕着星体，水聚着水，花枝连缀着花枝。。一旦我完成并记住这组诗，全宇宙就包含在我体内。所有山岳和星斗，所有云烟，所有锦缎和烛光，所有离别，所有帝王的陵基，古往今来每个春天豪掷的所
1622484714# #Repost
1615815266# #IZONE不在的第一天心情和天气都是下雨
1608217442# #哆啦A梦花心
1599149301# #假如能够重返大一参加更多社团认识更多人玩得更野点不要天天肥宅。但还是会好好学习一周七天课宿舍教学楼图书馆三头跑我爱学习学习爱我。然后早点认识现在的男朋友吧或许就没那么多破事也不会被某些人骚扰了哈哈可爱
1649072747# #对军人尚且能如此糊弄了事一般人呢？什么时候地方政府才能吸取徐州的经验教训不拿群众当傻子啊？
1572421339# #一年过得好快啊……失望
1580362645# #请爬
1658250670# #Repost
1614863759# #徐穗珍人傻了最近因为很喜欢赵美延所以对女娃特别喜欢来着感觉徐穗珍不管在团综还是台下都表现得特别害羞内向参加节目也不怎么说话不会向其他几个一样疯疯傻傻的所以真的以为是个害羞的妹子……人设彻底崩掉……疑问
1614319693# #安排？awsl
1620637022# #啊啊谁能禁得起这泪
1671962330# #芭比宝宝❤️
1636000434# #小狗戴口罩做核酸成小区网红给狗戴上人类用的口罩真的不会造成呼吸不畅之类的问题吗……想知道有没有什么科学依据……？
1636990529# #跪了
1618384149# #什么玩意费解费解恶心到家了
1640277790# #救命啊救命啊这样的身材和颜是真实存在的吗色色色
1598975276# #我来了！
1609298105# #蜡烛
1592186685# #周震南真的很有自己的想法滋磁good捆绑教育爱豆的做法还是不可取哈
1631113669# #🐎
1654173614# #霉运给我退！
1617551324# #我被笑死
1696901607# #悲伤悲伤
1589904237# #520快乐dogedoge
1588266153# #doge
1652767157# #哇这个广告真的🉑️
1590245510# #跪了跪了跪了
1550178283# #卧槽啊啊啊啊啊啊啊
1625404713# #太公主了55555
1587744366# #爷吐了太开心
1565548052# #这个剪辑我给一万分！！！都给我看！！！！
1595742131# #🐎
1627164041# #我真的嗨到不行了！！！直接一个新婚快乐！色
1615295938# #配色绝绝子
1680075594# #开学季开学季
1633794889# #冻柠红茶太美了555555色
1618105045# #🐎
1628757648# #呜呜呜看得好难过…司法公正什么时候可以也惠及以前那些屈打成招下的冤假错案呢？有些真相已经等不起了…
1654668892# #这什么价值观
1685976618# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我真的
1562055631# #跪了
1615725695# #直接泪崩悲伤真的虾仁猪心
1580779487# #Repost
1594085331# #空有无用的拍胸脯保证眼睁睁看着iphone电量耗尽关机无法追踪位置眼睁睁看着二手交易平台强制退出AppleID盗上各种账号甚至付款半个月过去了试问你们又查到了什么呢@顺丰官方客服
1587274208# #🐎
1607224584# #今日份好笑：老方说梦到陪我去买翟潇闻的周边，买了一大篮子还要他全程提着。真是模范男友。可能这就是爱吧💚
1653066643# #小小心愿:能和臭猪一起去欧洲好好玩一顿单身狗@Mahogany3
1630079588# #夜晚太美了
1574842748# #大半个学期过去了终于来到毕业生照片采集的这天第一次和舍友少之又少之又少之又少地仨人都化了全妆大家都好好看哦果然没有丑女人只有懒女人嘻嘻污
1622326916# #告诉自己生活很美好不要因为别人的傻逼来惩罚自己
1588266760# #艹宝石之国那张太好看了
1599728626# #动手小白两个半小时才组装成功的椭圆机。快乐了喵喵
1688606800# #她善良勇敢，总是仗义执言，不是一个面就可以概括的。能跟人生诸多困境战斗这么久，是非常了不起的女性。
1558987521# #跪了跪了跪了万一……
1575903875# #🐎
1625817298# #太美了55555完全就是空中的水墨画啊
1653925443# #是谁看ThisisusS2E14哭成狗单身狗单身狗单身狗
1573912425# #宝贝你好美！！！！！！！！！
1588499131# #闻闻终于熬出头了吗啊啊啊啊悲伤感动地哭出来
1619695610# #谁会不喜欢Poundland这种物美价廉的店呢泪。还有好喜欢我住的地方啊生活购物也太方便了！！
1574683001# #sigh
1554040143# #我天我真的看一遍死一遍
1617715554# #给九月的我留着
1626636058# #歪日原来都美竹是中传的？！。不愧是我校学子诶就是刚赞
1631010989# #每天都感觉自己在临湖而居修身养性，仿佛是不能出门的农家乐假期。日常开窗能听见河对岸平房里鸡鸭的喧闹声，看狗狗在成群结队翻墙玩耍。偶尔一只白鸭飞过并不清澈的河水，停在已经快被湖水浸没的破旧木船上。或许还能看见几个撑着伞，一钓就是一天的钓鱼爱好者，不知道收获如何。生活节奏慢得仿佛回到
1543868687# #又美又甜剧情画风都好棒！！吹爆师哥师姐们！！！
1649675177# #用魔法打败魔法嘘
1584025693# #阿伟死了哈哈哈哈哈哈哈
1558292735# #翟潇闻真的太努力了吧555555妈妈真的超级骄傲
1620246030# #今天也是开开心心吃完一锅面发现已经九点了的一天跪了。但是真心安利三养的辛拉面！在亚超随手一买结果发现味道很正，比最火的农心牌好吃多了。而且就算面条在汤里泡很久也不会化，太适合我这种磨磨蹭蹭吃饭的人了。。过敏就过敏吧，吃面开心最重要馋嘴
1629056473# #微博里还一群人在那拍手叫好呢就离谱疑问正义与否先不说，女人在塔利班政权下真就地位如同牲畜……封建落后性可见一斑了。替他们默哀裂开
1650088649# #因为我的病就是没有感觉。联系社会现实非常黑色幽默了
1637506751# #今日猫狗双全awsl。以及YSL1966真的赞啊嘻嘻沾杯我也认了喵喵
1606493200# #今日份焦虑后被Claire鼓励：夸我的essayideas，说我的不自信是impostorsyndrome。。我爱Claire！！。PS：昨晚看的《一秒钟》，虽然和电影里同样性质的魔幻删减现实真的很可笑，但可以预见刘浩存一定会前途无量，满满的心动wwww
1608983817# #醍醐灌顶。值得永远保存的总结。
1617927050# #在凡尔赛宫的时候只恨自己没有个专业相机拍不出它的美泪
1664409991# #Repost
1599298178# #随便一学嘻嘻嘻嘻
1660150433# #经济大V被迫纷纷转型，现在就连正经客观科普都要被如此打压，可真会捂嘴呀嘻嘻🤗
1636131315# #我10岁的时候艾薇儿长这样我奔三了艾薇儿还是长这样苦涩
1656087234# #哇哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1595852549# #圆子真棒呜呜呜
1642348390# #一整个心疼住了我的宝
1594190177# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊爷的青春结束了
1655647711# #是我本人
1598013416# #哈哈哈哈哈哈哈哈哈哈哈哈我笑死
1570983874# #腿好细一男的我慕了
1644539409# #这不比官方通报靠谱？
1605858362# #圆圆子太可爱了呜呜呜
1656348853# #虽然但是真的好酷
1636423842# #一次性12集？？？！
1586797866# #我特么…………？？？
1618312592# #哇必须🐎
1654862300# #……光是看到就已经开始心理不适了
1586710820# #太强了ww
1600016772# #不化妆完全就是漂亮高中生啊5555小孩太好看了
1614349091# #哈哈哈哈哈哈哈3500字小论文拿了72舒服了！！！awsl
1560288416# #疑问这个绝世小可爱是谁啊请问？
1634443447# #下次再顶着北京傍晚的寒风苦等公交半小时我就是🐶。骑车真香（且冷）苦涩
1598681322# #ohsht然而前面的剧情都快忘光了跪了
1573207659# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1657154139# #笠姐鲨人事件
1582698003# #转发微博
1600878894# #@Mahogany3
1623443364# #《觉醒年代》:★★★★☆。好久没有看过剧了，四星值得(特指作为主旋律影视作品的打分)。
1697780404# #Repost
1624303555# #
1614255093# #我枯了🐎
1586564687# #今天的梦想也是………
1585755318# #心动了…………
1619143012# #专辑封面都好好看哦
