1689236889# #告别喀什
1700567327# #致敬。——写于“周游四海八荒：甘建华地理诗分享会”。任东华。。你行遍千山万水。想象生命的沧桑与绵延。却在跋涉的关节之外。将满身的风尘仆仆——写成无言的诗行。。你始终秉持那份热爱。无论是戈壁的蛮荒，抑或南方的有情山水。都被绘成梦与乡愁的模样。然后点亮远方。。你情愿选择执著。举着火把走向岁月与路
1693700712# #所有的美食，都是饥饿的记忆。。但衡阳酥薄月饼不是。
1687874850# #青海现在是饮料大卖。。三人饮酒，仓央嘉措。
1698459831# #获赠杭州友人涂国文兄新著《在词语的星空中漫步》，浙江工商大学出版社2023年9月出版。。涂兄不但诗歌写得好，亦为各种类文学评论之高手，品格之高，我亦为之低首。。本书收有其写我的诗评《辽远苍茫的灵魂地理——简谈甘建华地理诗》，深谢！
1697371994# #又来南岳看灯展。。自贡灯展，天下第一。
1688173217# #最新一期《香港文藝報》2023年總第79期出版，特別推出「行吟張家界」詩歌專版，有我两首，感謝林琳主编。
1693668901# #老舍的《茶馆》有句台词：“这年头让人高兴的事一件没有，让人笑的事见天都是。”
1698459793# #转发微博
1688448868# #中午在这个大户人家吃饭。姓名在藏头语
1695654352# #本年度诺贝尔文学奖十天后揭晓，中国作家残雪（本名邓小华，湖南衡阳人）排在获奖赔率榜第一名，成了获奖大热门。但如果没有公开有力的反对，估计今年又是空欢喜一场。但我相信，残雪终究会获得诺贝尔文学奖。
1696687379# #稳居金牌榜、奖牌榜第一。祝贺中国队！
1700298540# #陆家新屋（衡阳保卫战纪念馆）。第N次打卡
1690366015# #2023年青海湖诗歌节“1573金藏羚羊诗歌奖”得主马克·特雷尼克获奖感言：因为我相信，如同罗伯特·布林赫斯特（RobertBringhurst）和吉狄马加（JidiMajia）确信的那样，诗歌是说出并表达某一地域的途径。诗歌是一种生态实践，一种提醒人类归属、低首和依赖自然秩序的方式。通过活生生的哺乳动物独有的
1700899576# #同志们最羡慕的这位后唐福建先贤黄峭，三个妻子生了21个儿子，21个儿子又每人生了21个儿子，两代子孙就达441个。据说，他的子孙散布海内外现达两千余万人。
1692175690# #分享图片
1699058829# #中国散文名家走进南岳采风活动启动仪式
1694163846# #去你妈的《中国家庭报》！老子一个老报人，进入过中国记者林的一个老报人，这个什么狗屁家庭报，我连听都没听说过。一个狗屁无名的诗歌编辑，居然这么耍威风，你大爷的！弱弱弱
1701568909# #美国财经网站InsiderMonkey以各个经济体2023年人均国内生产总值(GDP)为基础，发布“全世界最富裕20地排行榜”，排在榜首新加坡人均GDP达15.7354万美元(约合21.4826万新元)。
1696564912# #唐僧给孙悟空念的是哪六字真言？。教育住房医疗教育住房医疗教育住房医疗教育住房医疗教育住房医疗教育住房医疗……
1702874097# #
1691679982# #李叔同圆寂前最后的手书：“君子之交，其淡如水，执象而求，咫尺千里。问余何适，廓尔忘言，华枝春满，天心月圆。”
1702640223# #局势似乎越来越明朗了：美国意在拖垮俄罗斯，俄罗斯的意图却在拖垮美国和欧洲，乌克兰夹缝中求生存却成了大傻逼。冬天来了，大雪纷飞，现在各方都收不了场了。
1703849660# #蓝雁乐队金钟大雁城跨年音乐会
1687140824# #赵本山儿子赵大牛公司开张轰动天下，人们随礼超过想象：大牛妹妹妞妞随礼1000万元，沈阳首富随礼2000万元，据说还有某人随礼15000万元。看清喽！这可是是以万元为单位啊！却没想到有人浑水摸鱼，随礼一个空盒子，现场一度尴尬。真是啥事都有，啥人都有，只有我们想不到的，没有人家办不到的。
1703218923# #确定没有见过这个衡阳小姑娘。。2023年的衡阳面孔。。百度一下，才知道她是当今中国芭蕾舞界的扛把子，年方23岁。。宁珑，家在衡阳市珠晖区，估计老家是衡南县硫市镇。
1698813535# #收到著名军旅诗人刘起伦兄寄赠新诗集《月光正照着沉默的诗人》，题词：“我们都是衡阳人，衡阳人都是好人。”P101有《在石鼓书院遇诗人甘建华兄》，深谢！
1691832919# #莫言说：“闯荡社会几年，你就会明白，没有背景，没有机会，没有贵人，老实说很难成功。不是靠几句鸡汤就能成功的，成年人的底气，都是钱给的。人和人之间的竞争，表面上看是房子、车子、票子、面子，实则核心竞争力是能力、资源、人脉、圈子，而本质竞争是思维、认知、价值，还有人品。”
1693622757# #《周敦颐&lt;爱莲说&gt;与衡阳渊源》，见于今日《湘声报》钩沉版头条。icon网页链接
1691730592# #【新华社名老记者赵淮青先生事略】。赵淮青，原名赵修身，山东潍坊市昌邑县人，生于1931年3月11日，卒于2023年8月7日，享寿93岁。。1953年毕业于山东大学中文系，分配到新华通讯社西北总分社工作。翌年10月，西北总分社解散后到甘肃分社，兼任甘肃、青海两个分社的摄影记者。1955年仲夏进入柴达木盆地采
1688208290# #青海山上长草了
1701601716# #谁曾是生活的不幸者，谁就有条件成为文学的幸运儿；谁让生活的祸水一遍遍地洗过，谁就有可能成为看上去亮光光的福将。当生活把你肆意掠夺一番之后，才会把文学馈赠给你。文学是生活的苦果，哪怕这果子带着甜滋滋的味儿。　　
1697093756# #以我今日对于船山先生王夫之的认知，发现载于6年多以前《湖南日报》湘江周刊头版头条的拙文，并没有任何不妥的说法和文字错误。更为主要的是，我没有像某些船山学者那样胡说，故意伪造毛泽东的话：“西方有一个黑格尔，东方有一个王船山。”毛泽东崇敬王夫之是真的，但他从来没有说过这样的话，这是民
1700615939# #第一次看到左宗棠的上彩照
1692771679# #某人的《海子的德令哈》：“你淋过的雨，我也淋过/你去过的远方，我早已抵达/在同一片戈壁相遇/拥有同一条河，同一个草原/我们以诗歌互相辨认对方“。呵呵中！
1703223568# #应该贴一张到南锣鼓巷8号
1688111296# #凌须斌探望本家雪豹“凌不服”
1690411333# #摆渡车上见一中年喇嘛，带着一副眼镜，文质彬彬的样子，说是青海果洛藏族自治州查朗寺僧俄保，生于1970年，是寺庙的教师。。查朗寺相传是格萨尔王宫所在地，属藏传佛教宁玛派寺院，奉持西藏佛教前弘期所译经典及其修法。清光绪二十一年（1895），由朗智班玛·朗多合嘉措创建。。俄保说该寺现有喇嘛三百余
1702392817# #南宋隆兴年间道士陈田夫曾撰《南岳总胜集》，清代大藏书家孙星衍序中说：“南岳多古志，率皆佚而不传。隋《经籍志》有宋居士撰《衡山记》，《太平御览》引徐灵期《南岳记》，宋《艺文志》有卢鸿《衡山记》、钱景衎《南岳胜概》，诸书既（皆）不得见。惟有唐道士李仲昭撰《南岳小录》一卷，录入四库（全
1695695979# #1901年1月29日，光绪皇帝的改革诏书，，居然学着船山先生王夫之说话的腔调。
1688112301# #观察一只黑颈鹤
1687154207# #云南朱有勇的水稻上山惨不忍睹！老农说，水稻上山比嫖娼合法化的提案都缺德！现在的问题是，国家如何拿朱院士以谢天下！
1688012016# #2023青海湖国际诗歌节金藏羚羊奖得主澳大利亚诗人马克.特雷尼克（MarkTredinnick）发表获奖感言。
1688995099# #我们校友三人来到西宁市烈士陵园，在南二台南面第一排第六个墓位，拜谒1985年9月15日牺牲于老山前线的青海师大体育系1980级学长、西安陆军学校见习排长、全军一等功臣聂建青烈士。1985年12月30日《解放军报》头版头条转第四版大篇幅报道了他的英雄事迹。。去年清明节的时候，我在报纸上发表文章《忘不了
1699053623# #古镇南岳的早晨
1693720641# #在乡下，读海子诗歌。。我只愿面朝大海，春暖花开。
1698997297# #与谭谈、陈长吟、杨金砖、凌须斌、高亚平诸公游览南岳大庙。全国人大代表、湖南金牌导游曾春莲女士讲解。
1689218467# #中国四大之一、新疆历时最久的清真寺艾提尕尔
1696746979# #在南岳山上看望97岁的打虎英雄陈志学老人家。
1690449078# #德令哈机场离市区57公里，是不是有点远？这个是谁决策的？这是要建世界超特大城市的规划吗？
1689218514# #喀什博物馆的馆藏文物似乎不如若羌楼兰博物馆
1693212740# #以描写柴达木知名的两个散文大家，李若冰先生没有到过德令哈，现居青岛的朱奇先生也没有写过，实在太遗憾了。
1690980877# #今晚与众友人在西安大唐不夜城炸街
1698844734# #经济学博士李克强2006年书欧阳修《醉翁亭记》，羞煞了多少中国书协会员啊！
1703235815# #夕阳快要西下。生态公园
1695985354# #《石鼓书院的月亮》诗集衡阳诗人作品选（12人/12首），载于中诗网&gt;中国诗歌&gt;诗人方阵2023-09-29（
1702217056# #《2023中国微信诗歌年鉴》编竣即将出版。鲜花。主编月色江河，在下忝为编委。
1704022245# #2023收官之作。刚才接到《香港文艺报》主编林琳女士发来的这期样报图片，发表我写台湾著名画家李沃源先生的散文《德令哈得画记》。深谢！鲜花音乐
1693469301# #看到一个痖弦先生谈往事的资料，说是女孩子们发现拒绝诗人的追求非常困难。你说他太矮，他也不走；说他太胖，他也不走；说他太穷，他也不走；说他说话声音难听死了，他也不走，就赖在那里。但日子长了，女孩子们发明了一个一定有效、百试不爽的方法，那就是把诗人叫到眼前，正色曰：“我老实告诉你，
1690763879# #昨天下午，雁西先生赠我《两岸诗会（2011—2019）》，并有钢笔速写签名。他不仅是一位“情诗王子”，还是一位油画家。鲜花音乐作揖
1693022859# #湖南画家张超杰中国画欣赏。。张超杰，生于1975年2月24日，郴州宜章县人，现居衡阳。。2005年毕业于衡阳电大汉语言文学专业，2023年结业于中国国家画院刘云工作室。。湖南省美术家协会会员，湖南省书法家协会会员，衡阳飞燕堂画廊艺术总监。。国画《一唱雄鸡天下白》1987年获中国有色金属系统全国青少年书画
1690549430# #没有想到，今夜在德令哈海子诗歌陈列馆，巧遇海西州委老书记王汉民先生，他是我岳父的老乡，也是我岳父的老上级。调离海西州之后，王公曾经担任青海省常务副省长、广西壮族自治区常务副主席。图三右是海西州委常委、德令哈市委书记眭晓波，图四是德令哈市长王大磊。
1698649469# #十几年后，再次来南岳大山中探访上古神碑禹王碑，地在衡山县福田铺乡云峰村七组，中华最古老的铭刻竟出于此。。碑上文字因常年被雨水侵蚀和日晒大都无存，但我还是能依稀辨认出几个。。2011年1月24日，湖南省人民政府公布为省级文保单位。2012年10月18日，衡山县在此建立碑亭保护。.。我们今天还遇到了
1702192163# #观赏湖南省第五届花鸟画大展
1689485009# #再见，新疆！新疆的朋友很热情，新疆的气温热度也很高。。昨今乌鲁木齐42度，天山天池40度，吐鲁番高达70度，今天更是高达80度。。图片摄自天山天池新疆风情民俗园。。哈萨克语比汉语似乎要罗嗦一些？
1688266592# #参观中国藏医药文化博物馆。藏医早在公元8世纪就用各种医疗器械进行复杂的外科手术。。藏医学史上最伟大的医学家宁妥宁玛.元丹贡布活了125岁（708—833）。
1701433491# #与众友人来衡阳大剧院，观看湖南省昆剧团天香版《牡丹亭》。明代大戏剧家汤显祖名作，感觉比较沉闷，不如上次广东汉剧《花灯案》好看。
1690764381# #四天前，在德令哈市怀头塔拉万亩枸杞基地，现场边摘边吃了一斤有多的枸杞——味道真是太好了！许多人劝说我不能多吃，顶多只能吃15克，否则就会流鼻血。可我至今什么事也没有，可见有些话是信不得的。微笑
1700711834# #第1次见到这这样两个字
1695648330# #大诗人昌耀的孙子王汉风今年6岁了。瞧，长得多么帅气，是咱湖南人的种。
1694007322# #很想买一部，却说没有货。。9月6日产品-Mate60Pro。。🔹外观：6.82英寸120HzLTPO等深四曲屏、第二代昆仑玻璃、锦纤&amp;素皮材质。🔹影像：后5000万像素超光变摄像头+1200万像素超广角摄像头+4800万像素超微距长焦摄像、前1300万像素超广角摄像头+3D深感摄像头。🔹通信：卫星通话、灵犀通讯。🔹
1688595359# #鸡声茅店月，人迹板桥霜。。眼看着曙色从曹家堡机场四周弥漫开来。
1694607924# #东洲岛这棵栾树最美的时光。它是不是也在思念某人。已经许久没到这个岛上来了
1698131624# #在青海时经常听到那些陕西老乡说这三个字，今天终于确定了第三个字是这样写的：日吧欻。。那时听到最经典的笑话，说是西哈努克亲王来到西安，请教翻译怎么夸赞陕西人民，翻译教他：陕西人民日吧欻！
1696400810# #转发微博
1702179472# #在南岳朱陵宫。见乌桕与苦楝树。寻常花木。亦是山中菩萨
1687329705# #泉水江的荷花开了，美人蕉也开了。。自清末至民国，衡南县茅洞桥这一家可是出过十个将军啊！。段氏将军，魂兮归来。
1698282019# #晚清金陵大藏书家甘福：“吴山越水几遨游，四十年来费苦搜。插架非徒供秘玩，研经愿与企前修。香薰芸简频收拾，夜爇兰膏细校雠。从此老怀堪告慰，左图右史复何求。”
1687054828# #窃以为，中国新诗中写母亲最好的是娜夜的《母亲》，写父亲的则是李少君的《傍晚》。
1704088126# #吉狄马加主席元旦新诗：。。让我们为逝去的一切躹躬。无论它在事物的两端。是利刃镌刻的疼痛。还是内心油然而生的喜悦。昨天或许还在另一个。地方回忆。但今日已经如期而至。为了迎接你们。我已经在进家的路上。铺垫了清新的松毛……
1688999203# #这是晚上10点25分的和田
1690969440# #午间无处去，到西安文川书坊喝茶。
1695909062# #中国恒大在港交所公告。真焉？假焉？
1702172596# #转发微博
1689566178# #一碗衡阳粉，解我千百愁。。和平粉馆的碎肉粉。八块钱三两粉
1687617253# #惊闻衡阳老画家周振志先生逝世享寿84岁。。周振志（1940.1.8—2023.6.11），字懋清，号雁峰山人、奇山翁，室称奇山斋，湖南衡阳市人。。湖南省美术家协会会员，衡阳市美协第二届副主席，衡阳师范学院美术系客座教授，衡阳市湖湘文化研究会艺术顾问。。1958年考入湖南艺术学院国画系，历任衡阳市百花剧院、
1698825446# #今天下午，关于中堂的悲情，一篇读罢头飞雪。是记。
1699243937# #前昨三日，诸事圆满。。南岳所遇，皆好人也。。山上山下，风光旖旎。。满天祥云，阿弥陀佛。
1693967691# #1985年曝光惊动邓小平的青海省委办公厅副主任杨国英儿子杨小民“1979•2•27故意杀人案”，彻底掀开了青海政坛黑幕的两个湖南籍新华社记者邓全施（右）、刘金桐（左）。。这是他俩1984年1月在青海湖冰面上采访救援掉入冰裂湖中农民时的留影。。邓全施，生于1944年4月26日，湖南东安县人，现居海口。1963
1702874817# #三湘风纪今天官宣衡阳谢肃被抓，说其“身为党外领导干部，把党外当法外，毫无法律规矩意识，贪欲膨胀，长期‘靠规吃规’，与私营企业主勾肩搭背，将公权力异化为谋取个人私利的工具。”谢肃，耒阳人，原任衡阳市政协副主席、民革衡阳市委主任委员(兼)、衡阳市住房和城乡建设局分管规划副局长。
1697205016# #吾友桐乡王立，“浙西人物真难得，屈指犹云某在斯。”（龚自珍语）。今天又获赠其读书笔记新著。阅读中。
1690792355# #今日上午，偕友人杨海蒂、凌须斌、杨戈平、魏国海一行，再访阿力腾德令哈寺院，朗诵我7年前在此写下的诗歌，并行各种善举。寺院老住持年近八旬的曲力吞喇嘛，听说拙诗散见于中国大陆和台湾地区及日本、美国报刊，为他们做了大大的宣传，拉着我的手连声说：扎西德勒！扎西德勒！扎西德勒！。阿力腾德令哈
1698977598# #“文学名家进校园”谭谈先生南岳文定学校讲座专场《目标与奋斗》
1698217550# #转发微博
1692877825# #有没有震撼到？！
1703551259# #海子德令哈诗中的那个姐姐到底是谁呢？确定，或者不确定，甚至越来越不确定了。
1701407113# #欧阳斌调离张家界第十天，昨晚慨当慷之，作古风《归来，寄语庸城诸君（五首）》：。一、半百出征花甲归，八年相守忽然离。酸甜苦辣全打包，容我余生常相忆。。二、三千奇峰立天地，八百秀水酿佳句。老欧若遇才思竭，诸君请把白云寄。。三、开窗见天门，动步入武陵。八年好日子，得诗无须吟。。四、些小州县
1688704896# #第一次与回教教长留影。马洪财，海东市平安人，今年43岁，生有两个儿子。
1695776897# #大前天下午，从湘西草堂回来，途经市郊桃李江南船山文化公园，拍摄王夫子的雕塑，没想到居然拍出了这样的效果。本来是铁灰色的雕像，居然侧光拍出了紫气东来的颜色，完全是自然的光与影，真的神奇啊！
1695048759# #今天晚餐时分，听陈学阳说后才知道，家乡衡南县又出一个才女，今年30岁即加入中国作家协会。她是继民国时期衡阳唯一左联作家、红色女特工廖苓顽（笔名洪水，著名小说家海岩祖母）之后，宝盖镇福全村琉璃塘廖氏家族又一个女作家。。橘子宸，原名廖宸，出生于1993年4月27日，在国内读完本科后，赴美国波士
1702172671# #前天有人与我说，湖南当代有500个他看得上的学者，我说要去掉一个0。光是一个船山学社，真正有学问者无非是王兴国老先生几位而已，不出一个巴掌之数。
1688078180# #在2023青海湖诗歌节上与外国诗人留影
1687359596# #泉水江的荷花与美人蕉。——兼致段有慧博士。。瓢泼大雨。泉水江的天地。被洗濯得清清爽爽。荷花开了。美人蕉也开了。段氏家族的历史，再一次。引我步入古宅大院。深长叹息。。荷花的香氛，随大雨飘出去很远。仿佛见晚清湘军、抗日名将。相继打马而来。将缰绳系于门前的石柱。将军，微微一笑。凑近荷花跟前。深深地吸了
1699319838# #中国文化地理散文选本《茅洞桥记》部分作者甘建华、王锦芳、蒋南、谢冬梅、邓前程、罗诗斌、陈学阳，与湖南文艺出版社社长陈新文（中）、责任编辑耿会芬（右三）南岳留影。鲜花音乐
1693537672# #据说前天中元节，茅洞桥的草鱼卖17元一斤，而衡阳市区只有12块钱一斤。拎豆腐卖8元一斤，衡阳市区只有5元一斤。林隐假日酒店对面一个安徽人做的拎豆腐特别鲜嫩，已将茅洞桥拎豆腐甩出去几条街。。再说祁东县城足浴行情，也是衡阳城里人想象不到的。穿旗袍的VIP300元一个钟，普通的138元、158元、188元不
1693553240# #2023年青海湖诗歌节诗歌选——《刚察·诗与远方》正式出刊，收录57位诗人百余首诗作。有我《湖水幽蓝而又忧伤的青海（外三首）》。存谢！鲜花音乐作揖
1695799673# #衡阳廖庆友其人其画。祝愿先生一路走好！。。大前天（2023年9月24日）到湘西草堂，中午在衡阳县洪市镇吃某人别塾圆垛酒，想起当地画师廖庆友。拨打其手机号码，语音提示是空号，以为换了号码，当时也未作他想。。今天上午，向金石篆刻家徐军打问廖庆友，却说已于年前逝世。徐军转告其子廖洪广的联系方式，
1688789168# #戈壁新城茫崖市（花土沟镇）。我就是从这儿考上大学的
1687961102# #在那遥远的地方。昨天下午，来到青海湖畔刚察县城沙柳河镇，通过当地县委宣传部，找到王洛宾歌词中的藏族姑娘萨耶吉（以前多误传为卓玛、萨耶卓玛，1921—1949）的孙子尕藏才让（中）。今夜见面一聊，他居然是我们青海师范大学校友，现在是县纪委监委第二派驻纪检组组长。我们交谈甚欢，历史在今夜复活
1703467057# #昨晚收到《2023中国微信诗歌年鉴》样书，收录海内外诗人208位的诗歌。月色江河主编的又一功德。
1696769019# #2023南岳首届祝融彩灯艺术节玫瑰强。今夜风大，我和陈荣兄弟包场。。从此，世界上只有两种人，一种是看过灯展的人，另一种不是。
1692535161# #湖南诗人方斌（阳诗芳），中国诗歌学会会员，衡南县岐山联合学校语文一级教师，迄今创作两三百首诗歌，见于海内外名刊及网络新媒体。昨天，中诗网和新湖南客户端分别发布他写给我的两首诗。深谢！鲜花音乐作揖
1699146375# #中国散文名家走进南岳衡山采风团游览南岳大庙。
1698488612# #尼采：永远不要舍弃灵魂中那个心高气傲的英雄，一切从尊敬一事无成的自己开始。
1693577131# #揭开当年震惊朝野青海杨小民故意杀人案盖子的新华社记者是咱们湖南人。。1980年代前期，我在青海读大学时代最震惊的事情，就是省委办公厅副主任杨国英的儿子杨小民“1979•2•27故意杀人案”。西宁市城中区人民法院、西宁市中级人民法院一二审，皆判处杨小民死刑立即执行。但此案上报到青海省高级人民法
1698219556# #中国诗刊的第三种势力横空出世。如果你没有见过它，还好意思自称当代诗人吗？。《诗刊》《星星》之外，《文学天地•湘江诗歌》，今年出自湖南衡阳。。这本可以海内外公开发行的文学期刊，自我1992年回到家乡衡阳，只在郑州火车站、长沙黄泥街两处见过，它完全沦陷于江湖泥淖，让衡阳几代文人不齿。。天幸
1701127643# #莫言曾说过：在复杂的人际网络中，你与他人的关系，并非单纯基于你对他们的好，而更多地取决于你的实力和你手中握有的资源。
1697977432# #张宗秋以油套版画作品彭德怀、毛泽东、洛夫知名于世。2013年，他发明了手提版画机，获得国家专利，被媒体誉为“世界版画界的一次革命”。这个画家长得不是一般的帅，至少照片是这样的。。张宗秋，13875778789，湖南常宁市王家园南二区35号
1692498770# #石鼓书院绿净阁（合江亭）对联是清代名臣阮元所撰，当代大书法家虞逸夫所书，但虞书“奈何”之“奈”为“柰”，此“柰”为柰李之“柰”，错字乎？
1703848467# #《柴达木的藜麦红了》组诗14首载于《巴音河》2023年第3期“第六届海子诗歌节专刊”。。雨夜抵德令哈。漫步在德令哈金光大道。柏树山引。闻柏树山出现雪豹。尕海草地见两只小赤狐。阿力腾德令哈寺院。祁连山的鹤夫妻。大水桥遇雨。柴达木的藜麦红了。驼群走在都兰湖红地毯上。与一只岩羊的亲密接触。哈拉湖的野牦牛。
1703641113# #西川为燎原《海子评传（修订版）》所写的序言，简直比鲁迅还鲁迅，可见有些人确实是该骂的，而读到这样文章的人是幸福的。
1695462776# #请看新华社、人民日报如何报道1962年在长沙召开首次纪念王船山逝世270周年学术讨论会。会议开了十天，规格非常之高，但消息没有说中南局第一书记兼广东省委第一书记陶铸、中南局书记处书记兼湖南省委第一书记张平化出席会议，只提到中共一大代表、武汉大学校长、著名马克思主义哲学家李达的名字，也没
1701994628# #今年7月底，赴青海德令哈参加第六届海子诗歌节，回湘后写诗13首，并撰散文《德令哈日夜书》一组三篇，各得六千来字。其中《阿力腾德令哈寺院》一文，载于今天《海华都市报》文学世界副刊整版。这家报纸是美国发行量最大的华文报纸，每期发行量15万份，在全世界有着广泛的影响。
1688995143# #拜谒乌孜别克族功勋老人、柴达木勘探一号尖兵木买努斯.伊沙阿吉墓地。
1689045123# #拜谒乌孜别克族功勋老人、柴达木勘探一号尖兵木买努斯.伊沙阿吉墓地。
1703469892# #11月中国全社会用电量7630亿度，但当月全国发电量才7310亿度，用的电比发的电还多。。很多人就此提出疑问：凭空多出来这320亿度，总不可能是统计局用爱发的电吧？事出反常，必有猫腻。
1701174680# #此刻貌似视力1.6—2.0。但每天早晨醒来时视力都很模糊
1697471189# #今天终于坐实了，城投公司负债60万亿，恒大只排第三名。弱弱弱
1694745568# #日本《中文导报》再发《寺庙志》诗二首：《访心安寺不遇得榛栗归》《寻找绿竹庵》。感谢张石主编！
1699598754# #在三庆园德云社看相声。没有多大意思
1696594325# #第一次看广东汉剧。《花灯案》玫瑰。衡阳文化艺术中心大剧院
1694160106# #华为60还没到手，70就官宣了。。现在40的还能用，再等等看吧！。我们都是华为打工人。。我骄傲，请允许我说出来。
1694601314# #有一次，在很久以前，在波兰的一个村子里，我走在路上，看见一群鸭子在一个脏污的水洼里戏水，就陷入了沉思。我惊讶不已，因为附近有一条在桤木林中川流而过的清澈小溪。“为什么它们不去小溪里呢？”我向一位苍老的农人问道，他坐在小木屋前的长椅上。他回答：&nbsp;“唔，那也得它们知道啊！”（米沃什）
1693002787# #六十寿辰获赠名家书画，以年齿为序：陈文质、旷瑜炎、李清白、赖尚平、王永智、吴帆、阳先顺、张乐平、李竹华。
1699320635# #转发微博
1699852701# #冬日访圆明园遗址。。啥都没有了！啥都没有了……。剩下的，只有瑟瑟发抖的寒风。与无边无际的落寞。。福海游曳的麻鸭、绿头鸭。是不是最终都成了餐桌上的。全聚德烤鸭，无从知晓。。腰肢壮硕如妇人的垂柳。冬日里依然丝绦繁密，左右摇摆。一层层浪波，一朵朵火花。。芦荻成行，睡莲与枯荷风中零乱。高品质的大理石。经
1690704935# #在德令哈海子诗歌节，巧遇著名画家、中国美术家协会会员（北京）、中国美术协会理事长（台湾）李沃源先生，他在海峡两岸的许多朋友也是我的朋友。中国美术协会始于1930年代，发起人郑午昌、吴湖帆、张大千、徐悲鸿、陈之佛、张书旂等人，总干事王祺衡阳人，是唐翼明、唐浩明的舅舅。
1701064403# #武夷山下梅村古民居，来了没来都遗憾。
1697764618# #黑河两岸，中俄双赢。
1687793927# #西宁愈夜愈美丽，与南方城市似乎没有什么区别。发现吃烧烤的人很多，那些女子长相妖艳，多有异族血统。
1690539014# #上午到柯鲁柯风情小镇采风，原来是中国最大的劳改农场德令哈农场，现在成了农垦文化博物馆。这个最早的提案是海西州政协原文史委主任张珍连写的，那一年，我恰好来海西州参加建州60周年大庆盛典。看过墙上的照片才知道，以前传闻的那些国民党名将，其实没有一个在此接受劳动改造，都是一些没有什么名气
