1689300563# #羊羊：你说话怎么有口音呀？
1699532702# #看多了国外的超级英雄，咱们终于有属于自己的国产超级英雄了：“洗得清”大侠了解一下。有她在，妈妈再也不用担心别人泼我脏水了！快到京东搜索代号【小白鲸】，轻松get同款，国产漫威真便宜11月10日晚8点，京东11.1128小时最后抢购，错过只能等明年！！京东11.11真便宜
1689768537# #蚊子到死也没想明白，自己是怎么死的二哈
1702133729# #当你发现自己什么都做不好时，仔细回想一下，是不是因为这样...
1702968116# #原来香蕉是这样切下来的，这个“螺旋刀”的设计太巧妙了，专业的事还得交给专业的工具！
1695799273# #墨西哥一位妈妈在公园给儿子庆祝生日时，突然遇到一只黑熊爬上了餐桌，狼吞虎咽地吃掉了他们的食物。。。此时逃跑相当危险，惊声尖叫也会吓到熊，从而激怒它。妈妈只好把儿子抱在怀里，用手遮住他的眼睛...
1703055462# #热咖啡淋在巧克力上，心情在焦虑与治愈之间反复横跳...
1693707698# #牛牛：虽然听不懂，但感觉整个心灵都被净化了..
1699442203# #安妮海瑟薇22年的颜值变化史，她好像真的不会老的！
1690361673# #网友一家在院子里露天烧烤，隔壁的大姐就借着给植物浇水的名义，疯狂朝着他们嗞水...最后出镜的红衣小哥亮了，谁怕谁呢！
1693479020# #出生时被母亲抛弃的小牛牛，被农场主夫妇带回家和狗狗们一起生活，现在它认为自己就是个狗狗...
1701575684# #女友一直想养个狗狗，就这样念叨了两年，终于等到了专属于她的小宝贝...幸福得晕倒了！
1689557680# #街头吹笛子的老爷爷，拥有了一位忠实粉丝喵，安静蹲着好乖呀~
1698631595# #国外野生动物保护区里，一只35岁的棕榈凤头鹦鹉，它是这样吃东西的...
1696856177# #把孩子养成闺蜜是什么体验：妈妈带着14岁的女儿去做美甲，选款式、拍合照，怎么看都更像两姐妹...
1700287103# #身体有缺陷的小朋友们，用上辅助装备后，也能体验玩滑板的乐趣...
1704765184# #当你鼻子很痒，最后终于把喷嚏打出来时belike：
1694155842# #连狗狗都比你会打球...不开玩笑，是说真的！
1692709237# #把干在管口的颜料扯出来，有种奇怪的舒适感...
1697083218# #女友抓娃娃花了大概200人民币，结果一个都没抓到委屈得哭了...男友疯狂安慰：真的没关系！
1688132331# #哪一刻让你知道ta就是灵魂伴侣？小姐姐分享了自己老公点外卖的故事，遇到一个懂自己的人，真的很重要...
1702718900# #原来哈士奇不仅会拆家，还会带娃！小主人从出生那天就多了一个狗狗保姆兼保镖，一眨眼就陪伴了六年，这段友情还未完待续...
1693399593# #儿子悄悄委托画像师，把母亲和已故的父亲画在一起，母亲看到画像后的反应是这样的...
1697540819# #国外土味视频还原“诈骗局”：进群后发现，除了你全是托儿...
1700030796# #把家里当作动物园是什么体验~经常晒宠物的小姐姐KamyGrant回应网友的疑问，展示自己养的所有动物...可以售票参观了，不开玩笑！
1692255619# #乍一看还以为在安装地砖，没想到是在安装屋顶...
1690269079# #小姐姐买了个紫外线相机，想看看防晒霜、防晒棒、防晒喷雾、防晒粉，这些不同的防晒产品到底有什么差别...一起来避雷了！美出圈
1688044916# #长得像块石头的剧毒鱼，如果不小心踩到它，它的一排毒刺能穿透鞋底刺入脚掌，让人痛不欲生...来认识一下“石头鱼”。
1687787596# #三人合作操纵的老虎木偶，虽然一看就知道是假的，但扑过来那一刻真的让人害怕！
1692754161# #网友带着狗狗，去墓地看望去世不久的母亲。它明明是第一次来，却一下就找到了她...
1704637828# #墨西哥街头的特色饮料Aguasfrescas，由水果、谷物、花朵或种子与糖和水混合制成。看这些蜜蜂就知道，味道肯定不错...
1688997786# #网友拍到一只耍赖倒地的金毛，不回去，坚决不回去！
1692001916# #娃：今天不喝完这瓶奶，就是不给姨姨们面子了！
1696338728# #奇奇怪怪的高跟鞋测试，从某种程度上来说，他是真的厉害！
1695033347# #当代年轻人的逛街真实情况，看上的物品：100件，实际消费：0元doge
1700106658# #做完这个发型，出门前必须看天气预报，万一突然下雨就尴尬了...美出圈
1704174920# #把特效和脑洞结合一下，看起来好怪，怪有意思的！
1693032616# #网友记录自己从3岁开始画画，到现在的画风变化~进步好大，一看年龄发现人家现在也才16岁...
1692617497# #听歌版“谁是卧底”游戏，明明节奏不同还要硬跳，太难了...但是很好玩！
1695734191# #本打算饱餐一顿的鳄鱼，没想到遇上了一块“硬骨头”...我滴龟龟好险哪！
1699751592# #花栗鼠：我刚刚是准备干啥来着...算了，走了！
1703649345# #养一只粘人的蜥蜴是什么体验：要抱抱要贴贴，要抢主人嘴里的美食...它怎么做到又酷又萌的？
1694968032# #【嘉华云腿双绝月饼*640g/8枚49.9💰】。经典滇味🥮月饼，精致礼盒包装ok折6.2/枚。包含精致云腿月饼4枚+云腿蛋黄月饼4枚，甄选宣威火腿+上乘小麦粉+咸沙蛋黄等原料。。。咸甜适中，好吃不腻，嘉华的鲜花饼和云腿月饼是他们家的招牌，百年云南老味道，礼盒包装，自留/赠人均可。👇
1701227770# #一名加拿大男子去商店买苹果派原料，却“不小心”中了5000万加元（约2.6亿人民币）的彩票大奖。。。他想用这笔奖金买车买房，让家人们出去度假，但自己依旧凌晨4:30去餐饮公司上班，他表示如果自己离职了，部门将无法工作，公司会遭受损失。男子中2.6亿后次日凌晨准时上班
1703138031# #筐蛇尾，一种从寒武纪就出现的古老海洋生物，它和蚯蚓、壁虎一样拥有强大的自切和再生能力。很神奇的样子，就是扭来扭去让人有点不适...
1700491881# #戳视频感受一下高个子女王的压迫感~。。俄罗斯模特EkaterinaLisina身高205cm，曾凭借一双133厘米的逆天大长腿，打破吉尼斯世界纪录，成为“全球腿最长的模特”。
1689601900# #健身网红LucasLakutsin，208厘米的身高+295斤的体重，走在人群中妥妥的焦点，简直就是“行走的巨人”！
1693403615# #不爱你的人会觉得无聊，但是爱你的人不仅会配合你，还会超越你！
1690795535# #残疾狗狗拥有了自己的第一辆“豪车”，提车的仪式感有了！
1704794469# #哥伦比亚“黑白狂欢节”上的花车队伍，造型华丽奇特，仿佛把动画搬进了现实了！
1687848199# #现实世界里的“霍比特人小屋”，房间内的机关设计好酷，还有滑梯诶！
1697122507# #"干净又卫生"美食系列更新...就问你敢尝试吗？doge
1704270950# #不同金属板发出的声音，你最喜欢哪一种？
1700808709# #患有1型糖尿病的小哥，每天都要自己打胰岛素，起床就要扎针，饭前也要扎针...生病真的太辛苦了。
1699495340# #宝宝好奇地上手摸了摸：哇，原来芭比娃娃真的会长大啊！
1698197588# #谁能拒绝一只长着“爱心鼻子”的小狗勾呢？好可爱，想摸摸~
1694228351# #爱心小哥用遥控汽车装着猫粮，远程投喂流浪猫，车上的镜头也拍下了大家看到食物的反应...果然不管什么物种都有自己的显眼包！
1701247885# #93岁的网红奶奶脱单了，牵着害羞的新男友拍视频，还让粉丝们别担心，这是个可爱、绅士、身材好的靠谱男人！
1695122412# #女儿找了份兼职，妈妈知道后不太开心：“你不需要工作啊！”...请问这位妈妈还缺孩子吗？
1693379986# #沉浸式给纸片人化妆...小时候玩过的化妆小游戏，被她做成现实版的了。
1704443833# #爸爸给4岁的女儿当舞伴，在幼儿园班上表演华尔兹，小姑娘美好的童年回忆+1。
1689330479# #好勇猛的两只小狗，居然还用蛇来“拔河”哆啦A梦吃惊
1700531860# #网友拍到一只好玩的水獭，咻~打出溜滑咯！
1696736750# #如何优雅地吃到对面餐盘里的食物，大叔：？？？
1704645351# #【澳宝保湿沐浴露3瓶26.9💰】。线下一瓶都要30+顶，我们26.7到手3大瓶哇绵密的泡沫，洗完之后不会紧绷干燥，淡淡的花香洗澡的时候闻着很放松好喜欢趁好价囤上！！
1693579941# #负鼠妈妈背着宝宝们前进，结果钻洞的时候忘记“限高”了...喂喂喂，你的娃掉啦！
1692332126# #一只叫做Apollo的非洲灰鹦鹉，和它的训练者的对话...真的有这么聪明吗？
1688453550# #教练：你这孩子是油盐不进哪！允悲
1702565804# #20岁的时候觉得30岁很老，但是过了30才知道：我还很年轻啊！
1696864245# #参观游戏宅男的房间，随时随地发现“隐藏惊喜”，光是看视频都感觉能闻到味儿了...
1694830976# #蛙蛙：没有什么其它才艺，给大家跳个舞吧~
1704695911# #印象中，好像从来没有看见过这么“活泼”的树懒二哈
1698205180# #锻炼时对方如果抽出这样一把剑，阁下该如何应对呢？
1690542901# #小姐姐因为身体原因，需要靠鼻饲管“活命”，当她好不容易成功插管时，看到网上竟然有人用这样的方式减肥，震惊了...
1690182197# #扎马尾辫的人才会懂的烦恼....小姐姐表示：我真的不是故意的！
1691820356# #摄影师NikaRitshel镜头下的舞者~定格的瞬间太美了，极具视觉冲击力！
1704166876# #小宝贝的迪士尼之旅，见到米妮的反应太可爱了，每个瞬间都值得珍藏~
1699456872# #看到这样的街头小吃“油炸洋葱花”，你会不会想尝尝呢？
1692185056# #给小宝宝拍写真，工作人员老爷爷逗笑她以后马上闪开，哈哈哈好专业！
1703037827# #论身体的控制能力，墙都不扶就服你们三个。微盘点V笑年度大赏
1703581087# #当你被蚂蚁“咬了一口”，实际情况可能是：
1690873465# #小哥故意摆拍，随机气死一个遇到的意大利人...大家的反应很真实了doge
1695907239# #适合年轻人的解压方式：看别人收纳整理清洁...确实舒适！
1694402580# #“起床困难户”连锁反应装置，还有沐浴更衣一条龙服务，这也太拼了！doge
1697337378# #一对小情侣架着手机支架，准备来张海边自拍，这时一对老夫妻误入镜头...大爷：快看呐宝贝！
1696748510# #居住在北欧森林里的小姐姐JonnaJinton，教大家如何空手吹出空灵悠远的哨声。此时屏幕前，有人自信地握紧了双手...
1691231270# #怪兽一般的核心力量...普通人不要轻易模仿，估计也很难模仿得了！
1701434434# #不要在损友旁边睡着，不然你的人生会多出很多笑话二哈
1700539230# #雄性孔雀蜘蛛为了吸引异性，会使出浑身解数跳“求偶舞”，不成功就多跳一会儿！
1691418657# #7月29日，巴西42岁男子GaronMaia坐在副驾驶喝着啤酒，指导11岁的儿子开私人飞机，结果飞机在起飞几分钟后坠毁。。。父子两人均在事故中丧生，而男子的妻子，也是孩子的继母AnaPridonik，在两人的葬礼后结束了自己的生命...。。（素材来源：DailyMail)）
1692423966# #公主们的派对上，来了一只捣蛋的龙，大家快一起上鸭！
1703214070# #【澳宝香氛洗发水480g14.9💰】。澳宝香氛精油洗发露系列，有清新橙花香调。柔顺丝滑系列、馥郁鸢尾花香调深层滋养和淡雅小苍兰去屑净油三种功效可选。
1693550066# #摄影师小姐姐在北极拍摄时，被13头野狼“包围”了...代入一下，很刺激！
1697879565# #你以为是面造型奇特的镜子，实际上是一个太阳能打火机...
1696128921# #她在用一种很新的方式吃香蕉，让人猜不到下一步...但是竟然很想试试！
1702603224# #享受鸭鸭spa的水豚：对对对，就是这个感觉...
1693991877# #好丝滑的踢踏舞，这双脚灵活得像是新安装的一样...
1703342763# #别人家的猫咪都这么听话吗，乖得像一只假猫猫，情绪过于稳定了~
1692716942# #两只水獭正在享受主人准备的泳池和大餐，这叫声怎么猫里猫气的？
1698326579# #当你有个身高196cm的大长腿女友...明明男生也有180cm，但是站在旁边就显得格外小巧，这算不算是“最萌身高差”？当你有个身高196cm的大长腿女友
1687835768# #虫虫：你人还怪好的嘞，我谢谢你啊！二哈
1696252636# #低成本娃娃玩具生产流水线，工艺居然比想象中的复杂...
1698303228# #街头采访身高168cm的男生：怕不怕和高个子女生约会？
1695900269# #不小心弄脏地板以后，女人和男人的区别...真的是这样吗？doge
1695046732# #土耳其传统的山羊奶奶酪Tulum，包裹在山羊毛皮里制成。不要被外观吓到了，其实人家真的干净又卫生哦~
1702898756# #高中生：牛顿第一运动定律。。大学生：好神奇！doge微盘点V笑年度大赏
1700443316# #一起玩球的两个小家伙，智商可能处于同一水平线...
1698585556# #不同领口应该怎么选发型？终于有人出这个搭配指南了！只要发型选的对，显瘦又显贵....美出圈
1698895988# #失去听力的小哥，在这一天有了前所未有的体验...
1697985057# #活了这么多年，第一次见到给鹦鹉挖鼻屎的...但是很有意义！
1703262522# #【爱普诗黑巧克力500g39.9💰】。🇨🇭瑞士原装进口巧克力🍫纯可可脂哦，一袋1斤110颗只要39.9‼️。。有微苦74%、偏苦85%和98%0蔗糖三种口味可选，浓郁顺滑，入口即化，减脂期也可以吃。👇
1697445735# #澳洲网友发现自家狗子被袋鼠欺负了，就想过去教训对方。于是他一怒之下，怒了一下二哈
1687761762# #小哥捕捞到一只带着卵的虾妈妈，顺手帮它清理掉了身上的藤壶，还在尾巴做了记号，避免它以后被误捕。最后把小零食安排上再放生，完美！
1687751169# #你愿意让陌生人剪头发吗，如果对方给几百块呢？。。有一位小哥同意了，钱也确实拿到了，但也在大街上“社死”了...
1704350091# #一起来跟着美女学化妆...打扰了，原来缺的不是技术，是这张脸啊！。。（TT:tarankaaa）美妆V赏
1689585412# #网上的化妆技巧vs现实中模仿操作，怎么和视频里的不一样呢？美出圈
1700663656# #【西肴纪脆皮火山石烤肠*20根24.8💰】。原味、黑椒味2种口味，还有混合装可选。安心肉源，≥80%含肉量，精心配比，不添加大豆蛋白，肉质饱满，鲜嫩多汁，烤箱/煎炸/空气炸锅制作均可。
1694786256# #为什么不熟悉大海的人，千万不要擅自下海，视频中的女士甚至只是站在海边，都差点遇到危险...
1693573127# #脱口秀小哥演绎“庆祝进球”，真的像开了慢放特效，他明明人站在原地没有动，却有种绕场跑了一圈的感觉！
1695288682# #网友演示如何在意大利街头喝饮水喷泉，结果翻车了...此时来了个善良路人示范了一遍，再试试...还是差点翻车！
1704720507# #发现有一只被异物缠住的海龟，两个哥们儿二话不说就跳下去，解救完大家都松了一口气...
1700636467# #左边是20年烟民患病、患癌的肺，右边是正常人的肺，做个简单的实验看看对比...
1688799540# #用一杯汽油，就能轻松除掉马蜂窝？来看看网友们的测试结果...
1695892294# #和闺蜜退休以后的养老生活belike：
1692605698# #头戴式耳朵自动清洁设备：按一下按钮，就开始边冲洗边抽吸，5分钟就能去除耳垢...（高能慎点）
1696935923# #用针扎气球，气球不一定会破哦！假如来这个诊所看病，你会选哪个医护呢？
1689317946# #一个人就是一整个乐队系列，评委和现场观众都看呆了...
1688565462# #陶艺制作失败合集...很烦，相当烦！
1699322377# #狗狗平时没什么爱好，就喜欢拿平板玩游戏...好怕它把屏幕给按爆啊！
1689688772# #幸好拍到了视频，不然都不知道手机是怎么丢的允悲
1697112988# #“圆头圆脑”的瑞士牧羊犬Odin，带你环游田野雪地森林，跑嗨了主人抓都抓不回来的那种~
1694603873# #最近火到国外的轻松画眼线教程，一定要配上这句中文口诀才行：1，2，3，滑走！美出圈
1692797226# #养孩子的崩溃瞬间从头发丝到脚指甲盖，一块干净地方都没有...人麻了！二哈
1700665412# #比一栋楼还大的西瓜，做成多米诺骨牌是什么场景...佩服艺术家们的想象力！
1695303202# #从鳄鱼肚皮底下穿过是什么体验...虽然隔着玻璃，但还是害怕极了！
1700740217# #爸爸陪娃的正确打开方式，不知道在家玩什么的爸爸们，可以学起来了~
1701869234# #有个犬系男友是什么体验：看到女主的那一刻，眼睛瞬间就亮了，心里的“尾巴”都摇起飞了吧！
1702292278# #4位理发师花了10个小时，才处理好这凌乱打结的长发，顺带还治好了女士长期的头痛。很难想象她的头发到底经历了什么...
1688826993# #现在连除草都这么智能了吗，精准、高效、还不需要用化学药品...
1693748800# #妈妈患癌需要剃光头发，理发师儿子亲自操刀，这绝对是他职业生涯里最艰难的一次经历...
1691045560# #天花板灯坏了怎么办，赶紧把自己喜欢的钢铁侠灯安排上。一层接一层的喷绘，最后装上的“电弧反应堆”才是重点，有点酷哦~
1692114724# #小姐姐和家里的大丹犬一起吃晚餐...乍一看还以为她养了匹马呢！
1693973504# #手工制作玻璃工艺品，压平、拉扯、剪断，都有种做糖果的既视感~
1694870609# #分手后还怀恋前任吗？清醒一点，你只是怀念ta带给你的感觉而已...
1703337341# #当你买了一辆公交车，沿路开到好友家门口“炫耀”，并且载着他们出去玩...这简直是泰酷辣！V笑年度大赏微盘点
1693792803# #给一群章鱼宝宝配音，可爱指数max！
1692106363# #幽闭恐惧症测试，艾特好朋友一起测测看，能坚持看到第几级？
1699535908# #制作几款不同口味的蒜香面包，看看哪个是你的菜？
1697524199# #这条“鱼”怎么长得有点不一样...哇，居然是海雀！
1694271250# #网友为了治疗银屑病，自己动手剪掉了所有头发...前方高能慎入！
1694586581# #即使是有经验有团队的冬泳老手，也有可能在冰面下迷失方向，幸好可以沿着绳子原路返回...太惊险了！
1689774343# #男子真诚地拍了个道歉视频：老婆对不起，我不应该在你的梦里去世doge
1704185485# #设计巧妙的圆环门锁，和插销比起来，到底哪个更实用呢？
1689405450# #意想不到的马桶水箱改造，厕所的氛围感瞬间就提升了，别说还真有点心动doge
1689912048# #像吃爆米花一样吃糖果~来看看用冻干机加工过的糖果：酥酥脆脆的，徒手就能捏碎...小朋友应该会很喜欢吧！
1694961187# #毛茸茸的狼宝宝学会嚎叫啦，麻烦大家配合一下哦！
1702118798# #小姐姐深情独白：我想要个男朋友，但好像又不是男朋友...她好温柔好会说！
1690256725# #娃：我已经给你反应的时间了，你自己没把握住那就不怪我了...
1688877964# #【Caramella中筒袜*4件8双￥28.9‼️】。卡通风、简约风、可爱风、潮酷风款式都有，面料是新疆长绒棉，吸汗透气不捂脚。。。限时秒杀28.9拍4件到手8双👇
1691035505# #当你只想简单理个发，却发现其他人都在这样做时：doge
1703155513# #澳大利亚塔斯马尼亚州的“网红海豹”Neil，因为经常爬上公路造成交通堵塞，被警察驱赶过多次。还喜欢躺别人家门口，赶都赶不走的那种...V笑年度大赏微盘点
1694357596# #恶劣天气下，驾驶舱外的能见度基本为零，飞机依靠自动着陆系统降落机场，整个过程看得人心惊胆战...
1700913018# #【啪啪通鲜虾片85g*3包29.9💰】。原味、海苔味、冬阴功味、烤番茄味共4种口味，线下超市同款，店里一包¥19.9的。用料配比科学，来自印尼捕捞大虾，新鲜食材，更佳鲜美，35%鲜虾投入，先用蒸煮工艺，保留鲜虾滋味，快速油炸，香脆可口，咸香大片又厚实。
1694593641# #社牛男子身披塑料勇闯时装周，要不是安保冲上来，估计不少人真就信了二哈
1689476307# #大阪海游馆工作人员打扫卫生时，遇到了一个“大麻烦”，处理不掉只好哄着啦~
1694091838# #当你想把气球带回家，却遇到大风天时...
1690386685# #昏迷16天后清醒的小男孩，哭着和妈妈拥抱，让人心碎的一幕感动了无数网友...。。巴西8岁男孩Guilherme患有罕见遗传病“大疱性表皮松解症”，又因为感冒发展成的肺炎而昏迷住院，妈妈一直在医院陪伴他。就在妈妈决定暂时先回家这天，昏迷16天的孩子终于醒了过来，接到爸爸电话的妈妈便急匆匆地赶了回来。
1699280693# #沉浸式体验：雨天坐劳斯莱斯是什么感觉，今日份微博圆梦任务完成（1/1）
1696312343# #第一次躺进妈妈怀里的双胞胎：以后咱们就是一家人了，兄弟我来罩你！
1694145792# #女儿在门口监控留下了“有爱”的留言，爸爸看完只有一个反应：该给摄像头消毒了...
1697980645# #5年前，摄影师AndrewMalcolm认识了大象妈妈Maenoi，如今又和象宝宝Sandy成了好朋友。。。这里曾是大象表演的营地，但是在所有人的努力下，它们已经重获白日的自由。为了安全考虑，它们只有晚上会被限制出行。
1689086342# #不知道吃什么？来看看创意美食博主VictoriaMinell的视频找找灵感吧，第一款卷饼就很心动，马住！
1704386925# #【西肴纪纯肉烤肠*20根24.8💰】。原味、黑椒味2口味。全新升级：无淀粉肉含量接近100%‼️肥瘦黄金比例，口感柔嫩，扎实肉感，肉汁四溢，胶原蛋白肠衣，久嚼无渣，柔韧有嚼劲，一咬爆汁，蒸，炒，烤，煎炸都好吃。馋嘴
1700058675# #潦草小狗理发记~选对了造型和托尼老师，身价一下就贵了！
1694575741# #因为天生长了一张臭脸/丧脸/碧池脸，就老被别人误解的感觉，谁懂！
1688040103# #小姐姐不理解为什么有人怕蟑螂，明明只要这样提着，它们就很被动了呀！doge
1695261474# #用一根香蕉就喂完了一排鹦鹉，大家也很守秩序哦！
1696836379# #一群蚂蚁搬运一只壁虎，一个视频感受团队合作的力量...
1693212160# #你看到的是一个井盖，但是在艺术家眼里，这还是一个童话插画...
1700798444# #用显微镜看看这些长期住在你脸上，长着八条腿的“房客”。别再说自己孤独了，还有它们每天陪着你呢裂开
1703775000# #身高193cm的英国网友，总觉得自己太高了而与大家格格不入，于是他决定去人均身高185cm的“高个子国”荷兰看看...
1695386741# #你有没有注意过挡风玻璃边缘的小黑点，是不是总有种想抠掉的冲动...但是千万别抠，这些小东西可有大作用！
1693131959# #起猛了，居然看见香蕉在游泳...其实人家是一条“柔裸胸鳝”！
1702307363# #真实的半夜带娃是什么样子：泡奶喂奶拍嗝哄睡，把这一套流程走完，刚躺好想眯会儿，娃又醒了...
1699941782# #观察自己的大便和尿液，和视频里的情况对比一下，你属于哪一种呢？
1693358960# #小狗狗不用上班也不用上学，就让它们继续睡吧~
1688719676# #摆拍可以原谅，但是拍完了不带走垃圾，真的无法理解...
1691160107# #天生毛发旺盛的小姐姐martinadíaz，眉毛更是惊人的浓密...还真是从小就这样！美出圈
1688266912# #当妈是什么体验，就是每天睡醒都有“惊喜”...
1696244350# #他的眼里好似有星辰大海，让人忍不住想多看几眼...
1694522078# #网友趁着爸妈出去度假，给家里隐藏了一些小“惊喜”...谁叫你们出去玩不带她的！
1695103535# #这些小小的虫卵/幼虫，长大以后会是什么样子呢...怕虫星人慎入！！！
1702176019# #小女孩敲桌子给电视里的歌曲伴奏。有没有音乐天赋，还真是从小就能看出来...
1697595154# #狗狗的钻洞挑战，随着关卡难度升高，狗狗之间的性格差异也表现得越来越明显...快放棕毛孩子过去吧，都急得要骂人了！
1688993183# #遇到异性就秒变夹子音，你身边有这样的人吗？doge
1691726159# #来理发店做一个面部“拔毛”，大哥的痛苦面具都出来了...
1704372916# #网友点披萨外卖的奇妙经历，最后结果就是家里多了一大堆披萨...狗：要不我这次多吃点儿？
1691136917# #在同龄人还在恶作剧的年纪，他已经学会温暖这个世界了...
1694135980# #原来养猫还是个体力活儿，一天天的手都拍酸了吧！
1694353584# #患有脑瘫无法站立的小男孩，在毕业舞会上，坐着和同学完成了一支双人舞...
1692084244# #网友在海上划着一艘透明小船，偶遇了一条举止奇怪的鲸鱼：它倒栽在海里，把尾巴竖在空中。仔细看，身边还围着一条鲸鱼宝宝...人生的奇妙体验再次+1了！
1690208191# #第一次看到这么大个的鸡翅，是不是感觉无从下口呢？按小哥的方法试试，一口下去也太满足了！
1687707172# #扎气球揭晓宝宝的性别，里面是粉色粉末代表是女孩，蓝色则是男孩。这个关键的任务就交给大女儿了...
1700479072# #终于找到“韩式服帖烫”发型的受众了，发质粗硬的男士也许可以试试？美出圈
1702556791# #老师们集体模仿学生，就是这股“欠收拾”的劲儿，太对了！老师们集体模仿学生微盘点V笑年度大赏
1693187816# #来看看专业人士切割玻璃，从头丝滑到尾，舒服了！
1691745082# #当小宝宝第一次打开电风扇...动画片诚不欺我，原来真有人的表情这么可爱！
1702443686# #网友童年时，和家人在房门前的水泥板上留下了手印。如今母亲离世五年了，她想拿回这块具有纪念意义的水泥板，但是房子早已转卖给了别人。。。说者无心听者有意，在她生日这天，男友居然真的把水泥板带了回来...
