1702219003# #一直都停留在abandon，哈哈哈哈哈哈
1700829465# #海上观音好多人！光是排队去摸佛脚就的排1小时左右，绕了一圈又一圈，每次你以为要到了，又绕远了哼排完景区内其他景点已无力参观了允悲纯靠小卡的吸引力让我一人多走了几个点二哈（小卡质量是真好！）那个50斤的印章，是在工作人员的帮助下才盖上，太重啦！允悲跑到海口来吃湘菜了偷笑哎呀
1701785700# #新专快来！鼓掌鼓掌
1702178870# #还挺有道理的偷笑
1703924441# #张杰超话张杰未你好吗跨年演唱会张杰下雪了杰哥真的有求必应！鼓掌鼓掌鼓掌18号许愿想听《立剑》立马就实现了泪泪泪还升级了音响设备（说我们值得更好的！），带来了冬天的第一场雪，叫了我“小宝贝”太开心太开心太开心！！！选择离这么近的小场馆（虽然票很难抢允悲）
1691329816# #哇哇
1704245725# #心心心
1697875856# #戚薇超话先晒晒太阳，晚上见挤眼
1703514582# #马上就去用起来鼓掌鼓掌
1687258459# #网剧当我飞奔向你超话。——你知道垃圾食品吃多了以后脸上会出现什么？。——笑容。哈哈哈哈哈哈哈哈哈哈哈。当我飞奔向你
1687150830# #鼓掌鼓掌鼓掌
1692752840# #相柳！相柳！毛球毛球
1690287236# #还有朏朏哇
1695101585# #哇哇
1687533863# #许半夏是最好的！！！！
1703939860# #还有一念之间泪泪泪
1699450554# #押一个寒假！阴险
1687532969# #鼓掌鼓掌鼓掌干杯干杯干杯
1692009852# #哈哈哈哈，学到了
1690366540# #抱一抱抱一抱抱一抱
1687693571# #哈哈哈哈哈，全逮着文韬薅
1704036620# #官宣会再有成都吗打call
1700491061# #
1703674742# #我们都该～yiai～yiai&nbsp;，忍～ren～ren&nbsp;，受～呜～喔
1687229676# #是我偷笑
1690779759# #刀刀致命泪
1690338766# #配！送花花
1692018039# #泪泪泪泪泪泪泪泪爆哭！今晚的眼泪都贡献给夭柳了泪泪泪泪泪泪
1693220133# #哈哈哈哈哈哈哈哈
1704032106# #张杰超话提前过年啦！新年快乐！打call打call打call
1692752928# #哇哇
1703947271# #哈哈哈哈哈哈哈哈
1692492191# #啊啊啊啊啊啊啊！新书来啦！鼓掌鼓掌鼓掌
1697293594# #许昕，还得是你，哈哈哈哈哈哈
1703993313# #你来成都了为啥不提前通知我允悲允悲允悲
1701307783# #等啊等啊等啊等
1703948262# #啊啊啊啊啊啊啊啊！白RAP！错过了一个亿泪泪泪
1694825589# #转发微博
1696241641# #哈哈哈哈哈哈哈哈哈
1698575379# #居然现在还能听到分身情人LIVE泪泪泪
1687655375# #鼓掌鼓掌鼓掌
1702822174# #送花花送花花
1693987565# #哈哈哈哈哈哈哈哈哈，原来那个倒立的是金繁，哈哈哈哈哈哈哈哈
1700359794# #一定要有一个好的结局
1698829224# #哇哇
1696034175# #哇哇
1697308951# #
1695480318# #抱一抱抱一抱
1698230086# #哈哈哈哈哈哈
1691809479# #嗨起来毛球
1700750582# #自己下的雪，自己收拾，哈哈哈哈哈哈哈
1703948785# #打call打call打call
1688080986# #放放:我的命也是命哈哈
1704248987# #张杰超话张杰2024巡演谁能想到16年“我想”世巡时的荧光棒还能亮打call打call
1703829319# #张杰超话天气真好！在去见杰哥的路上鼓掌鼓掌
1695480448# #coin小黄人惊讶小黄人惊讶
1695527255# #OMG！好意外的组合鼓掌鼓掌
1700916921# #哈哈哈哈哈哈
1703769447# #讨厌！为啥我要点开！哭死我了！！！！泪泪泪泪明天不想肿着眼睛见你允悲
1689581067# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1701154714# #哇哇
1701949684# #哈哈哈哈哈哈
1689306251# #还招人吗哇
1691113817# #太开心太开心
1696473130# #哇哇
1692352940# #哇哇
1691195590# #哈哈哈哈哈哈哈
1703652046# #啊啊啊啊啊啊啊！越来越近了，好激动！太开心太开心
1703564124# #这里这里！
1698480496# #快进剧组拍戏！！！！
1698485436# #好帅！
1703651966# #都回！嘻嘻嘻嘻
1703989599# #在想你！太开心太开心
1688869763# #心
1692425917# #去去去偷笑
1697086946# #鼓掌鼓掌鼓掌鼓掌
1703816970# #为啥没有全选选项坏笑
1687252412# #当我飞奔向你名场面安利放放希望奶奶再陪我久一点江宜小分队为在在翻垃圾桶找班费一让再让的每个人的存在都是有意义的姜个顾事的我想玩捉迷藏输一次等等等好多好多！亲情，友情，爱情都好好磕！问我最喜欢哪儿？我都喜欢！！！！送花花送花花送花花
1703687248# #29号去现场，31号看直播！直接看两场！鼓掌鼓掌鼓掌
1703921836# #是老粉听到就会哭的程度泪
1691458539# #来啦来啦哇哇
1703943043# #运动会，哈哈哈哈哈哈
1703921926# #抱一抱把我放在心上耶害羞
1703402491# #太开心太开心
1703922365# #眼镜一戴，有那味了憧憬
1703084788# #蛋糕蛋糕蛋糕干杯干杯干杯
1692170787# #新鲜的丽姐哇哇
1704166042# #哈哈哈哈哈哈哈，虽然心疼，但还是想喊你加班偷笑
1692497588# #哇哦
1698060184# #憧憬帅气！作揖
1702562749# #哇哇
1702794903# #杰哥，29号见太开心太开心
1703949980# #好好休息，明晚再战！太开心太开心
1702037290# #我的评分：星星星星星星星星星星。电影照明商店“我怕你忘了我，又怕你一直记得我”一整个爆哭！你穿制服好帅！
1693899698# #HotSummer！与今天的天气适配度满分
1703402257# #29号见鼓掌鼓掌鼓掌
1689478633# #心
1697187021# #啊啊啊啊啊啊！这配置鼓掌鼓掌鼓掌鼓掌
1700405139# #专辑小黄人惊讶小黄人惊讶小黄人惊讶
1687782627# #九思哥天下第一顶顶好偷笑
1690198681# #最后的反超6666鼓掌鼓掌鼓掌
1703049516# #想去哈尔滨看雪！❄⛄
1688960017# #送花花
1688358191# #跳进地理书的旅行好想去玩路极！！！！
1698224798# #啊啊啊啊啊啊！都看到啦
1697804618# #啊啊啊啊啊啊要哭死！错过了！泪泪泪泪
1702186382# #哇哇
1693889710# #夜色尚浅上大分哇
1703746489# #学不会！需要明天现场一对一教学！笑而不语
1693316266# #啊啊啊啊啊啊！二搭来了鼓掌鼓掌鼓掌
1690720581# #我
1703128599# #鼓掌鼓掌鼓掌鼓掌鼓掌
1687355666# #拽姐在在鼓掌鼓掌
1695480791# #🍋🍋🍋🍋这谁顶得住呀啊啊啊啊啊啊
1703930759# #心心心
1693962409# #终于等到啦！泪鼓掌鼓掌鼓掌
1687693724# #没想到每期的泼水节目都能创下一个新高度哈哈
1688131954# #校服到婚纱哇
1699510048# #看这里太开心
1698225170# #哈哈哈哈哈哈，看见我了
1687529233# #为什么不是许总泪泪泪泪
1704030475# #还会来吗？！！！太开心太开心太开心
1687523210# #哈哈哈哈哈
1695521429# #哇哇
1697088288# #泪泪
1690808470# #毛球毛球毛球
1688223048# #上千万，地铁，哈哈哈哈哈哈哈哈哈哈哈哈
1692021743# #啊啊啊啊啊啊啊！我最爱的煎鸡蛋🍳
1695521632# #颜值好高！鼓掌鼓掌鼓掌
1690679894# #大黑龙，哈哈哈哈哈哈哈哈哈
1704282737# #看这里！太开心太开心太开心
1698322796# #哇哇
1700229862# #啊啊啊啊啊啊啊啊！鼓掌鼓掌鼓掌鼓掌
1687592871# #啊啊啊啊啊啊啊啊啊啊啊！跳了昆卡
1697808821# #终于等来了鼓掌鼓掌鼓掌
1687528950# #💃🏻💃🏻💃🏻
1698473652# #真的很美！！！！哇哇今天亲眼见过的泪
1687523966# #送花花送花花
1697201803# #谁是成都头号玩家这里这里举手举手
1697089222# #期待期待鼓掌鼓掌
1703549872# #就知道会有鼓掌鼓掌鼓掌
1693891467# #哥哥一碗水端平了偷笑
1704067412# #心心心
1699495944# #心心
1697328817# #哇哇
1690270916# #啊啊啊啊啊啊啊啊！毛球毛球！太开心太开心
