1704430349# #陶波哥你懂的
1704393625# #我的期待值又回来了，剧情如果真是史，最起码老哥的演技和脸不用操心丰收了丰收了本人就是这么好pua的一枚，每天都在对着小乳鸽狂练腹肌，小乳鸽你还是顺利降生吧，这年头男女主都让我满意的剧真太少了，过阵子我去烧个香给咱剧组拜拜，踩踩有眼无珠的编剧小人奥姆
1702378325# #好搭，其实看到造型的时候有点想看你俩去拍个武侠剧了，丰收了可惜内娱没人拍武侠微笑
1703240816# #箭之所至心之所向
1703747723# #这仇还没复完么，老🕰️在不断重生，棒在不断复仇，你们腻不腻啊来点别的题材吧
1702829273# #生日快乐🫰🏻
1703251807# #妈耶，和我90%以上重合率的歌单吹风车吹风车
1704164325# #妈呀，这剧期待值拉满了吃馕吃馕吃馕，🐟的台词和演技真小花里的top了
1703586033# #50你这首发不保咯吹风车吹风车也有可能是山鸡太🥬了
1704479773# #大半夜我被吓死了，玛雅文明要堂堂复活了裂开疑问二二你还好吗奥姆
1703851627# #我真的想笑看书看书
1704282018# #咱们陶波真的有萌萌哒的队粉嘛我喷了，选上的人去乐山坐镇没看玩笑阴险
1703652293# #突然发现搞过的每个人都有点xfxy体质，还以为这次不会这样，这是真的完全糊不了啊汪洋海蓝比心有点啥风声一群人盯着看书
1704051917# #去看霉霉大电影我能把嗓子唱哑丰收了希望今晚回来的冻梨酱不会变成一只安小鸟
1704477879# #我磕cp:
1704598079# #吃馕
1702828630# #从23点开始就应该一直这么聊天了丰收了
1703353252# #我什么时候看到cywayby的动图能不笑啊奥姆奥姆奥姆
1703679750# #今年最爱逛依旧是踩，去年也是，如果我堂堂鹅太子还健在就好了看书看书每🈷️一思念，默。
1703742489# #感觉老霉a妹傻脸签了谁的男友更丑的对赌协议
1703309321# #水瓶座就是和金牛座犯冲，这辈子和我妈讲不到一起去，说东你扯西，自己有问题从来不肯承认的，嘴比门口的石头还硬，面子就这么重要汗汗
1703259591# #卓哥怎么这么爱卖萌鄙视鄙视
1703953509# #fo子你被销户上身了么微笑微笑
1704382083# #大大的预感啊吹风车吹风车
1703225211# #很帅啊禾晏将军吹风车吹风车
1702882964# #谁又附体早期熊猫姐了啊，赶紧把前阵子修图的🐼姐绑回来丰收了丰收了
1703593750# #如何让我的小红书刷不到大帽子的路透丰收了丰收了
1703386943# #粉丝能舔到🫓这种笑话也就粉丝能信了吹风车吹风车
1704100625# #草，看得我提心吊胆的
1703005312# #这俩破床单到底要拍多少经典镜头啊丰收了丰收了
1703423706# #延迟补一下王牌
1702377895# #死老癫能不能赶紧thx一下啊丰收了
1703569305# #藤井都装4了，死老碱咋还跳起来犯🗡️啊，真想没收库的转播权是吧丰收了
1704567336# #微醺老来得粉后，每次看到⛰️🌸出来麦就恶心得想吐，已经对白👟从当初爱得每部剧每个综艺都不落下，到现在看到任何刷屏的营销热搜没一丁点好感，糖送多少家都无所谓，我最爱会做饭的大厨了，多麦能让人磕到也是本事，觉得自己行了看不起别人用完就踢了可就恶心人了看书
1704477025# #打崩铁打得我要崩溃了，草拟吗这是人玩的吗，我带着银枝大哥芝士命途都过不去，我是飞五嘛丰收了丰收了
1704102298# #哦吼瑞兹
1703997712# #gkd啊
1703663302# #0-15
1703866763# #大哥，宁，咋改念上诗了看书看书
1704554775# #被偶的银枝伤害惊到汪洋海蓝比心汪洋海蓝比心汪洋海蓝比心虽然是黄金世界吹风车
1702925546# #想都不用想就是水先生。。毒素入脑っ̯&nbsp;-｡
1702866852# #深夜无聊的时候最爱干的事就是抽查gc吹风车
1703744060# #居然备案了看书看书
1704088961# #能让bsyy找到工作你们每个人都有错丰收了丰收了
1703260269# #说的没有任何毛病啊。但凡潜心研究演技，你可以说公子羽人设一般但是绝对不是你呈现出来的傻帽样儿，带感人设的谢危也演得像个反派，面部五官乱飞，皮肉松散，眼神空洞，看女演员眼神毫无波澜，无缝进组再多剧也爆不了一个
1703901201# #周末了，随便抽部剧审判一下，看会繁城之下。
1702986302# #家家有本难念的经融化融化
1703783846# #看到圆神的沙皇也很臭，瞬间就平衡了
1702721023# #德杯能出线吗，老哥哥们丰收了丰收了
1701956064# #玄学糖和🐢糖真的是CP毒药，当然cywayby的整活除外
1703508362# #好一个螺蛳粉中单看书看书看书
1703217432# #这条专门对你说的呢，听到没
1703786833# #在原里歪的小保底，崩会补偿回来，感恩❤️
1703161837# #现在还有几个人真心关注灾/情哦奥姆
1704039906# #好好好，发财汪洋海蓝比心
1703512355# #大b短期内回不来，你不用那么慌张哈丰收了丰收了
1704565231# #死期将至里的演员，不管好坏，面相都一股八零味微笑微笑一撇嘴一下子好刻薄奥姆
1702781187# #人人都在花渣炒，只有偶们金悦乳鸽被喊打，谁的问题汪洋海蓝比心说翻炒也就算了，说没嬉皮感也太幽默了吧吹风车闷耶耶垒垒拉扯几下就让人想尖叫，都不需要亲亲
1703833696# #今天是个大好日子啊，我讨厌的人终于滚蛋了
1704514399# #开看死期将至
1703163970# #怼脸也超美啊，如果朝雪录的🫓真的传到你的话，那我期待一下（）
1703478739# #广寒哥的杂志图愁的我想吐槽都不想转发汗汗
1703767676# #这年头可怜吉他也要做三陪汗好脏
1703473557# #小小乳鸽一部戏，服饰横跨好几个朝代，还分天上地上的丰收了丰收了虽然我看剧的时候压根不会看衣服，但是很油麦，比敷衍还糊弄，编剧你最好是能把一些争议点给我改掉了，否则否则我只能一怒之下又一怒了流浪地球2流浪地球2
1703415771# #别整什么老钟人不过🐏节那一套，学起来
1703150178# #今天啵啵么小柴奥姆奥姆
1703650259# #先让我抽到的丰收了丰收了丰收了
1704296450# #冰冰又100%参团了，你农的顶流粉放过带水子吧，请去碰瓷物资小姐
1704472555# #和朋友爽喷了三个小时教练，爽歪歪丰收了丰收了
1703782066# #咱捞唯一的哥哥流浪地球2流浪地球2
1704281493# #这个b内娱没有那个改编能力就别接这活，原创原创写不出来，改编改编得小家子气，恶心的都是闷倒霉观众举车只想看一部能看的剧咋就这么难
1701763654# #被饭圈裹挟的演员一眼看到头，不会以为过度眉粉是什么好事吧二哈
1704039882# #一想到今天有我们陶波哥的比赛，又激动又担心奥姆奥姆
1702733150# #捏妈的，情人桥的视频到底谁买走了啊汪洋海蓝比心汪洋海蓝比心
1703568872# #无聊的全世界网民看书
1703506072# #这一把关乎，《到底谁在C》
1702907393# #老摊和🐯🦷这活动真不如🐟的一根，极其敷衍，一天之内有幸经历两场应该把策划开除的直播活动我也真的是扶额叹息gif.丰收了
1703078704# #这种拉扯着搞暧昧真的太好磕了，不喜欢一顿互啃的那种
1704038769# #新年快乐咯汪洋海蓝比心
1702140237# #开饭吹风车吹风车
1703686183# #繁花开播看完第一集，感觉演技最好的是辛芷蕾和经理，还有马伊琍，至于剧情嘛鉴于题材问题的确有点难看进去，bgm也有点乱入，画面倒是一如既往的精致，很王家卫。
1703222051# #吹风车吹风车吹风车咱们观赛群里是啥人脉都有啊喂
1704008679# #我去？？
1703155502# #95🌸同期都松了一口气，先不说01和年轻🌸搭没有cp感，单就这题材实在是汗汗
1704032877# #陪着朋友看阿b的同时，时刻操心着垒垒是不是又电量拉满了汪洋海蓝比心汪洋海蓝比心
1703046525# #我们小乳鸽好不容易有点热度，又被人打回原形咯丰收了丰收了
1703066160# #在这么多崩图里选出来一张不肿能看的也挺不容易了是吧
1703843510# #红不红都是命啊，同剧出身后续跟不跟得上都是本人资质问题了，咋还有脸皮厚的抱着不放要带带啊奥姆奥姆
1704395210# #竞人们喜欢直播到三四点真是罪大恶极，宁们关心一下咱们大家的头发吧
1703694492# #私密马赛汪洋海蓝比心
1704165180# #我等
1703614496# #这个如此之显眼的丑帽子和明德弟脸上的肥肉一样让人杨伟。。。如果没有将是多么美妙的一件事
1702827486# #浪费了40分钟啊我敲丰收了丰收了丰收了丰收了
1702951724# #颤抖吧，你们的大科目三来了丰收了丰收了
1704101367# #希望是好看的汪洋海蓝比心
1702791023# #好好好吹风车吹风车
1703742668# #喜欢看悬疑探案的，不喜欢打仗的🫰🏻
1704008706# #新的丞田已经出现阴险
1703351210# #明天一天的任务:。宝藏行，声生不息，两场不知道是不是互相喂饭的比赛吹风车吹风车
1703483131# #护驾乐是不是在倒油啊，鉴于他脑子从未带过，可能是真信了去吃海里捞随便个人过来并排坐正常人都会没反应的，等50老了我一定卖你保健品
1701885719# #让大家都感到快乐难道不伟大么。。这句话写满了滔搏哥的名字。
1703866512# #也太健谈了点吧吹风车
1703501934# #这首歌我大爱汪洋海蓝比心汪洋海蓝比心
1704382920# #最近被小丑剧组都搞得都有点杨伟了，缓一阵子先，虽然确实铜矿很配举车
1703175728# #还有这事呢看书看书
1703119689# #还行，还是挺还原的吹风车吹风车
1704026070# #裘花的女儿长得好像麦粒和豆荚猫的结合体汪洋海蓝比心
1703644499# #这么突然？？
1702872938# #垒垒会眉粉了，欣慰汪洋海蓝比心
1703171004# #沈瀚能不能别删丰收了丰收了
1702977923# #眼神和须须都很会演吹风车吹风车
1704044810# #小哥哥走红地毯不可怕，可怕的是昨天刚刚正战绩的沙皇又悄悄地回去了泪
1702828783# #哥你的左眼睛看起来真的很凶汪洋海蓝比心
1703163655# #你也是大动物么，看到记得给我点个赞，估计也是小踩常客，不过可能没混进组
1701782923# #好幽默的奠，鳖，碧，乐了
1703519748# #麦粒一开口真的和你鳖的唱腔一模一样丰收了
1703143291# #吕匠心这小说到底谁在吹看书看书
1704394055# #甚至都可以当成bl磕吹风车男装扮相真是一点也不违和，辣菜一些把观众当傻子让剧中人当瞎子的女扮男装造型
1703492013# #妮蔻辅助，rank玩得还挺多的，先相信畅游
1703695146# #拒绝黑底金字就是一只好乳鸽😘
1704598737# #说实话，我并不想要这种上价值的结局，但整体还是好看的
1703067183# #纯子就是很美啊顶级小白花，演技好台词好，下凡多拍几部剧攒攒路人缘就好了，以后能合作一下也不错汪洋海蓝比心
1703761099# #汪洋海蓝比心汪洋海蓝比心我又成温柔mmr了，求你们了
1703992149# #他泰翻拍的魔法师还蛮好看的，和日版的风格挺不一样的，日版社畜味太重了也很纯爱，泰版比较轻松，最好给我搞纯欲，哎哟只要剧情无硬伤，CP还是旧的香啊，n搭了都。
1702826502# #尼玛谁给画的鼻影啊丰收了丰收了
1702734585# #我们晏晏珏珏怎么失踪了捏🥹🥹
1703562799# #也不是很担心魔改的问题，人设ooc的话淑芬会无差别aoe所有人，谁也别想摘干净，还好闷泪会对角色做阅读理解，还看了小说，有能说会道的嘴给角色反黑甚至润色，就是苦了我想看一部真正剧情说得过去，不那么俗套，能坚持看到最后一集不弃剧的心罢了，说实话雄竞雌竞都挺无聊，改成这种烂大街的争风吃醋设
1704281760# #萌萌几只汪洋海蓝比心
1702750086# #我的天呐汪洋海蓝比心汪洋海蓝比心汪洋海蓝比心汪洋海蓝比心这么香的饭吹风车吹风车吹风车我狂炫
1703135137# #🥣这造型和cxs里面有任何区别么
1703498066# #果然加戏了，那沈沐❄️还不如不删呢奥姆反正大家一起挨骂看书
1703507949# #hrxwagtl。gtlwahrx。奥姆奥姆
1701780801# #滔搏，一个永远不缺乐子的队伍
1703255549# #小柴准时直播吹风车吹风车
1703961781# #祈祷晚上一个完美发型和贴身西装，不要肥裤子不要皮裤不要在头上搭建筑物吹风车
1702684888# #谁能想到做了n年受复位的我，终有一天也会成为当初自己最讨厌的攻复位了丰收了
1703164034# #赢了一把就开播你好
1704044547# #新年第一无语☝🏻可爱
1704103928# #又送龙，这才是咱们陶波哥丰收了丰收了丰收了
1703996833# #为什么白西装配黑皮鞋啊，捏妈的奥姆奥姆微笑
1703742292# #这群俱乐部营业亏损也要割真心喜欢的粉丝韭菜是吧，一个线上con居然要40刀揣手
1702892658# #冰冰最近的状态还挺好的汪洋海蓝比心汪洋海蓝比心
1703681942# #多年深耕各类bl麸剧的我没入恭谷这对设定在今年影视剧里比起来还算不错的（吊打我年初小磕一下的扮相丑台词水🐮但关系好的猴驴和尸僵半截入土重播无望但依旧认识的伯伯又姨姨）坑的绝大一部分原因就是小锐锐太稠了。刚刚点进直播间丑得我一激灵，到底是谁离开矮4没法看，别再手拉手贴贴了哎哟喂
1703659032# #现在拍剧，一个好的人设就已经领先一步了，反之则。
1703121715# #白色巨塔如果放在现在播，那将会是会让人磕得死去活来的一部bl啊汪洋海蓝比心汪洋海蓝比心理想的两种样子，唐泽叔真是帅惨了
1704382453# #请保持跨年夜或者铂爵妆造就ok吹风车
1702808621# #看了一下三石今晚的状态，我宣布磊叔这称号易位给他了
1703167831# #和伟作不相上下的难听，一首平淡无聊的歌，听完就会移除列表的废曲，老周n年前随便创作的一首都比这强上百倍
1703820768# #不知道素谁滴亚飞对着龙坑空大看书看书
1703519329# #删掉了林双鹤这个角色已经很赶客了，包括把侄子和林两个性格完全不同的人强行捏合成一个新角色，宋陶陶本来是和女主弟一对，删了和侄子一对，戏份多少其实无所谓，小说的原本内容和人设起码要立住啊，双箭头的线改成摇摆不定，今年那么多被吐槽的剧，很多类似的俗气改法，编剧是真的不长记性看书
1703215177# #点你呢丰收了丰收了我也要小视频
1704001412# #销户你就安心去吧
1703496793# #okok,期待今晚69对战黄神了👌🏻
1702751226# #幸福了吹风车吹风车吹风车
1702878864# #一小丫轧戏咖衮粗
1703682655# #来审判一下大导的繁🌸。
1703743459# #农搞这些还挺上心的看书
1703173368# #可恶的gxs，rnm！！☁️之☔里jio不是被骂就是被骂了。
1703387160# #哎哟，小兲也是看牙批二哈
1703667759# #这能过审？看书看书
1703164454# #米桑什么时候动动啊，粥批圆批szd，角好米坏。营收都赶超kpop了咋还装死
1703584464# #这么一看也看了挺多的，怎么一点印象都没有了
1703118945# #还没甩掉叔叔呢，就接着被喊舅舅了，李明德你但凡减减肥呢，影响人嗑药了哎哟喂。晏晏还冒充你，都特么能装下两个耶耶了丰收了丰收了识破身份这里能不能改改，原封不动拍肯定要被审判的奥姆
1703126459# #？有这么隆重的场景么浪
1703423431# #虽然你bp又臭又烂，但是这话说得一点毛病没有啊，换成看尺一儿了真看不到一点赢的希望看书看书
1704393092# #这俩人咋能这么幼稚的啊举车举车萌点好
1702635510# #汪洋海蓝比心汪洋海蓝比心开饭
1704394964# #德杯冠军之战，到底是此生仅有的孟获翻身做主人还是继续丞相十擒，看似昔日大小王烩面看吐了的老碟，实则左手小育23一整年的呼吸权证明战，谁在独c谁在坑谁软糯谁自强汪洋海蓝比心
1703860202# #这活动真是一分钟都不想看，有比赛要打的人哪有空陪着失业群体搞情怀啊汗还有一分钟请结束
1703416450# #外面冷得要死，屋里热得要死，点杯冰咖啡，鸡条启动！
1702992425# #离开赛还有十万八千里呢咋就开打了，能不能先把今年的虚假和平一起演过去，老哥哥们（加小奶油版）每天疯狂rank肯定想赢啊丰收了丰收了
