1691256721# #这两天在疯狂带娃中…。（新做的美甲💅那个黄色的腮红像小龙虾没咂干净的气💩）
1697215025# #全勤了一个礼拜感觉已被掏空今天特别特别特别累！希望明天我满血复活！晚安！
1694883890# #做小卓玛啦！这次微博先看～
1703257599# #嘿嘿回来啦大家冬至快乐🥟
1700912700# #芜湖！吃完早饭火速出发。麻辣烫吃了卡旺卡喝了红皮鸭子斩了小高米线喝了詹记买了红豆酒酿咪西了。回家！！
1694146465# #昨天受爱国情过熏陶过于严重晚上做梦被间谍抓走向祖国发送信号最后成功解救大家把我累够呛
1703099236# #🎄最近的一些碎片～～。p1-3给妈妈过生日我竟然也收到礼物！哈哈哈。p4-6给大家准备的也有我收到的💝。p8-9面包面包。p10小尹和这个特效好像呀。p11像过年了。p12圣诞装备已备好🎅
1693485451# #跟你们分享下两斤的大可颂🥐哈哈哈
1694442997# #恭喜！
1703684606# #探了探最近南京新开的店明天来看视频🎬
1690897472# #到家整顿差不多了我去p青岛的图片了哈！等我p好大家发
1693247576# #本宫的睫毛技术修炼已炉火纯青（但是我大小眼苦涩
1688477600# #这两天挺忙也挺快乐～
1699885965# #怕你们等太久我来整理小帆今天买了啥
1697545889# #p过的固然好看但是我更爱live的灵动！
1697782782# #南京好大的风啊一秒入秋所以…该去买秋装了（带行李箱是为了装做我是拿货的嘘）
1701513035# #谋福利来了三个～～
1702276488# #凌晨四点还在玩植物大战僵尸二哈
1702366860# #去徐州啦评论区收集一波吃的开学季。等下要不要看直播？还在考虑中！。（这两天尊的没干嘛把库存发完了哈哈哈昨天去剪短了头发刘海有点瓜）
1693892877# #出发咯～～
1700288005# #抵达衢州！！真的有点辣的我趣
1698812720# #朋友们我发现和我最适配的季节竟然是秋天🍂呐泪可惜他太短了昨天走了一天明天给大家出一期金陵秋日攻略！我感觉我设计的路线可完美了哈哈哈哈！对了今天想几点看直播？！下午两点还是傍晚呀！
1694578918# #自从我们回来每天黏着我们要摸摸有小猫好幸福🥰
1689621707# #西安旅略来啦小帆环游世界记
1703323108# #我们带奥利奥去趟医院今天晚点更新bb们～
1689100881# #震撼的我发颠！！长恨歌
1692107464# #来了来了！小帆今天买了啥
1696647432# #闲着无聊又是一期plog。p1准备回南京咯。p2我也夜市给大家买的礼物！。p3刚到南京就看到这个哇好科技梦幻。p5奥利奥又挨骂了。p6淀粉肠追着人踩奶可爱死啦。p7喜欢的被套舒服的想死。p8拍了一期开箱想看的举手。p9双眼皮被我贴出来了！
1697255410# #我重生了穿越到一个自律女人的身上早上八点起床去淦普拉提
1699441965# #快要离开了好不舍！！今天吃了好多好吃的嘿嘿还买了特产你们猜猜p2一床花了多少钱
1694322736# #演唱会ootd！出发周杰伦天津演唱会
1692365046# #czy用相机拍的这一组原图直出一下妈呀他可以去路边打工了
1701663782# #我重生了看看我昨天都吃啥了哈哈哈～
1697600203# #一画淡妆czy又要夸了
1695216603# #宝贝们俺空降杭州了～来给大家拍秋装档口嘿嘿今天请假望批准！！
1695821816# #来了来了小帆今天买了啥
1700647467# #预告一下！今晚发小抖婚纱照
1695552917# #今天更新杭州面包哦～要晚一点啦等俺旅游回来这两天比较赖床苦涩然后下午出门拍素材啦我正在赶勒
1694102474# #预预预预预告！
1698150938# #昨天特别倒霉！所以今天加倍开心！！
1695701681# #演唱会穿搭四选一！薛之谦天外来物巡回演唱会你们看看哪个好看泪关于我纠结的点。1⃣️裙子很短2⃣️我也不知道好不好看hh3⃣️感觉和帽子不太搭4⃣️好看但太厚了。都不行的话我今天就要出去去买衣服了泪
1691644943# #昨天上了一节普拉提体验课。今天起床的时候感觉要散架了…
1704385236# #打卡第二天减脂。今天穿的和冰雪❄️贝儿一样哈哈哈。终于吃上了strongtutu那个炒饭好好吃。但是忘记点蔬菜了泪泪。明天补上来
1696840914# #分享这两天的幸福！！🥰。p1第一张精修大家都看到啦～。p2给谦友粉丝准备的礼物💝还有现场捡的小飞船🛸。p3收到了一个粉丝宝宝的新婚礼物😭特别感动。p4剪完视频和臭猪出去吃饭啦。p5天气好舒服！。p6又喝幽兰拿铁了。p7小火锅小火锅！。p8露露送我的礼物开心死啦。p9每次收到粉
1693291848# #八月份包括旅游的穿搭还有小号开箱的🔗分享来啦小帆今天买了啥
1687788459# #耶！西安等我
1699688295# #好消息：回家了。坏消息：行李落北京了…。（第二天已经去取了哈哈哈哈真的很无语）。到家洗个澡凌晨出去吃火锅因为czy馋了看在他给我剥柚子的基础上兔子陪他一下。这两天南京真的好冷！！我每天都要睡十个小时怒骂
1700742288# #loopy来像您汇报！！🫡视频十点前弄出来。今天冒着好大的冷风（如图5）去盒马买到了想吃的甜甜圈🍩！！开心。然后又去打💉了（还好不忌口甜品不然我真的会哭）。肉蟹煲上的时候才想起来不能吃海鲜泪就一直在吃鸡爪。czy见状去给我买了草莓酸奶兔子。对了大家我买了新萍谷手机设备该更新了我这个
1692819799# #好吧…不忘初心又✍🏼攻略码到凌晨…
1701425106# #预计20分钟内开播～～哈哈哈哈我先来wb游荡一波（🔗什么的我最近集中整理呜呜太忙了等我哈）
1689104999# #不到半夜不想工作泪
1694276628# #今天的人设是赶早市的大姨和看江景的都市丽人
1694513112# #花絮微博先看！！婚纱照
1693737860# #姐妹们帮我上衣👕三选一。到时候配环球影城的大袍子穿的（绿色）
1688664171# #美美落地～
1691476161# #出门去拍南京欧包咯！。最近都是一个人好自在！
1696344488# #近期plog来啦！好几天没见咯。p1-4我去试妆啦终于有一张清楚的婚纱照片了。给大家看我的双眼皮哈哈哈哈好稀奇。p5-6我去我们当地买水晶啦到时候都是你们滴。p7俺们这竟然有古茗耶开心。p8感觉要到冬天咯暖乎乎。p9买了一大堆好吃的带回家等我弟下夜班给他吃。p10和小尹合体哈哈哈
1694405747# #《说好不哭》结果一整个暴哭
1701145462# #出门去拍民国版citywalk！
1697708158# #从医院回来洗个澡补觉睡了三个小时起床点了两份爱吃的外卖太开心辣！
1690122725# #小帆今天买了啥一些小东西小猪碗别买特别小其他都还可以
1692964045# #这几天也小忙了一下（今天的视频正在审核！给我加速！！）。p1出去吃饭啦🍚。p2姜姜订婚快乐。p3给姜姜买的订婚礼物。p4-5当我拥有一个破壁机。p6好喝量少三口。p7绿色套餐。p8好好吃的海盐卷！我买到了。p9最近的奥利奥很粘人哦
1701531695# #偶来啦是许昌啦～～猜对了嘛
1699204588# #长白山第二天！这个烧烤炒鸡无敌好吃！！
1702044078# #这次没鸽！小帆今天买了啥
1688265403# #早
1702985390# #今天在床上没下来一直在剪视频大小号同更～搞定之后吃一碗新疆炒米粉爽！
1693066168# #云南旅游攻略小帆环游世界记
1700062909# #长白山&amp;延吉旅游攻略长白山延吉旅游。视频在小抖剪的我头晕小帆环游世界记
1699973207# #汇报这两天🫡。拆快递拆爽了。这个八宝饭老好吃了。拍卤水火锅给米了哈哈哈不过确实好吃。和朋友一起吃自助一口气点了一百盘吓死人。我们都在唱歌陈兆言在这里看1988我也是服了。新美甲！秋冬款好看不。czy穿我的睡衣好像大姨
1698210440# #czy给我煮这个一共打了18个喷嚏哈哈哈嘎哈哈哈哈哈哈
1696859045# #还有啥要问的！快来！小帆今天买了啥
1689435594# #幸福的一天！期待下明天的vlog！我去p图啦
1699349917# #来延吉！我只做五件事。吃韩餐打卡网红墙拍延吉公主写真唱k看帅哥
1690483088# #青岛太美了我去
1693817518# #等了我两个小时到底是谁爱喝生病
1698986173# #启航了朋友们
1700386982# #衢州三天两夜结束🔚！。很快乐回家剪视频咯凤凰传奇
1703212440# #四点睡七点起合肥偶到了（后面的大叔我不认识）
1699524551# #p1在北京机场转乘吃火锅中…好爽😄。p2给你们看我在飞机上拍的雪美死我了。p3今天没化妆暂且成为熊帆。p4我倒要尝尝她们怎么这么爱和喝冰美式。p5延吉再见！。p6最后一顿顺姬冷面🍜。p7-8我去逛韩国超市了买了韩剧男主角同款冰棍就是老冰棍的味…。p9我们真的吃了很多外卖可以做测评了哈哈哈。今天vl
1688570446# #分享新鲜事小猫过生日～
1700597168# #最近的小幸福（明天直播有人来吗）。1看我全身都是tim熊！。2这个叫溜达腿猎奇了。3黑黑的芋圆暖暖的很贴心。4久违的喝了马五旺奶茶店真的太多了选不过来。6这个点外卖报吃还等了我一个多小时不过丝袜奶茶还是好喝的。7无锡宝宝给我寄的面包都好吃！。8土豆泥泥面尝过啦还阔以！。9我想激励自己减肥想写
1701976725# #💜嘿嘿～～
1698056189# #上车睡觉下车拍照
1694181452# #北京三日游🔚。下一站天津⛩️
1704292950# #打卡第一天减脂。今日饮食&amp;运动记录附上🍽️。还有小惊喜捏春游家族。一打开车门发现了czy给我买的卡皮巴拉三个！！哈哈哈哈哈好开心
1700659769# #才发了两个小时不到就收到了粉丝宝宝给我画的手稿好感动泪泪泪
1694775152# #还在审核宝贝们！可以先去📕！
1704099553# #当伴娘的一天五点就起了困昏了要awsl
1689947964# #昨天吃了四碗面😲今晚去健身房还债啦🏋️
1695391264# #今天有很多很多开心还有一点点滴难过
1692019682# #关于我最近一个礼拜都在干嘛
1687445624# #祝大家端午安康送花花记得好好吃饭
1704007882# #出发了友友们（我这衣服可以上春晚了）
1704041275# #太有年味了朋友们！元旦快乐🎉！！
1691059453# #青岛旅游攻略小帆环游世界记
1691409072# #p1兴致勃勃准备出门运动。p2看我今天伙食是不是很有那意思。p3当我到了健身房…。p4没办法我去看电影了好无语还买了爆米花🍿️
1702658953# #微博抢先看（这期估计19才能发哈～）
1704362614# #气死了想看的电影昨天因为时间来不及今天因为吵架都没看上不管了我等下剪完视频自己去看怒
1695094925# #一期plog📸️。p2终于喝到茶颜的这个柠檬茶了😭。p3雅克雅思新出的猪猪奶茶杯。p4我们去自己做戒指啦不难但是好丑～。p5咖喱快点（听说是和小李合作的店耶还不错辣咖喱🍛）。p6今天抖🎵要发的小号🎟️记得来看。p7收到了一堆发夹我要疯了现在开始想寄啥给小宝。p8新杯子显摆一下。p9昨天的两
1695294597# #买新衣服啦～微博首看！四季青秋装真的不便宜5555
1693926858# #笑脸麻酱吃上了
1696062702# #真的太真实的一场梦了泪泪泪薛之谦天外来物巡回演唱会
1703594743# #好啦～久等咯小帆今天买了啥
1699099178# #长白山第一天！！真的好多好多好多❄️哈哈哈哈
1698481297# #昨天不是去欢乐谷玩了嘛但是回来的太晚了一般我隐形👀戴久了会头疼睡觉前czy非要给我盖个🇨🇳（可能是怕园区👻跟我回家了哈哈哈）
1703426037# #为了化这个妆搞的闪片满天飞拜拜。淀粉肠跑去玩粘鼻子上了哈哈哈哈哈哈哈嗝。想吃的餐厅今天没吃到哭了我要。只能买个苹果🍎回家吃。平安夜快乐大家打call
1690543163# #在海边花99找路边摄影师拍的！原图！
1689005812# #剧透一下嘞视频正在剪明天发好多照片给大家看！！
1698656019# #我去！怎么就周一了我还说趁着周末直播的又鸽了啊啊啊啊
1702882140# #下大雪啦！！❄️我现在就化个妆冲下去拍照📸
1694935378# #参加面包节啦～吃不完的又是一顿剩饭盲盒哈哈哈（感谢小宝送来的奶茶）
1689598565# #我说出去citywalk。结果walk到夜市无语
1687716988# #顺利到达～～（看最后一张的地毯就是一个礼拜没回来而已泪允悲
1702902229# #下雪让我原谅冬天❄️（祈祷流浪猫🐶可以平安度过！！）。今天的饭都是吃czy准备滴表扬。p3是czy说给我准备的一个惊喜。悄悄给我买了一盒车厘子。知道价格的我原地去世awsl
1702469499# #吃爽了徐州
1697290285# #脱口秀初体验特别好玩哈哈哈哈哈哈好放松！
1688214155# #生日准备进度➕30🎉
1692445521# #今天去拍写真嘞累晕了我倒头睡到现在。现在出门去看丽江古城千古情。今天更新不了咯泪明天见送花花
1697821221# #终于‼️拍完啦拍了一座小山⛰️可以洗澡睡觉咯浅浅预告一一下子！（最后两张露露送我的裤子👖太好穿了！！）
1696953482# #在线征集我的南京高校大学生粉丝姐妹能带我进学校蹭饭的哈哈哈哈！我请客吃饭色最近要拍高校延续系列咯～想看吗送花花。我今天还吃了达美乐美滋滋！
1693320661# #还行吗老姊妹们
1690000753# #小帆今天买了啥我整理了七月份你们想要衣服🔗之后还有啥衣服想问的在这条留言哦我看到了就会再整理送花花
