1701072349# #谁懂这一跪泪
1703597862# #辛光超话苦涩刘诗诗任如意悲伤常华森李同光。我真的……虽然我们都知道🍋上不了台面的操作和下作手段，但每次看到都反复被创苦涩并不是在意戏份多少，而是原剧本故事情节明明更连贯，人物也更立体更饱满，大部分也是按剧本拍的，好好的剧本最后剪的……（看过剧的懂得都懂泪）如鲠
1702081107# #刘诗诗任如意是一棵树是可以独当一面的姐姐小狮子永远在💛刘诗诗任如意兔子刘诗诗
1701433494# #刘诗诗超话lss刘诗诗任如意兔子刘诗诗。南京的小狮子🦁来报道咯～
1703439841# #刘诗诗超话兔子狐妖小红娘竹业篇哇刘诗诗东方淮竹。希望真诚的人都能被真诚对待，期待东方淮竹吧～
1689653929# #姐姐～我啃啃啃啃啃
1702565955# #在被删删减减的剧情里刘诗诗任如意做到了最好任如意的自我觉醒
1702010108# #姐姐好甜～继续看起来刘诗诗任如意兔子一念关山
1701351693# #好看！！一念关山刘诗诗任如意
1701743149# #我喜欢的就是这样的她刘诗诗兔子刘诗诗任如意
1701439230# #任如意太酷了泪刘诗诗任如意
1691717327# #太治愈啦～
1693671005# #小🐥一直在
1701136281# #看起来～一念关山今晚开播刘诗诗一念关山
1688450551# #第几次了说吧三搭还是三胎
1699017401# #姐姐从未失手哇
1703046061# #人人公益节吴露可逃爱心驰援甘肃地震灾区小善意，大温暖。我在“吴露可逃爱心驰援甘肃地震灾区”项目捐款成功！和一起用善举温暖更多心灵！
1703575177# #辛光超话苦涩任辛对鹫儿到底什么感情。让你们浅谈结果一不小心谈了2000+好好好泪
1691080246# #斯哈斯哈哇妹宝太美辣！！
1694041783# #帅！！
1688486408# #吴露可逃超话🍑吴露可逃抱一抱星汉灿烂开播一周年。真的好快我们星子开播一周年啦这一路走来星汉剧组所有的工作人员都太不容易了但我们甘福已至感谢星汉让我们相聚在2022年的盛夏始于疑商陷于吴露这一年来有太多太多的感动与美好看到有关星子的一切都让人动容有关星子的一切都让
1700899659# #星子你终于又营业了泪星汉灿烂月升沧海微博视界大会
1690217107# #啊啊啊jeff好久不见的日常博💚💜
1695274095# #一念关山我真的狠狠期待了啊啊啊快播一念关山
1699024848# #中国风！！
1688396678# #jeff帅！！注意安全
1702567664# #我们小狗好真诚“那可是刘诗诗啊”辛光悲伤刘诗诗任如意
1699528060# #太美了啊啊啊啊泪露思生日快乐
1694168011# #吴露可逃超话🍑吴露可逃。“希望喜欢的人我爱的人和爱我的人”。“我的爱人家人”。谁懂这种感觉泪。我的吴露有在好好相爱。我的小情侣给我狠狠幸福！！
1701784256# #辛光超话泪一念关山师徒强制爱苦涩辛光。任如意×李同光。我们鹫儿是最坚定的的唯辛主义者悲伤
1695543306# #很喜欢看姐姐采访
1692807578# #吴露可逃超话🍑吴露可逃。谁能忘记去年今日杀疯了的824bgl和惊心动魄的那一晚啊泪我的小情侣！！
1695297993# #妹宝杀疯了我说泪泪
1701487304# #刘诗诗演技层次感爱上任如意真的好简单刘诗诗任如意
1694821233# #妹宝绝啦绝啦泪
1688398692# #吴露可逃超话🍑吴露可逃🐥星汉灿烂开播一周年。始于疑商，陷于吴露💚💜感谢星汉让我们相聚在2022年的盛夏，从官宣、开播再到突然提前定档，星汉剧组一路都太不容易，但幸好，星子甘福已至。与吴露相约，并肩而行，与星月相伴，共赴美好打工人比耶
1703398417# #正常人都能看出来在讲什么爱你刘诗诗任如意一念关山
1694944417# #姐锻炼成功了
1687965205# #这个家不能没有热恋姐泪
1688313053# #姐姐起落平安在巴黎注意安全
1688635496# #姐姐回来啦
1703565636# #刘诗诗超话兔子刘诗诗任如意兔子豆瓣乐子人票选最终结果。无脑空瓶离了粉圈无人在意，挺败感的爱你说到底还是看作品，看国民度，看影响力，看路人盘打call。希望真诚的人都能被真诚对待，抱走刘诗诗任如意咯～一起期待东方淮竹吧～刘诗诗东方淮竹
1689741712# #吴露可逃超话🍑吴露可逃。怎么说呢在一周年后的这两天21年的采访现在放出来有点子莫名其妙但我最大的感受就是：。舒服很舒服鲜花就方方面面爱的不行鲜花
1688465865# #姐姐抱一抱期待～
1688525960# #一周年快乐！！
1698479223# #吴露大家庭我哭s泪抱一抱
1703241546# #辛光超话泪辛光。按剧本拍的，拍了三天的大婚，最后剪的稀碎泪。明明剧本里的人物更立体更饱满，剧情也更连贯啊泪泪泪想看原片原片原片泪泪泪泪
1691284863# #希望大家都平平安安！！
1691514448# #无用的谎言好好看！！根本不舍得看完啊啊啊！！又要等7年…………
1699166161# #会动的磊子全力以赴
1702134006# #辛光超话泪辛光。刘诗诗任如意×常华森李同光。明晚！！我们师徒终于要相认了泪泪今晚的眼泪是预告给的泪泪任如意李同光师徒相认
1702216039# #辛光超话悲伤辛光。不是不是原剧本也没有这段戏吧看得我一愣一愣的他有什么资格评判师父和鹫儿之间独一无二的感情但另一方面又很庆幸感谢他让我看到李同光这么绝的镜头！！
1701877283# #妹宝捕捉镜头成功～吴露可逃
1701175402# #我吃的太好了刘诗诗一念关山泪刘诗诗任如意
1704447882# #刘诗诗超话哇刘诗诗摇滚歌姬。这么飒！我一度怀疑是不是把刘诗诗本体放出来了舔屏。
1699505962# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围影视音乐为《星河叹》荣耀推荐！为热爱加码，共同打造荣耀时刻~
1691669776# #妈耶我快把姐姐看穿了舔屏刘诗诗行走的山茶花
1692374182# #好看爱看哇
1699613485# #好好好泪泪泪泪
1703944184# #心软软
1689676175# #吴露可逃超话🍑吴露可逃。你怎么知道我是坚定的屹立不倒的7月党馋嘴。“星汉因所有人而灿烂”他超爱鲜花。“星汉因大家而灿烂”她超爱鲜花。有多爱呢就方方面面爱的不行
1688450518# #帅！！
1700814898# #帅过了
1699535277# #绝杀泪泪泪泪
1702624256# #小狗太真诚啦
1688492889# #吴露可逃超话💚吴露可逃💜星汉灿烂开播一周年。我们还会有好多好多个一年这是约定送花花哇
1699011348# #啊啊啊啊啊啊我疯
1695701832# #姐姐姐姐！！刘诗诗怼脸哭戏
1702892128# #吴露可逃超话苦涩吴露可逃。“公主请不要再看会让自己不开心的内容了”
1702915203# #刘诗诗超话lss刘诗诗如意此生五愿泪刘诗诗最好的任如意。又想到了好久不见的SSTV，姐姐说希望小狮子们都能心无旁骛的追剧，希望这个有如意相伴的冬天大家都能事事如意～撇开其余不说，在那些删删减减的戏份里刘诗诗任如意做到了最好，感谢姐姐一直维护任如意的精神内核，总之，刘诗诗任如
1690770565# #终于来啦～哇
1688450447# #妹宝比耶
1700790251# #任如意终于要来咯！！一念关山定档1128打call刘诗诗一念关山
1702103200# #刘诗诗粉丝感谢大家因刘诗诗而来，也正因深爱任如意和一念关山才会感到惋惜，只盼望刘诗诗用心刻画的任如意能够被珍视！真诚邀请大家继续看参天大树刘诗诗任如意！刘诗诗戏份
1688230661# #吴露可逃超话🍑吴露可逃。布鲁biu布鲁biu～恐龙抗狼抗狼抗～恐龙抗狼抗狼抗～要住大🐥窝住大🐥窝嘿嘿大🐥窝
1699579535# #泪泪泪
1688614132# #吴露可逃超话🍑吴露可逃。倘若我拿出这些阁下又该如何应对呢举手
1689654706# #吴露可逃超话🐥吴露可逃。啊啊啊啊啊啊时隔一年还能看到关于星子关于凌不疑关于少商的又一个访谈片段泪昨天妹宝唱星河叹今天放磊子采访果然有关星汉的一切都让我珍惜让我感动苦涩对了官博这么能捂这段访谈捂了近一年那我的杀无赦花絮呢我的雁回塔花絮呢馋嘴准备啥时候发等他俩婚
1703780555# #美s我刘诗诗憧憬刘诗诗任如意
1703077411# #吴露可逃超话哇吴露可逃。你就是我的目光所至，穿越人海，他望向他的玫瑰🌹
1702694048# #任辛为鹫儿做的最后一件事刘诗诗任如意是最好的任如意，常华森李同光是最好的李同光，是最好的任辛和鹫儿，“君之所愿，吾之所行”“我会替你洗清嫌疑，直上青云”辛光，仙品，属实是仙品泪
1699452134# #这么说我可就期待喽
1694874494# #磊子哥！！
1701575898# #泪
1704428137# #刘诗诗你还有多少惊喜是我不知道的刘诗诗摇滚歌姬
1704076592# #美到失语
1699629581# #有姐真好泪泪
1695629420# #姐姐打call打call打call
1698796755# #妹宝太可爱了吧！！
1691397695# #天好看云也好看姐姐更好看
1691055242# #妹宝今天活动绝啦
1691331045# #眼睛亮晶晶
1692802991# #妹宝太明媚啦抱一抱
1699188667# #星汉剧组所有台前幕后的工作人员都真的真的好棒泪
1703178257# #美晕我刘诗诗任如意
1701677740# #我的老公姐苦涩苦涩刘诗诗任如意
1694247635# #热恋姐出手必是精品打call
1691123951# #吴露可逃超话🍑吴露可逃。去年今日22年8月4日七夕卡点1314合照自己发文案自己写的剧宣内娱第一次见现在看还是会震惊
1689742056# #这样的话那我要喊一波双采
1698741237# #刘诗诗超话💛刘诗诗好有冲击力的美感叹一万遍姐姐美的真的好轻松刘诗诗
1699764708# #期待早日相见全力以赴
1692314614# #吴露可逃超话🍑吴露可逃。我的吴露我来罩小鸡随叫随到！！
1691054976# #哦莫哦莫我的小情侣
1701222765# #一念关山太好看了刘诗诗一念关山好喜欢任如意这个角色刘诗诗任如意
1699889790# #刘诗诗超话兔子刘诗诗兔子刘诗诗任如意兔子刘诗诗一念关山。我嘞个豆有生之年还能再看到姐姐录综艺泪看到消息的时候瞳孔放大我的天啊直接愣住苦涩我的印象还停留在11年前步步惊心那次泪泪当时小学都没毕业呢哈哈哈哈哈哈哈狠狠期待了
1695960665# #不愧是姐姐哈哈哈哈哈哈哈
1701826956# #泪泪我的辛光辛光泪刘诗诗任如意
1695960766# #刘诗诗超话💛刘诗诗任如意。㊗️中秋快乐呀～。听姐姐的～大家都要快乐～。期待我们如意快快到来
1699032002# #好好好
1699012281# #刘诗诗神女逆光而来啊啊啊啊啊我先发疯舔屏
1694696831# #感叹一万次还好我是cpf
1702190585# #辛光超话兔子刘诗诗任如意悲伤常华森李同光。刘诗诗是最懂任如意的人
1701006074# #美晕我泪
1702742702# #李同光你快来看啊鹫儿你快看泪苦涩假如刘诗诗常华森二搭
1703666150# #辛光超话苦涩刘诗诗任如意泪常华森李同光。“你师父泉下有灵，知道你对她还抱有见不得人的心思，该有多恶心”任辛啊任辛，你何尝不是在说给自己听悲伤是你困住了自己，困在了师徒的框框里悲伤
1700456188# #一点都不羡慕酷
1700482618# #姐姐～打call
1701163004# #SSTV我哭死泪泪刘诗诗一念关山
1696507616# #woo～好吃滴色
1703134751# #刘诗诗一字肩肌肉线条斯哈斯哈自律的姐宝！
1702607922# #辛光超话悲伤辛光泪刘诗诗任如意苦涩常华森李同光。君之所愿，吾之所行
1702227197# #刘诗诗任如意继续冲！刘诗诗任如意
1688305225# #期待我们的周年活动🐥宝宝快回家
1688021055# #附议泪
1695517201# #哦嚯！！妹宝太可爱啦
1688551053# #吴露可逃超话🍑吴露可逃。不是阿池是不是要把我的眼泪榨干啊泪泪从昨晚星子开播一周年预热开始哭今天看到阿池老师新剪的视频眼睛又开始尿尿昭奚旧草谢侯篇我哭抽抽了又来苦涩好刀没事我喜欢泪
1695297909# #吴露可逃超话哇吴露可逃。什么你怎么知道紫绿最配💚💜
1699703309# #热恋姐悲伤
1688486574# #一周年快乐泪
1702714451# #吴露可逃超话泪吴露可逃。明天明天明天！！我就是最快乐的小女娘泪泪终于等到了泪
1700909762# #好美尖叫之夜红毯刘诗诗
1702805866# #吴露可逃超话doge吴露可逃。好好好bgl戒指💍戴中指，好好好，懂得都懂，一个私下疯狂戴，一个这次活动戴，好好好
1693227727# #哇！！姐姐分享日常啦！！
1703250236# #辛光超话泪辛光。有生之年能不能看到未删减的苦涩。刘诗诗任如意哇常华森李同光
1690903893# #蛙趣这剪的带感
1687746741# #哟哟哟我的小情侣🍬只会越磕越大越磕越软
1703343306# #刘诗诗超话心刘诗诗如意给予我力量哇刘诗诗任如意感谢喜欢任如意的朋友们，希望大家都事事如意～江湖再见，期待刘诗诗东方淮竹～希望真诚的人都能被真诚对待爱你辛光超话
1699028424# #姐姐今晚绝杀泪
1702901961# #又懂了原剧本是真的按剧本拍的就是全删了一念关山癫剧
1699271673# #哇姐姐～刘诗诗优雅黑天鹅兔子刘诗诗欧米茄名人大使
1688792310# #去年今日
1691246485# #梦回去年泉州
1688554844# #好的妹宝～六小时时差妹宝一周年快乐💚💜
1701655031# #吴露可逃超话🐥吴露可逃哇吴露可逃星光大赏。昔年杀青告别，今朝同台重逢。愿明月繁星下，再度见证璀璨圆满，，星光大赏，期待相见💚💜
1697591176# #刘诗诗超话兔子刘诗诗刘诗诗韩火火合照被姐姐撩到真是太平常的一件事了
1691492372# #呜呜呜好可爱我摸摸💚💜
1699486101# #吴露可逃超话🍑吴露可逃兔子吴露可逃祝赵露思1109生日快乐。是25岁的妹宝啦哇希望我们的露思永远快乐，像小太阳一样照耀、温暖身边人的你值得一切最好的，更要让自己天天开心噢～我们妹宝真的超棒的诶！！和吴露大家庭陪你度过的第二个生日，桃子一直在你身后抱一抱小🐥永远守护你
1704083288# #电视剧狐妖小红娘竹业篇超话憧憬刘诗诗东方淮竹。越过关山重重，期待竹海相逢打call
1703337219# #辛光超话哇辛光。祝姐姐收官快乐～期待江湖再见～感谢演员刘诗诗一直在维护任如意的精神内核泪“止戈为武”、“以战止戈”苦涩呀最后是我们辛光的马场呢～。刘诗诗任如意打call常华森李同光
1688176519# #哈哈哈哈哈哈哈吗的梦回那段时间
1703336927# #姐姐收官大吉！！期待再见～一念关山今日收官爱你刘诗诗任如意
1701216711# #刘诗诗一念关山如意如意～真的好看！！一念关山
1702693750# #辛光超话兔子辛光泪任辛为鹫儿做的最后一件事。刘诗诗任如意是最好的任如意，常华森李同光是最好的李同光，是任辛和鹫儿，是最好的师徒，又怎么不算是青梅竹马呢？他们有自己独特的相处方式和一套只有彼此才听得懂的语言系统，可以说是彼此最特别的存在，辛光之间的情感复杂、独特而又弥
1691327021# #刘诗诗超话全力以赴刘诗诗个人名义捐款莫名奇妙的词条姐姐一直在默默做公益她说的少做的多无论是什么角色首先她是独立的个体她一直是她生活是自己的姐姐一直很低调少嘴爱你多关注点该关注的爱你希望大家都平平安安共渡难关！
1702477611# #好的我来陪跑咯～刘诗诗任如意
1702835798# #我来吃点好的
1702651875# #辛光超话悲伤辛光。我现在狠狠相信那个“影子论”感叹一万遍，辛光，仙品泪
1699770150# #我嘞个豆
1702896238# #吴露可逃超话哇吴露可逃。先三搭再扯证谢谢
1701999539# #辛光超话悲伤辛光就是这个味儿泪辛光。天牢的火那么大您疼吗
1691237725# #磊子帅💚💜
1704076508# #元旦快乐！！
1702986976# #姐你太牛了！！吴露可逃
1695285885# #美疯了啊啊啊啊啊
1699416276# #天呐姐我哭死悲伤泪大家真的真的好有爱
1702742969# #辛光超话泪辛光。有没有大神按照原剧本那个三方博弈的那个里面的设定剪一个辛光啊泪我都不敢想象那有多精彩苦涩苦涩（刘诗诗任如意刘诗诗任如意常华森李同光常华森李同光）
1689265437# #吴露可逃超话🍑吴露可逃。714啦去年今日当时只觉得这氛围不对劲但说不出哪里不对劲原来714是偷偷藏不住
1701738641# #哦莫哦莫师徒！！辛光
1701588352# #辛光超话他身上处处都有师父的影子
1699719646# #vocal姐太牛了
1703247285# #辛光超话。你别说还真别说
1699263035# #蛙趣美晕
1702100983# #刘诗诗超话兔子刘诗诗任如意泪爱奇艺转发刘诗诗微博。刘诗诗任如意是一棵树，是可以独当一面的。真正的剧粉并不会在意这些背后的操作只关心剧情和角色本身，所以我们一直说一切等剧播完了再说，但也正因为我们知道演员刘诗诗拍摄的过程和最后的呈现实在配不上，很寒心。她总说“这是我应
1698582653# #吴露可逃超话🍑吴露可逃。小磊磊～小磊磊～小磊磊～好好好
1703767346# #吴露可逃超话哇吴露可逃。我们会陪着你们一年又一年💚💜。期待微博之夜～
1699774578# #是我们的嫋嫋悲伤热恋姐绝
1691729947# #姐姐姐姐～刘诗诗星光鎏金裙
1702821990# #姐！！吴露可逃
1700918587# #我爱
1703134672# #刘诗诗超话兔子刘诗诗开年的第一缕光。今天是可爱姐宝～～
1699170062# #姐姐哇哇哇
1701751268# #期待东方淮竹刘诗诗任如意
1690285660# #喜欢妹宝分享日常💚💜
1695267152# #蛙趣狠狠期待！！刘诗诗东方淮竹刘诗诗狐妖小红娘竹业篇
1702907680# #对上了对上了吴露可逃
1690469828# #吴露可逃超话🍑吴露可逃。哥我们相信你真的真的相信你真的doge你你你别紧张
1701681176# #辛光超话破万了破万了啊啊啊啊啊我们任如意×李同光啊啊啊啊啊啊我先尖叫进来的时候才两千
1701616259# #辛光超话。任如意×李同光。第一次希望男主不要抢婚苦涩
1703396533# #辛光超话哇辛光兔子刘诗诗任如意悲伤常华森李同光。还是很感慨，没什么本事，就是12年喜欢的人，23年了也还喜欢。所以姐姐的很多剧我家里人也在看，甚至女医明妃传我妈比我看的都仔细，这次一念关山也一起看了，有一说一不吹不黑，我妈：“这是男主吗？嗯……”我：“咋了，是不是
1696410175# #多发点～爱看！！
1700750121# #姐姐～
1689654198# #啊啊啊啊啊啊妈呀时隔一年还能看到新鲜的访谈
1703062465# #喜欢这个采访！！刘诗诗回应古装是自己的统治区刘诗诗问a是很厉害的意思吗
1703859443# #亖柠萌你欠我们的拿什么还想去偷母带二哈辛光超话
1692408441# #刘诗诗超话哇刘诗诗。天下温柔有十分，八分在神爱世人，而你是一面湖水，是温柔本身。
1702871033# #吴露可逃超话泪吴磊发言切赵露思哇吴露可逃。重现的卧蚕开关，一切都是最好的安排～
1691596533# #吴露可逃超话🍑吴露可逃。眼睛要尿尿了永远为吴露🐥感动泪与你们同担是我的荣幸哇该死又双叒叕狠狠爱了抱一抱
1701070207# #好好看！！
1688786802# #啊啊啊啊啊爱看
1701361311# #好看爱看兔子刘诗诗任如意
1703210188# #惊喜惊喜！！刘诗诗你真的牛刘诗诗任如意
1703425301# #大众电影删除一念关山编剧采访我只想看看广场上真路人的评价，结果🐭粉出一个词条立马就控，千篇一律的话术，骗骗自己得了，属实败好感，太拉跨爱你原剧本人物多立体多饱满，改又改不好爱你
1702829198# #啊啊啊啊啊啊啊啊啊啊泪泪泪吴露可逃
1702912479# #正面视频来咯～吴露可逃
1698582119# #小磊磊～好好好
1699024873# #阔以阔以啊啊啊啊啊
1704639663# #刘诗诗靠张云龙肩膀路透快来🥝预约狐妖小红娘竹业篇吧～期待刘诗诗东方淮竹！！刘诗诗东方淮竹
1703743845# #梦一个二搭今天开敲
1701503092# #辛光超话李同光一见到师父就变成了那个自卑爱哭害怕失去任如意的鹫儿泪
1694670065# #啊啊啊啊啊姐姐！！期待～
1691796737# #姐姐！！
1701609235# #恭迎尊上
1689409692# #刘诗诗超话兔子刘诗诗堕仙妆。woo～好会起名字各种风格都能驾驭送花花我喜欢的样子她都有～期待姐姐的一念关山和狐妖小红娘竹叶篇馋嘴馋嘴
