1688286338# #起司红薯吐司面包片，简单好吃。。。慈实素食超话每日一餐分享
1699343665# #明日立冬。。冬宵寒且永，。夜漏宫中发。。。草白霭繁霜，。木衰澄清月。。。丽服映颓颜，。朱灯照华发。。。汉家方尚少，。顾影惭朝谒。。。——王维。故宫超话上新了故宫故宫爱上紫禁城故宫紫禁城
1695017230# #我抄最多的是《金刚经》，比起诵经，更喜欢抄经，静静的抄，随文入观。
1700825374# #冬季美食：野生荠菜生煎。。慈实素食超话每日一餐分享初冬第一份生煎生煎包美食分享素食养生素食主义素食我的美食日记家常菜不可辜负的美食荠菜
1698784166# #你好，十一月！。。爱在深秋。。北京超话十一月的第一天十一月你好银杏叶北京深秋银杏叶黄了深秋深秋到来了爱在深秋
1703238013# #今天一九第1天，看到护城河有人上冰了。。北京超话护城河北京护城河滑冰
1690957577# #一晃两三年，。匆匆又秋天。。岁月不堪数，。故人不如初。。。暑蒸依旧烈，。不觉已临秋。。瘟疫才消停，。台风又肆游。。唯愿清风起，。祈安无挂忧。。北京超话台风台风杜苏芮瘟疫北京暴雨
1699685678# #冬天吃波菜：波菜炒年糕。。波菜可以焯水，去除一部分草酸，减轻苦涩味。。。另外炒波菜，根部不要弄掉，根部很甜，吃的是菜根香。。。慈实素食超话炒年糕冬天美食分享每日一餐分享我的美食日记每日一餐分享不可辜负的美食
1691046646# #上海巿花：白玉兰，还是北京红墙白玉兰更美。上海超话大上海白玉兰奖红墙
1699491541# #这是我唯一一次周一逛故宫，围墙外安静，人非常少，另外一种体验就像疫情期间的故宫。。故宫超话爱上紫禁城上新了故宫故宫紫禁城银杏叶故宫周一故宫闭馆故宫全年周一闭馆
1700264120# #从来没有🐑过，这次找上门了。估计毒性小很多，身体反应不是很大，吃了两颗泰诺。
1689993401# #冬天早晨的上海，永远开放的画廊。摄影超话上海画廊日出
1687500575# #中午枣子树，回家吃饭。
1695387111# #
1699401478# #今天立冬，图片是2021年立冬的故宫雪景。故宫超话上新了故宫爱上紫禁城立冬故宫立冬故宫雪景故宫雪景爱上紫禁城故宫雪景照故宫雪景大片
1698101672# #今日霜降，秋季的最后一个节气，霜降节气后，迎来北京最美的季节，一年一度秋叶黄正式开始。。。北京城区街头的树叶已露秋韵，红色、黄色十分好看。各处树叶变黄先后次序有所不同，到立冬基本结束。。北京超话霜降今日霜降金秋十月秋日北京的秋色秋叶
1691325781# #“三泾不如一角”，这是沪上俗话，这“三泾”，说的是朱泾、泗泾、枫泾三个沪上水乡，“一角”便是朱家角。。。烟雨的江南，水墨的古镇。每逢初一十五，信男善女，烧了头香，行色匆匆赶到放生桥下，花五元买一小盆小鱼，在放生桥下放生，看那条条小鱼，轻摆鱼尾向河中游去，带着放生人的希冀，也带着小镇
1689131652# #夏雨清凉
1701273011# #巨大的建筑，。。总是一木一石叠起来的，。。我们何妨做做这一木一石呢？。。我时常做些另碎事，。。就是为此。。。——鲁迅写于1935年6月29日
1696600521# #下次，我也来喝喝。来北京不是吃烤鸭、涮羊肉，而是喝豆汁，麻豆腐也不错，很香。。
1696023389# #北京，早上好！
1690370636# #北京也是南方的黄梅天节奏北京超话黄梅天摆脱黄梅天
1695735559# #今年的龙井月饼🥮
1690164594# #能观悲喜，有觉悟的心，获得与失去都是很好。。。不能观照，执迷于外相，得到和失去都是不幸。。。——林清玄
1698302841# #龙在飞，拍摄于上海。
1687124331# #故宫博物院超话
1694957912# #故宫博物院超话
1693115133# #我获得了慈实素食超话的“上上签-兔”头衔。以年为单位的热爱，永不停歇心
1691276762# #中国古人讲阴阳平衡，失去了平衡天灾无情。。。人是最贪婪的动物，不知足，古语讲知足为富，所以心的富有不是靠金钱和物质来衡量，而是看你有没有一颗知足的心。
1697518921# #圣人可以先知先觉，。智者可以当知当觉，。愚者几乎是不知不觉，。遗憾者总是后知后觉。。。人生就取决于你怎么去自知，怎么去自觉。。。———《半山文集》
1694087692# #人不知本地风光。天地万物俱成刍狗。位育事业。徒有虚名。凡夫如井蛙夏虫。岂信大海非诳。永劫不诬。。。欲入此信门。应观现前一念。前不得其始。后不得其终。现莫穷涯际。设追寻。绝无踪迹。言其无。不可断灭。禅家谓之净裸裸。赤洒洒。尚冤不少。况紫阳谓虚灵不昧。禀得于天。非戏论妄想邪。。。急从良师
1695276248# #故宫博物院超话
1688192897# #故宫好在哪里我说不好，但是我去的最多。故宫超话故宫爱上紫禁城
1703214787# #冬至水饺。慈实素食超话每日一餐分享
1687875516# #张园建于1915年，是上海优秀历史建筑群，张园以石库门为载体，海派文化与国际时尚文化相融合，在原味传承海派历史特色风貌的基础上，多元式文化的功能空间。。。有着“海上第一名园”的美誉，百年前，张园曾是电灯在上海的试燃之地，也是上海第一个室外照相馆的开办地，第一辆自行车，承载了太多“第一”
1690586841# #故宫博物院超话
1701526114# #庄子智慧穿越千年。。知其愚者，非大愚也；知其惑者，非大惑也。大惑者，终身不解；大愚者，终身不灵。。。圣人之静也，非曰静也善，故静也。万物无足以铙心者，故静也。。。人莫鉴于流水而鉴于止水，唯止能止众止。。。无为也，则用天下而有余；有为也，则为天下用而不足。。。圣人不积，既以为人己愈有，既以与
1703133105# #諾瑪（Noma）餐厅主厨的故事。主厨故事记录生活世界第一餐厅nomanoma餐厅
1690644946# #明天北京所有的景点，全部关门。北京发布暴雨一级响应。
1689333507# #国家大剧院
1698904057# #酸奶柿子软籽。。慈实素食超话每日一餐分享
1694307766# #去故宫午门看看茶世界故宫超话
1702561413# #雪中的东交民巷。。第一次拍东交民巷，感觉有点像上海武康路。。北京超话北京下雪北京初雪美景摄影不凡东交民巷胡同北京下雪啦
1694336963# #完全是搞怪，不好喝。
1704018855# #2024元旦
1703858929# #中华传统文化不仅仅是读读“大学”和“论语”。
1701318256# #白鹭，拍摄于上海浦东滨江，傍晚退潮夕阳时分。。。上海超话浦东滨江黄浦江白鹭傍晚夕阳
1694240560# #9月9日，毛主席逝世47周年！
1692690117# #猫：别拍了，我都懒得搭理你！
1688112808# #我拍的北京，迎着阳光。摄影超话北京北京的早晨日出北京日出
1699916904# #红尘看破了，不过是浮沉；。美丽看破了，不过是皮囊；。生命看破了，不过是无常；。爱情看破了，不过是聚散。。。——弘一法师
1692939890# #人生就是不断雕刻的过程，想要遇见更加优秀的自己，只能通过自律来修正自己，一刀一刀地雕刻自己。
1692344806# #苏州鸡头米。慈实素食超话每日一餐分享
1695862252# #花盛开，圆月朗照，世人所能观赏，难道仅限于此？。。对雨恋月，垂帘幽居不问春归何处，亦有深趣。。。——吉田兼好《徒然草》
1693982473# #《三宝歌》，弘一大师(李叔同)谱曲，太虚大师再依曲作词。。。佛教歌曲中最优美的一首，《三宝歌》用了三段歌词表达对佛、法、僧三宝的礼赞。“法”就是宇宙人生的真理。
1691654248# #字幕版《金刚经》读诵，第十品至第十三品。。。《金刚经》在中国影响最深远的一部经，无论是信佛之人或是学者，上至帝王将相，下至贩夫走卒，因《金刚经》而开悟、而成就不计其数。。。最好的养生莫过于诵经🙏
1696719371# #遇见，因为有债要还了，离开，是因为还清了。。。前世不欠，今生不见，今生相见，定有亏欠！。。缘起，我在人群中看见你，缘散，我看你在人群中。。。——弘一法师。。故宫超话前世今生人生感悟觉悟
1689496505# #修行最难的就是“出离心”，没有“出离心”又如何看破放下。佛法看世间佛教出离心
1703912677# #我们和摄影师之间，差的不是照相机，而是审美。。。摄影师面临的最大困境在于：审美和眼界。。。技术可以提升，经验可以累积，但只有跨过审美这道坎，才是真正的入门；而眼界则是原点，决定了照片所能达到的高度。&nbsp;。摄影超话审美审美累积
1703657360# #2023年回顾，2023年一月西总布胡同。。北京超话胡同老北京胡同西总布胡同
1690007429# #28号去天津，看安里甘教堂音乐会，顺便教堂咖啡☕️。
1698045461# #“半”字哲学诗。。自古人生最忌满，。半贫半富半自安。。。半命半天半机遇，。半取半舍半行善。。。半聋半哑半糊涂，。半智半愚半圣贤。。。半人半我半自在，。半醒半醉半神仙。。。半亲半爱半苦乐，。半俗半雅半随缘。。。人生一半在于我，。另外一半听自然。。。人生不如意十之八九，一半才是恰到好处，曲折也是一种完美
1701312348# #《甲辰年》特种邮票将于2024年1月5日正式上市发售。。。第一枚名为“天龙行健”，第二枚名为“辰龙献瑞”。邮票第一图源出九龙壁，第二图取材于传统吉祥纹样“祥龙拱璧”。
1690267566# #过了大暑便是秋，胡同里的秋。。。北京最美是秋色。摄影超话秋色秋色宜人北京的秋天
1689403483# #【国家大剧院】“非凡的四季”意大利音乐家合奏音乐会国家大剧院超话去听一场音乐会音乐会
1703828897# #这张拍摄于净土宗祖庭庐山东林寺，背影是东林寺方丈大安法师，目前正在宣说《佛说无量寿经》。
1699059477# #人生建议！秋天一定要来一次故宫。。故宫超话故宫博物院爱上紫禁城故宫上新了故宫
1691456181# #立秋，最让人动容的，莫过于秋色。北京超话立秋今天立秋颐和园秋色
1694506961# #【野山椒煮花生米】。。煮花生，喜欢酥而不烂，这样入味，而且顺口，粒粒分明。。。无油的烹调，加了些野山椒，让平淡的口味有些变化，也可以加几个八角和一块桂皮，带点汤汁不要把汤汁收干，有滋有味。。。煮花生米煮得好，让吃者也是一种舒心，由喉咙升起一股特别的香味。煮至快好时，加一点点的头抽，用来
1693803269# #许多东西乍一吃，吃不惯，吃吃，就吃出味来了。。。我们应该多尝尝不同的食物，看淡生命中的忧愁哀伤，学会包容一些不符合自己主流价值观的事物。。。食物有五味，人有喜怒哀惧，万事万物有其存在的价值和意义。。。——汪曾祺。慈实素食超话每日一餐分享
1703025810# #审美累积｜摄影师PedroDiniz。。懂得用光和影表达意境的人才是摄影师。摄影超话审美累积摄影用光意境摄影摄影师光影
1689409116# #夏季食物【莲子绿豆红薯汤】。。夏季养心，。清热解毒，。益气健脾，。生津止渴。。慈实素食超话每日一餐分享夏季养生
1694182540# #《维摩诘经》里维摩诘对文殊菩萨讲的一句话。。。他当时卧病在床，文殊菩萨来看他，二人之间进行了一番对话，。。维摩诘讲了：“从痴有爱，则我病生。”因为心中有爱，所以会生病。佛主尚且如此，更何况芸芸众生呢？。。众生非贪即痴，这是大痴大贪。能够去掉了这个大痴大贪必然往生，净土现前。。。生命就是痴
1694144239# #不生亦不灭&nbsp;不常亦不断。不一亦不异&nbsp;不来亦不去。能说是因缘&nbsp;善灭诸戏论。我稽首礼佛&nbsp;诸说中第一。。——龙树菩萨《中论》
1696660324# #曾经做过各种豆花，咸、甜、麻、辣都有。。慈实素食超话每日一餐分享
1697963610# #一轮明月照角楼。故宫超话
1687155209# #端午糯米咸蛋黄，很多年以前的流行。。。慈实素食超话每日一餐分享端午节家常菜咸鸭蛋
1701399011# #12月～，你好。。。时间过得真快。。2023即将结束。故宫超话故宫上新了故宫爱上紫禁城
1690265931# #北京最值得拍是胡同摄影超话胡同纪实摄影
1699185125# #小区已经供暖了。北京超话供暖
1691574004# #故宫博物院超话
1697182450# #北京最美季节即将开始，还有差不多一周时间。。北京超话秋色秋日北京秋天北京秋天去哪玩北京秋天随手拍北锣鼓巷北平的秋
1704092750# #收获不多，总结一下，。付出不多，鼓励一下，。感受不多，加强一下，。经历不多，思考一下，。。去年繁花今年开。你好2024
1694416895# #举手低头。皆成佛道。开示悟入。妙在不别觅玄奥。。。无相不离有相。。解脱不离文字。。究竟不异初心。。。若以生灭心观一切法。设有一法过涅槃者。亦是生灭数。。。若以不生灭心会一切法。是法住法位。世间相常住。。。岂得漫云塔是土木。经是纸墨邪。急荐取可也。。。——蕅益大师《灵峰宗论》示无云
1691383339# #国家大剧院超话【出】茶花女歌剧，8.9的1张，因工作有事儿没法看，需要的朋友请联系，谢谢
1698308814# #秋日北京胡同：门楼胡同。。夹在东四十一条胡同和东四十二条胡同之间，西止横街（胡同），它的西边穿过横街与之相连的胡同，叫辛寺胡同。。北京超话故宫以东秋叶胡同金秋十月北京的秋色北京的秋色北京胡同北京故宫以东景点推荐
1688347246# #拿自己的“心尺”去度量别人，人人都不够尺寸；。拿自己的“心秤”去称量别人，人人都不够份量；。拿自己的“心态”去衡量别人，人人都不顺其眼；。拿自己的“心胸”去容纳别人，人人都有过失。。渡人如渡己，渡己也是渡人。
1687241823# #上海宁喜欢咸粽子：香菇栗子粽，年年端午“粽”是情。。慈实素食超话每日一餐分享端午节端午节安康
1696145752# #看看国庆人流，这已经成为历史。
1690988628# #王阳明，致良知
1695428004# #又求一佛功德，与一切佛功德无异，以同一佛法性故，为此念阿弥陀佛，即念一切佛，生一净土，即生一切净土。。。故华严经云，一切诸佛身，即是一佛身，一心一智慧，力无畏亦然，又云，譬如净满月，普应一切水，影像虽无量，本月未曾二，如是无碍智，成就等正觉，应现一切刹，佛身无有二。。。智者以譬喻得解
1687177386# #北京人艺“京味”十足。
1703432148# #一有执着，。。并有了局限，。。人生的格局也就被限制住了。。。没有执着，。。人生便有无限多个可能。。。——铃木大拙
1703716504# #我拍照的原则：黑就让它黑，亮就让它靓。。故宫超话爱上紫禁城故宫上新了故宫光影氛围感光与影光才是一切氛围感的源头光影故宫
1703969120# #走着走着2023走完了，。今天是2023最后一天。。。新的一年到来，2023就翻篇了，挥挥手，辞旧日。。。幡然醒悟，原来这一切都是最好的安排，。。再见2023，。您好2024。
1694093435# #明天，龙树菩萨圣诞。。。千部论主，八宗共祖，龙树菩萨影响最大的论《大智度论》，他首先开创空性的中观学说，以《中论》最为著称。。。因缘所生法，。我说即是空，。亦名是假名，。亦是中道义。。。菩萨因复兴大乘佛教，成就卓绝，被尊称为“第二代释迦”；。。中国禅宗、天台、华严、净土等八大宗派，都奉其为
1692432047# #明天出伏，入伏饺子，出伏也是饺子，另外再来一碗银耳羹，润泽身体。。慈实素食超话三伏入伏润泽
1702080336# #西总布胡同。。老北京胡同超话胡同西总布胡同胡同里的北京故宫以东东城区
1702365961# #佛法也说的这个道理：“心外无法”
1702196270# #今年北京第一场雪，今晚送到。。。故宫超话今日大雪雪
1695711034# #北京天凉了，秋意渐浓，中秋将至，北京桂花飘香，去颐和园赏“丹桂”。。。一定要从东宫门进，仁寿门-仁寿殿，全部都是桂花，超级香。。。东宫门一进来的【夏宫咖啡】，环境不错适合来这里坐坐，发呆，桂花拿铁一杯，小风吹吹，可以闻到桂花飘香。。北京超话颐和园桂花丹桂飘香
1691303355# #字幕版《金刚经》读诵，第一品至第四品。
1693115079# #葡萄雪葩。慈实素食超话每日一餐分享
1691127085# #红豆薏仁水。。。这几天北京天气像上海的梅雨季节，湿度很大，不舒服。。。来一杯红豆薏仁水，除湿。。慈实素食超话每日一餐分享
1688726157# #小暑。。眼前无长物，荷边有清风。。摄影超话小暑今天小暑荷花清风
1691130594# #这种照片价值在于拍一次少一次，随时可能消失。摄影超话观音阁观音阁老茶馆人文摄影记实摄影
1703467563# #韩国钢琴家李闰珉Yiruma演奏的乐曲『KissTheRain』，选自Yiruma2011年12月9日发行的音乐精选辑《TheBest~Reminiscent10thAnniversary》。。故宫超话爱上紫禁城故宫上新了故宫圣诞节圣诞快乐
1694169798# #傣味凉拌手撕松茸。。做法简单，拌拌就可以了。。。食材：松茸、云南大香菜、青木瓜、小米辣、柠檬、橄榄油。。。松茸不用洗，用小刀刮去表皮，撕成条。。。青木瓜切细条，用少许蘑菇精拌一拌。。。小米辣切小圈。。。大香菜洗干净，切段。。。最后把所有的食材放在碗中，淋少许柠檬汁，加少许橄榄油，蘑菇精，盐一点
1698016308# #秋日氛围感拉满：三里屯西五街。。。西五街是酒吧一条街。。北京超话西五街三里屯金秋十月三里屯酒吧街秋日
1693915083# #318川藏线，早晨的波密，人间仙境。。摄影超话川藏线318川藏线波密林芝桃花节
1693612648# #佛法大海。信为能入。智为能度。信如坚舟。智如柁师。。。余五度万行。皆舟中器具也。须时时念生死苦。警悟无常。不得沉迷五欲。执着世情。知世情定了我生死不得。五欲定牵入放逸坑。堕恶道苦。。。此生死长夜中真实信心。发此心已。急求智慧以为导师。第一亲近明师良友。第二读诵方等大乘。非明良决不能益
1697851476# #一个皇帝，用六年时间抄经不容易，没有一颗虔诚之心是做不到的。
1692579116# #诸苦尽从贪欲起　　。不知贪欲起於何　　。因忘自性弥陀佛　　。异念纷驰总是魔。。——中峰国师三时系念
1703853664# #蓝色多瑙河，北京音乐厅2024新年音乐会🎼。每年的维也纳新年音乐会也将该曲作为保留曲目演出，被誉为“圆舞曲之王”的小约翰·施特劳斯创作于1866年，作品第314号，被称为“奥地利的第二国歌”。。北京超话2024北京新年音乐会蓝色多瑙河圆舞曲(约翰施特劳斯)音乐维也纳新年音乐会
1689910610# #今天二伏，却如此凉爽。
1696225746# #双红汤，好吃养生。
1698998158# #豆腐汉堡，特别的素食。。。慈实素食超话每日一餐分享人间的烟火味美食分享家常菜我的美食日记
1702177313# #故宫博物院超话
1703396603# #我炒的时候，放1、2滴酱油，增添香气，颜色象牙白。
1690039635# #匈牙利排位赛结束，汉密尔顿最后时刻拿到杆位！维斯塔潘第2，诺里斯第3，皮亚斯特里第4。。。周冠宇排位赛表现极其亮眼，拿到第5，创造了历史，生涯排位最佳成绩。。。周冠宇明天第5位出发。。
1695204488# #身不苦则福禄不厚，。。心不苦则智慧不开。。。——王阳明
1688160308# #七月，你好。。。上半年，再见！。七月向前，顺其自然。。。时间飞快，珍惜当下。。慈实素食超话每日一餐分享六月再见七月你好珍惜当下
1703513576# #故宫博物院超话
1703072677# #复次，世尊！修般若波罗蜜时，不见有法可分别思惟。。。佛告文殊师利：汝于佛法不思惟耶？。。文殊师利言：不也，世尊！如我思惟，不见佛法，亦不可分别是凡夫法，是声闻法，是辟支佛法，如是名为无上佛法。。。复次，修般若波罗蜜时，不见凡夫相，不见佛法相，不见诸法有决定相，是为修般若波罗蜜。。。复次，
1688680090# #今天小暑，大雪纷飞中的颐和园。摄影超话小暑今天小暑颐和园大雪纷飞雪景
1695166902# #人像的价值不是好看不好看，记录了历史，10年之后再来看，张张都是精品，因为回不去了。
1695379112# #香椿烧豆腐，开胃下饭菜。。。香椿淘宝上买的，腌渍洒干的，比新鲜的香。。。慈实素食超话每日一餐分享家常菜
1688786646# #能够控制自己的欲望和情绪才是圣人，不能控制自己欲望和情绪是凡夫。
1692226582# #一年一度上海书展开幕，曾经的记忆，不记得光顾多少次书展，但是很美好。记得以前人山人海，热闹非凡。
1689143366# #腊味𤠣头菇炒饭。。鲜香浓郁、。口味香咸、。味美可口、。香气扑鼻。。。慈实素食超话每日一餐分享家常菜炒饭
1689913415# #人生在世，须如豆腐；。方正洁白，可让可忍！
1700396175# #竹笋的黄豆一起煮，鲜！。。慈实素食超话每日一餐分享素食养生美食分享家常菜不可辜负的美食我的美食日记素食素食主义
1697431549# #故宫博物院超话
1689632210# #国家大剧院，中国唯一用“国家”命名的大剧院，一个简单的“蛋壳”，里面孕育着艺术的生命。国家大剧院超话国家大剧院生命遇见艺术艺术
1702278698# #雪后的故宫。。故宫超话故宫爱上紫禁城上新了故宫雪故宫的雪
1700489762# #故宫博物院超话
1693660207# #烦恼就如同一只流浪的野猫，如果它要多少食物你就给它多少的话，它就会时常来你左右要吃的，但是，如果你停止喂它，几天后，它就会停止再来。。。正念观察和照顾心，不论心呈现什么样的状态，你都必须保持这个觉知，不要散乱或到处跑。。。——阿姜查著【关于这颗心】
1693316775# #突然想起这道菜：素蟹粉春卷配松仁豆腐。。。慈实素食超话每日一餐分享
1691656431# #雍正帝注《金刚经》。。印光法师谈雍正：。　　证涅槃之妙心，具金刚之正眼。于修齐治平之暇，阐拈华直指之宗者，其唯清世宗皇帝为第一也。若非法身大士，乘愿再来。。。一代佛学大师，开悟的皇帝，前无古人后无来者，法号“破尘居士”。。故宫超话金刚经雍正爱上紫禁城故宫
1701501151# #摄影是一门观察的艺术，它是在平凡之处找寻趣味。。。我认为这与你看到什么关系不大，而与你看待它们的方式息息相关。。。——艾略特·厄威特|ElliottErwitt
1694444208# #石锅豆腐，开胃下饭菜。。慈实素食超话每日一餐分享家常菜
1702048529# #人品越好，朋友越少；。人越踏实，混得越差；。心越善良，苦难越多；。做得越对，活得越累。。。——莫言
1690787686# #紫禁城光影无限故宫超话故宫爱上紫禁城光影
1695508228# #修行最难处，就是境界现前时还能保持一颗平常心。
1695807422# #秋季食物：丹桂百合鸡头米。。慈实素食超话每日一餐分享
1696843879# #故宫博物院超话
1701759141# #陆家嘴上海中心的秋色。。。上海超话银杏叶秋色爱在深秋上海中心陆家嘴
1702083492# #西兰花碎猴头菇派配胡萝卜汁。。慈实素食超话每日一餐分享美食分享我的美食日记不可辜负的美食素食养生素食主义素食米其林
1700489746# #故宫博物院超话
1688989935# #桃子·桃胶·蜜枣。。降低血压、。养血安神、。美容养颜、。改善贫血。。慈实素食超话每日一餐分享
1697432720# #今年3月18日拍摄于故宫，时隔7个月之后北京金秋十月开始。。故宫博物院超话杏花故宫红墙杏花绝配金秋十月
1696402688# #贵州黎平肇兴侗寨。。红军长征的黎平会议是重要的会议，才有日后的遵义会议。。。毛主席靠自己的能力逐渐成为中国革命的领导者。
1699869704# #冷空气来临之前来一碗。核桃山药莲子糯米粥。。慈实素食超话每日一餐分享美食分享我的美食日记不可辜负的美食素食种草素食素食养生素食主义粥冬季养生
1703205246# #今日冬至。。我选用雪中的天坛图片，冬至祭天。。。《东京梦华录》记载北宋皇帝冬至祭天的仪式：这项“庞大”的祭天工程开始于冬至前三天，皇帝需要沐浴更衣、出宿外舍、不饮酒、不吃荤腥，直到祭祀结束。。。这仪规一直延续到清朝，表达敬天畏地的虔诚之心，许下风调雨顺、福泽苍生的愿望。。。
1687356624# #转发微博
1690629946# #欲真为生死，别无他术，须识三界无非是苦，现在身心便是苦具，不知苦故，重造苦因。今以四大观身，四蕴观心，了知无我、我所，只缘迷惑，枉受轮回。。。深生惭愧，猛求解脱，此即真实为生死心。。。而又了知心、佛、众生三无差别，诸佛已悟，众生尚迷。。。我今既知此理，誓与众生同证正觉，此即真正大菩提心
1687197195# #食物与健康间息息相关。
1692622730# #悟则生灭皆无生。。迷则无生皆生灭。。所以离此别无。是乃一体而异名也。。。审如是。则阿弥陀佛即是我心。我心即是阿弥陀佛。净土即此方。此方即净土。岂非迷悟之自殊。何有圣凡而彼此。乃知现前众等。。。以自性阿弥陀。与大众舌根。普同运转。根本法轮。诸仁还委悉么。。。——中峰国师三时系念
1694595039# #不读《楞严》，不知修心迷悟之关键；。。不读《法华》，不知如来救世之苦心；。。不读《华严》，不知佛家之富贵。。。——明代4大高僧《憨山大师》
1696389377# #故宫博物院超话
1689576088# #夏天看看雪山，桃花。。。桃花那里都有，背景是雪山只有林芝。摄影超话雪山林芝
1690258933# #正在消失的传统手艺制作
1702364367# #故宫博物院超话
1703235175# #冬至北方是水饺，南方则是汤圆。。。这是两种文化，北方是面食文化，南方是米食文化。。今日冬至超话今日冬至今日冬至吃水饺今日冬至❄冬至汤圆冬至吃汤圆
1703372582# #今天平安夜，草莓圣诞老人🧑‍🎄
1698897424# #举国哀悼
1695448471# #香椿炒饭。。。不要放鸡蛋。。。干香棒，泡冷水，去除咸味，香棒剁碎，用少许油炒香。。。炒饭时加少许老抽，更香。。。为了好看，出锅前加入少许香椿苗。。。慈实素食超话每日一餐分享
1692876910# #故宫博物院超话
1687473039# #故宫博物院超话
1687158146# #夏天，紫禁城的杏子。。。一墙一瓦，一树一杏都浸染了紫禁城的色彩。。。杏杏向荣。。。故宫超话爱上紫禁城故宫
1696638418# #10月光影故宫。故宫超话故宫爱上紫禁城摄影光影
1698360050# #秋日里的光影。北京超话秋日金秋十月光影北京的秋色
1695277881# #爆炒牛肝菌，香气四溢。。。慈实素食超话每日一餐分享云南野生菌牛肝菌
1697687223# #春天故宫真的很美
1701501975# #2024故宫年票一张。故宫超话爱上紫禁城故宫上新了故宫
1690460591# #真实大凉山，神都在眼睛里。摄影超话黑白摄影摄影记实摄影眼睛人像大凉山
1694725967# #一切贤圣性本空寂。无为法中戒无持犯。亦无大小。无有心王及心所法。无苦无乐。如是法界自性无垢。无上中下差别之相。何以故。是无为法性平等故。如众河水流入海中。尽同一味无别相故。。。此无垢性。是无等等。远离于我及离我所。此无垢性非实非虚。此无垢性是第一义。无尽灭相体本不生。此无垢性常住不
1699177928# #故宫博物院超话
1693441672# #故宫博物院超话
1690270282# #大理石𤠣头菇，口感Q弹，奇香鲜美。。慈实素食超话每日一餐分享
1702596519# #故宫角楼。故宫超话爱上紫禁城故宫北京初雪北京下雪啦北京下雪故宫拍雪上新了故宫
1689178861# #TinnaTình《AvalokitesvaraMantra(EDMversion)》
1697579741# #康熙皇帝《御书药师琉璃光如来本愿功德经》，藏于故宫博物院。。。此经为康熙三十七年，康熙帝为其嫡母仁宪皇太后起到却病而亲自抄写的经书，落款“薰沐拜手仿赵孟頫书药师经”。。。药师佛全称药师琉璃光如来，《药师琉璃光如来本愿功德经》，一卷，唐三藏法师玄奘奉诏译。。。南无药师琉璃光如来！东方净琉
1699502587# #三千弱水任东流，。只取一瓢解烦忧；。半瓢徐洒净心地，。半瓢润笔度春秋。
1691394266# #这张拍摄于南京东路外滩，那时在外滩工作，下午2点下班，然后拿着单反扫街。
