1691480994# #原因：西化，也即被洗脑，有些观念包括传统生育观，传统养老观，价值观都被改造。
1687477753# #蔡崇信的爷爷蔡六乘，蔡六乘是上海滩风云人物杜月笙的法律顾问，杜月笙垄断了上海滩的鸦片生意，来自全球各地的鸦片通过他的手销往全国，杜月笙与犹太人有交集。那么蔡崇信家族是为犹太人服务过的。凭什么蔡崇信能拿到融资，因为有历史渊源，可靠，可信。现在可以说是西方大财团的老代理人直接掌舵中国
1703494687# #巴勒斯坦未来会走向什么结果？及一些思考。。结合当前世界的热点，谈一下本人的一些思考与感悟。。1.中国共产党1921年成立，30年不到，建立了新中国，现在都开始讲要复兴了。。巴勒斯坦解放运动，大概从一战1914年，二战1931开始。可以说中国的解放运动，与巴勒斯坦解放运动差不多是同时期的。巴勒斯
1687736360# #国内舆论对俄罗斯局势判断失误的背后的逻辑。。以下观点为主流：。1.俄罗斯比较拉胯，。2.普京掌控不了军队。。以上观点，对不对？。这些观点来自哪儿？是自己独立思考的，还是听来的？。错误的观点，导致错误的判断，然后是错误的讨论。。总结：。1.国内舆论不是我方主导的。。2.舆论主流：舔美厌俄！导致错误
1691479188# #被洗脑的后果：个人也要承担的。
1701392333# #用信仰这个词，本就有：宗教用来洗脑的用词。
1693872703# #转：国外网友是怎么看待华为Mate60的？。。Qu­r­oa（国外类似知乎的网站）上有个问题，“搭载5G麒麟9000s处理器的华为Ma­te60Pro的推出是否意味着美国对华贸易战的失败？”。。下面有一位新加坡国立大学的Bi­llCh­en，他的回答得到了最多的认同。。。他是这么说的。。。问：搭载5G麒麟9000s处理器的华为Ma
1701852223# #对“法无禁止即可为，法无授权即禁止。”这句话的思考。1.这句话如对，好的，应该写入宪法或法律条文，没有写入，应该算无效。没写入，但实际上很有效果了，已经成为指导思想。。2.金融PTP，即属于“法无禁止即可为”，后然出问题了，才定为非法。当时，县级可以批出几百家带类金融类机构，但没人监管，
1696515907# #库克都开始跑路了，中国果粉还在坚持！。被洗后很难醒，同样可以用我的理论去解释，及论证我的理论。。。库克icon本周累计出售51.1万股苹果，市值8780万美元，税后收益为4150万美元，是过去两年来最大一次减持。。宁可忍受超过50%的资本利得税，也要抛售自家公司的股票。
1689031448# #这也能洗？。美国人外交礼仪有弯腰的？。美国人平时生活的礼仪有弯腰的？。只要说美国人不好，就要维护，即使美国人说美国人不好，也要维护。。我的理论能解释这一切。。背后是舔美心态。。
1697758368# #白皮与犹太人之间很微妙。。1.白皮原来有皇帝，犹太服务与皇帝，后然犹太把白皮皇帝变成假皇帝，犹太与白皮买办成为统治者。。2.历史上，白皮大规模反犹。。3.以色列，主要是罗斯柴尔德等支持下建国。以色列是犹太金融财团的小鸡鸡，这个说法应该更恰当。。4.以色列人主体是普通犹太人，不是犹太金融财团。
1692861073# #蛮夷，得重新定义。。日本于当地时间24日下午13时（北京时间12时）正式启动核污染水排海工作。。中俄反对为主，西方普遍沉默！。蛮夷，得重新定义：蛮夷处于人类与畜生之间，非人类。。西方蛮夷，几百年未变！
1694386618# #洋东西，免费吹，疯狂吹！比如元宇宙，今年有核聚变，chatgbt，常压超导，以前还有苹果，特斯拉等。。华为确凿的遥遥领先，不去吹捧！！。在商品经济中，也参杂着以下逻辑：西方的强大的洗脑术，忽悠术。。-看见更大的世界-今日头条。-立刚科技观察：
1699065403# #跟着唱空的，自以为明白，实际是被脑了。。不知道西方洗脑术的厉害，永远被动！。不学懂我的理论，永远再次被洗脑！。。国家安全部官方公众号11月2日发表题为《做金融安全的坚定守护者》的文章，内文提及，个别国家把金融当成地缘博弈工具，屡屡玩弄货币霸权，动辄就挥舞“金融制裁”大棒大打出手，一些居
1690964230# #未报道过的新冠后遗症。。得新冠二个月后，心率，最大摄氧量，均还异常，数据来自华为手表runner。。2023年5月24日新冠首阳，一周后康复，慢走一周后，开始慢跑恢复，心率控制在100以下，再逐步控制在110-120，120-130，。。本人月跑150公里，基础心率60以下，这个是没有变化的，但在跑
1699064823# #再次论证西方洗脑术的厉害。。对彭家声的印象还是蛮好的，我是被洗脑洗进去了。。平台，官方，网信办，不干活！。任由蛮夷洗脑我们！。
1694419270# #她说的也佐证了我的理论。另外，移民，被洗脑的后果有：1.种族灭绝，断子绝孙，1-4代。移民国外，女的被杂交，男的难娶不到女人。女的可以嫁白人，男的娶白人难。
1691804159# #公布答案1.意思讲：拼多多的是假货，相当于1100买到京东的真货。2.假设拼多多确实是假货。京东退货把关严的，有产品序列号，假货也退不了。如把关不严，没有记录，应该吃哑巴亏。或者出报告验证是假货，买者可以去拼多多赔钱了。检验报告可能比耳机还贵，另外如何验证退回的这个假货不是京东的。
1701391368# #信仰，本是宗教用语。而掌控舆论的西方主导，通过洗脑术，把大家洗脑成：人是要有信仰的，这个观点大家都认同了。西方喷中国没有信仰，于是我们解释我们是有信仰的。。不过从这个信仰的角度，也可以很好的反击对方的喷击，当前都是这个角度去反击的，效果也是不错的。。更好的反击是：宗教信仰是一种封建
1688614823# #被洗脑的后果：断子绝孙，1-4代。也可以从她爸爸或爷爷那代开始算。
1696316130# #汉奸的钱最终被没收。。1.结果，最终，李鸿章、张之洞、盛宣怀等大汉奸，也并没有拿到这些钱，而是被汇丰、花旗等银行没收了。。2.并非始于美北约去年没收俄罗斯海外富豪的资产，并非始于美国硅谷银行定向破产。
1696315632# #苹果新一代旗舰机iPhone15Pro系列，问题多。除了过热问题，还有系统漏洞问题！另外：信息也会传回美国？。。德国icon的Nitrokey安全公司警告说，高通icon骁龙处理器未经用户同意，就直接把信息传回美国icon高通服务器！。。欧洲icon的自由软件基金会icon，也就是FSF，发现所有现代Intelicon处理器平台，都
1702265734# #未来台湾如何演变？。1.去中国化一直进行中，未来是进一步乌克兰化。同乌克兰反俄，台湾会走向彻底反华。。2.之后纳粹化。。3.之后跟中国干架。。4.我理论，可以解释乌克兰现象，也可以预测台湾如何演变。。
1689463567# #公共场所不能拍，这个错误理解，是那些女权及媒体人引导的结果。。公共场所是能拍的，不违法。但不能传播个人隐私，传播了就违法。。这些错误引导后的坏影响，却是普通民众去承担。。上次哪个保研到川大的传媒学生，还网曝大叔，应当公诉的，严惩的。
1696124145# #高铁，第一次在台州站上车，始发站：温岭，至上海。原来台州站是小站，中途小站，温岭站才是大站。。台州西站才是大站，能做始发站。。台州高铁站点的骚操作！
1687617702# #法律是保护老板的？责任可以由代理人即法人承担，这是公司法的精髓？。。美国也是个公司，也是类似的道理，代理人总统即总经理，经营时要承担责任。投资人：董事长，董事会，不用承担责任。。犹太人首先发明的公司？很高明吧。
1692232915# #在美国的孔子学院的女老师，之后都干嘛去了？。6分30秒开看。。明白我的理论，才是破解之道。。-墨皖观点:在美国教中文的老师谈及美国的年轻人竟然都-今日头条
1701905629# #最近糊锡进，何咋休，用极左的词。。为何是他们再说，他们为何要说。学懂我的理论及以下分析，就会明白。。关于左右见下：。自从有了苏联，西方发明，并把之分成两个阵营。。1.左，右，是西方统治阶级阶级发明的？中国传统有左，右吗？自从有了苏联，西方发明，并把之分成两个阵营。。2.西方统治阶级，喜欢
1693182900# #先下个结论为证：小日本坚持下去，不断花钱洗脑，背后的西方也一起去洗脑，若干年后，会洗白的，起码会洗模糊的，起码会没感觉，该干啥干啥。曾经的强盗，也没咋的，现在成为人类灯塔，被强奸了，现在很多人说它是灯塔。
1688211296# #阿斯巴甜为“可能致癌物”？。据媒体报道，世界卫生组织下属的国际癌症研究机构7月将宣布阿斯巴甜为“可能致癌物”。美国可口可乐公司的健怡可乐和新上市的零度可口可乐都是采用阿斯巴甜作甜料。
1692574463# #最大谎言：私人财产神圣不可侵犯。被洗脑的他，洗脑了她，多年以后，她揭露了他。。-美西方最大谎言：私人财产神圣不可侵犯。看夏威夷大火之后。-今日头条-今日头条
1695164528# #预制菜，被西方引导的舆论，热得很快，很有效，目前焦点：学校学生，最近一周是加速，各个大v基本都评论了。在西方舆论的引导下，国内舆论紧跟。国内舆论不是我方主导的。，又是一个典型案列。
1688263125# #电车汽车市场起来，不是鲶鱼效应，主因是崇洋媚外。。一.概念：鲶鱼效应，原是指鲶鱼在搅动小鱼生存环境的同时，也激活了小鱼的求生能力。后来，鲶鱼效应是采取一种手段或措施，刺激一些企业活跃起来投入到市场中积极参与竞争，从而激活市场中的同行业企业。。解释：国内企业一直是积极投入的，国家也一
1691309452# #被洗脑与智商没有必然联系。新冠后年代是觉醒年代，如一点也没变化的，是智的问题！
1696497700# #有些新富要润，是被洗脑。要破解，得学懂我的理论。。移民，被洗脑后果有：。1.种族灭绝，断子绝孙，1-4代。。移民国外，女的被杂交，男的难娶不到女人。。女的可以嫁白人，男的娶白人难。。2.钱被榨干，1-4代。。郭闻桂，进监狱，钱还能保住？。跑到加拿大的烂仓星，回来后还有钱？。美国的中小银行倒闭，华人
1692574772# #我的理论见下：一.1.为何黑人受到歧视不恨美国呢：没人教他们去恨美国。2.恨国党是如何形成的？有人教！二.西方统治阶级的洗脑术，忽悠术是极其强大的，是一种统治工具，简单，廉价，有效，对内对外都进行洗脑控制。使用有历史，从宗教就开始。三.阶级分析法。四.文明基低不同。
1703301286# #游戏新规，有助于生孩子。。限制游戏过度使用和高额消费，网络游戏不得设置每日登录、首次充值、连续充值等诱导性奖。。1.有人说游戏产业又惨了，又在歪论影响经济了，为何不这么想：年轻人省了大把游戏的钱，然后去消费，拉动经济，让年轻人把更多的精力放在创业上，工作上，创造更多的财富。。2.游戏产
1689733067# #恒大拿地一般都是便宜的地段，可能平均在6000~8000之间。风险转嫁给国家及买房者。就等市场走好成暴利。大概2008年那时，恒大已经尝试过一次，那次相当成功。这次，没成功。对于许来说，暴富与小富而已，有什么差别，尤其风险已经转嫁。
1703294485# #黄奇帆对美元，人民币的看法的三句话。。当然仅从三句话分析也不客观。。暂且从他三句话进行分析。。第一句话说的有问题。。后两句还可以。。错在第一句，也是被洗脑的心态：恐美，唯美。这种心态也是所谓的中国大多数精英的心态。。百年未之有大变局，破局，不是等着变局，要主动寻求变。认清后面两句背后的
1703510890# #免疫债理论：今年那么多人发烧，是因为带了三年口罩，抵抗力下降了。。1.这些都是逻辑不强的医生，洋人说什么就听什么。。2.环境空气中就有大量病毒，细菌。。所以睡觉时，运动时，走路时，洗澡时，刷牙时，吃饭时都会接触到的病毒，细菌。。即使有三年经常带口罩的，但他们在以上时间，仍然会大量接触病毒
1701676127# #台州租房超话。黄岩城南，汇江新村。。首次出租|南北通透︱燃气|朝南2室2厅厨卫2700元。。首次出租，无介绍费。约90平方，南北通透，燃气灶，主卧朝南、客厅、次卧均朝东。移动宽带500M，数字电视。恒洁智能马桶，海尔统帅空调大1.5匹变频1级能效，海尔小神童洗衣机6.5公斤，海尔冰箱202L风冷无霜2级
1687746342# #俄罗斯局势：瓦格纳集团闹事，但很快平息。
1694438634# #预制菜，最近是热点。。西方舆论带头操作，国内舆论跟得紧！。我的判断：这是有组织的舆论引导，目的影响预制菜的这个概念行业，可以影响股市，及金融。。一翻热闹，主动被洗脑，被忽悠而已！
1697503453# #建国后，毛主席为何还要继续反复看二十四？。背后是什么逻辑？。1.毛主席的卫士说，毛主席看二十四史，看了30多遍。。为何要看这么多遍？？。结合窑洞对去思考。。2.毛泽东（1893年12月26日-1976年9月9日），清朝（1616年—1912年）。毛主席的文言文水平如何？看这二十四史费劲吗？是看不懂，所以要多次看才
1703561322# #纪念伟人，推荐看这篇文章。。曾经的盟友：阿尔巴尼亚。。
1688685597# #最热的一年？。地球温度最高的年份来了？。有一次碰到一位中医爱好者说，地球温度60年一个变化，温度从低到高，共4轮还是6轮一个循环？未来30年？达到最高点，还有30年啊！
1693841400# #逻辑不通。1.被洗脑的，已经认美爹了，另外非法被关着，要唱反才让出去。2.人数不多，已经这么多年了也不见有浪花。3。还喷大头鹰是高华，是黑他的，他不是高华，什么是高华去查查。此人也是被洗脑后，再去喷大头鹰。学懂我的理论，才会明白这一切，也是破解之道。我的理论，从我的微博里找。
1704087952# #台州白沙湾海滨公园，玩沙，看海，孩子们的乐园。。这海水清，可以吧！台州湾能有这样的海水！
1694333645# #公知及粉，装死？。美爹不讲自由，他们装死！不去批评！
1701857192# #有人说是新自由话术。另外：此句话，捆绑了政府的手脚，职责之外，处于没人管，处于无政府状态，背后逻辑应该也有无政府主义。
1695479423# #预制菜舆论炒至学校学生，教育部也发话了，未来还可继续炒作吗？哪个方向？我的判断：该熄了。这波西方舆论引领的，作用不明显，股市也在反弹，也影响甚微。当自己去熄灭，后面跟跟的小虾也会慢慢消失。9月22日，教育部有关司局负责人就“预制菜进校园”问题明确表态回应称：不宜推广。
1691455314# #没想到吧，28nm光刻机就要有了，台积电开始接单7nm。自己的市场竞争迭代做起来，才是自己的。。当年我曾说：光刻机都会做起来。。自己的市场竞争迭代做起来，才是自己的。。很多人不信。。当时判断：那些认为光刻机很难，不可能，这是自贬过甚，这是被洗脑的结果，不自信。。张捷也是多次表态，光刻机没那么
1694335624# #温铁军，公知，藏得很深。。1.当前如这般操作，必然加剧人民币暴跌，导致及加剧国内的金融危机。这是毒药方！。2.另外他的观点说是全球危机，引导的想说国内会有危机，忽悠方向：中国不行了，中国的房产不行了，只要这个目的达到就可以，通过舆论影响大家。。3.又圈一堆粉？穷人，人民的立场？。4.未来人民
1691281153# #张捷以前出了一本书有关滴滴的书，他说最后被封锁，发不出声音了。。我曾评论，这样的逻辑：张捷现在能发出声音来，红起来，是因为司马南们能先发出声音来，张捷们才能发出声音来。。同样这样的逻辑也会成立：司马南们发不出声音，接着会轮到张捷们，张捷们也会回到发不出声音的状态。。目前即有点像司马
1688602947# #李玟，抑郁症自杀。中医的对策：怒胜思。
1702433984# #被洗脑的后果：1.种族灭绝，断子绝孙，1-4代。移民国外，女的被杂交，男的难娶不到女人。女的可以嫁白人，男的娶白人难。2.钱被榨干，1-4代。郭闻桂，烂仓星。美国银行倒闭，华人的账户里钱，能拿回来？日裔被收割的干净，几十年后说道歉是错误的，钱还能拿回来？钱被榨干：1-4代，时间问题。
1701579210# #你知道一座甜了千年的城市吗？
1698103371# #巴以冲突，看核弹会不会毁灭人类？。1.谁有核弹？。核弹等大杀器，你有，他也迟早会有的，时间。比核弹更厉害的大杀器，未来也是未知数，不知道谁可能掌握。。2.未来谁会用核弹？。疯子是有的，概念低的。疯子碰到疯子的机会也是有的，概念也是低的。老实人也会憋不住的，放大招。概率
1700798743# #没人监管，此人能有这么多粉丝，也是有平台的功劳。我的理论能解释这一切，也是破解之道。
1697004903# #谁是西方统治阶级？。1.欧洲封建奴隶时期，可以把犹太看做是“士大夫”，犹太是为某个种族统治者服务的，提供资金服务等，比如：在英国，英国白皮当皇帝，犹太是国家管理者，犹太拉比地位很高，在欧洲其他种族国家也是如此。。2.进入资本主义社会，皇帝成了假皇帝，统治者是买办与犹太媾和，比如英国从威
