1703482530# #这么一说突然感觉憨憨的awsl抱一抱
1704085505# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1701671916# #因为淇淇内心丰富，毕竟眼睛是心灵的窗户抱一抱抱一抱抱一抱
1702864625# #我要笑死了允悲允悲允悲
1701533802# #不能再磕淇淇的专业能力了，我真的要睡了，明天我也要上课研究我的专业能力了，淇淇晚安
1702599350# #转发微博
1701561251# #成毅超话最近在一年级考古淇淇，越来越爱了，真好，有盼头有滋养的感觉真好，不得不说在他身上学到了很多。
1700916799# #成毅超话恭喜ee！！！！！
1701879020# #是的，从低谷走来的人更明白每一场人声鼎沸的不易，说得好抱一抱
1702381838# #太酷啦哇哇哇哥哥好牛
1701388084# #电视剧莲花楼超话花花早上好～今天我要去上期待已久的课程啦，好开心！昨天也好开心，给学生们上课反响很好，就像你说的，一念心清静，莲花处处开。不愧是小花抱一抱
1701878309# #转发微博
1701388775# #抱一抱在我们每个人的生命里继续
1701859897# #转发微博
1702045161# #是的！！！！！！！！！女性表示极度舒适
1701843786# #他俩我觉得可以抱一抱awsl
1701388405# #我是28这一年抱一抱和李莲花同岁的这一年心心心
1702621927# #果真做个死人也没那么容易果真和过去告别没那么容易
1702510102# #成毅超话电视剧莲花楼超话写得很细腻
1700921261# #一念心清静，莲花处处开🪷
1703774983# #awslawslawsl今夜又是一个快乐夜和我一起说谢谢淇淇！！！爱你淇淇！！！
1702523668# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~~
1701843650# #怎么会听不出awsl天天上下班路上哼的就这首
1703131485# #成毅超话淇淇，今天阳光很好
1702914336# #电视剧莲花楼超话今天他也看的很开心心doge我自是不用说了抱一抱抱一抱抱一抱
1702744223# #成毅超话电视剧莲花楼超话追星原来是一种给内心勇气的陪伴。当你前行时无以为继的时候，他的精神和行动不断激活着内在的力量，让力量有与现实相遇的可能。谢谢你，李莲花/淇淇，你让我懂了好多好多，快三十了，活力在生命里初现。还好，不晚。
1701391228# #转发微博
1703081875# #电视剧莲花楼超话（后续）因为姨妈第一天腰酸第二天还要早起就想早点睡，打算明天再一起看，现在他要自己看了！拦都拦不住跪了
1701844025# #我以为在说莲花楼里的花花doge
1701145786# #特别记得这个游龙踏雪和相夷太剑的片段，不仅帅哭了，而且那一刻是非常纠结但又毫不犹豫的，是继续伪装还是救小宝的性命，没有太多犹豫，直接为了小宝掉马甲了，还耗费内力，不是无脑粉李莲花，这波对生命的真诚和珍惜真的把我感动到了……
1704468819# #电视剧莲花楼超话花花，你是面对自己的阴影了，能教教我怎么面对阴影吗抱一抱今天学到这里，感觉花花是专家了，我再细品几遍莲花楼
1703034906# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1701389322# #李莲花和李相夷在教人与过去告别，穿越每个人眼中的幻象，活在当下。我直觉李莲花没死，他是超越了过去的自己，失去神智或许只是超越了思想上的束缚，死亡的隐喻也时刻在提醒我们把每一天当最后一天过，不后悔地去度过当下的时刻。
1701768996# #成毅超话淇淇你在跟礼仪小姐说什么呢可怜可怜可怜“你请你请”吗可爱礼仪小姐跟着你一起cpu烧了吧doge看上去有点不太聪明的样子但怎么我还是这么喜欢啊啊啊啊啊啊！！！微博视界大会全阵容
1702093431# #成毅超话努力的目的是让自己这条小溪流逐步变成大江大河奔流不息，最终突破“河道”框架的限制，流向大海，流动着，奔腾着，前往自己的方向。就像何堂主说的：……，有哪一条能框得住江湖之人？努力是为了能活出自己，能有自由成为自己的机会，从心所欲不逾矩，祝各位心中有律法，活出自己，享受人
1701820452# #他现在这样就很好，对于真诚的人毫无抵抗力awsl
1701788378# #世另我awsl抱一抱
1703516348# #我对象说：再来一部李莲花这样的作品就好了。那一刻，我俩的心靠的好近泪抱一抱悲伤电视剧莲花楼超话
1703174171# #电视剧莲花楼超话他词穷了，“他真的我哭死”说了一百遍还在说，我再看也还是双目落泪泪泪泪
1703555252# #我们对他说：追梦的路不平坦，我们在身后永不散，记得回头看绿海。。其实就像他在对我们说：生活学习工作之路不容易，我在你们身后支持着你们，记得回头看看我。。他已经成为了我们的勇气自信和做自己的力量之一，他的真诚尊重和温暖也让我们彼此之间的祝福成为了相互的，相互陪伴，相互照亮。。我今年28
1701779049# #转发微博
1701879094# #转发微博
1702552730# #很好！很好！！
1702953446# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1702552250# #我正在微博跨年狂欢节预约2024跨年嘉宾，可以冲跨年晚会现场门票！快来和我一起参与吧！.
1701753878# #电视剧莲花楼超话李莲花告诉我的是人生在世，接触到人性的阴影是很正常的。。如果没有触犯自己的权益，那么在这种情况下可以表达自己的感受，但不要行为上破坏礼法边界就可以了，情绪上有足够的能力让自己开心起来，行为上继续满足自己的需要，纵使外界让李莲花背负骂名，他也依旧清楚自己的需要是
1701221683# #2023超话大赏闪耀开启！我已为电视剧莲花楼超话增加1点热爱值，来为你热爱的超话打call！还可参与集卡瓜分万元红包和实物大奖！
1701878405# #转发微博
1704186534# #绝对是手机的问题
1703290912# #成毅超话淇淇，冬至快乐啊
1703290661# #呜呜呜呜呜电视剧莲花楼超话
1700898027# #花花爱忽悠人的性子在底线就出现了太开心
1703166968# #谁说不是呢跪了跪了跪了跪了跪了跪了跪了真是起猛了
1702166191# #好强啊
1701048975# #成毅超话他说他被李莲花疗愈了，我能感觉到他身上那份努力带来的压力，我们在这一点上如此相似，而李莲花的存在救赎了我们。学了很多理论，看了很多书，确实很少很少能教会我们如何好好生活，李莲花用十年的故事带我们体验活在当下，那下一个十年再下一个十年我们约定都好好活在当下，享受付出和收
1703034917# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1703931686# #为啥演我
1702552243# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~
1701047901# #成毅超话超话星愿池非正式跨年派对希望ee和我们所有果果都能好好生活，享受工作，平安喜乐。世界和平。
1702862460# #一起努力可爱太开心抱一抱
1703039091# #哈哈哈哈哈哈哈哈哈哈允悲
1701773270# #可以cos花花吗大大可怜可怜可怜
1702136060# #我就知道李相夷没死！！！允悲
1702806600# #转发微博
1701858753# #他真的发微博了！！我哭死
1704076504# #元旦快乐抱一抱抱一抱抱一抱
1702701228# #电视剧莲花楼超话成毅沉香如屑苍兰诀主角被要求拔情绝爱，背后有说不完的故事：前有沉香如屑的应渊帝君，后有苍兰诀的东方青苍，现有莲花楼中的阿飞。在希腊神话中也有数不尽的原型告诉情绪感受内在体验的对于突破旧制度和激发潜能的意义，自然会被旧有父权制度打压，被要求拔情绝爱。。谁懂啊
1703152779# #转发微博
1702166289# #鱼头星星的角色宇宙，谁是人气之王？我的点评：苹果苹果苹果苹果苹果
1701859691# #转发微博
1703551545# #成毅超话我梦到淇淇了！！！awsl抱一抱好开心啊啊啊啊啊啊
1701830537# #转发微博
1703001323# #电视剧莲花楼超话咋整，我说快点要睡了，他说看完这集！现在好好看！我……我觉得他说的也对doge那我边听边睡吧……
1701045536# #泪姐妹被你说哭了
1704031489# #抱一抱抱一抱awslawslawsl舒服了
1704430897# #成毅出妆路透我对李莲花的爱还在！！。。但是这谁受得了啊……成毅英雄志今日出妆路透
1704289121# #转发微博
1703166997# #莲香楼面临被摘中华老字号啥呀……跪了以为起猛了看到莲花楼
1702997546# #和淇淇一起太开心抱一抱
1702165993# #电视剧莲花楼超话我的心理咨询师总是把李莲花说成白莲花doge洗克修！
1702552256# #微博跨年狂欢节可以预约2024跨年嘉宾了！还可以冲跨年晚会现场门票！快来和我一起冲！。
1701779046# #转发微博
