1688072037# #《日军暴行！我们有什么资格为先辈原谅侵略者！》
1688108712# #《安徽大案：最后的三百米》
1687957766# #《新婚不到1个月，丈夫无意间观看妻子手机，妻子竟然跳楼自杀》
1687894672# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1688040875# #《左右，医院门口缺斤少两老板嚣张跋扈》播放量：9万。点赞量：1985
1687893797# #《主席下田考察，强调农业发展！》
1688046972# #《1942年，一孕妇即将分娩，不幸的是她却被日军抓住》
1688047523# #《他们太残忍，连小孩也不放过！铭记历史，勿忘国耻，吾辈自强！》
1688015416# #《扬州警方性侵案再掀波澜民警被指控涉嫌违法！》
1688042381# #《杨芳指挥千人唱《万岁毛主席》激情四射欢声雷动，场面壮观感人》播放量：3533。点赞量：246
1688069950# #《所有制混乱是一切混乱根源，所有制变换必然引起政权更替》
1687905959# #《广州大学城gogo新天地附近，有实体店缺斤少两！》
1688010743# #《他是所有日本选手的噩梦》
1687905042# #《母亲重病姐姐不肯出钱，祖宅拆迁却来争夺，不料弟弟拿出母亲遗嘱》
1687893724# #《日军暴行，千万不要忘了那惨痛的历史》
1687873657# #《老百姓都在夸的肯定错不了，群众的眼睛是雪亮的》播放量：2.1万。点赞量：1241
1688046321# #《因为这块遮羞布，老实男人估计要绝种了》
1687894040# #《抗日战争时期，几个小女孩在街头卖艺，后面站着一群日本人》
1687979865# #《小偷入户盗窃在阳台不幸坠亡，家属竟向业主索赔》
1688015654# #《勿忘国耻，铭记历史，我们没资格替先辈原谅他们》
1687893460# #《山东一位女大学生卖淫因顾客下手重报警求助》
1688070650# #《别再宣扬中华民族的繁荣昌盛，听完原因，你会赞成我的说法》
1688070269# #分享视频
1688042675# #《最新消息：徐某被停职，其领导被免职！》
1687958057# #《网友称被民警强奸，警方:涉事民警已降职》
1687933324# #《高铁公务员打人被开除公职，拿60万下跪祈求原谅》
1688070300# #《中华第一保镖张海军出山，一招“蝎子摆尾”横扫擂台，轻松KO对手》
1687874255# #《五指山下压的不是孙悟空，而是无助的负债人》
1688101230# #《日军暴行，千万不要忘了那些惨痛的历史》
1688070925# #《账号删除了，评论关闭了，学生也没人要了！川大依旧死不悔改！》
1687895784# #《儿子在学校离奇身亡，校方称是突发心脏病，尸检竟然发现头部骨裂》
1688102063# #《那个年代的人们是最苦的几代人，我们要给予他们呵护！》
1687893947# #《败类！必须重判！山东青岛8岁男孩被教练打死！竟然还伪造现场》
1688047936# #《色诱他人谋财害命，女犯人被判处死刑，临刑前的真实影像》
1688049158# #《百姓拳王太猛了！王洪祥9秒狂砸30拳，日本冠军在擂台上啪啪打脸》
1687905391# #《为鬼子送饭的老太太，这是发生在1937年北京的一幕》
1687983180# #《电动车被集中销毁》
1687893445# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1687933406# #《焚烧秸秆的害处，要感谢专家》
1687905372# #《枪决死刑犯时，为什么要准备一辆救护车？难道是抢救犯人的》
1687873443# #《倭寇消失了，新华字典删除倭寇一词，是数典忘祖，更是背叛历史》
1687983030# #《日军暴行，勿忘国耻，铭记历史》
1688047744# #《女子买丸子遇缺斤少两，向市场反馈时反被保安辱骂：你缺这点钱吗，走开！》
1688015693# #《不能越拆越穷不能强迫上楼》
1687907008# #《专杀无良城管的大侠真实案件》
1687958183# #《男子碾压妻子致死，女方弟弟发声：姐姐长期被家暴，事发前已提离婚》
1687906462# #《你说有这么玩的吗》
1687893027# #《电话实名到底为谁服务的》
1687873636# #《鬼子太残暴太禽兽，中华儿女必要铭记历史》
1688041903# #《韩国冠军追着方便打，观众兴奋尖叫集体欢呼，结果被方便直接打脸》播放量：2.4万。点赞量：764
1688042631# #《恶霸欺负环卫大爷，让舔地板才肯放老人离开！最终遭暴起反杀！》
1687890312# #我珍惜真诚，因为真诚是一种安然。我在意朋友，因为朋友是一种财富。我留恋友情，因为友情是一种甘露。我欣赏善良，因为善良是一种美德。我喜欢文字，因为文字是一种展现。我重视相遇的朋友,因为相遇有你更精彩，和我相处请带着真诚。
1687958384# #《强烈建议取消留学生的超国民待遇》
1688107262# #《加油孩子们！求学道路这么艰辛，也阻挡不了他们向上的脚步》
1687892484# #《天狂必有雨，人狂必有祸》
1687871492# #父母亲是孩子的榜样与第一任老师，什么样的父母就会有什么样的孩子，溺爱孩子害人害己，把孩子培养成为自食其力对社会用的人是每位做家长的责任！
1687905747# #《60岁大娘被三人欧打，女儿得知后，这样做！》
1687895327# #《公摊竟然是为了满足老百姓的满足感与幸福感？》
1688015346# #《精神小伙餐馆撒野，一言不合动手打老板娘，结果被退伍老板修理！2》
1687893127# #《脾胃不好百病生，《土单方》教你这样调理，中医养生，简单易懂！》
1687873312# #《重大刑案！警方发布协查通报：嫌疑人潜逃，可能携带凶器》
1688046271# #《中国后代应该铭记的历史》
1687894839# #《毛主席与蒋介石的人才观》
1687958439# #《19岁男子在看守所死亡，死因为胶带缠绕口鼻致机械性窒息，家属提起国家赔偿……》
1688071204# #《侵华日军到底有多残忍？拿竹签刺穿妇女下体，将男人皮肤活活撕开》
1688045731# #《这些缺斤少两的商家就是发现了就退钱，没发现就吃定你了》
1687932640# #《警方通报男子反复碾压女子致死，犯罪嫌疑人王某行已被刑拘，案件正在进一步侦办中》
1688043005# #《苏联70年腐败史：一个强大政权解体前的作死之路》
1687981521# #《安徽凶案：女人服从歹徒一切要求，还是被杀害，最气人是作案动机》
1688015556# #《凉皮里面放黄瓜丝你们要管，期房烂尾楼你们却不管》
1687906353# #《顶级富豪纷纷“外逃”，我国净流数达世界第二，国家出手整治》
1688048059# #《日本空手道高手，来华挑战100%胜率的王延龙，一脚踹翻他（3）》
1688072313# #《方正县斥资为日军立碑，奢华程度远超烈士陵园，五壮士跨千里砸碑》
1688042181# #《2022年，张扣扣案主审法官落锒铛入狱，网友：报应来的太快》
1687982479# #《你们的错，却让老百姓买单》
1687895316# #《日军暴行，牢记历史警钟长鸣》
1687893971# #《记住！当着中国人的面不说外语艾跃进保卫汉语》
1687894723# #《拆二代遇房企爆雷：房没了钱也没了》
1687893788# #《员工霸电脑拒给群众办证，同事协商遭怼“你背后有人”，官方回应》
1688072388# #《2010年，中山看守所，死刑犯齐萍萍被带进法庭时的情景，她留着短发，看起来一脸的稚嫩》
1687893146# #《仅仅因为150元工资，员工当街捅死老板，抢救无效当场死亡2》
1687892649# #《世界上最大的谎言，欺骗了四亿人》
1687905624# #《三亚警方抓捕赤裸劫匪，劫匪要求女人质脱衣示众》
1688071182# #《中国发出战争备战信号》
1688108436# #《是谁！把“恶意”强加在老百姓头上！》播放量：1206。点赞量：166
1688010902# #《女教师为还赌债，绑架本班富家孩子，后又将其杀害惨不忍睹》
1688047225# #《格斗比赛体育精神》
1688040944# #《公安机关信访新规，2023年7月1日起实施》
1688071751# #《我们的社会确实是出现问题了》
1688042871# #《这一次，“侵犯他人”的扬州王警官，“底裤”都被扒掉了》
1687993301# #分享视频
1687890320# #我珍惜真诚，因为真诚是一种安然。我在意朋友，因为朋友是一种财富。我留恋友情，因为友情是一种甘露。我欣赏善良，因为善良是一种美德。我喜欢文字，因为文字是一种展现。我重视相遇的朋友,因为相遇有你更精彩，和我相处请带着真诚。
1688047405# #《毛主席欣喜若狂：开国大典庆典盛大！》
1687893193# #《勿忘国耻，牢记历史》
1687893054# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1688107431# #《女子嫌小孩吵闹用热水泼去：水是列车上接的，烫也是你们烫的！》
1687890277# #做人就要像花一样，不管有没有人欣赏，但是你一定要绽放，你不是为别人，而是为自己。不做别人的赏物，只做最炫丽的自己！这世上，有些人把你当童话，有些人把你当神话，也有些人把你当笑话。沒关系，做最好自己！一路都是风景！
1688049084# #《老太太飞机上闹事，当众辱骂女生》
1687979815# #《专家说我们已经沦落到丧失基本人性，只剩下动物本能了！》
1688042150# #《毛主席罕见评点古代帝王，一针见血指出历朝历代得与失，看完刷新你的认知》
1688106741# #《杭州女子脑瘫多年，却被指在外地肇事逃逸，真相令人后怕1》
1688101694# #《如果各行各业都是为了赚钱，那么还有道德吗》
1687982847# #《面对老美挑衅，毛主席霸气回怼，太解气了！》
