1695775261# #12306还能出票吗？明天就28号了二哈
1700467964# #刘诗诗hi6逆应援。又是被刘诗诗惊喜满满感动的一天。。谁会不爱刘诗诗呀？。一姐录hi6的红裙也太美丽了吧！。我好爱心心心鲜花鲜花鲜花
1702352282# #哇哇哇哇，刘诗诗任如意爱你爱你爱你爱你
1702096774# #剧粉都心疼任如意呀爱你刘诗诗演技那么好，塑造了那么好的任如意，为什么要改女主人设。我心塞。
1702171599# #哇哇哇，期待刘诗诗任如意
1696201576# #家人身体健康
1691754324# #看见刘诗诗，我也好高兴呀
1700438616# #。
1702638885# #刘诗诗超话姐宝，任辛尊上打戏是不是好多爱你
1699145723# #何赛飞金鸡奖最佳女主角。恭喜恭喜
1694667163# #12306抢票。定了闹钟，点开还是没票允悲允悲允悲。求求了，让我候补成功吧！
1700789301# #我是任辛也是任如意鲜花刘诗诗
1700892856# #刘诗诗现在演技真好，眼睛很会爱人呀！
1694526643# #让刘诗诗多来点生活照
1694767446# #开心快乐呀爱你期待下次见到你刘诗诗
1699880716# #爱奇艺尖叫之夜完整版名单。尊嘟假嘟，真有刘诗诗吗？。是宣传一念关山任如意吗？。吃瓜吃瓜吃瓜。期待刘诗诗任如意快点播出呀！
1697032916# #说真的，一念关山任如意的造型真的都好好看！。真的很难挑出不喜欢的唉！。当然，主要是刘诗诗适配度高。。微风微风微风。刘诗诗666刘诗诗一念关山
1697509195# #昨晚实在无聊想追剧，打开爱奇艺想起来会员到期了。。哈哈哈，我还是去酷吧！。刘诗诗一念关山任如意不来，会员我是不会续了。。毕竟是有其他2个平台年会员的人。吃瓜吃瓜吃瓜吃瓜。还是可以回顾老剧的。。。。刘诗诗
1689685603# #优酷爱奇艺都来了。刘诗诗的待播剧都在爱奇艺，一念关山和狐妖小红娘竹业篇。。刘诗诗的已播剧大部分在优酷，比如步步惊心、怪侠一枝梅、女医明妃传、风中奇缘。。。。目前优酷看的最多，会员都到25年了，因为我太爱步步惊心和风中奇缘了
1701607318# #任辛很帅吃瓜刘诗诗任如意
1700793915# #刘诗诗任如意魅力无限
1693541023# #哇哇哇哇，你也来啦！漂亮姐姐刘诗诗商务太多啦
1690631619# #有点酷啦！
1695612444# #啊啊啊，好期待
1691754966# #刘诗诗请你多多出现呀
1694953284# #刘诗诗超话。刘诗诗用性格孤直形容任如意。。哈哈哈，真的好期待呀！。刘诗诗微风刘诗诗一念关山
1702734867# #在刘诗诗身上看到了蜕变和成长
1700789875# #刘诗诗任如意，吾辈楷模
1695098322# #周冬雨好多电影上映呀
1699256713# #刘诗诗这个视频心心心心心
1701925878# #一念关山张杰立剑MV。等刘诗诗任如意今晚播出啦
1699256826# #必须转的黑天鹅刘诗诗
1692340709# #她好勇敢的，观众都声援她。他们说“公平是讲给弱者听的”，但对抗不公，是勇者才敢做的！
1702564625# #任如意美强惨，三分钟居然就颠覆了安国朝堂，真的太厉害了爱你爱你爱你刘诗诗任如意
1699251895# #欧米茄活动现场的小狮子，谁能告诉刘诗诗，让她多吃点，不要太瘦啦！。真的很美丽了。。今天是简约又高级感的刘诗诗呀！。刘诗诗鲜花
1699315571# #优雅得体，温柔诗意的一姐刘诗诗
1689599099# #这个状态真的很好呀！刘诗诗太美丽
1703226675# #刘诗诗任如意打戏真的好精彩刘诗诗一念关山
1702558609# #我居然只能从路透里了解完整的刘诗诗任如意。刘诗诗任如意
1693696779# #🍉刘诗诗的工作室没资源，但刘诗诗自身热度和咖位一直是一线头部演员。。圈内人多羡慕一姐，总是买氵帖按头她jiang咖。事实是同期里她商业价值最高。。。刘诗诗
1701236434# #刘诗诗演技牛逼，真的很好，我爱任如意
1689515114# #扫扫
1701530504# #任如意才是真正的大女主。刘诗诗任如意
1693576018# #为啥不能评论
1702950270# #事了拂衣去，深藏身与名。刘诗诗任如意
1694041645# #刘诗诗霍建华为胡歌新片打call。刘诗诗这个造型太美好了吧，。也期待美女的新剧呀！。一念关山任如意女侠微风。狐妖小红娘竹业篇东方淮竹大小姐微风。微风。微风。刘诗诗
1701485482# #我来直接夸，一念关山里的刘诗诗任如意，没有缺点，刘诗诗演技全面优秀，无论文戏还是武戏。
1693954854# #美好的一天，从期待刘诗诗任如意女侠开始～。看过任如意路透的，没有人不爱吧！。。刘诗诗微风刘诗诗一念关山微风
1692602909# #我不该好奇二哈二哈二哈
1702699434# #刘诗诗任如意就是很带感呀
1700455352# #刘诗诗刘宇宁hi6上班路透。眼泪憋不住了。。刘诗诗给粉丝应援：高山流水和柿柿如意。。鲜花鲜花鲜花。还有暖宝宝贴。。心心心。此刻和所有不喜欢刘诗诗的绝交了。。刘诗诗太好了。。心心心。小狮子应援也很给力哦心双向奔赴的爱。
1694229377# #漂亮的姐宝，自然和刘诗诗
1702001576# #可隆每期的颜色都好好看呀
1701769727# #刘诗诗玫瑰女王
1703414508# #尊重编剧话语权
1702648913# #刘诗诗她真的超级真诚且可爱呀
1693551051# #要事业的我
1700987574# #刘诗诗一秒冷脸。孤狼任如意来喽！。看任如意一秒变脸，刘诗诗演技大赏。
1702344846# #刘诗诗任如意真的各方面都很顶哦！好喜欢任如意美强惨
1704290636# #期待刘诗诗一念关山新视线群封呀！。微风。刘诗诗终于有新物料啦！
1698725049# #Qeelin给力，哈哈哈哈，漂亮又美丽的刘诗诗
1693488714# #刘诗诗一念关山任如意快点来。。。。秋天很适合任如意女侠呀！。。刘诗诗超话爱你刘诗诗
1702029159# #六公主发的刘诗诗。刘诗诗好可爱，闪闪发光呀！
1695810465# #往年都能买到票，今年短途都买不到票了，12306搞什么呀？候补半个月了二哈二哈二哈
1691307627# #黑龙江蚂蚁河。粮仓呀！希望人都能平安！
1703495731# #一念关山最后一次喊角色名，刘诗诗喊了任如意和任辛。。微风。姐姐对角色完整的爱。。微风。我是天下最厉害的刺客，从来没有失败过。。。。心。刘诗诗任如意心刘诗诗
1699070330# #刘诗诗谈任如意角色形体设计。刘诗诗形容任如意，褪去了幼稚，性格孤直。孤冷，锋利……。我们一念关山任如意真的有些酷了呀！。期待早日见到任如意。
1700785643# #一念关山超话。孤狼一样的任如意要来了。。期待期待心心心心。刘诗诗这几天鲨疯了。。期待任如意大出圈，姐姐魅力赛高。。。鲜花鲜花鲜花鲜花。一念关山定档1128
1703321694# #刘诗诗任如意这套造型超级美。心
1696073364# #每天都要快乐
1692603056# #好飒呀
1702524428# #感觉一念关山本意是大家想看的群像剧，可惜没拍出来。任如意说好喜欢于十三。哈哈哈，我也喜欢。
1701676005# #笑不活了
1688832092# #好朋友
1692707774# #自由
1695376796# #快来爱奇艺预约女性传奇剧一念关山吧！。女性视角的公路传奇剧。。刘诗诗任如意人设超级带感。。期待期待，昨天预告里的刘诗诗太出彩了。。微风。微风。刘诗诗微风刘诗诗一念关山
1703420030# #太有同感了。甲方如果觉得剧本不好可以不要，而不是拿走剧本就任由导演和责编瞎改。为什么你们不相信一个编剧呕心泣血精心创作的作品，而相信导演在现场一拍脑袋？就算你们改得再好，不是我的我也不领情好吗？更别说大多数时候改得像屎一样
1702784940# #可隆配色真的好精彩。刘诗诗演绎的都好看
1694673750# #喜欢有思想深度和有自己理解坚持的导演。有点期待这次合作。刘诗诗加盟最美表演
1702959872# #每次合作都很亮眼爱你
1693298661# #刘诗诗状态也太好了！。这地广每张都好帅，一姐她真的很适合飒飒的。。刘诗诗也太适合TODS了吧！。tods品牌代言人刘诗诗
1699097265# #最近的妆容都好好看，刘诗诗的优雅美丽真的太绝了
1702996216# #一念关山看完了，去b站刷了一晚上任如意。。。有几个博主剪辑的任如意和元禄有点子感人。。暗恋好动人呀！。。会有一点点可惜。。。刘诗诗真是热cp体质，磕cp那么容易笑cry笑cry笑cry笑cry。。任如意雪景心刘诗诗任如意
1697441158# #认真说：。各行各业不都在模仿TOP吗？。你姐刘诗诗天选古代人被模仿不是很正常的事吗？。吃瓜。一直被模仿，从未被超越，是不想吗？。dogedogedoge。业内说刘诗诗还是她这类型的最高配威武。刘诗诗内娱无代餐应该是小狮子的底气。。微风微风微风。还是好好关注刘诗诗本人吧！。刘诗诗
1692415198# #刘诗诗车窗照。昨天上班，没能看直播，昨晚刷了好久微博，找各种角度的一姐刘诗诗。。她好甜，清新自然舒展，刘诗诗真的好好看呀！。360度都很戳人的美貌。刘诗诗
1702691508# #任辛为鹫儿做的最后一件事。。任如意：“在哭，我就沙了你”。任如意：“只有我不在了，你才能真正从鹫儿变成李同光”。。呜呜呜，一念关山剧情太好哭了，任如意永远是对自己最狠。。。。。心疼任如意师父，对徒弟都很好。。真的感谢刘诗诗塑造了那么好的任如意。。。刘诗诗任如意
1698310243# #点赞中国航天！祝贺神十七发射圆满成功！
1697124623# #拜托，一念关山快点播吧！。等不及看任如意了。。刘诗诗古装剧等了好久了，一定要正常播出呀！
1703401286# #一念关山编剧回应争议。张巍说一念关山是女性传说+公路+武侠的结合。。张巍还说一念关山是大女主+群像剧。。。不知道为什么说的这么明白了，还有人在曲解编剧的意思。。。虽然发生的一切都令人无语，但还是感谢刘诗诗演绎了独立强大的任如意。。。我们等刘诗诗东方淮竹心心心。
1702639239# #刘诗诗超话。谁能说一下任辛翻牌进行到哪了？
1695829036# #导演说刘诗诗演出了3分真7分假。最近刘诗诗给的惊喜太多了。。一念关山任如意眼神坚定，很飒。。来电里又展现了刘诗诗情绪感染力很强的一面。。微风。很少这么喜欢一个演员，刘诗诗很值得。
1703337415# #关山已过，前路犹长，我们竹业篇再会。期待刘诗诗东方淮竹心刘诗诗任如意再见。刘诗诗一念关山
1695855669# #导演说刘诗诗演出了3分真7分假。刘诗诗演技一直都很好，现在更加成熟有魅力了。期待一姐刘诗诗更多的尝试。
1697255364# #金钱是聪明的
1702784325# #刘诗诗说一念关山不是古偶。刘诗诗在hi6真的好甜呀！
1700458364# #刘诗诗的手都是好看的，头发甩起来，好飒
1704594877# #刘诗诗可真牛呀
1692080801# #以上用户多次恶意造谣，挑起粉圈互撕，请平台永禁处理。
1691812001# #拒绝替职黑背锅，拒绝不适合的妆造团队。。我姐刘诗诗值得更好的。。另外，有些姐粉别因为昨天断网就护职黑。。刘诗诗是底线。。刘诗诗
1692003845# #这个造型又大气优雅又有点飒
1693536849# #这个系列也好好看呀
1695859072# #导演说刘诗诗演出了3分真7分假。实力派演员刘诗诗，不止一个角色入人心哦！。白月光龙葵和若曦，惊艳谭允贤，打女燕十三娘，社畜李思雨，富家千金蒋南孙……。微风。每一个角色都很精彩。。微风。期待演员刘诗诗更多的精彩演绎。
1701361866# #事事如意，刘诗诗任如意
1689671236# #好好看呀
1701162131# #刘诗诗我哭了
1693898670# #平均两部剧爆一部的演员。刘诗诗
1692540345# #希望有后续吧
1699346147# #金莎男友装天真。这是啥节目
1702119393# #刘诗诗如意一直都很清醒说的太好了，对手强才能显得自己强。期待今天的任如意
1693573239# #真的会真情实感的羡慕一姐刘诗诗的美貌！。当然了，刘诗诗的气质我也很羡慕了爱你爱你爱你。微风。东方淮竹大小姐温柔娴静的美。。人群中的一姐刘诗诗好亮眼。。微风。有些期待竹业呀！。。刘诗诗狐妖小红娘竹业篇微风。刘诗诗沈月东方姐妹路透
1699249322# #刘诗诗欧米茄名人大使。刘诗诗真的很适合这种简约又高级的搭配呀！。每一张都可以直接做硬广的水平打call打call打call
1690770682# #漂亮的一姐刘诗诗
1700186589# #在等刘诗诗直播的同时，已经买了奥妙洗衣凝珠了爱你
1696580918# #一念关山超话。大家的如意姐来喽！。一念关山有刘诗诗真的是福气。。古装剧就是刘诗诗的统治区。。。刘诗诗一念关山微风刘诗诗
1702635439# #一念关山安都副本决胜局。姐宝，任如意魅力很大哦
1701355699# #任如意怎么老是受伤呀心
1704199188# #我油头用着还不错吃瓜买过很多次了。kono品牌代言人刘诗诗
1694309519# #一念关山超话。昨天聚餐，朋友问到了刘诗诗一念关山。。说刘诗诗任如意真好看。。微风。当年的怪侠的燕三娘现在独当一面扛大旗了。。带着年轻弟弟妹妹打打ss还挺有意思的。。朋友都很期待我们任如意女侠呀！。。刘诗诗微风爱你爱你爱你
1702635403# #一念关山安都副本决胜局。吃了没，姐宝
1691621353# #一顺百顺
1694767517# #终于找到自己和刘诗诗的相似之处啦，这神奇的拍照角度一模一样啊
1693297587# #太有水平啦！每张都好帅呀！刘诗诗和TODS
1703646858# #我漂亮又善良的姐姐刘诗诗心心心心
1696251684# #我只相信刘诗诗的玄学。。一念关山随缘播吧！。一姐这么多年什么都经历了。。以后定会顺风顺水的。。微风。姐粉们切记：遇到烂人不能在自己身上找问题。。微风。一念关山播成什么样不知道，但我知道一定任如意会出圈就行了。。刘诗诗微风爱你爱你微风
1700392792# #刘诗诗快来扶我…
1701528693# #是刘诗诗任如意呀刘诗诗任如意
1691757099# #你真的很好，姐姐刘诗诗
1697166690# #要看
1696745836# #刘诗诗淮竹什么时候杀青呀？
1703261327# #刘诗诗TODS。深夜这么热闹也是醉了。。行吧，我来发发国民女演员刘诗诗任如意啦！
1699265662# #刘诗诗刘诗诗
1691292197# #内娱不可复制的成功。刘诗诗呀！贴吧时代的顶流。。顶峰时选择结婚生子，休息3年。。5年只有2部剧播出，照样拿下四奢代言。。同期里剧播最少，质量最高。。虽然作品少，但出圈角色众多，演技好气质佳。。5年不拍古装剧，还是轻松拿下天选古人称号。。有爆剧有作品厚度的实力派国民女演员刘诗诗。
1695270444# #被刘诗诗一念关山任如意女侠帅到了。刘诗诗演技牛。
1694309115# #一念关山超话。刘诗诗任如意女侠，是意中人呀！。性格孤直的女侠，好期待！。爱你微风。刘诗诗
1695802526# #哇哇哇，我期待的花絮刘诗诗真的很会演
1696554280# #刘诗诗超话只要放假就漏签，放假就会戒掉的手机。笑cry笑cry笑cry。一念关山任如意很是期待哦！
1702031444# #现实里刘诗诗闪闪发光惹人爱。。剧里的任如意强大清醒招人稀罕。。。一念关山任如意可以说是刘诗诗的人生角色了，除了刘诗诗想不到谁还能演绎的这么好。。。“来而不往非礼也，有本事，你就杀了我！”。“有意思，你指名道姓地要我，却连看我一眼都不敢……”。“一个人狂妄之极的要求，往往就是他最大的弱点
1699431278# #刘诗诗说任如意很特别，是孤狼一样的人，所以在形体方面会特别注意。。刘诗诗鲜花鲜花鲜花刘诗诗一念关山
1701086274# #孤狼任如意明天见吃瓜刘诗诗一念关山
1701730168# #任如意：你只是把话说的比较好听而已。刘诗诗任如意
1701270056# #任如意女王，一念关山就是刘诗诗演技大赏。
1694666564# #干得漂亮，姐姐刘诗诗这个造型十分可爱
1691983934# #期待
1702057885# #气的半夜睡不着，现在好想哭。我明天还要加班泪泪泪泪
1698853001# #“我要银鞍照白马。我要飒沓如流星。我要跑。我要笑，要飞。飞到任何我要去的地方”。啊啊啊啊，为了刘诗诗任如意睡不着……。微风微风微风。刘诗诗也太会演戏了，眉眼带笑，好爱呀！。刘诗诗一念关山给力刘诗诗
1702689857# #任辛为鹫儿做的最后一件事。。任辛对李同光说，在哭我就沙了你。。任如意对公主说，我两个徒弟都很好，就是都爱吃醋。。。师傅任如意永远是那个嘴硬心软的人。。好爱任如意呀！刘诗诗真的演的太好了。。。一念关山预告里百鸟朝凤那个画面太震撼了。。刘诗诗真的在有限的戏份里，贡献了无数高光呀！爱你
1700454208# #刘诗诗刘宇宁hi6上班路透。一姐这身衣服造型很适合了。。其他不多说了，看图吧！
1702561260# #刘诗诗任如意美强惨大女主呀！真的会很爱任如意
1701991619# #任如意真的很好呀刘诗诗任如意
1699920966# #期待刘诗诗任如意
1700798444# #任如意姐姐，我来了
1700789487# #我是任辛也是任如意刘诗诗一念关山
1702968734# #我推荐《一念关山》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1702716583# #刘诗诗全程都很可爱
1699974422# #晚安喽！。接下来刘诗诗有杀青特辑，有综艺，有剧播，有活动……。微风微风微风。姐粉吃太好了，期待一念关山任如意呀！。给力给力给力。养养浩子，开心等任如意吧！。刘诗诗微风刘诗诗一念关山
1701162306# #刘诗诗，我真的哭的好大声心
1701657039# #我心酸了，师傅，你疼吗？呜呜呜，心疼任如意。刘诗诗任如意
1702918062# #哈哈哈哈哈
1693808046# #信息茧房。一个月打开不了几次短视频APP，对，就是某音。真的极少看，感觉浪费时间。
1700450061# #快来看，动起来好美丽的刘诗诗
1703809765# #感觉竹业篇出来，会有很多人嗑cp。。刘诗诗可塑性真强啊。。东方淮竹和任如意在塑造上的差别好大。
1702039824# #哇，好棒！刘诗诗任如意
1703512686# #一念关山科目三。最近看了好多刘诗诗任如意个人向视频。。放一下我最喜欢的。。微风。微风。微风。任如意那么精彩值得被更多人看到。。心心心。好爱刘诗诗任如意呀！。刘诗诗微风。
1696764957# #刘诗诗广场好清静呀！。大家放假还没结束吗？。想吃刘诗诗新剧瓜doge
1699024870# #刘诗诗有点强👍
1692359826# #我宝刘诗诗好白好嫩
1703644816# #其实任如意出圈场面还有好多，刘诗诗任如意演的极好
1698943609# #出席香奈儿大秀的明星们。看到了刘诗诗和子枫妹妹，笑容明媚的女明星们！。刘诗诗造型有点子优雅美丽！
1699449340# #梦一个竹业篇播的时候，东方淮竹在剧组瞎演一起玩耍的部分能放出来。。刘诗诗真的说了很多次狐妖剧组很开心了呀！。刘诗诗
1701436405# #刘诗诗任如意美强惨，今晚为了任如意哭了
1691672644# #刘诗诗行走的山茶花。糊图挡不住的美貌，好期待刘诗诗欧米茄活动的高清图呀
1698983804# #刘诗诗复古淑女风造型。美好一姐，优雅淑女刘诗诗鲜花鲜花鲜花。她真的又美又可爱😊。刘诗诗
1702873590# #刘诗诗真的一点吓不到。我诗诗姐真的胆大！。任如意更是厉害！。今晚一念关山任如意剧情值得期待
1694224438# #刘宇宁还称不上演贝，因为他只有声音呀！你自己说的他靠不了颜值，演的角色也毫无姓名。他最多是氵口。还有刘宇宁姐弟恋，只是离婚啦！他最爱蹭作品，都是女演员一番吧。
1694607752# #刘诗诗好美丽
1699148048# #有时候上网是真开心，会被人的破防笑到。。dogedogedoge。唉，纷扰动不了我姐任何，我姐刘诗诗是一个精神意义上真正自由的人。。给力给力给力。不需要露肤博眼球，可以随意满足粉丝虚荣心，但永远有自我。。鲜花鲜花鲜花。不被任何人裹挟，只专注做自己。情绪稳定，内心强大。。鲜花
1700450322# #今天刘诗诗是高马尾呀！。妈呀，这个妆造美美美！。啊啊啊啊，是妹宝刘诗诗心心心。红裙子也好好看呀！。刘诗诗
1692620689# #不需要对接了，撤了小九吧
1697124732# #李子柒复出卡在哪了啥时候复出，还挺期待的呀！
1699332423# #那天看完，我都不敢再去看，真的好感人。刘诗诗有惊艳到我
1700039846# #转发微博
