1697935988# #已然如此，不如接受
1701141262# #终于把武志红老师这本新书《深度关系》读完了，感受很多，推荐给了好几个朋友，因为我一边读这本书，一边感叹天哪，我身边好多自恋狂人呢，我自己就是个巨婴呢……许多看似难以理解的分岐、行为和反应，如果你能透过表象看到本质，实际上就是自恋受损和自恋暴怒，当了解到这些你可能会对他人，对自己少
1688693077# #消费降级的时代，原来一直吃蔡澜的花花世界细面手延面，细，韧，面中还微盐，特别好吃，就是贵，96三包，十五份，平均六块一束，疫情期间发现了长寿面线，九块九三份，无盐，韧性略差，但细度不错，价格腰斩，喜欢吃细面的同学们，冲！
1693748407# #我的朋友，阁楼上的肖恩，小红书号“sean2046”，品味极好，价格还贼平，实属杂货铺雷锋，喜欢家居小物的，加！
1688612624# #蓝小姐给我闪送了一本书，法国著名化妆品Sisley的创始人伊莎贝尔·奥纳诺伯爵夫人的家，我一收到就哈哈大笑，因为蓝小姐知我，她的家就是我很喜欢的那种放得满坑满谷的充满了生活质感的家。。这种风格不喜欢的人会觉得堆得头昏脑胀，喜欢的人会觉得太温馨太有灵魂了，在约定俗成的想法里家是一个人真正的
1702633450# #作为澳门半岛久负盛名的餐厅，美高梅金殿堂，低调到连招牌都藏在琉璃牌里。今天中午去吃了一下徐师傅的菜，果然名不虚传，金腿燕窝鹧鸪粥，超级细软绵密，－口下去，胃里无比舒服，岭南脆皮鱼香百花鸡是岭南名菜也是徐师傅的拿手菜，苏西讲了一下制作方法以后我简直是叹为观止，原来是要将整张鸡皮揭下
1700974048# #总有什么留下来
1693741935# #为什么离婚会让人基因突变，以前看着蛮好的男人突然变得不可理喻，极度自私，不要尊严不要底线不要脸皮，是人心底原本的恶还是刺激幅射过度，做个人吧，原来是这么高的要求捂脸
1689781720# #有一个发现，微胖，又想凉快，又想有某种设计感的常服，可以在棉花大国印度服装中选择，确实不容易选，但选得到，颜色不跳，款式不夸张的，我昨天试选了四套，没想到今天收到实物，每一套都能穿，当然其中有一套须要剪去金边，惊着我了，南亚人民的审美扛扛的强
1700923803# #我的天，真是好棒……
1699757180# #妈呀，这次双十一最满意的一次购物，小小的山水CD机，音质对我这种对声音完全没讲究行外人完全够了，关健小巧、耐看，美死了，美死了，开心！
1698454758# #刚刚和小麦聊天，她说感觉我每天过的龙飞凤舞的，每天都是很开心的事情，其实我也是有很多不开心的事情，以前我把微博朋友圈当成一个情绪输出口，但是后来我发现了不太好，会影响到别人，也会影响到自己，所以不开心的事，就自己默默消化了，自己消化不了，就直接找朋友倾诉了，关健好像也没有以前那么
1689769071# #今晚最佳，新的中餐行政总厨果然厉害，不加一滴水的洞庭湖甲鱼，又香又爽口，是我吃过最好吃的甲鱼，以后可以多来四季愉粤轩了……强
1688781348# #自律当然是对的，但过度自律是否是另一种酷刑，超我对自我的囚禁与鞭打，让它像一部精密无缝的机器人日夜无休，美其名曰是努力是奋斗是创业是自律，最后的结果无一不指向焦虑症，焦虑症最直观的后果就是睡不着，睡不着之后身体出现各种问题，然后是吃药控制，如果这个时候再不调整，下一步就是抑郁，就
1692442655# #昨天晚上去看了一场真正道地的弗拉明哥舞，演员据说是国家表演剧团的，场子是很小的一个酒吧，观众加上我们大概一百多人，没开空调，热得空气都稔稠了，这大概是小酒吧的常规操作，一个小时的演出，十八欧（旅行社收八十五，真够黑的）五个演员，两个女舞者，三个男歌者，俊的弹吉它，胖的主唱，伊伊啊
1700009825# #睡了最近一短时间最长的觉，整整九个小时，幸福中的幸福爱心
1694250420# #海岛生活
1692517807# #在西班牙这么多天，第一次看到LOEWE,可惜没开门……
1694360321# #昨天晚上下了一晚上的雨，原来以为今天会玩的很不开心，但是没想到在雨中也别有一番滋味，我们乘着快艇在风浪当中做了乘风破浪的姐姐，老船长耍手段，九十度巨浪间飘移，刺激非常，还去钓了鱼（我三十秒吊了一条石斑哎）喂了老鹰，去了著名的天空之桥，远眺了兰卡威酷似中国古代仙境的山海之间，晚上还
1689659344# #台风季，暴雨摧城城欲摧
1700823662# #我生活里可能最治愈的事……
1697867969# #运动，家务、护肤、陪伴家人、发微博
1702888098# #冷风中回到家，文心兰开了，换上贼厚贼轻的羽绒衣，地暖也开上，小日子，热乎的坏笑
1700810449# #住进公寓已经一个月了，真心感受到黄大师无微不至的细节设计，小到洗衣机碰到墙面上的那个防磕碰的保护点，他都考虑到了，但这种舒适感是拍不岀来的，家具的质感也须亲身感受才能领会，总之这不是一个“𣊬眼娇”的房子，是一个耐看、耐寻味、寻住的房子，因为东西多，请了好几位摄影牛人都感觉没拍出
1695194710# #看到张曼玉59岁一个人活得这么开心，老怀甚慰，果然是你，不世出的Maggie张，套用胡式名句：“但凡有一句话，一件事，是关于张曼玉的，便皆成为好。”
1698315208# #这么美的酒店夜景，不拍个视频说不过去调皮
1698300105# #记录一下，一半点半从家里出发，在略堵车的状态下，一点五十三分到东站进站口，只须检查一次行李。
1692160103# #以前去大理，邦妮说我是只掉蛋鸡，－路走一路掉，真的是太准了，这一路才开始，我发现我咋这么能掉东西，第一天丢充电宝、第二天丢帽子、第三天丢水杯和眼镜，今天又丢了刚买的眼镜，绝了！
1698753284# #最近最难忘的一夜当然发生在10月26号，参加香港文华东方60周年钻禧庆祝盛典，什么叫香江丽影什么叫老钱风范，算是真的亲身领略过了，是夜锣鼓喧天，红金闪耀，灵魂颤抖，琴声交错，文化东方中庭据说来了超过1400位文华的FANS,这应该是疫情之后城中最盛大的派对了，现场衣香鬂影，星光熠熠，亲眼看着身
1698482834# #今次在HK－些美好的瞬间
1696951985# #《莫斯科行动》，据说有真实事件打底，故事就不去说了，反正就是一顿乱编，一顿乱打，邱礼涛导演B级片神导，女性全员工具人……缺点多如筛子，说点建议性的，黄轩戏是真好，刘华亦是老而弥坚，还任制片人，戏也不弱，真牛！警匪片还是港人的饭碗，反正票房全靠反派撑着捂脸
1693470361# #这几天飞机上消遣的是这部《就这样》，－部注定很难成功的剧，连剧名都让人记不住，欲望都市四大女主都老了，有时我觉得镜头都不忍摇到她们的脸上，可是，那熟悉的感觉还在，这真是开启了一代女性的剧集啊，1998年开始的剧，一晃二十五年了，虽然大家都老了，各有各的狼狈，尤其凯丽死了老公又赚不到什
1690369484# #做为一个喜爱手洗衣服的人，这些年我的洗手台上一直放满THELAUNDRESS产品，分门别类，专物专洗，洗真丝、洗棉麻、洗白色衣服、洗内衣、洗顽渍各有不同武器，我喜欢手洗的感觉，也喜欢洗完晾干之后衣服上的好闻留香，所以这次好开心和蓝小姐、小茂一起到天津，见证THELAUNDRESS亚洲研发中心落地，看
1702392736# #今天读大学的时候，晚自习之前，天天要看这个MTV，只觉得她简直是世界上最美艳的女人
1700464188# #不理解为什么每天早上都忙得要死，后来想想，主要原因是每天都要让花花草草晒太阳……
1698933012# #用完即弃。
1689380423# #记得拍片那天超开心，一是因为冷气足，二是因为裙子太美了，这条拼接百褶裙，超凉快超优雅，胖人显瘦，瘦人显高，绝了调皮难题在于是选烟蓝还是柔咖抓狂
1692620250# #幸福女神，原来你在这里……我终于找到你了调皮爱心
1700912998# #家务白痴用千里迢迢寄来的爱心苹果为自己制作了一杯苹果奶昔，呀米呀米坏笑劳动令人愉快
1690361265# #才知道曹禺是天津人，才知道他父亲是黎元洪的秘书，妥妥的官二代贵公子捂脸还长得帅……
1695622057# #这湖南小碗菜还蛮好吃的，是我太饿了么
1695389125# #泪
1695720750# #很多的事情很多的人，20岁的时候以为是一回事30岁的时候以为是一回事40岁的时候看是一回事，50岁的时候看又是又一回事，明白了木心所说的那一句，不知道原谅什么，诚觉世事皆可原谅，当然也可以不原谅，但不原谅这事儿不划算，等于自己硬动气把心血管堵住了，易得冠心病，伤害的还是自己。爱自己，于是
1695769888# #一回到自家，立即睡了一个酣畅淋漓的好觉，从十一点一口气睡到六点半，我现在什么人都不羡慕，就羡慕睡得着，睡得好的人，简直太羡慕，什么人最幸福？被关心，能睡着爱心
1692125169# #今天真的累辟，小小的菲拉小镇来来回回走三遍，把基本路线摸清了捂脸好在买了点东西，五件衣服、一个艺术家花瓶、－只绿金手编包，都算满意，要不然真的气死捂脸
1694239663# #走之前，托位的福，终于在槟城见到《色戒》里的两个场景，－𠆤是旧关仔角钟楼一个是叶祖意大厦，汤唯和陈冲在街上漫步,背景就是旧关仔角钟楼，这是1897年为纪念维多利亚女王登基60周年而建造的钟楼，是一座摩尔式建筑，华丽典雅，由于二战期间的轰炸，这座塔有点倾斜。当年李安要拍老香港，可惜港岛
1698577949# #怀念
1704163449# #探索、探寻、探知，愿在新的一年与梵克雅宝一起邂逅美好、诗意和奇遇。今日开箱记
1691157690# #今天是我的休息日，上午搞卫生，修空调，下午理疗，逛小店，买了几件衣服一副耳环一双鞋一个翠绿的沙发毯耶紫苏说为什么你永远能买？！我也很想知道这个问题的答案，这一定是个又悲伤又快乐的答案。去白天鹅吃了个清淡又温馨的晚餐，看看云，望望江，聊聊八卦，喜欢这样没有压力又随兴的聚会，今晚的
1700229858# #掐在十点钟之前，写完了装修的粗稿，等明天起来慢慢修胜利真高兴，身体调养到终于能写点字了……但是也还是尽量白天写吧耶
1695714155# #昨晚想明白了三个道理的，不要被打翻的牛奶而哭泣：不要为没有发生的事情而而焦虑；第三不要为你无法控制的事情而焦虑，如果你焦虑，说明你太傲慢了，何德何能，你觉得自己可以control一切捂脸
1702395939# #HI靓女！。还是在TVB的化妆间。。吕良伟快步走到周海媚身边，弯身一吻，HI靓女！这么久没见，你还是那么的靓。。时间真快，一下子就是二十年了。。吕良伟已是一子之父，离过一次婚，再娶的老婆身家丰厚，经常和他双双出现在波场，而周海媚亦过得不错，有工作有收入，年地四十，依然可以在各种
1699402594# #少女送了我开红酒的工具，别的我都明白怎么用，但这鹰嘴形状怎么开瓶，我真的没想明白，求指正。
1702693160# #对奢华套房是有心理准备的，但御狮别墅进门这一面钻石鱼缸真的把我惊着了，美得超乎想象了……
1702346606# #暖暖的
1692259404# #没想到希腊机场这家店还蛮好买的，手工皮包、首饰和家居小品都蛮有希腊特色，塑雕不敢买，太重，只买了几只戒指和三亇小包坏笑坏笑
1689695165# #良久末聚，夜聊走心，今晚的金句是你己过气一万年！
1695532846# #打扫清透，开门纳风，天气晴好，今日教训：我要是以后再借充电宝忘记还，我是孙子。
1703758013# #老是觉得这个灰色沙发有点冷，老是想给它放一个什么靠枕，结果上次买的这个竹影的靠枕极不靠谱，根本没有照片好看，昨天没忍住，又买了一个HarborHouse的抱枕，绿色丝绒，金线，图片美死了，实物也不错，美到我退不了货捂脸本来阿美不让我买，说这个灰色沙发就让它这样空着也很好，但是我就是忍不住
1695876390# #爱护自己，善用好物心
1695254689# #醒来有耳聪目明的振奋感，很久没有这种感觉了，必须要十一点睡啊！改变自己，由此开始。
1700194470# #周末的快乐，听音乐，干活
1691211727# #这几天阿姨回家了，我妈对我爸意见就特别的大，因为他确实不太做，可能那一代四零后男性甚至直到七零后男性，大多数人都觉得家务天生是女人的事，我小时候不知道我妈为什么每天脸都是黑的，全家每个人都笼罩在她的情绪暴政之下，我现在终于能明白了，就是两个人在同时赚钱的情况下，一个人坦然地不分担
1695007066# #白色单瓣绣球和芦荀草搭着也好好看……
1698481758# #留多一日，是为了品尝香港文华东方酒店文华厅黄师傅与广州文华东方酒店江辉师傅的四手联弹的媒体午宴，头水紫菜冲浪加拿大象拔蚌其香无比，头蒜菜蒲酱蒸花尾龙𧄌蒸得超嫩，火候有多难掌握自是不提，我尤爱无骨鲫鱼粥，超滑超香，一口下去，胃都暖暖的，今天的红酒均来自国内酒庄，香郁顺滑，美美
1688727791# #怀念那些觉得有无数可能充满希望的日子
1693740329# #和老友们去广东大厦吃杆鱼，追随五羊新城臭水沟边上那间红辣椒，曾经我们吃过无数餐饭的地方，吃垮了杂志，又吃垮了报纸，还是喜欢和“老人”们在一起，放松、开心、坦率、有趣，信息量巨大，如果做一档播客应该收听率不错吧，这么多横穿四十年纵跃三界的八卦，哈哈，可惜“老人”们都丧失了分享的心，
1691395913# #每次老家有人来，我都眼前一黑，因为要带着他们去行街，各种热门打卡地，人多得起堆，关健大热天时，我真的没勇气带着一群人出门啊啊啊。今天我急中生智绞尽脑汁突然有了一个不错的CTwalk的路线，一分钱不花，还很美，首先是拣早上从中山堂后门直上越秀山，然后沿着云道一直走到越秀山下，这个运动量不
1693109190# #一个自爱的成年人，她看到的成人世界即使有丑陋，有黑暗，但是是真实的，她对这个真实世界没有幻想，没有期待，也就不存在失望，在一个虚假世界里战斗就跟在梦中战斗一样，你不断出拳，挥舞，愤怒，歇斯底里，你的感受真实，但事实是什么都改变不了，消耗的只有自己。
1698111014# #我们公号是“蓝小姐和黄小姐”挤眼
1702219908# #能够确立宽容、充满希望的人生观，知道如何做自己的朋友，因为人人都有责任让自己为他人所容忍，这些也同样需要勇气。
1702110372# #收到惠食佳的邀请时，完全懵了，空山基、赛博朋克、火星、展望……这和一家餐厅有什么关系，昨晚，怀着巨大的疑惑，走进了W酒店四楼，Eels告诉我啫八.星河传说是恵食佳的第三家酒吧，前两家是对话过去，这一家则是对话未来，进得自动门来果然非常未来，想象一下，你一边坐在宇宙航天舱中吃着惠食佳啫
1693390317# #她像一头老狮子，被关在时间的动物园里，没有同伴，眼前的世界晃晃悠悠，她看不分明。牙齿与指爪都派不上用场，时间比人更残忍，它制造出最深刻的孤独与恐惧，即使你举起手臂，又能抓住什么呢？就在这种孤独中，往事如沙，从指缝里落下，恩怨变了色彩，成为不为人知的依靠。
1696163475# #一提到忧伤这个熟悉的词，许老师精神为之一振！面露喜色可以说是那些忧伤的中年人
1696477888# #昨天听张静初小红书说要早上晒太阳，运动，今天动心起念早起，第一次到江边锻练，妈呀，好多鸟叫，跟森林一样坏笑
1698209180# #很多女演员都有一种天赋，那就是她们可以选择在一段时间之内活成她们想要成为的人，这十年，也许章子怡就是想体验婚姻，要体验母亲的滋味，于是她立马就成为让很多人惊讶的中国好后妈，中国好太太。
1691679591# #小儿强烈要求去看《孤注一掷》，结果去看了，全程坐立不安，说心里好难受，蜜水里长大了一代人稍微见到一点生活的真相，就吓成这样，可见平时苦难教育太少了。我心里乐开花，哼！小子，要的就是这种效果，哈哈哈哈。。感觉不错，整个故事情节是OK的，唯一出戏的地方，就是突然警界高层义正辞严宣讲
1697377004# #表姐一家带我们去一家门脸极小的羊肉馆吃羊肉火锅，真的超好吃，清汤也好沾酱也好，都是绝妙，配的葱煎蛋和窝笋丝也都清香可口，在小城生活太美了，呼吸着掺着桂花香的空气，吃着刚走地里拔岀来的蔬菜，幸福！
1697768925# #旅行常常会让你碰到很多很小的幸福的事情，比如说你会发现一张精致的放西装的椅子，比如说发现瑞吉酒店的这个沐浴露非常好，但是国内没有，好像是澳洲的牌子；晚上回来的时候下雨，一进酒店旋转门突然闻到一股香气，让人觉得又安心又温暖，后来早上离店时候和酒店前台小姐聊天，她告诉我这个香气叫做卡
1692005042# #参加旅行团，果然是起得比鸡早，睡得比鸡晚，昨天晚上去吃饭的时候已经完全睁不开眼睛，瞎夹菜，又累又饿，毕竟有已经有24小时没有好好睡过觉，一路奔波，两段机程十二小时，中间还在迪拜傻等六个小时，马上下飞机又去看卫城，又要逛市区，又累又饿到到酒店已经是十点了，而第二天早上6:00就要起来，等
1690193952# #又来天津，住的是我最爱的丽思卡尔顿，啊，laundress真贴心……
1691558874# #对，看的时候我也感觉，纣王在等上天选择的结果，是谁都行
1692939732# #职场前辈常说干这一行须能吃苦，一般人理解为辛苦，但其实这种苦比辛苦更高阶，辛苦是最简单最基本的，这种苦更多的是指超出自已能力，要变不可能为能的那种艰苦，出来工作揾钱，果然是苦、苦、苦……
1690425681# #谁能想到，能一觉睡到十点半，大概是因为来到武汉，亲人比较多，人一下子就放松了，话说武汉是所有省会城市里最接近北上广气质的吧，好鬼国际都会
1701255232# #前几年在Zarahome买了一个扫把，一直很喜欢，以为觉得设计很骨致很简单又很优雅，但是杆子跟那个撮箕的接口老是掉出来，前天我痛下决心买了一卷绝缘胶带，缠了圈插进去，刚刚好，非常得意啊，毕竟我是个家务白痴，我觉得这样的生活小事特别容易让人有成就感，用心理学的观点就是发起意志，然后完成，
1693545861# #短短一篇文章，内心顿了好几次，有几段读了好几回，不可置信……昨晚夜读，放下上海文学时感叹了一句他妈的，陈冲怎么这么会写啊，还是个演员，这也写太好了吧！内心又绝望又高兴，绝望是对自己，高兴是因为世间有她。
1701924491# #昨天忙一天，早上带我妈去看病又去打太极，然后中午睡一觉，下午开始收拾快递，整理花，晚上又去一个朋友家里暖房，但奇怪的是一点不累，可能干的都是自己想干的事情，聊到十一点，晚上居然还睡得很好，可见温暖平常的日子真的养人。放过了自己，降低了欲望，每天蓬头破衣地奔走在小巷中，晒着太阳，低
1691396384# #紫苏请我们一家吃侨美，果然要会点才行，好好吃！紫苏说侨美的特点是可甜可盐，可以吃得很贵，也可以吃得很实在，关健出品稳定，今天被鼓油鸡和叉烧震摄了色色色松软入味，香！
1697688522# #昨天和杨歪歪同学约饭，去了小鳘大院，半山腰的院子，颇有大红灯笼高高挂的感觉，还挺有腔调，菜也还行吧，就是蚊子多得奇巧，咬得杨歪歪同学满身包，简直了，应该改名叫小蚊大院……
1702552727# #梵高喝的苦艾酒坏笑有股药味
1699258631# #卧室的椅子终于到了，倒数第二件家俬到位。
1689236255# #买了两大束波浪龙胆，一白一青，大朵似玫瑰，波浪似雪，还是批花巿场买花爽气，一大束青青白白，夏天看着特凉爽调皮
1700045190# #可能因为昨晚上睡得特别好，所以今天心情格外愉悦，办事格外顺利，出门就有的士等，排队还有美女提，晚上回家门口放着一张画，打开，好香艳，也好惊艳，我的女神黄薇赐我新作，姿意、开心、自在、放松，能这么着读书真是活到自由境界了，谢谢黄薇，爱心你
1699756811# #一早开窗，天蓝蓝的，天晴啦，秋风凉爽，真是跑步的好季节啊，虽不能跑，但可以走啊跳跳转圈跳跳转圈凉风激荡，要穿长袖了
1691508432# #作为一个写都市小说的人，我对于这个都市一切金光灿烂的地方都有研究的兴趣，所以泰迪邀我去吃星河湾.星景秋季臻品宴，我是提前好多天，就心思思。。傍晚的琶洲完全像一个曼哈顿，星河湾三楼到处都是鲜花盛开，辉师傅贤伉俪又双双在此迎客，今晚的菜真的没得说，特色当季食材加云南菌菇，吃到沉默，隔
1703938073# #《繁花》看到第六七集，开始渐入佳境，有点电视剧的味道了，不知道是不是错觉，总觉得演员演得有点夸张，还是说九十年代真的那么浮躁。但是想去再看一遍原著，喜欢陈村老师的评价“《繁花》最无法抹杀的是它对本城和城里市民的描摹。不是一根线到底的故事，不是两个人要死要活的爱情，也没什么波澜壮阔
1692621253# #做为一个有二千年历史的小镇，埃武拉的瓷非常有名，我尤其喜欢这些桌垫，好美，放在节日的餐桌上，用来垫碗隔热，是艺术极了，也美丽极了调皮爱心
