1700824654# #天选古装女星那这个女人应该有名字。刘诗诗。
1701090915# #刘诗诗太会演是一个人吗dogedogedogedoge
1695550807# #刘诗诗张云龙额头吻路透淮竹不要太好看，哈哈哈哈😄
1691667979# #刘诗诗行走的山茶花刘诗诗超话相约美好未来
1702961635# #刘诗诗骑马戏删没了心疼任如意
1695270163# #一念关山刀光谍影版预告期待刘诗诗一念关山任如意or任辛
1698726079# #刘诗诗嘉人十一月刊封面视觉盛宴，风格百变？。刘诗诗超话
1702954722# #一念关山崩人设为任如意而来，任如意头脑清醒，知道自己要什么做什么。
1700794506# #刘诗诗最有cp感的男主那就任如意和任辛吧dogedogedoge
1701569777# #任如意大女主独立自主，一切都保持理性。
1702962052# #一念关山邪门cp我的邪门cp
1695278406# #刘诗诗落叶飘飞打戏惊艳，期待刘诗诗一念关山
1702734069# #刘诗诗上次录节目是十一年前综艺新人刘诗诗哈哈
1694326315# #刘诗诗一念关山期待我们任如意，我们爱剧护剧就好了，不管那些七七八八的东西
1700794253# #刘诗诗王艳两代古装白月光合作了嘎嘎杀二哈dogedoge
1702903647# #任如意殉情到底谁这么恨任如意啊！明明任如意是为减少牺牲为大义去刺杀。搞不了一点
1695273738# #刘诗诗新剧一念关山一人分饰两角哈哈，任如意还是任辛呢
1697374089# #刘诗诗不要太好看刘诗诗
1699323367# #刘诗诗穿上高领毛衣还有脖子所以不是一般人，还能有脖子允悲允悲。我穿脖子都没了
1701088603# #袁弘叫胡歌往旁边挪半个屁股那就一起坐板凳看吧dogedoge
1701701694# #常华森秒删那就期待接下来的剧情吧，坐等。刘诗诗任如意超话
1699278949# #刘诗诗下车那段百看不厌不要太酷啦doge
1702373889# #一句话证明你在追一念关山娘娘说我上辈子是把剑
1702993557# #任如意雪景雪中的每一步，都是为大义。
1694057320# #刘诗诗超话岁月静好
1701262721# #一念关山第8集封神任如意武力值爆表
1698749654# #我啊
1702908419# #刘诗诗如意此生五愿刘诗诗为任如意尽全力了
1702975600# #人人公益节甘肃地震紧急救灾与爱同路，让爱回家。我在“甘肃地震紧急救灾”项目捐款成功！愿我和一起放大爱的力量！
1702954626# #刘诗诗去年跨年夜骑着马拍了一小时辛辛苦苦拍的，一秒钟也没有。
1701615576# #:恭喜抗剧女王刘诗诗一番女主剧一念关山开播六天热度破10000➕❗️❗️刘诗诗抗剧女王❗️❗️刘诗诗一念关山最强ip❗️❗️
1702126968# #一念关山修图专注自家，🙅🏻‍♂️看任如意。
1695271570# #一念关山刘诗诗好杀dogedogedoge
1701155551# #任如意的秘密装备靠什么，当然靠演技啊dogedoge
1701268294# #刘诗诗上了舞蹈课因为都提前进组培训了呀dogedogedogedoge
1694180329# #刘诗诗沈月狐妖竹业篇异域造型异域造型，梦回小月
1695271230# #太酷啦一念关山刀光谍影版预告
1695308882# #内娱古偶白月光我的白月光朱砂痣打call打call打call
1701347417# #一念关山替身马赛克怎么啦诗诗辛辛苦苦拍的戏，键盘侠企图抹黑？闪远点，羡慕啊。
1701265440# #刘诗诗打戏感觉真的会武功行云流水，银鞍照白马，飒沓如流星刘诗诗，天生侠女
1695271185# #一念关山刀光谍影版预告刘诗诗一念关山任如意太酷啦打call打call打call打call打call
1695959173# #一念关山期待如意宝啊
1691026640# #内娱一滴泪演技刘诗诗超话越哭越爱打call打call打call
1698036948# #刘诗诗超话be感十足
1702103639# #爱奇艺转发刘诗诗微博做自己的树，保护小小树芽和小草
1701916063# #一念关山今晚继续看一念关山任如意啊
1697374159# #刘诗诗东方淮竹期待
1692172186# #内娱不能忘怀的白月光这是我的白月光
1696826510# #刘诗诗狐妖小红娘竹业篇录制路透怎么这么好看
1701312792# #刘诗诗刀马旦美人《一念关山》刘诗诗的打戏兼具美感、飒爽、杀气、霸道、优雅、凌厉！纤细美妙的身姿+芭蕾舞者的功底+多年打戏的锤炼，我只能说刘诗诗真的是内娱古偶刀马旦天花板！绝绝子！
1702136072# #那可是刘诗诗啊拜托刘诗诗哎dogedoge
1701175627# #一念关山镜头美感刘诗诗不要太美啦dogedoge
1695358831# #一念关山滤镜我们无所谓，哪一种都🉑。期待刘诗诗任如意吧
1695127510# #中医助理医师资格证考试超话Help
1694057265# #刘诗诗霍建华为胡歌新片打call主打支持打call打call打call打call
1695308656# #内娱古偶白月光这是我那白月光
1703686455# #刘诗诗半扎发温柔的滴刘诗诗哇
1701750444# #刘诗诗回应替身说任如意自己付出了努力
1702870143# #刘诗诗真的一点吓不到刘诗诗胆子超大的dogedogedoge
1695357457# #刘诗诗秋日林间大片
1696942780# #待播古偶神仙打架来期待刘诗诗一念关山任如意和狐妖小红娘东方淮竹吧
1701183263# #刘诗诗路人盘喜欢刘诗诗就来看一念关山啊
1693409954# #刘诗诗吴宣仪沈月章若楠同框路透期待成品正片嗯播出
1695262002# #狐妖小红娘竹业篇首发阵容🔥额间神火印，是她一生宿命的归因。她是美貌聪慧的道门世家闺秀，温柔冷静而怀仇志坚！跟随天选淮竹共赴淮水竹亭，感受东方大小姐独树一帜的柔美与坚韧🎋狐妖小红娘竹业篇淮水相依海报
1693098077# #刘诗诗芜湖
1701784842# #一念关山师徒强制爱不错不错，我吃这一挂
1698724837# #不要太酷啦打call打call打call
1699327011# #竹韵美人刘诗诗刘诗诗超话刘诗诗狐妖小红娘竹业篇来看竹叶美人
1689609700# #刘诗诗蓝色长裙好优雅打call打call打call打call打call
1701645887# #鹫儿李同光刘诗诗任辛上线了一念关山破万期待接下来的剧情啊，任如意冲啊。
1697465290# #刘诗诗谢娜同框看秀刘诗诗谢娜同框看秀哇不要太美啦，期待新剧播出，快来爱奇艺预约哇打call打call打call
1701582350# #刘诗诗的配音老公姐，不要太帅
1704039517# #好运2024请让我上岸
1701090954# #刘诗诗太会演小白兔吗dogedogedoge
1698917248# #香奈儿大秀推迟发也行啊，谨言慎行。
1703141022# #刘诗诗御姐爆改甜妹十八岁不能再多啦哇哇哇
1695363372# #刘诗诗秋日林间大片
1702772536# #刘诗诗说一念关山不是古偶没关系你银安照白马，飒沓如流星。
1695341256# #刘诗诗复古蕾丝穿搭多发发，挺爱看的
1699243393# #内娱可以吃一辈子的剧刘诗诗超话马尔泰若曦是我心中最爱的角色
1698750136# #刘诗诗一天穿了六套高定我们继续努力和期待，也请来爱奇艺预约一念关山看吧。
1702106408# #爱奇艺转发刘诗诗微博爱任如意好吗，反正我超爱
1695363396# #刘诗诗秋日林间大片林间天使打call打call打call打call
1702392204# #刘诗诗想尝试反派角色希望姐姐可以尝试更多风格和各种未尝试的新角色
1694575564# #刘诗诗晒合照为杨幂庆生大美女们友谊长存！诗诗也要开心呀。期待刘诗诗待播剧《一念关山+狐妖小红娘竹业篇》打call
1703131551# #刘诗诗开年的第一缕光开年第一缕阳光☀️，期待东方淮竹大小姐
1695292673# #刘诗诗极具破碎感的哭戏镜头一绝，期待播出
1701656472# #刘诗诗任辛上线了任如意值得
1702277689# #任如意失望失望的是我的徒弟怎么是这种德行
1704347234# #刘诗诗Wonderland封面预告太惊喜了
1689601550# #刘诗诗蓝色长裙好优雅
1701624134# #一念关山我的评分：星星星星星星星星星星。打戏人物都特别实感，超级好看
1691758998# #刘诗诗的美背刘诗诗超话刘诗诗欧米茄名人大使离不开勤劳的锻炼笑cry笑cry笑cry笑cry
1697507579# #刘诗诗谢娜和TODS总监合影建议合照交出来dogedogedoge
1701344897# #一念关山替身马赛克黑子眼瞎，视频呼你脸上
1701621390# #刘诗诗任辛上线了行云流水的背后是日复一日的练习，为了成为任辛/任如意的付出，花絮镜头和观众都会记得💦
1689226441# #我宝开心就好打call打call打call打call
1704252081# #刘诗诗吴奇隆带娃出门刘诗诗粉丝还在沉迷于🥝刘诗诗的任如意中，不关心演员的私生活哈爱你既然让刘诗诗粉丝被动参与全程，那就诚邀大家和刘诗诗粉丝一起看一念关山任如意吧！任如意还在热播期，欢迎大家一起来看哦！
1702115991# #爱奇艺转发刘诗诗微博任如意是树🌲，坚韧不拔，为别人遮风挡雨。
1701318381# #刘诗诗变脸比翻书还快这样婶的吗dogedogedoge
1704375145# #步步惊心里若曦是怎么死的让我眼泪哗哗流的白月光啊。
1701264425# #一念关山王者峡谷一整个热血沸腾，任如意武力值爆表。
1700731935# #刘诗诗片场叫刘宇宁远舟哥哥嗯，接单中。
1702918013# #任如意殉国为国为民为大义
1694324809# #步步惊心开播12周年行到水穷处，坐看云起时。
1701262822# #一念关山第8集封神天星峡大战，任如意武力值爆表。
1702270022# #曾经的龙葵现在的任辛你看我几分像从前
1701266245# #刘诗诗打戏感觉真的会武功行云流水，银鞍照白马，飒沓如流星刘诗诗，天生侠女
1701839350# #昭节皇后下线但是还有任辛在查找真相
1702103706# #刘诗诗戏份狮子都在，我们都爱你。
1702218748# #一念关山辟谣刘诗诗打戏一剪没刘诗诗任如意认认真真提前进组练了，结果呢大家说了算。
1701088083# #胡歌为刘诗诗新剧打call你以为小白兔吗，其实是狼王dogedogedoge
1693296261# #好看的嘞打call打call打call打call打call
1704426687# #刘诗诗摇滚歌姬我超爱
1698917110# #王一博陈伟霆刘诗诗张子枫同框看秀请勿传播。
1695271347# #一念关山刀光谍影版预告任如意还是任辛打call打call打call打call打call打call
1701646021# #鹫儿李同光哟，期待今天的剧情有点子意思哈刘诗诗任辛上线了一念关山破万
1701380094# #刘诗诗新剧一滴泪演技不如来看剧，会发现更有意思的剧情dogedogedogedoge
1698723086# #内娱古现双绝的明星刘诗诗哇
1700793895# #任如意宁远舟势均力敌的爱情谁也不是弱者
1697516150# #刘诗诗谢娜和TODS总监合影所以合照啥时候交出来dogedogedoge
1701185272# #刘诗诗古装仪态众所周知刘诗诗的仪态是最棒的dogedogedoge
1689597099# #刘诗诗蓝色长裙好优雅这个女人好米呀打call打call打call打call
1697590651# #刘诗诗韩火火合照刘诗诗太好看了吧，快来爱奇艺预约刘诗诗的新剧吧打calldogedoge
1701175695# #一念关山节奏节奏不要太好了，期待后续任如意
1693965941# #内娱宝藏艺人刘诗诗哇
1695271620# #一念关山刀光谍影版预告这一秒变脸绝了dogedogedogedoge
1701240198# #刘诗诗任如意冷脸女刺客谁能不爱呢dogedoge
1701410195# #刘诗诗刘宇宁撞型愤怒的小鸟愤路的任如意哈哈哈弹射
1703740418# #内娱红毯的神TOP10刘诗诗🉑拥有。
1701839501# #刘诗诗慢热慢热的人最长情
1701400986# #一念关山配音来看任如意炸裂的打戏吧，你会发现其实挺好的。
1692175830# #小夭和龙葵都是射手刘诗诗超话麻溜的红葵哈哈哈
1703260342# #刘诗诗TODS科普下：刘诗诗从17年开始全球认领名分Brandambassador➕全球硬广。且刘诗诗是tods全球第一个品牌大使，也是全球第一个品牌代言人。刘诗诗代言tods第6年，全球硬广7轮，推封五大二小杂志几十封。。其他的事，和刘诗诗无关，等官宣就行，勿cue爆剧女王刘诗诗，欢迎收看刘诗诗爆剧《一念关
1701085799# #胡歌为刘诗诗新剧打call板凳多多坐等明天开播
1695273958# #狐妖小红娘竹业篇首发阵容是让你心动的东方淮竹嘛dogedoge
1692370480# #内娱情绪稳定的明星稳稳的啦刘诗诗
1694324750# #步步惊心开播12周年行到水穷处，坐看云起时。刘诗诗超话
1702779987# #任如意恶龙末屠怎敢轻死快来看任如意大战
1702587946# #刘诗诗为一念关山改变慢热无语😑，这剪辑厉害了，正片搞得ppt预告似的。
1691663875# #刘诗诗行走的山茶花刘诗诗超话绝美的山茶花
1699404131# #刘诗诗超话今日微博开屏打call打call打call打call
1699010872# #刘诗诗神女逆光而来十二年前你踏飞鹰向我奔来，十一年后你身着ElieSaab2023春夏高级定制逆光向我走来，时间在流淌，可是我依然都在原地等待你向我奔来。
1698675382# #刘诗诗超话十月的末尾真开心啊
1701247557# #刘诗诗水缸闭气花絮泡个澡比个心笑cry笑cry笑cry笑cry
1695308779# #内娱古偶白月光我心中的白月光
1700793469# #一念关山定档有点子意思，看看dogedoge
1695357601# #一念关山滤镜都能抗住，哪个都挺好看，期待播出
1698714117# #刘诗诗大片里的松弛感松弛下的美感，恬静而自由。
1690459513# #长相思和步步惊心是同一个作者都是好剧好小说，来爱奇艺预约刘诗诗一念关山吧
1704455450# #刘诗诗妆容解析超级喜欢，快来爱奇艺看刘诗诗一念关山任如意。
1702896605# #一念关山超点大结局看完任如意
1695358930# #一念关山滤镜不拉不踩，专注安利自家。
1703682661# #刘诗诗为胡歌唐嫣新剧打call也期待我们的东方淮竹呀
1693617964# #刘诗诗超话花絮都要看烂了，快上啊啊啊啊
1699883765# #爱奇艺尖叫之夜完整版名单希望看我们如意宝的红毯啊期待刘诗诗一念关山任如意
1701875903# #2023电视剧大赏已经开启，我在年度剧集名场面推荐活动中pick了这一条我最爱的名场面片段，快来一起为你心中的年度剧集名场面打call吧！电视剧大赏名场面推荐
1701267963# #刘诗诗打戏感觉真的会武功女侠来了，麻烦让让，不然噶你dogedoge
1699920846# #刘诗诗刘宇宁你好星期六宣传一念关山任如意嘛，非常🉑的。
1702712363# #可隆是你的靠山我的愿望是拥有刘诗诗同款
1701240432# #刘诗诗任如意冷脸女刺客打戏嘎嘎嘎的杀，快来看刘诗诗任如意的打戏吧dogedoge不要太惊艳你dogedoge
1704172352# #刘诗诗东方淮竹期待竹海相逢。
1692369960# #刘诗诗成都活动人气刘诗诗青春的我宝
1697417871# #淮竹这个身段打戏太好看了不要太好看
1694528517# #刘诗诗晒合照为杨幂庆生哎妈呀，我天额头的火印还在呐哈哈哈哈
1701268029# #刘诗诗打戏真的天生侠女风范满满武侠风，就是武侠里走出来的人呀
1694429187# #刘诗诗聚餐后送沈月回小区我姐太可爱了
1701489403# #刘诗诗演技层次感我觉得挺好看的，大伙觉得呢。
1701318128# #《一念关山》人均恋爱军师超会评我的点评：苹果苹果苹果苹果苹果。一念关山超话人均恋爱军师超会评
1694918166# #刘诗诗超话不是说一家一个位置，然后空缺一个吗，前段时间闹得那么热闹，不是说我们俩想占两个位置吗，哪里来的🍵🍵胡说八道，证据在这还能颠倒黑白，无语子，还说霸凌他们？？？？？真眼说瞎话的本事到是不小。🙄🙄🙄🙄
1702200489# #刘诗诗iDest四周年封面风格万变刘诗诗
1700061104# #哎哟我滴天，我是发什么样的话了，一句怎么不看看17年以后的呢。还让我的号被禁，无语子，什么些鬼玩意。能不能认清自己专注自家刘诗诗超话
1699334881# #刘诗诗竹枝妆这创意绝了，刘诗诗竹枝妆让我想到“清寒直入人肌骨，一点尘埃住得无”，刘诗诗和淮竹适配度🈶！会拍多拍！
1695271268# #一念关山刀光谍影版预告天，好杀
1697744064# #
1698764592# #今天好多明星营业是的嘞，期待刘诗诗一念关山播出喂。
1701686614# #刘诗诗泪眼新的一天新的剧情新的任如意打call打call打call
1701318199# #刘诗诗这让人怎么镇定这样还能镇定？
1702903593# #任如意殉情到底谁这么恨任如意啊！明明任如意是为减少牺牲为大义去刺杀。
1694180849# #刘诗诗沈月狐妖竹业篇异域造型期待值砰砰砰的长
1698819292# #一念关山电视剧版超话嗯，期待播出，安利自家就好。
1703666227# #刘诗诗半扎马尾头我慕了。
1693309023# #刘诗诗美拉德风敲好看打call打call打call打call
1700895669# #若曦公主抱玉檀再一次的be
