1696670412# #电工牺牲在电杆上泪
1696063281# #真的假的啊？
1696233181# #笑死
1696248386# #详细解读………2023诺贝尔生医奖颁给mRNA技术，不止于对抗病毒，也推开医疗革命的希望之门。。
1696834093# #没坏心眼儿允悲泪笑cry
1696578790# #有趣
1696662968# #真是聪明
1696670319# #才艺狗🐶
1696663041# #这样啊？直接枪毙
1696487126# #就是大家没法跟你玩了
1696662950# #这个太巧妙了，楞没看懂笑cry允悲哈哈嘻嘻
1696670270# #延坪海战
1696405111# #后面的影子政府干的？听说他要透露外星秘密？
1696063044# #死而复生？
1696233401# #数一数，到底有几个人？
1696146916# #俺的旧访谈，重读以撒·辛格
1696478824# #好办法
1696487718# #那时代良家妇女不会出这种头
1696577910# #励志姐
1696662878# #看着好吃馋嘴馋嘴馋嘴
1696306035# #为什么？
1696063125# #夫妻上太空
1696147594# #老教授：艾•辛格的作品没有＂思想病＂，作为犹太人他几乎不写受纳粹迫害等大题材，而专注＂鬼怪故事＂曾受质疑，他竟反而说前者那些写法是＂陈旧的＂，我想，他感兴趣的主要是与人的灵魂、精神和信仰直接相关的部分，却又把它写的如同圣训判语一样单纯，这与安徒生有异曲同工之妙。。
1696401480# #没背着转一圈？
1696063152# #普帝
1695985992# #自制水煮鱼，江团鱼，灰常地道～给力赞啊good
1696670158# #东北到美国的高铁🚄
1696754639# #老教授：当代表权柄不再有见证时，人对权柄和顺服的关系的认识就会混乱。比如精英开始以＂傲慢和血气＂自说自话，民众将离他们越来越远。陀斯妥耶夫斯基在《卡拉玛佐夫兄弟》借佐西马长老之口说：＂拯救将来自人民。＂但佐西马加了一个前提：＂因为他们保持着信仰和谦恭。＂这实际上是陀氏自己
1696834061# #真的在擦脸
1696579104# #根本
1696476336# #老教授：勒庞在《乌合之众》中总结控制大众的三要诀：＂断言法＂，＂重复法＂和＂传染法＂。。。我理解：。。断言法，即“口号般不可怀疑式语录”，不用脑子，即可熟记；。。重复法，即通过不断重复以加强情感强度、压制理性以“降低心思识别力”；。。传染法，即推崇群体价值高于个体价值、扼杀个性“使自由意
1696487519# #有没有补充的？
1696487587# #时代性
1696234427# #神奇的生命
1696047473# #以前的老教授是那样似的（朋友画的），现在的老教授是这样的，简直两个人嘛
1696669722# #不幸的孩子🙏🙏🙏
1696585400# #屠鲸
1696663549# #时尚
1696578676# #活得久，须质量好
1696400863# #还有谁能否认是智慧设计？
1696738226# #黑人中难得的清醒者。所以被视为异类。
1696296324# #老教授觉得是他们的世界观直接被上帝改造和重塑了，宏观思维能力卓越，于是统率微观世界的能力增加，理论科学和人文科学一样，参透它们时最重要的一种能力，老教授叫它为“有信心的观察”。有信心的观察（观测）能连接创造奥秘与他研究的微观问题，从而加速发现问题的答案。………。。犹太人为什么那么聪
1696487991# #这样啊
1696568478# #厉害！goodgoodgood
1696493668# #玩命
1696405421# #这个有意思
1696063510# #原来如此
1696484945# #我们该怎么生活？我想起一个例子，苏格拉底临终前最后一句话：“应该还给医神阿斯克勒皮俄斯一只公鸡。记住这件事，千万别忘了。”
1696833946# #瘆得慌
1696059565# #菜谱大包，值得收藏………100道精品私房菜，做法明确，味道一绝，收藏起来太实用了。。
1696662992# #屏幕外都恐高了
1696760156# #刚到半个月，又刮了一次头。没想到光头比长发更麻烦，出乎我意料之外。
1696584967# #这么快啊
1696834020# #被迫交朋友
1696669964# #梨花带雨
1696584987# #黑人专司唱歌跳舞
1696489182# #多射
1696670122# #奥德彪
1696579005# #知道这事情
1696233123# #你出力我出声
1696493820# #自由飞翔！这是怎么做出来的？
1695893884# #转发微博
1696662807# #比较慵懒
1696404930# #这列宁很健美啊哈哈笑cry允悲
1696404838# #这办法太智慧了
1696488835# #我们是几乎最后一届有国家分配的大学生
1696578927# #写实派
1696670228# #真是一对熊孩子哈哈允悲笑cry
1696405165# #你怎么知道的？
1696422920# #广东白斩鸡的做法，很简单。酷酷酷。。给爹妈炫一个！嘻嘻笑cry馋嘴。。请使用北村自然生活馆的河田鸡～goodgood鲜花鲜花
1696736348# #渐渐浮现………基里延科异军突起，能否称为普京的接班人？。。
1696578767# #这不对
1696663165# #罪不当死
1696401799# #酗酒者谨慎！
1696401732# #刺激
1696585348# #这唱的什么？
1696669922# #尼泊尔
1696215267# #改一下量词，一支狗。
1696382924# #老教授：大家真的不必过度关注诺贝尔文学奖，老教授这样说倒不是出于什么高尚理由，而是它近三十年屡屡颁出莫名其妙的奖，即便现在我认为诺奖因其众多优秀得奖人所以它仍然发出光辉，但一个奖项毁掉自己最好的方法，就是颁给名不符实的人。所以，今年无论它把奖颁给谁，阿毛阿狗，都不会让人奇怪。你继
1696150663# #可爱到爆！
1696148276# #火锅没吃好，电影也没看好
1696404642# #真会做生意
1696579088# #这男人很妖娆
1696564282# #我们太急躁了，这也是缺乏理性训练的表现：诺贝尔文学奖近二十年经常给我们提供陌生的获奖者，其原因：一则是大多数中国作家和读者不具备直接阅读外文的能力，二则介绍到国内的外国纯文学作家太少，很单一，不整全，还被通俗作家占据了空间。三是中国人阅读纯文学的热情急剧下降，更遑论外国纯文学。但
1696833864# #山药好吃，尤其是大白暑
1696578372# #很有家族氛围
1696404767# #被惊吓了
1696059682# #啊，伤得如何？
1696488224# #在群众中
1696404797# #童工啊
1696405196# #自然美
1696488441# #人家也要生活啊
1696147468# #辛格在《傻瓜吉姆佩尔》中借宁愿被别人欺骗一生仍选择诚实的吉姆佩尔说：＂当死神来临时，我会高高兴兴地去。不管那里会是什么地方，都会是真实的，没有纷扰，没有嘲笑，没有欺骗。赞美上帝：在那里，即使是吉姆佩尔，也不会受骗。＂再来看欺骗了吉姆佩尔一辈子的妻子艾尔卡从阴间回来对丈夫说：“
1696040569# #俄罗斯秋季征兵10月1日开始，普京正式签令将俄征兵年龄上限提高至30岁。送更多炮灰上前线。（图为俄罗斯征兵广告）
1696834141# #摆拍
1696487639# #吃死的
1695987886# #消遣一下，古巴导弹危机。。。bilibili尼可大魔王的视频
1696820582# #老教授：不错，这世界上确实没有纯粹的非黑即白的事情，存在大量灰色或灰色地带，但我要提醒诸位的是：不要因为有灰色、就否认了有黑白这件事。实际上我们每天都是在灰色中尽力辨别黑白、而不是认同灰色甚至黑色，是尽力寻找白色，脱离黑暗，并旗帜鲜明地支持光明正义的普世价值，这一点也不可笑，是足
1696833929# #韭菜允悲泪笑cry
1695893957# #自自然然多好
1696578223# #日本鳗鱼主要来自中国
1696577958# #高手
1696833902# #这个方法好
1696063065# #清华大学
1696487174# #我基本是使用牙齿把腿肉一节一节逼出来的哈哈允悲笑cry二哈
1696487263# #酸爽到吓死人
1696578393# #罕见
1696663223# #咋那么蠢呢
1696233267# #开始拒绝了
1696585052# #唱陕北小曲儿驾轻就熟
1696833744# #难以描述了
1696752656# #中东火药桶炸开了，连锁效应开始。
1696487504# #故意伤害罪
1696063524# #哈哈笑cry
1696404751# #窍门
1696663261# #陈诚允悲笑cry
1696488635# #能耐了
1696662829# #孩子太小了泪泪
1696663719# #禁片
1696150751# #不可能，绝对不可能！允悲笑cry哈哈嘻嘻
1696063250# #比田震，显然太嫩
1696585170# #我1981年刚上厦门大学时，晚上睡觉都能听到这个笑cry允悲哈哈
1696405317# #还有这事儿？
1696577650# #笑cry笑cry允悲哈哈馋嘴馋嘴是真的是真的
1696506923# #一年一季，不慌不忙刚刚好。。。好的稻花香必须要经历霜冻口感才好，坚持人工收割，自然晾晒。。。五常新米上线，赶紧抢！
1696578459# #很可怕的
1696578008# #震撼！
1695882977# #涨知识了
1696488338# #时代气息
1696585071# #这个只能说基因就是长寿
1696663785# #技术是绝了
1696488033# #有了
1696670334# #吓出心脏病来怎么办？
1696411012# #当代女生厨艺大赏，真的假的啊？哈哈笑cry允悲二哈
1696670071# #这小嘴的吧的吧的哈哈允悲笑cry
1696404654# #玩具牛🐮
1696063104# #互相侧目笑cry哈哈哈哈笑cry
1696150703# #铁锹美食哈哈哈哈
1696669764# #吵架大王哈哈允悲笑cry嘻嘻
1696577867# #讹诈
1696833986# #没找对方法
1696833884# #老小子
1696593065# #买枸杞要懂得怎么买，您看图一的质地和品相，就很难得，肉眼都能分出好坏。。。这就是北村自然生活馆的准入质量标准。
1696404712# #四驱
1696670284# #这位龟毛师傅的脆皮烧鸡做法来了笑cry笑cry笑cry
1696404732# #深山老尸
1696578304# #吓死人了
1696662849# #不好吧
1696487106# #很有智慧
1696568514# #这么小的女儿
1696489364# #电影当年很可怕
1696663707# #看着舒爽
1696585143# #怎么解释呢
1696038617# #老教授：模仿别人的激情，是被奴役的开始。
1696754777# #老教授：托尔斯泰甚至到了崇拜农民的程度，毕生致力为农民的公平正义鼓与呼，释出家产给农民，甚至亲手为农民盖农舍；但俄国1917年二月革命时，第一个冲进托氏庄园洗劫的就是农民，托氏夫人怀抱手稿熄灯苦熬，农民见窗口黑暗以为抢尽，才冲到下一家打土豪，手稿因此幸存。托尔斯泰和陀斯妥耶夫斯基
1696396571# #老教授做了一个海南椰子鸡，方法简单到爆：取一只北村自然生活馆的河田鸡小母鸡（椰子鸡不能太老控制在四月龄内），网购椰子水（非椰子汁），如果超市买的削皮椰子则要连同椰蓉一起刮下放入。把小母鸡斩件和椰子水煮成火锅，加盐即可。椰香四溢，鸡肉鲜嫩。傻瓜都会做。
1696401648# #诠释的技术不错
1696663060# #忌讳
1696639770# #老教授：初读了一些约翰福瑟的作品，这个人可以的，他的戏剧和他的诗是一回事，是同一种东西，他用诗来写戏剧，他的戏剧台词就是诗，二者同时把假定性和虚拟性推高到了类似“灵魂象征”的程度，是一种夹杂着“圣谕式（神）和梦呓式（人）”的聒噪。更多感受等我读全了他的作品再说。
1696585182# #这是虐鸡了
1696150619# #刻在DNA里的歌舞才能goodgoodgood
1696401452# #人都要栽进去了
1696233252# #罕见影像
1696404875# #美国佬真能打哈哈笑cry允悲
1696234495# #允悲允悲哈哈哈哈
1696404740# #能者多劳
1696493722# #表演天赋
1696077511# #我滴天
1696247268# #今年，KatalinKarikó和&nbsp;DrewWeissman&nbsp;因核苷碱基修饰方面的发现而获奖，这些发现使得开发针对COVID-19的有效mRNA疫苗成为可能。。。重磅！2023年诺贝尔生理学或医学奖公布，详细解读来了。。
1696487140# #玻璃砖头
1696489254# #可拉
1696038814# #失业率就立即为零了。
1696487851# #还是这种美
1696233140# #哈哈哈笑cry哈哈允悲嘻嘻
1696488878# #历史
1696234503# #罕见影像
1696578538# #推下去的？
1696585175# #你吃过吗？
1696380559# #一个人即便聪明绝顶，只要他没有敬畏，你都可以扳倒他。
1696662860# #啊
1696234198# #应该是中国包装最精美的生鲜土鸡冷冻件之一了。鲜花鲜花鲜花
1696487748# #奸商啊
1696059577# #报复性出游
1696233161# #太咸啦
1696234455# #这是炸，不是炒
1696578239# #坐过
1696129463# #看看他自己怎么说……卡夫卡日记（1916－1923）。。
1696063133# #这是什么技术？
1696062881# #据说被指控还能参选？
1696147969# #嘻嘻嘻嘻
1696150684# #小伙夫很称职
1696568125# #还有两天结束
1696487196# #养家糊口的
1696148039# #非常正确！
1696062832# #这月饼不甜
1696490673# #自然生活知识：龟毛师傅又来做菜了，五香卤菜，可以开店的水平
1696577887# #这个拷问很尖锐
1696233204# #与马保国来一下？
1696487976# #没憋死就是奇迹
1696663886# #这样啊
1696767184# #北村自然生活馆的新季新米，就是今年台风遭灾减产，为了广大馆友利益，仍然挺住不涨价！。。这就是我们的诚意！不说了～鲜花鲜花鲜花
1696378958# #比较深奥，没明白。……刚刚，诺贝尔物理学奖公布。。
1696137219# #堵车之乐哈哈笑cry允悲
1696670062# #飞来横祸
1696768039# #触目惊心。。bilibiliCLLAOMI的视频
1696300192# #今年送米酒，独特又健康！鲜花鲜花鲜花赞啊赞啊赞啊可乐可乐可乐
1696401464# #迫害犹太人
1696663019# #违规了
1696487309# #被迫外交
1696834071# #笑死了
1696489034# #允悲允悲允悲
1696493771# #小宝贝
1696828281# #需要新米的赶紧下订，不知道啥时候就涨价。
1696233372# #这到底是啥
1696580500# #北村米酒，高端优雅，平价消费。
1696150866# #飘型的嫦娥
1696248258# #飘型的嫦娥
1696233359# #真有你的肌肉💪男
1696233099# #胡旋舞
1696404978# #抽筋膜？
1696487907# #我们那时候
1696127850# #大优惠时间持续到长假结束！鲜花鲜花鲜花
1696487243# #最后是左挫一下右挫一下上去的
1696487096# #中医师们出来评论一下
1696834160# #题目耸动
1696047614# #优惠仍然继续
1696233229# #这方法…～
1696059826# #这都挖出来了？笑cry笑cry哈哈哈哈
1696580250# #尊重他人选择。
1696669828# #罪证
1696496824# #老教授：有句话叫做：创作是教不来的、教不会的。我是基本同意这个观点的。如果我教学生写作，我只会让他们大量阅读名著佳作，阅读，不停地阅读，读到什么时候呢？读到浑身发痒、躁热，抓耳挠腮，不写点东西就不行了，就要命了。这时候开始，学生必须进入实际写作，老师，也可以讲一点课了。
1696150561# #自然生活知识：萝卜糕虎皮肉卷，太好吃了！给爸妈做一个～馋嘴馋嘴馋嘴goodgoodgood
1696585010# #被教训了笑cry允悲哈哈
1696833769# #啊
1696060375# #这位太太太励志了
1696493931# #还有这种课程？笑cry哈哈允悲二哈
1696402263# #此大厨是著名龟毛，炒个米粉，要先制作炒米粉专用油和专用酱油嘻嘻允悲哈哈笑crygoodgood
1695893926# #聪明孩子
1696234395# #仍是陕北第一把
1696585209# #不会吧？阴险酷嘻嘻
1696833693# #天冷了，可以开始喝羊汤了
1696493705# #估计喝上瘾了
1696834001# #啊啊啊
1696833794# #🐮
1696487470# #样子挺足
1696662903# #鬼灵精笑cry允悲哈哈
1695949642# #老教授：俺偕俺孙几皮蛋、再拖拉上北村自然生活馆祝愿大伙儿中秋喜乐平安心心鲜花鲜花作揖作揖，感谢所有给我发祝愿的亲朋好友，中秋吃点好的，放松精神，到处玩玩，和长辈亲朋聊聊，然后睡一大觉，起来活力四射～给力威武可乐干杯咖啡礼物浪赞啊🎄goodgood哈哈
1696669978# #大炮轰肚皮
1696578602# #黑色记忆
1696047725# #长假期间，给长辈师友送个厚礼，就是健康！中国唯一获得世界金奖的土鸡～河田鸡！理由充分，贵重有加！鲜花心给力赞啊礼物蛋糕微风
1696833831# #好吃
1696663323# #笑容可掬
1695886788# #快下架了！赶紧地～馋嘴馋嘴馋嘴
1696656304# #最后一天，今晚十二点结束。
1696233039# #这是什么舞？
1696487430# #尴尬笑容
1696131667# #诗人才华依旧，灵魂已空。
1696833816# #我的天
1696585161# #珍贵影像
1696496943# #老教授：英格玛•伯格曼等大师的影片具有的个人特质，有如他的DNA。你看，伯格曼剧本竟然是这样写的：“夜幕降临，暑热稍稍减退。黎明的时候，一阵热浪掠过了灰暗的海面…他睁开眼睛直视着东升的旭日，它象鼓胀的、将死的鱼从晨雾弥漫的海面上一跃而起。天空灰暗，沉滞不动；象一座坟墓的穹顶。一片乌
1696293900# #老教授：。我发现中国人的思辩能力真的是有点一言难尽！这不是无端诬陷国人，是不争的事实，也是一个非常严重的问题，因为它会使我们沦为一个“缺乏理性能力”的民族，后果实际上大家也看到了，所以反省是必要的。思辩能力不是那么简单的，很多人把“动动脑子”就当成思辩了，中国不少理论家、
1696404816# #尿不湿哈哈笑cry允悲
1696578081# #历史教训
1696663373# #确定？
1696678849# #最后四小时结束。需囤自然食材的抓紧。
1696585306# #细密之至！
1696578320# #你在干嘛？！
1696404825# #巧妙
1696488957# #很中国
1696475570# #路遇鸡蛋灌饼，没吃早饭，南方人从来不待见北方路边摊，突然想见识一下，要了一个好久没吃的煎饼果子，嘎嘣脆，香，没办法，中餐胃，就喜欢热乎的，嗨行馋嘴馋嘴笑cry笑cry
1696584985# #对口型优秀
1696405039# #直接抢
1695887522# #这是1878年正在展出的自由女神像，当时也只是建好了它的头部而已。
1696738055# #老教授：电影《十诫》凸显了作者基斯洛夫斯基在＂天＂与＂地＂之间的矛盾面貌：一方面站在人的道德焦虑的石头上向上帝律法投去怀疑目光；一方面又站在上帝角度批判人的道德崩解的困境。在＂现代性语境＂中，许多思想者都呈现这种复杂特征。
1696059734# #哈哈哈笑cry笑cry笑cry
1696660018# #真毒！但很形象……哈哈允悲笑cry阴险
1696578503# #“荣”归故里
1696834128# #狗狗喜欢学人样
1696663465# #真的假的啊
1695903079# #国庆送礼佳品：中国唯一获得世界金奖的土鸡～河田鸡！理由充分，贵重有加！鲜花心给力赞啊礼物蛋糕微风
1696233339# #五儿五女
1696820613# #绑架
1696663406# #是哦嘻嘻哈哈允悲笑cry
1696234462# #好像另有报道找到机理，有药了
1696578720# #这样啊
1696578353# #安倍的外公
1696487392# #是这样的
1696398999# #等你们全部回来，老教授就要出动了坏笑阴险二哈哈哈
1696578146# #建国后不许成精
1696669921# #球像粘在她身上一样
